check,status,severity,details
output_dir_exists,PASS,info,outputs/vn30_hourly_2015_full_tuning_sweep
manifest_exists,PASS,info,manifest present
canonical_evaluator_used,PASS,info,Version: canonical_v1.0.0
no_daily_data,PASS,info,hourly only by design
no_resampling,PASS,info,no resampling by design
no_data_fetch,PASS,info,no data fetch by design
universe_unchanged,PASS,info,VN30 Jan 2025 unchanged
validation_only_selection,PASS,info,all policy selection on 2024 validation
final_eval_scoring_only,PASS,info,final eval used only for scoring
no_final_label_tuning,PASS,info,no threshold/ticker/model selection on final labels
no_leakage,PASS,info,no leakage indicators
baseline60_pass,PASS,info,Best baseline60: 60.31%
final65_pass,WARN,warn,Best final65: 61.48%
