horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
3d,bear,cart,combined_rank_based,rank_based_joint_score,1,,,26,26,0.005135376577930128,0.46153846153846156,0.46153846153846156,0.23076923076923078,0.9230769230769231
3d,bear,cart,combined_rank_based,rank_based_joint_score,3,,,26,78,-0.001011648227363734,0.48717948717948717,0.48717948717948717,0.7307692307692307,0.9743589743589743
3d,bear,cart,combined_rank_based,rank_based_joint_score,5,,,26,104,-0.0009285415859085846,0.5,0.5,1.0,1.0
3d,bear,cart,combined_weighted_linear,combined_score,1,,,26,26,0.006263295692525433,0.5,0.5,0.25,1.0
3d,bear,cart,combined_weighted_linear,combined_score,3,,,26,78,-0.004963386400424336,0.48717948717948717,0.48717948717948717,0.7307692307692307,0.9743589743589743
3d,bear,cart,combined_weighted_linear,combined_score,5,,,26,104,-0.0009285415859085841,0.5,0.5,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,10,10,-0.010943681928467102,0.3,0.3,1.0,1.4000000000000001
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.55,8,8,-0.015091968875675876,0.125,0.125,1.0,1.375
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.6,8,8,-0.015091968875675876,0.125,0.125,1.0,1.375
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.65,7,7,-0.015669432464071587,0.14285714285714285,0.14285714285714285,1.0,1.1428571428571428
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.5,8,8,-0.018042038694295912,0.25,0.25,1.0,1.25
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.55,7,7,-0.015669432464071587,0.14285714285714285,0.14285714285714285,1.0,1.1428571428571428
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.6,7,7,-0.015669432464071587,0.14285714285714285,0.14285714285714285,1.0,1.1428571428571428
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.65,7,7,-0.015669432464071587,0.14285714285714285,0.14285714285714285,1.0,1.1428571428571428
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.5,6,6,0.012949392389793597,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.55,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.6,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.65,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.5,6,6,0.012949392389793597,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.55,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.6,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.65,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,10,14,-0.019188907861861535,0.21428571428571427,0.21428571428571427,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,8,11,-0.027246044330599992,0.09090909090909091,0.09090909090909091,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.6,8,11,-0.027246044330599992,0.09090909090909091,0.09090909090909091,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.65,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.5,8,10,-0.027414083082446604,0.2,0.2,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.55,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.6,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.65,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.5,6,6,0.012949392389793597,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.55,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.6,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.65,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.5,6,6,0.012949392389793597,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.55,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.6,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.65,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.5,10,14,-0.019188907861861535,0.21428571428571427,0.21428571428571427,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.55,8,11,-0.027246044330599992,0.09090909090909091,0.09090909090909091,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.6,8,11,-0.027246044330599992,0.09090909090909091,0.09090909090909091,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.65,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.5,8,10,-0.027414083082446604,0.2,0.2,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.55,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.6,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.65,7,8,-0.03240667429605029,0.125,0.125,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.5,6,6,0.012949392389793597,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.55,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.6,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.65,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.5,6,6,0.012949392389793597,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.55,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.6,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.65,4,4,0.023145947698706346,0.25,0.25,1.0,1.0
3d,bear,cart,predicted_profit_probability,predicted_profit_probability,1,,,26,26,-0.017338443848703675,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.7692307692307693
3d,bear,cart,predicted_profit_probability,predicted_profit_probability,3,,,26,78,-0.0026920804974186604,0.4358974358974359,0.4358974358974359,0.6538461538461539,0.8717948717948718
3d,bear,cart,predicted_profit_probability,predicted_profit_probability,5,,,26,104,-0.0009285415859085848,0.5,0.5,1.0,1.0
3d,bear,cart,predicted_return,predicted_return,1,,,26,26,0.006621269655097147,0.6153846153846154,0.6153846153846154,0.3076923076923077,1.2307692307692308
3d,bear,cart,predicted_return,predicted_return,3,,,26,78,0.0022158051586221284,0.5,0.5,0.75,1.0
3d,bear,cart,predicted_return,predicted_return,5,,,26,104,-0.0009285415859085843,0.5,0.5,1.0,1.0
3d,bear,lightgbm,combined_rank_based,rank_based_joint_score,1,,,26,26,-0.004307368915909973,0.34615384615384615,0.34615384615384615,0.17307692307692307,0.6923076923076923
3d,bear,lightgbm,combined_rank_based,rank_based_joint_score,3,,,26,78,-0.0013366437534600394,0.47435897435897434,0.47435897435897434,0.7115384615384616,0.9487179487179487
3d,bear,lightgbm,combined_rank_based,rank_based_joint_score,5,,,26,104,-0.0009285415859085846,0.5,0.5,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear,combined_score,1,,,26,26,0.00023509624890258925,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.7692307692307693
3d,bear,lightgbm,combined_weighted_linear,combined_score,3,,,26,78,-0.0011515099606588955,0.47435897435897434,0.47435897435897434,0.7115384615384616,0.9487179487179487
3d,bear,lightgbm,combined_weighted_linear,combined_score,5,,,26,104,-0.0009285415859085841,0.5,0.5,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.5,12,12,0.010982491702504357,0.25,0.25,0.6,0.85
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.55,11,11,-0.005581371579857276,0.18181818181818182,0.18181818181818182,0.5,0.6363636363636365
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.6,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.65,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.5,11,11,0.010184277689113626,0.2727272727272727,0.2727272727272727,0.6,0.8727272727272727
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.55,10,10,-0.00811579332282324,0.2,0.2,0.5,0.65
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.6,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.65,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.5,10,10,0.023115457135877336,0.3,0.3,0.75,1.05
