horizon,ticker,model_name,strategy_type,threshold,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,number_of_trades,average_trade_return,exposure_ratio,turnover,candidate_signals,buy_signals,skipped_overlap_signals,positive_net_return_after_costs,beats_buy_and_hold,beats_naive_flat_strategy
5d,ACB,buy_and_hold,benchmark,,-0.013181988041853665,-0.05014447008958112,-0.02682261058072781,-0.03984518814641891,-0.14901960784313772,0.0,0.0,1,-0.013181988041853554,1.0,2.0,1,1,0,False,False,False
5d,ACB,momentum_continuation,benchmark,0.0,-0.06278692390086948,-0.22228691194675798,-1.5508939218799984,-1.7707262880304862,-0.11372693029267922,0.2857142857142857,0.4385343856605107,7,-0.00884581557116377,0.5384615384615384,8.0,180,84,77,False,False,False
5d,ACB,momentum_continuation,benchmark,0.005,-0.11226498823580777,-0.3697708009768319,-2.702298188245292,-3.218564896189218,-0.13669574637944326,0.2857142857142857,0.14374452138627133,7,-0.016640190613225716,0.5384615384615384,12.0,180,75,68,False,False,False
5d,ACB,momentum_continuation,benchmark,0.01,-0.09485785433792382,-0.3204924079277942,-2.428808454967856,-2.9669838477175663,-0.11976766250504323,0.3333333333333333,0.167586871143366,6,-0.016187953675784184,0.46153846153846156,10.0,180,63,57,False,False,False
5d,ACB,momentum_continuation,benchmark,0.02,-0.07774104138908533,-0.2693029915643328,-2.067251697181982,-2.5098235253109764,-0.10312190985212788,0.4,0.18021750505000408,5,-0.015765818610212624,0.38461538461538464,8.0,180,45,40,False,False,False
5d,ACB,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,False,False,False
5d,ACB,cart,model,0.0,-0.18545376682958248,-0.5485317897556543,-3.0596045960883362,-3.5168856392199332,-0.22637461165350647,0.2727272727272727,0.36154997547740064,11,-0.01764895381437467,0.8461538461538461,6.0,60,54,43,False,False,False
5d,ACB,cart,model,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,ACB,cart,model,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,ACB,cart,model,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,ACB,lightgbm,model,0.0,0.014669116990449815,0.05808212054892681,0.6241122917942795,0.6962164348123672,-0.036305420479797346,0.5,1.456942481263526,2,0.008294744458677117,0.15384615384615385,4.0,60,2,0,True,False,True
5d,ACB,lightgbm,model,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,ACB,lightgbm,model,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,ACB,lightgbm,model,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,ACB,xgboost,model,0.0,-0.052865813390339356,-0.18988019575776527,-0.8118434746003851,-0.6690628223121338,-0.15382941872996503,0.25,0.5096164009630685,4,-0.012724667020080543,0.3076923076923077,6.0,60,9,5,False,False,False
5d,ACB,xgboost,model,0.005,-0.05033008172021636,-0.18143907084435917,-3.5940662733778423,-1.6067420324160473,-0.05033008172021636,0.0,0.0,1,-0.05033008172021636,0.07692307692307693,2.0,60,2,1,False,False,False
5d,ACB,xgboost,model,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,ACB,xgboost,model,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,DGC,buy_and_hold,benchmark,,-0.21831897397011335,-0.6151567508383482,-1.2816183341328078,-2.1868209439347623,-0.39307787391841786,0.0,0.0,1,-0.21831897397011324,1.0,2.0,1,1,0,False,False,False
5d,DGC,momentum_continuation,benchmark,0.0,-0.12858750652542972,-0.4135213571250862,-0.9975082700402883,-1.360852820434056,-0.22738052837788814,0.3333333333333333,0.5613334672543928,9,-0.013389960946227674,0.6923076923076923,8.0,180,93,84,False,False,False
5d,DGC,momentum_continuation,benchmark,0.005,-0.20651748618067922,-0.5921372203536154,-1.8370970709201901,-2.477977761619173,-0.24111106192627008,0.25,0.3983778078958047,8,-0.026105514047430403,0.6153846153846154,12.0,180,84,76,False,False,False
5d,DGC,momentum_continuation,benchmark,0.01,-0.2009435999822492,-0.580916842929304,-1.8310528948677018,-2.3326423724059104,-0.23578018127748301,0.2857142857142857,0.4065472673335854,7,-0.02883836098978882,0.5384615384615384,10.0,180,78,71,False,False,False
5d,DGC,momentum_continuation,benchmark,0.02,-0.18342161724235684,-0.5441493850141516,-1.6602820124703805,-2.058909062712094,-0.2357801812774829,0.2857142857142857,0.43367006884110476,7,-0.025799159197404515,0.5384615384615384,10.0,180,75,68,False,False,False
5d,DGC,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,False,False,False
5d,DGC,cart,model,0.0,-0.2638774240407332,-0.6950870171353967,-4.459318195089976,-5.36871133665627,-0.2638774240407332,0.0,0.0,1,-0.2638774240407332,0.07692307692307693,2.0,60,1,0,False,False,False
5d,DGC,cart,model,0.005,-0.2638774240407332,-0.6950870171353967,-4.459318195089976,-5.36871133665627,-0.2638774240407332,0.0,0.0,1,-0.2638774240407332,0.07692307692307693,2.0,60,1,0,False,False,False
5d,DGC,cart,model,0.01,-0.2638774240407332,-0.6950870171353967,-4.459318195089976,-5.36871133665627,-0.2638774240407332,0.0,0.0,1,-0.2638774240407332,0.07692307692307693,2.0,60,1,0,False,False,False
5d,DGC,cart,model,0.02,-0.2638774240407332,-0.6950870171353967,-4.459318195089976,-5.36871133665627,-0.2638774240407332,0.0,0.0,1,-0.2638774240407332,0.07692307692307693,2.0,60,1,0,False,False,False
5d,DGC,lightgbm,model,0.0,-0.22943433034339755,-0.6359426993189106,-1.894404101484777,-2.4467924157767507,-0.36646204247906233,0.42857142857142855,0.33310144549502124,7,-0.03323763572143528,0.5384615384615384,8.0,60,23,16,False,False,False
5d,DGC,lightgbm,model,0.005,-0.13814920959252852,-0.4380791362961878,-0.9470144039703401,-1.2229981711927533,-0.29140992008392586,0.5714285714285714,0.5331370965086188,7,-0.017721476299966392,0.5384615384615384,8.0,60,20,13,False,False,False
5d,DGC,lightgbm,model,0.01,-0.15953869887450045,-0.4902455666411203,-1.2593707149742355,-1.4421245121664867,-0.3089957714730167,0.5,0.43735725321299157,6,-0.02491667260908792,0.46153846153846156,6.0,60,19,13,False,False,False
5d,DGC,lightgbm,model,0.02,-0.18774006867714121,-0.553424823931435,-2.279505166981916,-1.948068765814326,-0.2709858077909685,0.5,0.12829149886044325,4,-0.046904651113363005,0.3076923076923077,6.0,60,15,11,False,False,False
5d,DGC,xgboost,model,0.0,-0.3882136798071063,-0.8511791805059218,-4.056487169495675,-5.228813360404076,-0.4752094249127514,0.3333333333333333,0.25129360472383855,9,-0.04787946222246683,0.6923076923076923,12.0,60,28,19,False,False,False
5d,DGC,xgboost,model,0.005,-0.37468370544515617,-0.8380076898837635,-3.9002479820281044,-4.911858481240511,-0.4636034069421554,0.25,0.21453704019200126,8,-0.05142550065542202,0.6153846153846154,12.0,60,24,16,False,False,False
5d,DGC,xgboost,model,0.01,-0.37468370544515617,-0.8380076898837635,-3.9002479820281044,-4.911858481240511,-0.4636034069421554,0.25,0.21453704019200126,8,-0.05142550065542202,0.6153846153846154,12.0,60,23,15,False,False,False
5d,DGC,xgboost,model,0.02,-0.24898832908648205,-0.6704724209959383,-2.40233703137797,-2.7803023359590746,-0.36649124590405013,0.3333333333333333,0.41845564836796056,6,-0.038886304346795374,0.46153846153846156,10.0,60,15,9,False,False,False
