model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,56,0.0,0.5357142857142857,0.5357142857142857
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,92,1.0,0.4891304347826087,-0.5108695652173914
lightgbm,lt_0.50,0.0,0.5,23,0.2232470165631213,0.5217391304347826,0.2984921138716613
lightgbm,0.50-0.55,0.5,0.55,8,0.5237773776577886,0.375,-0.14877737765778865
lightgbm,0.55-0.60,0.55,0.6,7,0.5770728181008192,0.5714285714285714,-0.005644246672247832
lightgbm,0.60-0.65,0.6,0.65,6,0.629166422355128,0.0,-0.629166422355128
lightgbm,0.65+,0.65,1.0,104,0.8675471047268992,0.5384615384615384,-0.3290855662653608
xgboost,lt_0.50,0.0,0.5,25,0.32655323155224325,0.44,0.11344676844775675
xgboost,0.50-0.55,0.5,0.55,5,0.5282748937606812,0.2,-0.32827489376068114
xgboost,0.55-0.60,0.55,0.6,11,0.5853767395019531,0.8181818181818182,0.2328050786798651
xgboost,0.60-0.65,0.6,0.65,9,0.6305698487493727,0.1111111111111111,-0.5194587376382616
xgboost,0.65+,0.65,1.0,98,0.8275904095902735,0.5408163265306123,-0.28677408305966123
