date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2023-01-03,ACB,cart,2022-12-28,2023-01-03,3d,3,0.03178294573643403,-0.03547459252157237,0.0672575382580064,211.6151813483621
2023-01-04,ACB,cart,2022-12-29,2023-01-04,3d,3,0.029457364341085146,-0.03547459252157237,0.06493195686265751,220.42690619165407
2023-01-05,ACB,cart,2022-12-30,2023-01-05,3d,3,0.04361370716510904,0.04083266613290637,0.002781041032202669,6.37652979526469
2023-01-06,ACB,cart,2023-01-03,2023-01-06,3d,3,0.019534184823440937,0.037174721189590976,0.01764053636615004,90.30597655133002
2023-01-09,ACB,cart,2023-01-04,2023-01-09,3d,3,0.01957831325301207,-0.010752688172043001,0.03033100142505507,154.92142266335804
2023-01-10,ACB,cart,2023-01-05,2023-01-10,3d,3,0.026119402985074647,0.031805425631431294,0.005686022646356648,21.769343846051147
2023-01-11,ACB,cart,2023-01-06,2023-01-11,3d,3,0.04568901989683116,0.00969696969696976,0.0359920501998614,78.77614858260003
2023-01-12,ACB,cart,2023-01-09,2023-01-12,3d,3,0.06056129985228953,0.0021141649048626032,0.058447134947426926,96.50904965709273
2023-01-13,ACB,cart,2023-01-10,2023-01-13,3d,3,0.029818181818181744,0.004521963824289488,0.025296217993892256,84.83487741854131
2023-01-16,ACB,cart,2023-01-11,2023-01-16,3d,3,0.033121916842847154,-0.013853904282115859,0.04697582112496301,141.82700037515394
2023-01-17,ACB,cart,2023-01-12,2023-01-17,3d,3,0.032729805013927527,0.021688613477923946,0.01104119153600358,33.73436392702376
2023-01-18,ACB,cart,2023-01-13,2023-01-18,3d,3,0.05579096045197729,-0.013853904282115859,0.06964486473409315,124.8318081816153
2023-01-19,ACB,cart,2023-01-16,2023-01-19,3d,3,0.0395634379263301,-0.006923076923076921,0.046486514849407023,117.49867374005308
2023-01-27,ACB,cart,2023-01-17,2023-01-27,3d,3,0.04180714767363458,0.003780718336483746,0.038026429337150836,90.95676565644293
2023-01-30,ACB,cart,2023-01-18,2023-01-30,3d,3,-0.004013377926421313,0.0,0.004013377926421313,100.0
2023-01-31,ACB,cart,2023-01-19,2023-01-31,3d,3,0.0019685039370078705,-0.016949152542372947,0.018917656479380818,961.0169491525472
2023-02-01,ACB,cart,2023-01-27,2023-02-01,3d,3,-0.0440129449838188,-0.011473962930273696,0.03253898205354511,73.9304812834223
2023-02-02,ACB,cart,2023-01-30,2023-02-02,3d,3,-0.015446608462055145,-0.06423841059602642,0.048791802133971274,315.8738842499256
2023-02-03,ACB,cart,2023-01-31,2023-02-03,3d,3,-0.05959397511460385,-0.04314329738058553,0.016450677734018315,27.604598791039503
2023-02-06,ACB,cart,2023-02-01,2023-02-06,3d,3,-0.011509817197020933,-0.06423841059602642,0.052728593399005486,458.11842617842046
2023-02-07,ACB,cart,2023-02-02,2023-02-07,3d,3,-0.016371077762619368,0.004264392324093702,0.02063547008671307,126.04832977967237
