horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
5d,bear,cart,0.50-0.55,0,,,
5d,bear,cart,0.55-0.60,0,,,
5d,bear,cart,0.60-0.65,0,,,
5d,bear,cart,0.65+,20,1.0,0.8,-0.19999999999999996
5d,bear,cart,lt_0.50,24,0.0,0.625,0.625
5d,bear,lightgbm,0.50-0.55,0,,,
5d,bear,lightgbm,0.55-0.60,2,0.5829542403382012,1.0,0.4170457596617988
5d,bear,lightgbm,0.60-0.65,0,,,
5d,bear,lightgbm,0.65+,4,0.7812926433839873,1.0,0.2187073566160127
5d,bear,lightgbm,lt_0.50,38,0.13054758279991402,0.6578947368421053,0.5273471540421912
5d,bear,xgboost,0.50-0.55,3,0.51642906665802,1.0,0.48357093334198
5d,bear,xgboost,0.55-0.60,0,,,
5d,bear,xgboost,0.60-0.65,0,,,
5d,bear,xgboost,0.65+,4,0.6795966476202011,1.0,0.3204033523797989
5d,bear,xgboost,lt_0.50,37,0.1700332230208693,0.6486486486486487,0.47861542562777937
5d,sideway,cart,0.50-0.55,0,,,
5d,sideway,cart,0.55-0.60,0,,,
5d,sideway,cart,0.60-0.65,0,,,
5d,sideway,cart,0.65+,47,1.0,0.2553191489361702,-0.7446808510638299
5d,sideway,cart,lt_0.50,85,0.0,0.2235294117647059,0.2235294117647059
5d,sideway,lightgbm,0.50-0.55,6,0.5180316909803316,0.3333333333333333,-0.18469835764699832
5d,sideway,lightgbm,0.55-0.60,2,0.5866584050688549,0.5,-0.08665840506885492
5d,sideway,lightgbm,0.60-0.65,2,0.640316026837826,0.5,-0.14031602683782596
5d,sideway,lightgbm,0.65+,33,0.8149283551690047,0.2727272727272727,-0.542201082441732
5d,sideway,lightgbm,lt_0.50,89,0.12168554232168399,0.20224719101123595,0.08056164868955196
5d,sideway,xgboost,0.50-0.55,3,0.5264811714490255,0.6666666666666666,0.14018549521764112
5d,sideway,xgboost,0.55-0.60,7,0.584553233214787,0.2857142857142857,-0.29883894750050133
5d,sideway,xgboost,0.60-0.65,12,0.619125043352445,0.08333333333333333,-0.5357917100191116
5d,sideway,xgboost,0.65+,16,0.7474044002592564,0.1875,-0.5599044002592564
5d,sideway,xgboost,lt_0.50,94,0.20367323410043375,0.24468085106382978,0.041007616963396026
