model_name,ranking_method,score_column,top_k,ranking_group_mode,return_threshold,probability_threshold,groups_covered,observations,coverage_ratio,average_actual_return,median_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_base_rate
cart,combined_rank_based,rank_based_joint_score,1,date,,,36,36,1.0,-0.001682167605483297,4.9981720151581754e-17,0.2777777777777778,0.2777777777777778,0.24390243902439024,0.9756097560975611
cart,combined_rank_based,rank_based_joint_score,3,date,,,36,108,1.0,-0.0035367411789148364,-0.00229128206910605,0.25,0.25,0.6585365853658537,0.8780487804878049
cart,combined_rank_based,rank_based_joint_score,5,date,,,36,144,0.8,-0.0032754724087272445,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
cart,combined_weighted_linear,combined_score,1,date,,,36,36,1.0,-0.003335620773035955,-0.00260760858811045,0.2222222222222222,0.2222222222222222,0.1951219512195122,0.7804878048780488
cart,combined_weighted_linear,combined_score,3,date,,,36,108,1.0,-0.0035552220915857757,-0.00229128206910605,0.25,0.25,0.6585365853658537,0.8780487804878049
cart,combined_weighted_linear,combined_score,5,date,,,36,144,0.8,-0.0032754724087272445,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.5,30,30,1.0,-0.00230335081725245,4.9981720151581754e-17,0.23333333333333334,0.23333333333333334,0.7,0.9333333333333333
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.55,30,30,1.0,-0.00230335081725245,4.9981720151581754e-17,0.23333333333333334,0.23333333333333334,0.7,0.9333333333333333
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.6,30,30,1.0,-0.00230335081725245,4.9981720151581754e-17,0.23333333333333334,0.23333333333333334,0.7,0.9333333333333333
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.65,30,30,1.0,-0.00230335081725245,4.9981720151581754e-17,0.23333333333333334,0.23333333333333334,0.7,0.9333333333333333
cart,combined_weighted_linear_gated,combined_score,1,date,0.005,0.5,27,27,1.0,-0.001731526005196937,0.0018630647414998,0.25925925925925924,0.25925925925925924,0.7777777777777778,1.037037037037037
cart,combined_weighted_linear_gated,combined_score,1,date,0.005,0.55,27,27,1.0,-0.001731526005196937,0.0018630647414998,0.25925925925925924,0.25925925925925924,0.7777777777777778,1.037037037037037
cart,combined_weighted_linear_gated,combined_score,1,date,0.005,0.6,27,27,1.0,-0.001731526005196937,0.0018630647414998,0.25925925925925924,0.25925925925925924,0.7777777777777778,1.037037037037037
cart,combined_weighted_linear_gated,combined_score,1,date,0.005,0.65,27,27,1.0,-0.001731526005196937,0.0018630647414998,0.25925925925925924,0.25925925925925924,0.7777777777777778,1.037037037037037
cart,combined_weighted_linear_gated,combined_score,1,date,0.01,0.5,26,26,1.0,-0.0011481092303730729,0.00309499390921145,0.2692307692307692,0.2692307692307692,0.7777777777777778,1.017094017094017
cart,combined_weighted_linear_gated,combined_score,1,date,0.01,0.55,26,26,1.0,-0.0011481092303730729,0.00309499390921145,0.2692307692307692,0.2692307692307692,0.7777777777777778,1.017094017094017
cart,combined_weighted_linear_gated,combined_score,1,date,0.01,0.6,26,26,1.0,-0.0011481092303730729,0.00309499390921145,0.2692307692307692,0.2692307692307692,0.7777777777777778,1.017094017094017
cart,combined_weighted_linear_gated,combined_score,1,date,0.01,0.65,26,26,1.0,-0.0011481092303730729,0.00309499390921145,0.2692307692307692,0.2692307692307692,0.7777777777777778,1.017094017094017
cart,combined_weighted_linear_gated,combined_score,1,date,0.02,0.5,24,24,1.0,0.00023263498803459577,0.00309499390921145,0.2916666666666667,0.2916666666666667,0.875,1.0572916666666667
cart,combined_weighted_linear_gated,combined_score,1,date,0.02,0.55,24,24,1.0,0.00023263498803459577,0.00309499390921145,0.2916666666666667,0.2916666666666667,0.875,1.0572916666666667
cart,combined_weighted_linear_gated,combined_score,1,date,0.02,0.6,24,24,1.0,0.00023263498803459577,0.00309499390921145,0.2916666666666667,0.2916666666666667,0.875,1.0572916666666667
cart,combined_weighted_linear_gated,combined_score,1,date,0.02,0.65,24,24,1.0,0.00023263498803459577,0.00309499390921145,0.2916666666666667,0.2916666666666667,0.875,1.0572916666666667
cart,combined_weighted_linear_gated,combined_score,3,date,0.0,0.5,30,40,0.4444444444444444,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.0,0.55,30,40,0.4444444444444444,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.0,0.6,30,40,0.4444444444444444,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.0,0.65,30,40,0.4444444444444444,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.005,0.5,27,36,0.4444444444444444,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.005,0.55,27,36,0.4444444444444444,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.005,0.6,27,36,0.4444444444444444,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.005,0.65,27,36,0.4444444444444444,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.01,0.5,26,34,0.4358974358974359,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.01,0.55,26,34,0.4358974358974359,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.01,0.6,26,34,0.4358974358974359,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.01,0.65,26,34,0.4358974358974359,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.02,0.5,24,29,0.4027777777777778,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.02,0.55,24,29,0.4027777777777778,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.02,0.6,24,29,0.4027777777777778,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,3,date,0.02,0.65,24,29,0.4027777777777778,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.0,0.5,30,40,0.26666666666666666,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.0,0.55,30,40,0.26666666666666666,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.0,0.6,30,40,0.26666666666666666,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.0,0.65,30,40,0.26666666666666666,-0.00349002354476939,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.005,0.5,27,36,0.26666666666666666,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.005,0.55,27,36,0.26666666666666666,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.005,0.6,27,36,0.26666666666666666,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.005,0.65,27,36,0.26666666666666666,-0.003954378929614064,-0.00260760858811045,0.25,0.25,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.01,0.5,26,34,0.26153846153846155,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.01,0.55,26,34,0.26153846153846155,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.01,0.6,26,34,0.26153846153846155,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.01,0.65,26,34,0.26153846153846155,-0.0035029394091021532,4.9981720151581754e-17,0.2647058823529412,0.2647058823529412,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.02,0.5,24,29,0.24166666666666667,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.02,0.55,24,29,0.24166666666666667,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.02,0.6,24,29,0.24166666666666667,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,5,date,0.02,0.65,24,29,0.24166666666666667,-0.00020811696311524774,0.0018630647414998,0.27586206896551724,0.27586206896551724,1.0,1.0
cart,predicted_profit_probability,predicted_profit_probability,1,date,,,36,36,1.0,-0.004506097909197188,-0.00391252847926325,0.16666666666666666,0.16666666666666666,0.14634146341463414,0.5853658536585366
cart,predicted_profit_probability,predicted_profit_probability,3,date,,,36,108,1.0,-0.003170139804700639,-0.0018868075660983,0.26851851851851855,0.26851851851851855,0.7073170731707317,0.9430894308943091
cart,predicted_profit_probability,predicted_profit_probability,5,date,,,36,144,0.8,-0.0032754724087272445,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
cart,predicted_return,predicted_return,1,date,,,36,36,1.0,0.0028890833312726866,0.00409769751525075,0.3888888888888889,0.3888888888888889,0.34146341463414637,1.3658536585365855
cart,predicted_return,predicted_return,3,date,,,36,108,1.0,-0.0027437484345028897,-0.00179873533166935,0.3148148148148148,0.3148148148148148,0.8292682926829268,1.1056910569105691
cart,predicted_return,predicted_return,5,date,,,36,144,0.8,-0.003275472408727244,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
lightgbm,combined_rank_based,rank_based_joint_score,1,date,,,36,36,1.0,-0.008471964366794432,-0.006260409189662501,0.2777777777777778,0.2777777777777778,0.24390243902439024,0.9756097560975611
lightgbm,combined_rank_based,rank_based_joint_score,3,date,,,36,108,1.0,-0.004324565413876599,-0.00229128206910605,0.28703703703703703,0.28703703703703703,0.7560975609756098,1.008130081300813
lightgbm,combined_rank_based,rank_based_joint_score,5,date,,,36,144,0.8,-0.003275472408727245,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
lightgbm,combined_weighted_linear,combined_score,1,date,,,36,36,1.0,-0.007458106613367831,-0.00532132184204325,0.3055555555555556,0.3055555555555556,0.2682926829268293,1.0731707317073171
lightgbm,combined_weighted_linear,combined_score,3,date,,,36,108,1.0,-0.005368301340225924,-0.0041705318491032,0.25,0.25,0.6585365853658537,0.8780487804878049
lightgbm,combined_weighted_linear,combined_score,5,date,,,36,144,0.8,-0.0032754724087272445,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.5,23,23,1.0,-0.012027471080778897,-0.0128888888888888,0.2608695652173913,0.2608695652173913,0.5454545454545454,0.8774703557312252
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.55,20,20,1.0,-0.012983249764395147,-0.017137200531991352,0.25,0.25,0.5,0.8
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.6,19,19,1.0,-0.015177911671009833,-0.0212230215827338,0.2631578947368421,0.2631578947368421,0.625,0.9210526315789473
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.65,17,17,1.0,-0.018041603180650248,-0.0259740259740258,0.23529411764705882,0.23529411764705882,0.5714285714285714,0.8403361344537814
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.5,22,22,1.0,-0.012195064060272714,-0.01297013418506885,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.8429752066115701
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.55,20,20,1.0,-0.012983249764395147,-0.017137200531991352,0.25,0.25,0.5,0.775
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.6,19,19,1.0,-0.015177911671009833,-0.0212230215827338,0.2631578947368421,0.2631578947368421,0.625,0.8881578947368421
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.65,17,17,1.0,-0.018041603180650248,-0.0259740259740258,0.23529411764705882,0.23529411764705882,0.5714285714285714,0.8067226890756302
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.01,0.5,20,20,1.0,-0.013204600219408303,-0.017137200531991352,0.3,0.3,0.6666666666666666,0.9333333333333332
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.01,0.55,18,18,1.0,-0.014192532797226067,-0.0235985237783798,0.2777777777777778,0.2777777777777778,0.625,0.8680555555555556
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.01,0.6,16,16,1.0,-0.01836364782388534,-0.027684687405617497,0.25,0.25,0.6666666666666666,0.875
