horizon,regime,model_name,signal_bucket,observations,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
20d,bull,cart,moderate_positive,0,,,,,,,
20d,bull,cart,reject,8,-0.033408445138194826,-0.02892339524552385,0.0,0.0,0.0,,
20d,bull,cart,strong_or_moderate_positive,8,-0.046374600652161535,-0.04537391560064705,0.0,0.0,0.0,,
20d,bull,cart,strong_positive,8,-0.046374600652161535,-0.04537391560064705,0.0,0.0,0.0,,
20d,bull,cart,weak_or_uncertain,0,,,,,,,
20d,bull,lightgbm,moderate_positive,3,-0.014430032375338367,-0.0118990956687291,0.0,0.0,0.0,,
20d,bull,lightgbm,reject,4,-0.05206766442420525,-0.0560867014987883,0.0,0.0,0.0,,
20d,bull,lightgbm,strong_or_moderate_positive,11,-0.03561991551153706,-0.039932603201348,0.0,0.0,0.0,,
20d,bull,lightgbm,strong_positive,8,-0.043566121687611564,-0.04537391560064705,0.0,0.0,0.0,,
20d,bull,lightgbm,weak_or_uncertain,1,-0.0381746379991223,-0.0381746379991223,0.0,0.0,0.0,,
20d,bull,xgboost,moderate_positive,2,-0.011887790114649601,-0.011887790114649601,0.0,0.0,0.0,,
20d,bull,xgboost,reject,1,-0.0383322735943318,-0.0383322735943318,0.0,0.0,0.0,,
20d,bull,xgboost,strong_or_moderate_positive,12,-0.03879506004313341,-0.041299634934007345,0.0,0.0,0.0,,
20d,bull,xgboost,strong_positive,10,-0.04417651402883018,-0.04537391560064705,0.0,0.0,0.0,,
20d,bull,xgboost,weak_or_uncertain,3,-0.04479712407030603,-0.0571118742092896,0.0,0.0,0.0,,
20d,sideway,cart,moderate_positive,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20d,sideway,cart,reject,44,-0.006234854552119367,-0.01152584625565805,0.38636363636363635,0.3181818181818182,0.3181818181818182,0.35,1.018181818181818
20d,sideway,cart,strong_or_moderate_positive,30,-0.02767943611745239,-0.03412281420424385,0.2,0.16666666666666666,0.16666666666666666,0.125,0.5333333333333333
20d,sideway,cart,strong_positive,28,-0.02965653869727042,-0.036745755712285305,0.21428571428571427,0.17857142857142858,0.17857142857142858,0.125,0.5714285714285714
20d,sideway,cart,weak_or_uncertain,54,0.00010692247690255567,-0.00601073376579835,0.48148148148148145,0.3888888888888889,0.3888888888888889,0.525,1.2444444444444445
20d,sideway,lightgbm,moderate_positive,9,-0.00917327093462812,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.05,0.711111111111111
20d,sideway,lightgbm,reject,49,-0.0007417709023480813,-0.0128426298639064,0.46938775510204084,0.40816326530612246,0.40816326530612246,0.5,1.306122448979592
20d,sideway,lightgbm,strong_or_moderate_positive,52,-0.021576904112399584,-0.0228556419033707,0.21153846153846154,0.17307692307692307,0.17307692307692307,0.225,0.5538461538461539
20d,sideway,lightgbm,strong_positive,43,-0.024173013382165705,-0.0236518448438978,0.18604651162790697,0.16279069767441862,0.16279069767441862,0.175,0.5209302325581395
20d,sideway,lightgbm,weak_or_uncertain,27,0.0022001080739166077,0.0024038461538462,0.5555555555555556,0.4074074074074074,0.4074074074074074,0.275,1.3037037037037036
20d,sideway,xgboost,moderate_positive,23,-0.020322073877118256,-0.0233759173688502,0.34782608695652173,0.21739130434782608,0.21739130434782608,0.125,0.6956521739130435
20d,sideway,xgboost,reject,15,0.017707217377481443,0.0216398985629755,0.8,0.7333333333333333,0.7333333333333333,0.275,2.3466666666666667
20d,sideway,xgboost,strong_or_moderate_positive,66,-0.024297358710426264,-0.0276351067652122,0.21212121212121213,0.15151515151515152,0.15151515151515152,0.25,0.48484848484848486
20d,sideway,xgboost,strong_positive,43,-0.026423673853823576,-0.0294069056666116,0.13953488372093023,0.11627906976744186,0.11627906976744186,0.125,0.37209302325581395
20d,sideway,xgboost,weak_or_uncertain,47,0.005086692428975017,0.0,0.48936170212765956,0.40425531914893614,0.40425531914893614,0.475,1.2936170212765956
