horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
5d,bull,cart,combined_rank_based,rank_based_joint_score,1,,,3,3,0.004320488637384367,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666
5d,bull,cart,combined_rank_based,rank_based_joint_score,3,,,3,9,0.009503339816987401,0.5555555555555556,0.5555555555555556,0.8333333333333334,1.1111111111111112
5d,bull,cart,combined_rank_based,rank_based_joint_score,5,,,3,12,0.006652746961759884,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear,combined_score,1,,,3,3,0.004320488637384367,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666
5d,bull,cart,combined_weighted_linear,combined_score,3,,,3,9,0.009503339816987401,0.5555555555555556,0.5555555555555556,0.8333333333333334,1.1111111111111112
5d,bull,cart,combined_weighted_linear,combined_score,5,,,3,12,0.006652746961759884,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.55,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.6,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.65,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.5,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.55,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.6,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.65,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.6,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.65,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.5,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.55,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.6,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.65,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.5,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.55,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.6,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.65,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.5,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.55,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.6,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.65,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,cart,predicted_profit_probability,predicted_profit_probability,1,,,3,3,0.0083822827677929,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333
5d,bull,cart,predicted_profit_probability,predicted_profit_probability,3,,,3,9,0.0033316210366828333,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888
5d,bull,cart,predicted_profit_probability,predicted_profit_probability,5,,,3,12,0.006652746961759884,0.5,0.5,1.0,1.0
5d,bull,cart,predicted_return,predicted_return,1,,,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666
5d,bull,cart,predicted_return,predicted_return,3,,,3,9,0.009503339816987401,0.5555555555555556,0.5555555555555556,0.8333333333333334,1.1111111111111112
5d,bull,cart,predicted_return,predicted_return,5,,,3,12,0.006652746961759884,0.5,0.5,1.0,1.0
5d,bull,lightgbm,combined_rank_based,rank_based_joint_score,1,,,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666
5d,bull,lightgbm,combined_rank_based,rank_based_joint_score,3,,,3,9,0.0074288440658083115,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888
5d,bull,lightgbm,combined_rank_based,rank_based_joint_score,5,,,3,12,0.006652746961759884,0.5,0.5,1.0,1.0
5d,bull,lightgbm,combined_weighted_linear,combined_score,1,,,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666
5d,bull,lightgbm,combined_weighted_linear,combined_score,3,,,3,9,0.0074288440658083115,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888
5d,bull,lightgbm,combined_weighted_linear,combined_score,5,,,3,12,0.006652746961759884,0.5,0.5,1.0,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.5,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.55,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.6,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.65,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.5,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.55,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.6,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.65,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.5,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.55,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.6,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.65,3,3,0.007360604075010132,0.3333333333333333,0.3333333333333333,0.5,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.5,2,2,0.01203628851163205,0.5,0.5,1.0,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.55,1,1,0.0,0.0,0.0,,
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.6,1,1,0.0,0.0,0.0,,
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.65,1,1,0.0,0.0,0.0,,
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.5,3,7,0.0079072040143299,0.42857142857142855,0.42857142857142855,1.0,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.55,3,6,0.005212975179507533,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.6,3,6,0.005212975179507533,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,3,6,0.005212975179507533,0.3333333333333333,0.3333333333333333,1.0,1.0
