time,open,high,low,close,volume,ticker
2020-12-28,8.65,8.93,7.42,7.48,3124600,ABB
2020-12-29,7.7,7.87,7.53,7.53,1886191,ABB
2020-12-30,7.76,7.81,7.53,7.59,1396514,ABB
2020-12-31,7.59,7.59,7.42,7.53,1188032,ABB
2021-01-04,7.53,7.59,7.31,7.31,1668474,ABB
2021-01-05,7.42,7.42,6.97,7.36,2694485,ABB
2021-01-06,7.25,7.76,7.25,7.59,1600793,ABB
2021-01-07,7.59,7.7,6.47,7.53,1282512,ABB
2021-01-08,7.59,7.7,7.53,7.64,1895056,ABB
2021-01-11,7.64,7.7,7.59,7.64,1430979,ABB
2021-01-12,7.64,7.7,7.48,7.59,1199367,ABB
2021-01-13,7.59,7.7,7.48,7.53,1344451,ABB
2021-01-14,7.53,7.59,7.48,7.59,1011050,ABB
2021-01-15,7.53,7.92,7.53,7.87,3513332,ABB
2021-01-18,7.87,8.2,7.87,7.98,1699857,ABB
2021-01-19,8.03,8.09,7.25,7.53,1669363,ABB
2021-01-20,7.53,7.64,6.97,7.48,1809537,ABB
2021-01-21,7.53,7.64,7.42,7.64,968994,ABB
2021-01-22,7.64,7.76,7.48,7.53,768123,ABB
2021-01-25,7.53,7.53,7.31,7.42,634245,ABB
2021-01-26,7.42,7.42,6.97,7.03,1887092,ABB
2021-01-27,7.09,7.25,6.86,6.92,795936,ABB
2021-01-28,6.86,6.92,5.97,6.03,3779320,ABB
2021-01-29,5.97,6.75,5.86,6.7,864558,ABB
2021-02-01,6.7,6.86,6.42,6.47,427872,ABB
2021-02-02,6.58,6.7,6.25,6.64,1788081,ABB
2021-02-03,6.58,6.92,6.53,6.86,957886,ABB
2021-02-04,6.86,7.03,6.7,6.97,1986722,ABB
2021-02-05,6.92,7.14,6.86,7.14,1295769,ABB
2021-02-08,7.09,7.2,6.81,7.09,1463214,ABB
2021-02-09,6.97,7.09,6.92,7.09,628355,ABB
2021-02-17,7.09,7.14,6.97,7.14,2926458,ABB
2021-02-18,7.14,7.36,7.09,7.25,852997,ABB
2021-02-19,7.31,7.36,7.2,7.25,541969,ABB
2021-02-22,7.25,7.31,7.2,7.2,729909,ABB
2021-02-23,7.2,7.2,7.09,7.2,605861,ABB
2021-02-24,7.2,7.25,7.09,7.14,655957,ABB
2021-02-25,7.2,7.2,7.09,7.09,372620,ABB
2021-02-26,7.09,7.14,7.03,7.09,679000,ABB
2021-03-01,7.09,7.2,7.09,7.14,1004444,ABB
2021-03-02,7.25,7.25,7.14,7.14,1097250,ABB
2021-03-03,7.2,7.2,7.09,7.14,1338919,ABB
2021-03-04,7.14,7.36,7.14,7.25,2346474,ABB
2021-03-05,7.25,7.31,7.14,7.2,1283697,ABB
2021-03-08,7.25,7.36,7.2,7.31,2594485,ABB
2021-03-09,7.31,7.92,7.31,7.81,6415601,ABB
2021-03-10,7.87,8.09,7.7,7.87,2289910,ABB
2021-03-11,7.92,7.98,7.7,7.76,2180547,ABB
2021-03-12,7.7,7.87,7.7,7.81,2372801,ABB
2021-03-15,7.81,7.87,7.76,7.87,2448443,ABB
2021-03-16,7.87,8.15,7.81,8.15,6346277,ABB
2021-03-17,8.09,8.54,8.09,8.37,4548460,ABB
2021-03-18,8.37,8.54,8.26,8.37,3639299,ABB
2021-03-19,8.37,8.37,8.15,8.26,3632585,ABB
2021-03-22,8.2,8.26,8.09,8.15,2044043,ABB
2021-03-23,8.15,8.2,7.92,8.09,2299036,ABB
2021-03-24,7.98,7.98,7.59,7.81,2921161,ABB
2021-03-25,7.81,7.92,7.7,7.81,1734031,ABB
2021-03-26,7.81,7.81,7.48,7.81,1565814,ABB
2021-03-29,7.81,8.03,7.76,7.98,1616109,ABB
2021-03-30,8.09,8.2,7.98,8.09,3520350,ABB
2021-03-31,8.26,8.31,8.15,8.15,3160686,ABB
2021-04-01,8.26,8.37,7.98,8.31,6379211,ABB
2021-04-02,8.31,9.21,8.31,8.98,8148379,ABB
2021-04-05,9.04,9.76,8.93,9.6,6477154,ABB
2021-04-06,9.71,9.76,9.21,9.43,4994357,ABB
2021-04-07,9.54,10.04,9.32,9.82,6305788,ABB
2021-04-08,11.27,11.27,9.82,9.99,7216754,ABB
2021-04-09,10.04,11.16,9.76,9.93,3097478,ABB
2021-04-12,9.93,10.32,9.93,10.27,6079610,ABB
2021-04-13,10.32,10.38,9.71,9.88,5918919,ABB
2021-04-14,9.99,9.99,9.65,9.99,3147210,ABB
2021-04-15,9.93,10.04,9.76,9.82,2956922,ABB
2021-04-16,9.88,9.88,9.15,9.48,6027301,ABB
2021-04-19,9.54,9.65,9.21,9.6,1752980,ABB
2021-04-20,9.76,9.82,9.43,9.54,2242837,ABB
2021-04-22,9.54,9.6,9.09,9.15,2855735,ABB
2021-04-23,9.15,9.43,8.93,9.32,3079570,ABB
2021-04-26,9.21,9.48,8.93,9.04,2083817,ABB
2021-04-27,9.09,9.15,8.93,9.09,1122140,ABB
2021-04-28,9.09,9.37,9.04,9.32,1867030,ABB
2021-04-29,9.32,9.6,9.32,9.54,3091510,ABB
2021-05-04,9.21,9.6,9.09,9.48,2519480,ABB
2021-05-05,9.43,9.76,9.43,9.65,3356560,ABB
2021-05-06,9.6,10.15,9.48,10.04,9123091,ABB
2021-05-07,9.99,10.15,9.76,9.93,5115141,ABB
2021-05-10,9.93,10.27,9.76,10.1,5881726,ABB
2021-05-11,10.1,10.21,9.93,9.93,3986339,ABB
2021-05-12,9.99,10.04,9.82,9.99,3235146,ABB
2021-05-13,9.99,10.21,9.88,10.04,4826484,ABB
2021-05-14,10.04,10.66,10.04,10.49,6584869,ABB
2021-05-17,10.43,10.6,10.21,10.32,3731120,ABB
2021-05-18,10.32,10.38,10.04,10.21,3279691,ABB
2021-05-19,10.21,10.32,10.1,10.32,3022172,ABB
2021-05-20,10.27,10.82,10.21,10.66,6307742,ABB
2021-05-21,10.66,11.1,10.6,10.88,5010102,ABB
2021-05-24,10.99,10.99,10.71,10.82,3551158,ABB
2021-05-25,10.82,11.05,10.71,10.94,4302393,ABB
2021-05-26,10.88,11.38,10.88,11.16,5979051,ABB
2021-05-27,11.27,12.55,11.16,12.0,10970976,ABB
2021-05-28,12.0,12.78,11.83,12.66,8030163,ABB
2021-05-31,12.66,14.23,12.39,13.95,12708209,ABB
2021-06-01,14.23,14.39,13.11,13.61,11380879,ABB
2021-06-02,13.61,13.61,12.83,13.17,8133179,ABB
2021-06-03,13.17,14.34,13.0,13.95,8006045,ABB
2021-06-04,13.84,14.45,13.56,13.78,5990691,ABB
2021-06-07,13.84,13.89,12.66,12.83,6443115,ABB
2021-06-08,12.78,13.11,11.66,11.83,6273536,ABB
2021-06-09,11.72,12.66,11.33,12.27,5587021,ABB
2021-06-10,12.27,12.44,11.77,11.88,3337254,ABB
2021-06-11,11.88,12.89,11.88,12.55,3141491,ABB
2021-06-14,12.61,12.78,12.27,12.44,3419709,ABB
2021-06-15,12.55,12.55,12.0,12.27,2407856,ABB
2021-06-16,12.27,12.27,11.94,12.11,2240017,ABB
2021-06-17,12.11,12.11,11.72,12.05,2385688,ABB
2021-06-18,12.05,12.27,12.0,12.22,2043605,ABB
2021-06-21,12.22,12.5,11.94,12.05,1566222,ABB
2021-06-22,12.05,12.5,11.94,12.39,4251778,ABB
2021-06-23,12.39,13.0,12.39,12.66,4238488,ABB
2021-06-24,12.66,13.0,12.5,12.55,1624247,ABB
2021-06-25,12.55,12.61,12.27,12.55,1733334,ABB
2021-06-28,12.61,12.89,12.55,12.89,4464844,ABB
2021-06-29,12.89,13.33,12.89,13.0,4105325,ABB
2021-06-30,13.06,13.17,12.83,12.94,2413082,ABB
2021-07-01,12.83,13.11,12.66,13.06,3566154,ABB
2021-07-02,13.06,13.28,13.06,13.17,3225907,ABB
2021-07-05,13.22,13.5,13.0,13.39,5270616,ABB
2021-07-06,13.39,13.84,12.27,12.78,5271799,ABB
2021-07-07,12.78,13.0,12.39,13.0,3432010,ABB
2021-07-08,13.0,13.0,12.5,12.55,2408492,ABB
2021-07-09,12.55,13.56,12.33,13.11,7478023,ABB
2021-07-12,13.11,13.17,11.16,12.05,4378431,ABB
2021-07-13,12.22,12.5,11.77,12.16,2448132,ABB
2021-07-14,12.16,12.22,11.27,11.55,3117444,ABB
2021-07-15,11.44,12.0,11.38,11.88,1554309,ABB
2021-07-16,11.88,12.0,11.66,11.72,1384386,ABB
2021-07-19,11.6,11.66,10.15,10.32,4841235,ABB
2021-07-20,10.04,10.88,9.99,10.77,2781242,ABB
2021-07-21,10.04,10.99,10.04,10.71,1264744,ABB
2021-07-22,10.77,10.99,10.49,10.99,1509569,ABB
2021-07-23,10.99,11.05,10.6,10.71,1554394,ABB
2021-07-26,10.6,10.66,10.32,10.54,1263142,ABB
2021-07-27,10.54,10.82,10.54,10.77,1118235,ABB
2021-07-28,10.77,10.77,10.54,10.6,832637,ABB
2021-07-29,10.6,11.27,10.6,11.27,2329717,ABB
2021-07-30,11.21,11.55,11.21,11.55,2167381,ABB
2021-08-02,11.55,11.72,11.27,11.6,2258126,ABB
2021-08-03,11.6,11.94,11.44,11.88,3199606,ABB
2021-08-04,11.77,11.88,11.66,11.77,1607435,ABB
2021-08-05,11.66,11.88,11.6,11.83,1216091,ABB
2021-08-06,11.83,11.88,11.72,11.77,2064740,ABB
2021-08-09,11.72,11.88,11.55,11.77,1790083,ABB
2021-08-10,11.83,12.27,11.77,12.27,3098059,ABB
2021-08-11,12.27,12.44,12.11,12.22,2454317,ABB
2021-08-12,12.22,12.33,12.11,12.22,1754540,ABB
2021-08-13,12.22,12.22,11.72,12.11,2317528,ABB
2021-08-16,11.94,12.39,11.88,12.33,2438889,ABB
2021-08-17,12.33,12.66,12.27,12.5,2728245,ABB
2021-08-18,12.5,12.5,12.27,12.44,1163721,ABB
2021-08-19,12.39,12.39,12.11,12.27,2105819,ABB
2021-08-20,12.27,12.27,11.33,11.55,3606154,ABB
2021-08-23,11.55,11.55,11.21,11.27,2733229,ABB
2021-08-24,11.27,11.44,11.16,11.33,1672258,ABB
2021-08-25,11.33,11.44,11.16,11.44,878912,ABB
2021-08-26,11.44,11.66,11.21,11.38,981496,ABB
2021-08-27,11.16,11.38,11.05,11.33,1801449,ABB
2021-08-30,11.33,11.44,11.16,11.44,1454097,ABB
2021-08-31,11.44,11.6,11.27,11.33,1389468,ABB
2021-09-01,11.33,11.38,11.16,11.27,1651735,ABB
2021-09-06,11.27,11.38,11.21,11.33,2021081,ABB
2021-09-07,11.38,11.94,11.38,11.72,3923538,ABB
2021-09-08,11.94,12.55,11.6,11.66,1270371,ABB
2021-09-09,11.66,11.66,11.49,11.6,1401505,ABB
2021-09-10,11.83,12.0,11.49,11.55,1618521,ABB
2021-09-13,11.55,11.55,11.27,11.38,1300468,ABB
2021-09-14,11.33,11.38,11.21,11.27,959367,ABB
2021-09-15,11.21,11.49,11.16,11.38,1178072,ABB
2021-09-16,11.44,11.55,11.33,11.55,992052,ABB
2021-09-17,11.44,11.77,11.44,11.66,2199215,ABB
2021-09-20,11.72,12.22,11.66,11.94,3371542,ABB
