time,open,high,low,close,volume,ticker
2020-12-21,9.61,9.67,9.32,9.67,4564880,ASM
2020-12-22,10.01,10.32,9.95,10.32,3542450,ASM
2020-12-23,10.97,11.03,9.61,9.67,8959400,ASM
2020-12-24,9.95,9.95,9.01,9.1,9808250,ASM
2020-12-25,9.15,9.72,9.04,9.72,6835310,ASM
2020-12-28,10.21,10.23,9.67,9.95,5324200,ASM
2020-12-29,9.78,10.06,9.72,9.78,3479320,ASM
2020-12-30,9.72,9.78,9.18,9.24,6034510,ASM
2020-12-31,9.38,9.72,8.9,9.61,4226920,ASM
2021-01-04,9.78,9.89,9.55,9.72,3937300,ASM
2021-01-05,9.67,9.78,9.5,9.58,3886600,ASM
2021-01-06,9.67,9.67,9.38,9.5,4463400,ASM
2021-01-07,9.67,10.15,9.67,10.15,6881700,ASM
2021-01-08,10.77,10.77,10.12,10.32,3789000,ASM
2021-01-11,10.46,10.46,10.06,10.12,3551000,ASM
2021-01-12,9.98,10.06,9.81,10.06,4470000,ASM
2021-01-13,10.18,10.32,9.89,9.95,3322600,ASM
2021-01-14,10.04,10.46,9.84,10.32,4252900,ASM
2021-01-15,10.55,10.6,10.18,10.29,3759000,ASM
2021-01-18,10.26,10.77,10.12,10.63,5418100,ASM
2021-01-19,10.69,11.09,9.89,10.18,6294500,ASM
2021-01-20,10.29,10.35,9.47,10.15,5116200,ASM
2021-01-21,10.29,10.52,10.15,10.23,3275900,ASM
2021-01-22,10.35,10.95,10.23,10.92,10135900,ASM
2021-01-25,10.8,11.66,10.69,11.66,5527500,ASM
2021-01-26,11.88,12.42,11.14,12.0,6811700,ASM
2021-01-27,11.54,12.05,11.17,11.17,7462500,ASM
2021-01-28,10.41,10.41,10.41,10.41,488700,ASM
2021-01-29,9.69,10.26,9.69,9.69,8628600,ASM
2021-02-01,9.18,9.67,9.04,9.04,5416700,ASM
2021-02-02,8.42,9.04,8.42,8.42,6990300,ASM
2021-02-03,8.76,8.98,8.36,8.98,3673300,ASM
2021-02-04,9.27,9.58,9.1,9.18,2961400,ASM
2021-02-05,9.18,9.38,8.98,9.1,2950100,ASM
2021-02-08,9.1,9.1,8.47,8.47,5854600,ASM
2021-02-09,8.47,8.64,7.9,8.1,8281700,ASM
2021-02-17,8.24,8.64,7.96,8.64,2752200,ASM
2021-02-18,8.76,9.1,8.7,8.87,3587900,ASM
2021-02-19,8.64,8.87,8.53,8.67,3391500,ASM
2021-02-22,8.76,8.93,8.61,8.7,3444200,ASM
2021-02-23,8.81,9.15,8.64,9.07,4153100,ASM
2021-02-24,9.21,9.3,8.76,8.93,4136600,ASM
2021-02-25,8.98,9.04,8.76,8.81,2778800,ASM
2021-02-26,8.59,8.84,8.53,8.78,3927600,ASM
2021-03-01,8.87,9.04,8.76,9.04,3137100,ASM
2021-03-02,9.1,9.1,8.84,8.9,2596200,ASM
2021-03-03,8.9,9.5,8.81,9.5,7328600,ASM
2021-03-04,9.67,9.89,9.15,9.55,4285600,ASM
2021-03-05,9.44,9.55,9.04,9.5,2295400,ASM
2021-03-08,9.72,9.72,9.41,9.44,3721500,ASM
2021-03-09,9.35,9.86,9.15,9.55,4269500,ASM
2021-03-10,9.61,9.67,9.41,9.58,2635900,ASM
2021-03-11,9.58,9.69,9.44,9.5,2967400,ASM
2021-03-12,9.52,9.55,9.27,9.32,4020900,ASM
2021-03-15,9.3,9.52,9.24,9.35,3288600,ASM
2021-03-16,9.35,9.44,9.27,9.35,2245700,ASM
2021-03-17,9.35,9.47,9.3,9.35,2319600,ASM
2021-03-18,9.41,9.89,9.35,9.61,5814700,ASM
2021-03-19,9.61,9.61,9.38,9.5,1942100,ASM
