time,open,high,low,close,volume,ticker
2020-12-21,5.48,5.57,5.4,5.57,49260,ASP
2020-12-22,5.57,5.57,5.44,5.56,37870,ASP
2020-12-23,5.56,5.56,5.48,5.49,57170,ASP
2020-12-24,5.39,5.49,5.13,5.31,33680,ASP
2020-12-25,5.31,5.49,5.31,5.48,43090,ASP
2020-12-28,5.48,5.57,5.32,5.39,37600,ASP
2020-12-29,5.38,5.47,5.35,5.43,17570,ASP
2020-12-30,5.48,5.48,5.44,5.44,45610,ASP
2020-12-31,5.53,5.62,5.48,5.62,141150,ASP
2021-01-04,6.01,6.01,5.98,6.0,256900,ASP
2021-01-05,6.0,6.28,6.0,6.1,124200,ASP
2021-01-06,6.19,6.19,6.0,6.06,148300,ASP
2021-01-07,6.02,6.1,5.97,6.04,156300,ASP
2021-01-08,6.06,6.31,6.06,6.19,141500,ASP
2021-01-11,6.37,6.37,6.19,6.24,65800,ASP
2021-01-12,6.24,6.24,6.01,6.03,103700,ASP
2021-01-13,6.03,6.18,6.03,6.15,65900,ASP
2021-01-14,6.15,6.15,6.06,6.14,23500,ASP
2021-01-15,6.28,6.28,6.1,6.18,151300,ASP
2021-01-18,6.18,6.54,6.18,6.46,449900,ASP
2021-01-19,6.63,6.63,6.01,6.19,281800,ASP
2021-01-20,6.19,6.19,6.06,6.19,123200,ASP
2021-01-21,6.19,6.28,6.1,6.27,77500,ASP
2021-01-22,6.28,6.63,6.19,6.63,511300,ASP
2021-01-25,6.63,6.9,6.52,6.81,214300,ASP
2021-01-26,6.81,6.81,6.37,6.53,72000,ASP
2021-01-27,6.53,6.53,6.19,6.36,42800,ASP
2021-01-28,6.1,6.1,5.92,5.92,214800,ASP
2021-01-29,5.92,6.14,5.92,6.14,43200,ASP
2021-02-01,6.19,6.28,5.93,6.18,143000,ASP
2021-02-02,6.18,6.18,5.79,6.01,86900,ASP
2021-02-03,6.01,6.37,6.01,6.28,79900,ASP
2021-02-04,6.28,6.28,6.19,6.28,17400,ASP
2021-02-05,6.19,6.28,6.01,6.19,23900,ASP
2021-02-08,5.97,6.15,5.93,5.97,71500,ASP
2021-02-09,5.93,5.97,5.91,5.97,89700,ASP
2021-02-17,5.97,6.31,5.93,6.31,151600,ASP
2021-02-18,6.31,6.31,6.19,6.3,45100,ASP
2021-02-19,6.19,6.3,6.1,6.24,36800,ASP
2021-02-22,6.24,6.24,6.08,6.15,74700,ASP
2021-02-23,6.15,6.19,6.09,6.19,92000,ASP
2021-02-24,6.19,6.19,5.93,6.09,71500,ASP
2021-02-25,6.09,6.09,5.93,6.01,65100,ASP
2021-02-26,6.01,6.08,5.94,6.01,22300,ASP
2021-03-01,6.19,6.19,5.93,6.16,29700,ASP
2021-03-02,6.17,6.19,6.1,6.16,64400,ASP
2021-03-03,6.17,6.19,6.16,6.19,40400,ASP
2021-03-04,6.19,6.19,6.1,6.1,44900,ASP
2021-03-05,6.1,6.15,6.1,6.14,40000,ASP
2021-03-08,6.19,6.56,6.19,6.56,648300,ASP
2021-03-09,6.99,7.01,6.72,6.98,375900,ASP
2021-03-10,7.12,7.12,6.81,6.99,152900,ASP
2021-03-11,7.03,7.03,6.68,6.77,390700,ASP
2021-03-12,6.68,6.81,6.59,6.77,274600,ASP
2021-03-15,6.77,6.81,6.68,6.78,191400,ASP
2021-03-16,6.68,6.78,6.63,6.74,144300,ASP
2021-03-17,6.72,6.72,6.58,6.58,236700,ASP
2021-03-18,6.58,6.59,6.46,6.47,149500,ASP
2021-03-19,6.46,6.63,6.44,6.5,185800,ASP
2021-03-22,6.68,6.68,6.52,6.55,87500,ASP
2021-03-23,6.5,6.59,6.46,6.59,68400,ASP
2021-03-24,6.62,6.62,6.19,6.46,179300,ASP
2021-03-25,6.32,6.5,6.32,6.5,55800,ASP
2021-03-26,6.46,6.46,6.32,6.37,43200,ASP
2021-03-29,6.46,6.55,6.41,6.54,171700,ASP
2021-03-30,6.54,6.55,6.46,6.54,142200,ASP
2021-03-31,6.54,6.54,6.46,6.46,106600,ASP
2021-04-01,6.46,6.54,6.41,6.54,74300,ASP
2021-04-02,6.63,6.66,6.54,6.63,115600,ASP
2021-04-05,6.63,6.77,6.62,6.71,258400,ASP
2021-04-06,6.72,6.72,6.59,6.71,95800,ASP
2021-04-07,6.71,6.71,6.59,6.69,47800,ASP
2021-04-08,6.63,6.69,6.59,6.63,88500,ASP
2021-04-09,6.61,6.68,6.59,6.61,120100,ASP
2021-04-12,6.61,6.81,6.61,6.81,396100,ASP
2021-04-13,6.9,6.9,6.73,6.74,264800,ASP
2021-04-14,6.74,6.74,6.7,6.73,180100,ASP
2021-04-15,6.77,6.77,6.37,6.62,212500,ASP
2021-04-16,6.62,6.62,6.46,6.46,103800,ASP
2021-04-19,6.46,6.54,6.37,6.5,96500,ASP
2021-04-20,6.54,6.54,6.33,6.46,58600,ASP
2021-04-22,6.46,6.46,6.15,6.15,115900,ASP
2021-04-23,6.1,6.19,6.01,6.19,68500,ASP
2021-04-26,6.19,6.19,5.84,5.84,85100,ASP
2021-04-27,5.84,6.17,5.84,5.93,41500,ASP
2021-04-28,5.93,6.19,5.93,6.01,81500,ASP
2021-04-29,6.1,6.19,5.93,6.14,48500,ASP
2021-05-04,6.06,6.06,5.96,6.05,31500,ASP
2021-05-05,6.01,6.27,5.93,6.16,84600,ASP
2021-05-06,6.16,6.16,6.08,6.09,33000,ASP
2021-05-07,6.01,6.18,5.97,6.01,35800,ASP
2021-05-10,6.01,6.01,5.84,5.84,80900,ASP
2021-05-11,5.93,6.17,5.88,6.06,35100,ASP
2021-05-12,6.06,6.06,5.85,6.06,7800,ASP
2021-05-13,6.03,6.06,5.89,6.01,74100,ASP
2021-05-14,6.01,6.02,5.91,5.95,73700,ASP
2021-05-17,5.95,6.19,5.95,6.16,77700,ASP
2021-05-18,6.16,6.16,5.96,5.96,22000,ASP
2021-05-19,6.1,6.1,5.84,6.01,26700,ASP
2021-05-20,6.01,6.01,5.6,5.84,38300,ASP
2021-05-21,5.62,5.97,5.62,5.97,90400,ASP
2021-05-24,5.97,5.97,5.91,5.97,27800,ASP
2021-05-25,5.97,6.08,5.97,6.02,64800,ASP
2021-05-26,6.02,6.15,6.02,6.07,108300,ASP
2021-05-27,6.07,6.07,6.01,6.01,31700,ASP
2021-05-28,5.89,6.01,5.89,6.01,25400,ASP
2021-05-31,6.01,6.01,5.93,5.97,29500,ASP
