time,open,high,low,close,volume,ticker
2026-01-23,14.0,16.8,14.0,16.8,10000,CCS
2026-01-26,18.9,18.9,18.9,18.9,100,CCS
2026-01-27,21.7,21.7,21.7,21.7,200,CCS
2026-01-28,24.9,24.9,24.8,24.9,6800,CCS
2026-01-29,28.6,28.6,28.6,28.6,3400,CCS
2026-01-30,32.8,32.8,24.4,24.4,7900,CCS
2026-02-02,27.7,27.7,24.0,24.0,1100,CCS
2026-02-03,20.9,20.9,20.7,20.7,400,CCS
2026-02-04,17.7,17.7,17.7,17.7,1900,CCS
2026-02-06,15.1,15.1,15.1,15.1,400,CCS
2026-02-09,12.9,12.9,12.9,12.9,800,CCS
2026-02-10,11.0,11.0,11.0,11.0,2600,CCS
2026-02-11,9.4,9.4,9.4,9.4,5000,CCS
2026-02-12,8.0,10.7,8.0,10.7,57200,CCS
2026-02-13,10.0,10.0,10.0,10.0,4800,CCS
2026-02-23,11.5,11.5,11.5,11.5,54200,CCS
2026-02-24,13.2,13.2,12.0,13.2,30800,CCS
2026-02-25,15.1,15.1,11.5,12.0,64600,CCS
2026-02-26,12.0,12.1,11.8,12.1,24900,CCS
2026-02-27,11.9,13.4,11.9,12.7,11100,CCS
2026-03-02,12.8,12.8,11.0,11.8,20300,CCS
2026-03-03,11.0,11.1,10.7,11.1,14200,CCS
2026-03-04,10.5,10.7,10.2,10.3,15500,CCS
2026-03-05,10.3,11.3,10.3,10.7,7100,CCS
2026-03-06,10.5,10.8,10.2,10.2,14800,CCS
2026-03-09,10.2,10.2,9.5,10.1,14900,CCS
2026-03-10,10.0,10.4,10.0,10.3,13600,CCS
2026-03-11,10.1,10.1,9.6,9.6,18400,CCS
2026-03-12,10.0,10.0,9.5,9.6,13700,CCS
2026-03-13,9.7,9.9,9.6,9.6,2900,CCS
2026-03-16,9.7,9.7,9.3,9.3,15100,CCS
2026-03-17,9.4,9.6,9.3,9.6,6200,CCS
2026-03-18,9.6,9.6,9.3,9.3,11500,CCS
2026-03-19,9.5,9.7,9.4,9.4,16700,CCS
2026-03-20,9.5,9.5,9.1,9.5,4200,CCS
