time,open,high,low,close,volume,ticker
2020-12-21,11.78,11.84,11.75,11.78,65300,CNG
2020-12-22,11.81,11.81,11.75,11.75,12220,CNG
2020-12-23,11.78,12.08,11.75,12.08,77260,CNG
2020-12-24,12.02,12.11,11.87,11.99,54200,CNG
2020-12-25,11.99,11.99,11.87,11.87,41470,CNG
2020-12-28,11.96,12.05,11.78,12.05,120100,CNG
2020-12-29,12.05,12.33,12.05,12.27,131720,CNG
2020-12-30,12.27,12.45,12.27,12.3,101680,CNG
2020-12-31,12.2,12.33,12.11,12.24,59060,CNG
2021-01-04,12.24,12.48,12.14,12.48,262000,CNG
2021-01-05,12.39,12.48,12.36,12.39,59800,CNG
2021-01-06,12.45,12.63,12.39,12.48,141900,CNG
2021-01-07,12.48,13.02,12.48,12.81,321400,CNG
2021-01-08,12.87,13.11,12.84,12.99,219200,CNG
2021-01-11,12.99,12.99,12.72,12.78,211900,CNG
2021-01-12,12.78,12.78,12.57,12.72,123400,CNG
2021-01-13,12.72,13.2,12.69,12.99,358600,CNG
2021-01-14,12.99,13.59,12.93,13.59,595100,CNG
2021-01-15,13.59,13.9,13.59,13.87,374500,CNG
2021-01-18,13.87,13.87,13.53,13.62,144600,CNG
2021-01-19,13.62,13.62,12.69,13.14,221800,CNG
2021-01-20,12.99,12.99,12.24,12.84,176700,CNG
2021-01-21,12.93,13.2,12.81,13.05,154600,CNG
2021-01-22,12.93,13.2,12.93,13.05,155100,CNG
2021-01-25,13.23,13.96,13.2,13.75,675200,CNG
2021-01-26,14.2,14.2,13.59,13.9,281900,CNG
2021-01-27,13.9,13.9,13.47,13.65,173000,CNG
2021-01-28,12.75,13.11,12.72,12.72,268200,CNG
2021-01-29,11.9,12.99,11.9,12.9,170300,CNG
2021-02-01,12.75,12.99,12.51,12.51,87900,CNG
2021-02-02,12.51,12.87,12.51,12.87,78100,CNG
2021-02-03,12.87,13.11,12.75,13.11,86900,CNG
2021-02-04,13.26,13.26,12.99,12.99,43500,CNG
2021-02-05,13.02,13.65,12.93,13.47,162200,CNG
2021-02-08,13.47,13.47,12.87,12.87,54900,CNG
2021-02-09,12.84,13.26,12.84,13.23,18500,CNG
2021-02-17,13.59,14.02,13.29,13.9,305900,CNG
2021-02-18,14.02,14.86,14.02,14.71,659400,CNG
2021-02-19,14.71,14.71,14.38,14.5,136400,CNG
2021-02-22,14.38,14.56,14.32,14.44,178600,CNG
2021-02-23,14.56,14.62,14.32,14.5,105400,CNG
2021-02-24,14.5,14.5,14.05,14.29,106500,CNG
2021-02-25,14.44,14.44,13.9,14.2,121200,CNG
2021-02-26,14.02,14.38,13.99,14.38,101500,CNG
2021-03-01,14.38,14.5,14.32,14.38,146500,CNG
2021-03-02,14.38,14.74,14.32,14.5,134400,CNG
2021-03-03,14.5,14.68,14.32,14.53,186600,CNG
2021-03-04,14.5,14.62,14.14,14.2,160600,CNG
2021-03-05,14.41,15.14,14.38,15.01,535900,CNG
2021-03-08,15.47,16.04,15.47,16.04,577200,CNG
2021-03-09,16.31,16.31,15.83,16.01,543300,CNG
2021-03-10,15.71,15.89,15.11,15.71,320200,CNG
2021-03-11,15.77,16.01,15.62,15.77,150100,CNG
2021-03-12,15.77,15.89,15.71,15.83,155000,CNG
2021-03-15,15.71,16.01,15.65,15.77,95700,CNG
2021-03-16,15.77,16.43,15.53,15.95,334500,CNG
2021-03-17,15.95,16.01,15.53,15.53,197900,CNG
2021-03-18,15.65,15.83,15.35,15.47,219200,CNG
2021-03-19,15.23,15.41,15.04,15.41,261100,CNG
2021-03-22,15.41,15.41,15.04,15.32,97800,CNG
2021-03-23,15.32,15.41,14.92,15.32,174100,CNG
2021-03-24,14.98,15.04,14.5,14.68,186300,CNG
2021-03-25,14.8,14.92,14.44,14.44,177200,CNG
2021-03-26,14.44,14.5,13.53,13.9,245100,CNG
2021-03-29,14.2,14.59,14.2,14.5,102100,CNG
2021-03-30,14.5,14.5,14.38,14.5,88200,CNG
2021-03-31,14.56,14.56,13.96,14.44,152300,CNG
2021-04-01,14.44,14.98,14.32,14.98,139500,CNG
2021-04-02,15.41,15.41,14.83,14.86,290300,CNG
2021-04-05,14.83,15.11,14.8,14.83,395200,CNG
2021-04-06,14.83,14.89,14.2,14.38,434500,CNG
2021-04-07,14.38,14.5,14.02,14.44,319700,CNG
2021-04-08,14.38,14.38,14.17,14.2,382800,CNG
2021-04-09,14.23,14.68,14.23,14.5,433000,CNG
2021-04-12,14.5,14.71,14.5,14.62,234700,CNG
2021-04-13,14.77,14.77,14.41,14.62,274000,CNG
2021-04-14,14.62,14.62,14.2,14.5,216800,CNG
2021-04-15,14.5,14.5,13.84,14.02,799300,CNG
2021-04-16,13.9,14.14,13.59,13.9,147600,CNG
2021-04-19,14.02,14.02,13.59,13.81,189000,CNG
2021-04-20,14.02,14.02,13.59,13.96,183000,CNG
2021-04-22,13.9,13.9,13.59,13.62,92200,CNG
2021-04-23,13.59,13.62,12.69,13.47,65400,CNG
2021-04-26,13.47,13.53,13.05,13.05,87400,CNG
2021-04-27,13.05,13.17,12.87,13.05,47900,CNG
2021-04-28,13.05,13.23,12.99,13.05,57400,CNG
2021-04-29,13.05,13.29,13.05,13.05,81400,CNG
2021-05-04,12.69,13.05,12.69,12.99,63600,CNG
2021-05-05,13.41,13.47,13.05,13.35,64300,CNG
2021-05-06,13.44,13.44,12.99,12.99,102200,CNG
2021-05-07,12.99,13.17,12.81,12.99,79800,CNG
2021-05-10,12.78,12.87,12.57,12.69,107600,CNG
2021-05-11,12.69,12.93,12.63,12.78,123600,CNG
2021-05-12,12.78,13.17,12.78,13.11,98600,CNG
2021-05-13,13.11,13.11,12.78,12.78,152700,CNG
2021-05-14,12.78,13.11,12.78,13.11,130600,CNG
2021-05-17,13.29,13.53,13.05,13.17,111100,CNG
2021-05-18,13.17,13.17,12.75,12.84,108100,CNG
2021-05-19,12.84,13.05,12.84,12.87,118600,CNG
2021-05-20,12.87,12.93,12.33,12.69,319200,CNG
2021-05-21,12.69,13.17,12.69,13.05,200400,CNG
2021-05-24,13.05,13.41,13.05,13.35,194200,CNG
2021-05-25,13.47,13.59,13.29,13.29,66100,CNG
2021-05-26,13.35,13.35,13.17,13.23,113400,CNG
2021-05-27,13.17,13.17,12.9,12.9,64100,CNG
2021-05-28,12.9,13.17,12.9,13.14,53700,CNG
2021-05-31,13.14,13.14,12.93,13.14,64300,CNG
2021-06-01,13.35,14.02,13.35,13.78,207300,CNG
2021-06-02,13.78,14.02,13.78,13.9,103100,CNG
2021-06-03,14.17,14.32,13.9,14.2,147700,CNG
2021-06-04,14.08,14.5,13.65,14.47,162500,CNG
2021-06-07,14.47,14.5,13.53,14.2,132300,CNG
2021-06-08,13.9,14.2,13.84,13.9,122000,CNG
2021-06-09,13.9,14.2,13.65,13.84,79600,CNG
2021-06-10,13.78,13.84,13.65,13.78,53800,CNG
2021-06-11,13.96,14.14,13.78,14.14,32100,CNG
2021-06-14,14.2,14.2,13.9,13.9,176900,CNG
2021-06-15,13.9,14.38,13.9,14.17,205100,CNG
2021-06-16,14.2,14.2,14.08,14.14,71900,CNG
2021-06-17,14.14,14.2,14.08,14.14,300800,CNG
2021-06-18,14.14,14.56,14.08,14.5,305400,CNG
2021-06-21,14.38,14.8,14.38,14.59,147800,CNG
2021-06-22,14.8,14.8,14.38,14.5,206200,CNG
2021-06-23,14.41,14.5,14.23,14.26,172700,CNG
2021-06-24,14.26,14.35,14.2,14.2,110700,CNG
2021-06-25,14.26,14.32,14.2,14.26,61900,CNG
2021-06-28,14.44,14.53,14.38,14.44,113300,CNG
2021-06-29,14.44,14.8,14.26,14.62,275500,CNG
2021-06-30,14.77,14.8,14.56,14.62,172600,CNG
2021-07-01,14.5,14.77,14.44,14.56,124400,CNG
2021-07-02,15.41,15.44,14.89,15.14,393100,CNG
2021-07-05,15.47,15.59,15.23,15.47,456600,CNG
2021-07-06,15.41,16.07,15.41,15.41,482900,CNG
2021-07-07,15.11,15.53,14.8,15.53,314100,CNG
2021-07-08,15.29,15.59,15.14,15.14,143300,CNG
2021-07-09,15.11,15.29,14.86,15.07,97000,CNG
2021-07-12,15.11,15.11,14.2,14.68,175900,CNG
2021-07-13,14.74,14.98,14.56,14.86,89700,CNG
2021-07-14,15.04,15.04,14.47,14.56,81400,CNG
2021-07-15,14.8,14.92,14.5,14.92,169900,CNG
2021-07-16,14.92,14.92,14.68,14.86,26300,CNG
2021-07-19,14.32,14.83,14.26,14.5,203200,CNG
2021-07-20,14.44,14.77,13.84,14.77,185500,CNG
2021-07-21,14.77,14.77,14.14,14.2,143000,CNG
2021-07-22,14.26,14.74,14.26,14.65,114600,CNG
2021-07-23,14.38,14.74,14.38,14.65,81100,CNG
2021-07-26,14.62,15.65,14.41,15.04,131800,CNG
2021-07-27,15.29,15.29,14.92,15.04,55400,CNG
2021-07-28,14.92,15.04,14.74,15.04,30600,CNG
2021-07-29,14.83,14.95,14.71,14.95,52600,CNG
2021-07-30,14.8,15.11,14.8,15.01,103700,CNG
2021-08-02,15.01,15.44,14.98,15.29,159700,CNG
2021-08-03,15.23,15.53,15.11,15.11,86700,CNG
2021-08-04,15.11,15.41,14.92,15.11,89100,CNG
2021-08-05,14.98,15.11,14.74,15.11,59200,CNG
2021-08-06,15.04,15.14,14.89,14.98,86200,CNG
2021-08-09,14.98,15.71,14.8,15.53,245200,CNG
2021-08-10,15.71,16.59,15.71,16.59,1476300,CNG
2021-08-11,17.22,17.73,17.19,17.22,628700,CNG
2021-08-12,17.22,17.34,16.92,16.95,254700,CNG
2021-08-13,16.65,17.58,16.62,17.4,806300,CNG
2021-08-16,17.52,17.64,17.04,17.13,372100,CNG
2021-08-17,17.04,17.28,16.92,16.95,295100,CNG
2021-08-18,16.89,17.4,16.86,17.31,452800,CNG
2021-08-19,17.28,17.31,16.98,17.04,233800,CNG
2021-08-20,16.98,17.22,15.86,16.19,750200,CNG
2021-08-23,15.53,16.19,15.11,15.11,425200,CNG
2021-08-24,15.23,15.71,15.23,15.47,259500,CNG
2021-08-25,15.77,16.16,15.53,16.04,220100,CNG
2021-08-26,16.07,16.19,15.89,16.01,170800,CNG
2021-08-27,15.95,16.43,15.71,16.43,129500,CNG
2021-08-30,16.86,17.04,16.49,16.98,197000,CNG
2021-08-31,16.98,17.4,16.86,17.16,323900,CNG
2021-09-01,17.82,17.91,17.52,17.79,602000,CNG
2021-09-06,18.01,18.13,17.64,18.07,383700,CNG
2021-09-07,18.07,18.07,17.52,17.58,363500,CNG
2021-09-08,17.52,17.58,17.22,17.34,233800,CNG
2021-09-09,17.7,18.46,17.49,18.25,541500,CNG
2021-09-10,18.49,18.49,18.01,18.28,344500,CNG
2021-09-13,18.61,18.79,18.49,18.7,438300,CNG
2021-09-14,19.03,19.06,18.43,18.64,354600,CNG
2021-09-15,18.64,19.94,18.4,19.7,739400,CNG
2021-09-16,20.24,20.24,19.64,19.94,386000,CNG
2021-09-17,20.42,21.03,19.94,20.91,541900,CNG
2021-09-20,21.03,21.45,19.82,20.24,843600,CNG
2021-09-21,19.33,20.54,19.33,20.54,427800,CNG
2021-09-22,20.51,21.39,20.15,21.03,311400,CNG
2021-09-23,21.09,21.27,20.54,20.63,348300,CNG
2021-09-24,20.88,20.91,20.18,20.24,353900,CNG
