time,open,high,low,close,volume,ticker
2020-04-15,15.24,15.77,15.19,15.72,200210,CVT
2020-04-16,15.5,15.77,15.5,15.68,41620,CVT
2020-04-17,15.68,15.85,15.59,15.68,204670,CVT
2020-04-20,15.77,15.85,15.55,15.72,187860,CVT
2020-04-21,15.06,15.33,14.71,14.8,367750,CVT
2020-04-22,14.53,14.93,14.09,14.84,181200,CVT
2020-04-23,14.97,15.24,14.45,14.45,203430,CVT
2020-04-24,14.31,14.53,13.96,14.53,200130,CVT
2020-04-27,14.4,14.89,14.4,14.84,440190,CVT
2020-04-28,14.89,14.97,14.62,14.84,305390,CVT
2020-04-29,14.8,14.84,14.67,14.71,240300,CVT
2020-05-04,14.36,14.53,14.36,14.4,251580,CVT
2020-05-05,14.4,14.4,14.09,14.27,231610,CVT
2020-05-06,14.45,14.67,14.14,14.62,136670,CVT
2020-05-07,14.62,14.75,14.62,14.67,112900,CVT
2020-05-08,14.71,15.33,14.71,15.06,1470870,CVT
2020-05-11,15.28,15.33,15.11,15.15,304060,CVT
2020-05-12,15.11,15.5,14.97,15.46,370150,CVT
2020-05-13,15.41,15.41,15.06,15.19,516120,CVT
2020-05-14,15.11,15.72,15.02,15.55,471860,CVT
2020-05-15,15.55,15.72,15.24,15.37,290320,CVT
2020-05-18,15.33,15.41,15.15,15.33,106880,CVT
2020-05-19,15.63,15.63,15.19,15.24,275940,CVT
2020-05-20,15.19,15.41,15.19,15.41,194970,CVT
2020-05-21,15.41,15.59,15.33,15.46,225430,CVT
2020-05-22,15.5,16.12,15.46,15.77,504510,CVT
2020-05-25,15.77,15.77,15.59,15.68,85870,CVT
2020-05-26,15.72,15.94,15.68,15.94,318050,CVT
2020-05-27,16.16,16.16,15.59,15.68,331970,CVT
2020-05-28,15.68,15.85,15.55,15.68,187770,CVT
2020-05-29,15.68,15.77,15.55,15.72,135590,CVT
2020-06-01,15.77,15.9,15.77,15.9,178960,CVT
2020-06-02,15.94,15.94,15.72,15.72,142990,CVT
2020-06-03,15.72,15.77,15.63,15.72,140240,CVT
2020-06-04,15.77,15.77,15.63,15.68,157620,CVT
2020-06-05,15.77,15.77,15.59,15.72,102580,CVT
2020-06-08,15.85,16.16,15.77,16.03,369430,CVT
2020-06-09,16.3,17.13,16.3,16.91,690250,CVT
2020-06-10,16.91,16.91,16.3,16.91,262270,CVT
2020-06-11,16.74,16.82,15.9,15.9,324640,CVT
2020-06-12,15.41,15.72,15.02,15.5,332960,CVT
2020-06-15,15.41,15.68,15.11,15.11,291420,CVT
2020-06-16,15.41,15.46,15.28,15.37,39130,CVT
2020-06-17,15.46,15.55,15.37,15.5,60470,CVT
2020-06-18,15.41,15.5,15.33,15.5,139830,CVT
2020-06-19,15.46,15.99,15.46,15.85,253340,CVT
2020-06-22,15.77,16.03,15.63,15.77,136030,CVT
2020-06-23,15.85,15.85,15.46,15.59,121310,CVT
2020-06-24,15.5,15.77,15.33,15.46,111660,CVT
2020-06-25,15.28,15.59,15.28,15.46,150730,CVT
2020-06-26,15.81,15.81,15.41,15.5,79950,CVT
2020-06-29,15.5,15.5,14.97,15.06,202890,CVT
2020-06-30,15.06,15.28,15.02,15.19,133940,CVT
2020-07-01,15.06,15.41,15.06,15.37,162100,CVT
2020-07-02,15.06,15.37,15.06,15.28,86130,CVT
2020-07-03,15.28,15.41,15.24,15.28,169220,CVT
2020-07-06,15.37,15.37,15.19,15.28,156040,CVT
2020-07-07,15.37,15.37,15.24,15.37,88190,CVT
2020-07-08,15.5,16.21,15.46,15.77,250050,CVT
2020-07-09,16.03,16.03,15.81,15.85,85750,CVT
2020-07-10,15.85,15.85,15.68,15.81,84290,CVT
2020-07-13,15.77,15.81,15.68,15.77,103990,CVT
2020-07-14,15.77,15.9,15.68,15.77,49810,CVT
2020-07-15,15.85,16.21,15.85,16.07,391240,CVT
2020-07-16,16.21,16.21,15.99,16.03,178720,CVT
2020-07-17,16.07,16.3,16.07,16.25,348620,CVT
2020-07-20,16.16,16.43,16.16,16.34,484690,CVT
2020-07-21,16.34,16.43,16.25,16.34,201250,CVT
2020-07-22,16.38,16.47,16.34,16.43,366200,CVT
2020-07-23,16.43,16.56,16.34,16.43,383400,CVT
2020-07-24,16.43,16.47,15.41,16.16,408960,CVT
2020-07-27,15.41,15.81,15.11,15.11,465150,CVT
2020-07-28,15.11,15.81,15.11,15.81,124510,CVT
2020-07-29,15.5,15.5,15.02,15.41,515490,CVT
2020-07-30,15.59,15.77,15.46,15.5,190700,CVT
2020-07-31,15.5,15.63,15.33,15.5,214870,CVT
2020-08-03,15.59,16.56,15.55,16.56,797730,CVT
2020-08-04,16.56,16.91,16.56,16.91,301380,CVT
