time,open,high,low,close,volume,ticker
2020-12-21,26.45,26.49,26.14,26.18,174890,DHC
2020-12-22,26.18,27.15,26.18,27.06,608040,DHC
2020-12-23,27.5,27.5,26.4,26.62,180410,DHC
2020-12-24,26.62,26.84,26.01,26.31,203640,DHC
2020-12-25,26.31,26.84,26.27,26.67,635250,DHC
2020-12-28,26.67,26.84,26.36,26.36,492160,DHC
2020-12-29,26.4,26.8,26.36,26.4,386900,DHC
2020-12-30,27.31,27.31,26.67,26.72,141890,DHC
2020-12-31,26.72,28.22,26.72,27.72,429900,DHC
2021-01-04,27.72,27.86,27.31,27.77,246700,DHC
2021-01-05,27.77,27.86,27.58,27.72,151200,DHC
2021-01-06,27.77,27.95,27.49,27.77,366600,DHC
2021-01-07,27.81,29.36,27.77,29.13,581400,DHC
2021-01-08,29.22,30.04,29.09,29.13,268600,DHC
2021-01-11,29.13,29.4,29.0,29.18,684200,DHC
2021-01-12,29.18,29.4,28.63,29.4,496300,DHC
2021-01-13,29.36,29.59,29.04,29.04,545100,DHC
2021-01-14,29.13,29.22,28.9,29.13,348300,DHC
2021-01-15,29.13,31.13,29.13,31.13,1156200,DHC
2021-01-18,31.18,31.23,30.04,31.09,234700,DHC
2021-01-19,31.09,31.09,29.0,29.81,446800,DHC
2021-01-20,29.36,29.81,27.9,29.81,309800,DHC
2021-01-21,29.81,30.59,29.81,30.59,359600,DHC
2021-01-22,30.54,30.68,29.59,30.36,604500,DHC
2021-01-25,30.41,30.41,29.5,30.0,366900,DHC
2021-01-26,30.0,30.0,29.18,29.22,143200,DHC
2021-01-27,28.45,29.22,27.99,27.99,225400,DHC
2021-01-28,26.4,27.4,26.04,26.04,890900,DHC
2021-01-29,25.49,27.81,25.49,27.49,121000,DHC
2021-02-01,28.45,28.68,27.77,27.99,204700,DHC
2021-02-02,27.68,29.13,27.68,29.13,284800,DHC
2021-02-03,29.13,30.36,29.13,30.18,342400,DHC
2021-02-04,30.45,30.63,29.81,30.27,206100,DHC
2021-02-05,30.27,30.95,29.59,30.95,363200,DHC
2021-02-08,30.59,31.0,29.81,29.95,145500,DHC
2021-02-09,29.68,30.59,29.68,30.59,99000,DHC
2021-02-17,30.95,32.73,30.95,32.73,1498600,DHC
2021-02-18,33.36,33.59,32.32,33.41,227900,DHC
2021-02-19,32.77,33.55,32.77,33.14,196700,DHC
2021-02-22,33.18,33.5,32.91,33.27,408500,DHC
2021-02-23,33.23,33.36,33.09,33.18,299900,DHC
2021-02-24,32.96,33.87,32.96,33.23,486800,DHC
2021-02-25,33.23,34.68,33.23,34.68,642000,DHC
2021-02-26,34.68,35.96,34.59,35.28,430200,DHC
2021-03-01,35.28,35.28,34.37,34.96,317200,DHC
2021-03-02,34.82,35.05,34.64,34.96,469600,DHC
2021-03-03,35.28,36.87,35.0,35.87,400000,DHC
2021-03-04,35.87,36.82,33.68,35.5,473900,DHC
2021-03-05,34.82,36.41,34.68,36.32,475500,DHC
2021-03-08,36.41,36.64,35.5,35.96,419800,DHC
2021-03-09,35.73,36.41,35.5,36.14,346500,DHC
2021-03-10,36.1,36.64,36.1,36.64,335400,DHC
2021-03-11,36.87,37.32,36.64,37.32,297000,DHC
2021-03-12,37.32,38.51,37.32,38.24,312100,DHC
2021-03-15,38.24,38.46,37.78,38.28,255500,DHC
2021-03-16,38.28,38.92,38.28,38.74,230700,DHC
2021-03-17,38.74,39.01,38.46,38.92,252100,DHC
2021-03-18,39.15,39.15,38.46,38.92,184800,DHC
2021-03-19,38.92,38.92,37.78,37.96,390500,DHC
2021-03-22,37.83,37.92,37.1,37.78,476100,DHC
2021-03-23,37.55,37.78,37.32,37.73,193800,DHC
2021-03-24,37.1,37.51,37.1,37.23,157800,DHC
2021-03-25,37.23,37.46,36.41,37.14,111200,DHC
2021-03-26,37.14,37.14,36.41,36.87,233800,DHC
2021-03-29,36.87,37.28,36.87,37.19,126000,DHC
2021-03-30,37.19,38.24,37.19,37.78,287000,DHC
2021-03-31,37.78,38.01,37.32,38.01,126200,DHC
2021-04-01,38.01,38.24,37.78,38.1,96300,DHC
2021-04-02,38.24,38.24,37.37,38.1,165200,DHC
2021-04-05,38.1,38.1,37.73,38.1,128800,DHC
2021-04-06,38.1,40.33,38.05,40.06,548400,DHC
2021-04-07,40.47,40.78,39.6,40.42,301100,DHC
2021-04-08,40.42,40.78,40.28,40.42,91600,DHC
2021-04-09,40.1,40.47,39.37,39.83,311300,DHC
2021-04-12,39.69,40.28,39.37,39.97,250100,DHC
2021-04-13,39.97,40.6,39.97,40.06,261600,DHC
2021-04-14,40.06,40.65,40.06,40.6,232200,DHC
2021-04-15,40.42,40.74,40.42,40.51,93100,DHC
2021-04-16,37.78,40.51,37.78,40.15,205900,DHC
2021-04-19,40.06,41.88,39.6,41.88,353700,DHC
2021-04-20,41.88,41.92,41.1,41.88,97700,DHC
2021-04-22,41.88,41.88,41.06,41.24,147900,DHC
2021-04-23,41.24,41.83,40.51,41.65,133500,DHC
2021-04-26,42.56,42.56,41.65,41.88,218100,DHC
2021-04-27,42.29,42.29,41.06,41.19,267200,DHC
2021-04-28,41.19,41.6,40.51,40.88,196800,DHC
2021-04-29,40.88,42.56,40.88,41.51,390200,DHC
2021-05-04,40.97,41.65,40.97,41.51,105200,DHC
2021-05-05,41.65,43.11,41.65,42.56,560700,DHC
2021-05-06,42.79,42.97,42.33,42.92,471300,DHC
2021-05-07,42.88,43.7,42.38,43.56,688600,DHC
2021-05-10,43.61,45.75,43.38,45.75,608400,DHC
2021-05-11,45.97,46.75,45.7,45.88,339600,DHC
2021-05-12,45.52,46.34,45.52,46.34,273400,DHC
2021-05-13,46.11,46.34,45.61,45.97,337200,DHC
2021-05-14,45.97,46.43,45.43,45.52,322200,DHC
2021-05-17,45.97,46.52,45.52,46.29,435000,DHC
2021-05-18,46.47,46.52,45.65,46.16,455000,DHC
2021-05-19,46.29,48.52,46.16,47.2,413600,DHC
2021-05-20,47.75,48.16,47.2,47.75,371900,DHC
2021-05-21,47.34,47.89,47.34,47.75,188100,DHC
2021-05-24,47.61,48.02,47.34,48.02,301000,DHC
2021-05-25,48.25,50.02,45.52,48.2,250700,DHC
2021-05-26,48.2,48.2,47.07,47.34,261800,DHC
2021-05-27,46.88,47.11,45.52,45.88,236200,DHC
2021-05-28,45.61,46.66,45.61,46.29,84200,DHC
2021-05-31,45.75,48.61,45.75,46.38,266200,DHC
2021-06-01,46.29,47.79,46.29,47.34,241800,DHC
2021-06-02,47.79,47.79,47.34,47.57,161400,DHC
2021-06-03,47.57,48.2,47.43,47.57,163700,DHC
2021-06-04,47.57,48.48,47.52,48.43,626200,DHC
2021-06-07,48.93,48.93,46.88,48.39,146200,DHC
2021-06-08,48.43,48.48,45.97,46.88,346600,DHC
2021-06-09,46.88,48.25,46.7,47.34,239800,DHC
2021-06-10,47.34,48.2,46.88,47.93,215100,DHC
2021-06-11,48.25,49.16,48.2,48.2,140100,DHC
2021-06-14,48.2,48.7,48.2,48.52,268100,DHC
2021-06-15,48.25,49.16,48.25,48.43,92600,DHC
2021-06-16,49.11,49.11,48.34,48.43,62500,DHC
2021-06-17,48.43,49.61,48.39,48.61,198100,DHC
2021-06-18,48.61,49.57,48.61,48.66,254200,DHC
2021-06-21,48.66,49.57,48.66,49.11,112400,DHC
2021-06-22,49.16,49.16,48.52,48.8,152000,DHC
2021-06-23,48.52,48.7,47.34,47.79,587300,DHC
2021-06-24,47.79,47.93,47.29,47.79,135400,DHC
2021-06-25,47.34,47.75,46.57,47.34,440700,DHC
2021-06-28,47.34,48.61,47.34,48.57,53800,DHC
2021-06-29,48.57,48.57,47.89,48.34,63800,DHC
2021-06-30,48.25,48.34,47.79,47.79,110600,DHC
2021-07-01,47.79,49.21,47.38,48.2,61100,DHC
2021-07-02,48.29,48.39,47.79,47.89,82600,DHC
2021-07-05,47.7,47.89,46.93,47.16,174400,DHC
2021-07-06,46.93,47.29,46.2,46.2,185600,DHC
2021-07-07,46.38,48.57,44.65,48.29,190300,DHC
2021-07-08,48.29,48.39,47.57,48.25,212700,DHC
2021-07-09,48.7,48.7,46.66,46.7,83700,DHC
2021-07-12,45.61,47.34,44.38,44.61,179600,DHC
2021-07-13,44.38,44.84,44.15,44.61,216200,DHC
2021-07-14,45.52,45.52,43.74,44.06,122200,DHC
2021-07-15,44.61,44.61,43.79,44.15,165400,DHC
2021-07-16,44.2,44.24,43.93,44.06,144800,DHC
2021-07-19,41.92,45.43,41.92,44.06,176100,DHC
2021-07-20,45.47,45.47,44.06,44.24,73200,DHC
2021-07-21,44.29,44.38,43.7,44.24,100900,DHC
2021-07-22,44.24,45.56,44.06,45.43,317400,DHC
2021-07-23,48.28,48.28,46.21,46.44,139100,DHC
2021-07-26,46.55,48.16,45.98,46.32,61700,DHC
2021-07-27,46.09,46.9,45.98,46.78,198400,DHC
2021-07-28,46.96,48.28,46.78,47.13,151100,DHC
2021-07-29,47.53,47.7,46.96,47.53,66500,DHC
2021-07-30,48.1,48.1,46.96,47.7,125000,DHC
2021-08-02,47.7,50.92,47.3,50.92,1898200,DHC
2021-08-03,52.3,52.3,51.04,51.44,184200,DHC
2021-08-04,51.73,51.73,50.75,51.15,234700,DHC
2021-08-05,50.63,52.19,50.58,52.01,660700,DHC
2021-08-06,52.07,52.07,51.32,51.73,304400,DHC
2021-08-09,50.98,53.33,50.75,52.01,529700,DHC
2021-08-10,52.01,52.07,51.15,51.9,641800,DHC
2021-08-11,52.01,52.13,50.86,51.44,511500,DHC
2021-08-12,51.44,51.73,50.58,50.58,632100,DHC
2021-08-13,50.52,50.58,49.43,49.6,430800,DHC
2021-08-16,49.66,51.04,49.54,50.52,594300,DHC
2021-08-17,51.15,51.15,50.29,50.75,544700,DHC
2021-08-18,50.58,50.75,50.0,50.46,174500,DHC
2021-08-19,50.81,51.96,50.46,50.58,549000,DHC
2021-08-20,50.63,50.69,47.7,48.85,640200,DHC
2021-08-23,48.85,48.85,47.13,47.41,232800,DHC
2021-08-24,46.32,47.7,46.32,47.18,271300,DHC
2021-08-25,47.18,47.41,46.32,47.13,223400,DHC
2021-08-26,46.73,48.51,46.73,47.7,330500,DHC
2021-08-27,47.18,47.64,47.13,47.59,142700,DHC
2021-08-30,47.82,48.22,47.82,48.22,221600,DHC
2021-08-31,48.85,48.97,47.82,48.97,192200,DHC
2021-09-01,48.97,48.97,48.05,48.28,521200,DHC
2021-09-06,48.28,49.71,48.05,48.62,443500,DHC
2021-09-07,48.62,48.85,48.05,48.22,346400,DHC
2021-09-08,48.22,48.56,48.16,48.28,187600,DHC
2021-09-09,48.28,48.45,48.05,48.39,315900,DHC
2021-09-10,48.28,48.56,48.16,48.51,186700,DHC
2021-09-13,48.51,49.43,48.33,49.37,768700,DHC
2021-09-14,49.37,50.29,49.37,49.77,559800,DHC
2021-09-15,49.77,50.58,49.77,50.23,299300,DHC
2021-09-16,50.06,50.86,49.43,50.4,304500,DHC
2021-09-17,50.12,50.58,49.14,50.52,707100,DHC
2021-09-20,50.58,50.58,49.89,49.94,445600,DHC
2021-09-21,49.71,49.77,49.08,49.14,594400,DHC
2021-09-22,49.43,49.54,48.39,49.14,305500,DHC
2021-09-23,50.46,50.46,49.08,49.37,409800,DHC
2021-09-24,49.6,49.6,48.51,48.74,343900,DHC
2021-09-27,49.2,49.2,47.3,47.64,404800,DHC
2021-09-28,47.3,48.16,46.5,48.16,213800,DHC
2021-09-29,47.7,48.45,47.13,48.16,178600,DHC
2021-09-30,48.22,49.43,47.53,47.7,207500,DHC
2021-10-01,47.59,47.93,47.13,47.7,215200,DHC
2021-10-04,48.85,51.04,48.05,51.04,3321600,DHC
2021-10-05,53.91,54.02,52.3,52.76,1330800,DHC
2021-10-06,52.76,54.83,51.9,54.31,1249100,DHC
2021-10-07,54.37,55.46,53.51,54.6,1606700,DHC
2021-10-08,54.37,55.63,54.37,54.71,763100,DHC
2021-10-11,54.89,54.89,53.62,53.91,943600,DHC
2021-10-12,53.68,54.77,52.99,54.54,932500,DHC
2021-10-13,54.83,55.17,53.33,53.62,704800,DHC
2021-10-14,53.62,54.48,53.56,53.91,745600,DHC
2021-10-15,54.2,54.2,53.22,53.33,535400,DHC
2021-10-18,53.39,53.91,52.82,52.87,712600,DHC
2021-10-19,52.87,52.87,52.01,52.01,571000,DHC
2021-10-20,52.01,53.68,51.73,52.87,419200,DHC
2021-10-21,52.87,54.48,52.59,54.02,955900,DHC
2021-10-22,54.48,54.54,53.74,54.14,473200,DHC
2021-10-25,54.54,54.6,53.85,54.14,429400,DHC
2021-10-26,54.08,54.08,51.73,53.45,375200,DHC
2021-10-27,53.45,53.91,52.93,53.62,403100,DHC
2021-10-28,53.68,53.74,52.82,52.87,921600,DHC
2021-10-29,52.87,53.97,52.76,53.74,615700,DHC
2021-11-01,53.51,53.68,52.24,52.24,954000,DHC
2021-11-02,52.13,52.87,52.13,52.3,667500,DHC
2021-11-03,52.3,52.99,52.3,52.3,438400,DHC
2021-11-04,52.82,52.82,52.24,52.53,190200,DHC
2021-11-05,52.82,55.4,52.53,55.23,1573500,DHC
2021-11-08,55.29,55.63,54.02,54.77,368000,DHC
2021-11-09,54.66,55.29,54.37,55.06,609400,DHC
2021-11-10,54.6,55.06,53.79,54.94,638100,DHC
2021-11-11,54.14,55.06,54.02,54.14,530500,DHC
2021-11-12,53.85,54.2,53.79,54.14,438600,DHC
2021-11-15,54.14,54.2,52.53,52.87,372800,DHC
2021-11-16,52.36,52.87,52.36,52.53,171300,DHC
2021-11-17,52.53,53.45,52.41,52.76,103500,DHC
2021-11-18,53.33,53.51,52.3,52.87,198800,DHC
2021-11-19,52.87,53.85,52.19,53.85,370300,DHC
2021-11-22,53.85,54.02,53.05,53.45,212900,DHC
2021-11-23,53.45,53.56,52.59,53.56,178000,DHC
2021-11-24,53.45,54.31,53.28,54.02,441300,DHC
2021-11-25,55.06,55.06,53.79,54.31,474600,DHC
2021-11-26,54.31,54.66,53.45,53.45,260100,DHC
2021-11-29,52.36,53.51,52.36,53.51,269200,DHC
2021-11-30,53.51,53.62,52.87,53.62,199100,DHC
2021-12-01,54.02,54.31,52.36,53.45,106100,DHC
2021-12-02,54.48,54.48,53.16,53.22,181300,DHC
2021-12-03,53.22,53.22,52.36,52.47,161900,DHC
2021-12-06,52.47,52.64,48.85,50.63,284600,DHC
2021-12-07,50.86,51.61,49.14,50.86,207500,DHC
2021-12-08,51.04,51.61,50.86,50.86,144800,DHC
2021-12-09,50.92,52.01,50.92,51.73,208400,DHC
2021-12-10,51.5,51.78,50.86,50.92,150300,DHC
2021-12-13,50.92,51.5,50.58,50.63,221300,DHC
2021-12-14,50.69,50.86,49.6,49.83,135700,DHC
2021-12-15,49.71,50.58,49.66,50.17,51400,DHC
2021-12-16,50.17,50.23,48.85,49.48,163000,DHC
2021-12-17,49.48,49.6,48.85,49.02,241100,DHC
2021-12-20,49.14,49.31,48.79,48.79,210000,DHC
2021-12-21,47.99,48.85,47.99,48.79,115800,DHC
2021-12-22,48.62,48.91,48.28,48.39,174500,DHC
2021-12-23,47.99,48.74,47.64,48.22,189100,DHC
2021-12-24,47.99,48.68,47.99,48.68,136400,DHC
2021-12-27,48.68,49.71,48.05,49.43,47100,DHC
2021-12-28,49.43,49.6,49.37,49.43,51100,DHC
2021-12-29,48.91,49.54,48.91,49.37,44600,DHC
2021-12-30,49.43,50.0,49.31,50.0,25800,DHC
2021-12-31,49.89,51.15,49.43,51.15,58600,DHC
2022-01-04,51.04,51.04,50.23,50.58,136100,DHC
2022-01-05,50.0,50.35,49.77,50.35,143500,DHC
2022-01-06,50.0,50.58,49.89,50.35,47600,DHC
2022-01-07,50.06,50.06,49.14,49.2,112600,DHC
2022-01-10,49.2,49.25,48.85,48.91,141900,DHC
2022-01-11,48.85,49.14,47.82,47.82,157500,DHC
2022-01-12,47.87,49.08,47.87,48.22,64200,DHC
2022-01-13,48.33,49.14,46.61,47.13,123700,DHC
2022-01-14,47.13,47.47,47.07,47.18,178600,DHC
2022-01-17,47.41,48.56,46.27,46.32,103700,DHC
2022-01-18,46.04,46.32,45.92,45.92,121600,DHC
2022-01-19,45.98,46.55,45.92,45.92,73400,DHC
2022-01-20,45.92,46.55,45.81,46.21,88700,DHC
2022-01-21,46.21,46.21,45.12,45.12,123100,DHC
2022-01-24,45.35,45.4,43.45,43.68,124400,DHC
2022-01-25,42.99,43.79,41.27,41.95,202300,DHC
2022-01-26,41.95,43.79,41.95,43.79,52500,DHC
2022-01-27,45.17,45.17,42.82,43.79,133300,DHC
2022-01-28,43.68,44.89,43.68,44.83,86400,DHC
2022-02-07,44.83,44.94,43.39,43.51,236800,DHC
2022-02-08,43.68,44.71,43.39,44.25,107700,DHC
2022-02-09,44.25,44.83,44.25,44.83,48800,DHC
2022-02-10,44.89,44.94,44.2,44.83,264400,DHC
2022-02-11,44.83,45.4,44.83,45.4,49200,DHC
2022-02-14,45.4,45.4,44.54,45.12,137000,DHC
2022-02-15,45.12,45.29,44.77,45.29,46200,DHC
2022-02-16,45.29,45.29,44.83,44.89,70200,DHC
2022-02-17,44.89,45.35,44.83,44.83,62700,DHC
2022-02-18,44.83,44.94,43.68,44.94,330300,DHC
2022-02-21,44.94,46.55,44.83,46.04,177200,DHC
2022-02-22,45.52,46.27,45.52,46.09,88500,DHC
2022-02-23,46.09,47.18,45.86,46.96,224700,DHC
2022-02-24,46.61,47.01,45.75,46.21,263000,DHC
2022-02-25,46.21,46.27,45.52,45.75,198600,DHC
2022-02-28,45.81,47.36,45.58,46.09,69700,DHC
2022-03-01,46.15,46.67,45.98,46.55,80200,DHC
2022-03-02,46.55,46.55,45.52,45.75,231000,DHC
2022-03-03,45.75,45.75,45.0,45.4,289200,DHC
2022-03-04,45.58,46.04,45.06,45.17,292700,DHC
2022-03-07,45.12,45.46,44.43,45.35,257900,DHC
2022-03-08,45.12,45.12,44.25,44.25,261900,DHC
2022-03-09,44.25,44.31,42.99,43.1,219000,DHC
2022-03-10,45.29,45.29,41.95,42.24,243200,DHC
2022-03-11,43.1,43.68,42.36,42.87,147300,DHC
2022-03-14,43.1,43.1,41.61,41.95,85200,DHC
2022-03-15,41.95,42.24,40.81,42.07,152600,DHC
2022-03-16,42.36,42.64,42.07,42.18,165200,DHC
2022-03-17,43.05,43.05,40.92,42.24,267300,DHC
2022-03-18,42.53,42.93,42.07,42.24,275900,DHC
2022-03-21,42.53,42.53,41.55,42.3,156800,DHC
2022-03-22,42.3,42.41,41.84,42.3,220200,DHC
2022-03-23,42.36,43.1,42.24,42.59,307600,DHC
2022-03-24,43.05,43.05,42.24,42.24,156600,DHC
2022-03-25,42.3,42.82,42.3,42.59,188400,DHC
2022-03-28,42.99,42.99,41.95,42.36,289100,DHC
2022-03-29,42.36,43.05,42.3,42.47,195500,DHC
2022-03-30,42.47,45.4,42.47,45.4,1675300,DHC
2022-03-31,46.78,46.78,45.46,45.81,286700,DHC
2022-04-01,45.4,47.64,45.06,47.59,362800,DHC
2022-04-04,47.7,49.14,47.53,48.91,687800,DHC
2022-04-05,49.08,49.08,48.1,48.85,384500,DHC
2022-04-06,48.28,48.91,47.7,47.87,349200,DHC
2022-04-07,47.87,48.85,47.87,47.99,928600,DHC
2022-04-08,47.93,48.28,47.18,47.18,443000,DHC
2022-04-12,47.7,47.7,44.83,44.83,398400,DHC
2022-04-13,44.83,46.55,44.83,45.98,314600,DHC
2022-04-14,45.46,46.5,44.94,45.4,264300,DHC
2022-04-15,45.98,48.22,45.29,47.41,610800,DHC
2022-04-18,47.82,48.33,47.36,47.7,599400,DHC
2022-04-19,48.33,50.12,48.05,48.56,944000,DHC
2022-04-20,47.99,48.85,47.24,47.64,430400,DHC
2022-04-21,46.78,47.99,46.78,47.7,460200,DHC
2022-04-22,47.76,47.93,44.37,46.55,1016800,DHC
2022-04-25,44.89,46.27,43.33,44.54,601600,DHC
2022-04-26,44.02,46.55,41.95,46.55,180300,DHC
2022-04-27,46.55,46.55,44.83,45.98,180600,DHC
2022-04-28,45.4,46.27,45.4,45.98,219500,DHC
2022-04-29,45.98,46.32,45.4,46.32,602600,DHC
2022-05-04,45.98,46.09,44.31,44.77,314700,DHC
2022-05-05,44.77,45.0,42.3,44.77,408200,DHC
2022-05-06,43.1,44.54,42.76,44.31,232500,DHC
2022-05-09,43.1,44.2,41.44,41.44,240800,DHC
2022-05-10,41.32,43.1,39.6,43.1,138400,DHC
2022-05-11,43.1,43.39,42.82,43.28,188600,DHC
2022-05-12,43.1,43.22,42.24,42.82,254200,DHC
2022-05-13,42.23,42.99,41.0,42.99,163800,DHC
2022-05-16,43.99,43.99,41.7,42.82,65200,DHC
2022-05-17,41.82,43.34,41.64,43.05,90400,DHC
2022-05-18,43.99,43.99,42.99,43.4,173800,DHC
2022-05-19,41.7,43.4,41.7,43.28,103500,DHC
2022-05-20,43.28,43.4,42.52,43.4,69900,DHC
2022-05-23,41.82,43.75,41.47,42.29,141900,DHC
2022-05-24,43.11,43.11,39.36,42.17,294600,DHC
2022-05-25,41.7,42.52,40.76,42.23,187700,DHC
2022-05-26,42.23,42.23,40.94,42.23,289600,DHC
2022-05-27,42.23,42.23,41.06,41.94,234200,DHC
2022-05-30,42.17,42.17,41.58,41.88,120100,DHC
2022-05-31,41.7,42.05,41.53,41.53,140000,DHC
2022-06-01,41.53,42.17,41.47,41.7,113500,DHC
2022-06-02,41.7,41.99,41.06,41.64,238100,DHC
2022-06-03,41.7,41.76,41.06,41.58,100300,DHC
2022-06-06,41.53,41.64,40.76,41.06,207300,DHC
2022-06-07,41.06,41.06,40.18,40.53,179700,DHC
2022-06-08,40.53,40.88,39.59,40.53,252200,DHC
2022-06-09,40.18,40.59,39.3,40.18,128500,DHC
2022-06-10,40.18,40.18,39.59,39.77,68900,DHC
2022-06-13,38.18,38.83,37.01,37.24,378900,DHC
2022-06-14,37.01,37.24,35.19,36.42,68700,DHC
2022-06-15,37.48,37.48,33.9,36.95,335000,DHC
2022-06-16,38.01,38.65,36.83,38.65,180400,DHC
2022-06-17,37.54,41.35,37.48,39.82,88200,DHC
2022-06-20,39.88,39.88,38.89,39.77,220600,DHC
2022-06-21,39.71,39.71,38.12,39.3,43600,DHC
2022-06-22,39.3,39.3,38.12,39.3,119100,DHC
2022-06-23,39.88,39.88,38.12,38.12,55900,DHC
2022-06-24,38.12,38.42,37.24,38.42,106900,DHC
2022-06-27,38.12,39.3,37.54,38.42,105100,DHC
2022-06-28,38.71,39.88,38.12,38.42,54500,DHC
2022-06-29,39.0,39.88,38.12,38.12,123800,DHC
2022-06-30,38.71,38.71,37.95,38.12,137600,DHC
2022-07-01,38.12,39.59,37.07,39.3,138600,DHC
2022-07-04,39.3,39.88,38.53,39.3,158200,DHC
2022-07-05,39.3,39.88,38.59,38.83,53600,DHC
2022-07-06,39.24,39.77,38.12,38.12,179400,DHC
2022-07-07,37.01,38.94,36.66,37.71,220700,DHC
2022-07-08,38.18,39.82,36.66,39.82,193700,DHC
2022-07-11,39.3,39.3,37.07,38.36,115400,DHC
2022-07-12,38.3,39.82,36.95,39.36,152200,DHC
2022-07-13,39.3,39.3,38.12,38.12,64500,DHC
2022-07-14,38.01,38.36,36.95,37.6,48500,DHC
2022-07-15,38.42,39.88,37.54,38.71,69800,DHC
2022-07-18,38.77,39.82,38.42,38.71,90300,DHC
2022-07-19,39.07,40.14,38.29,38.71,15700,DHC
2022-07-20,38.77,39.84,36.93,38.71,57800,DHC
2022-07-21,37.88,39.84,37.88,38.71,20100,DHC
2022-07-22,38.65,39.84,37.94,38.71,101800,DHC
2022-07-25,38.65,39.9,38.0,38.71,75000,DHC
2022-07-26,38.65,39.66,37.82,37.82,82100,DHC
2022-07-27,38.41,39.84,37.52,37.82,121900,DHC
2022-07-28,38.41,38.41,37.64,37.76,78100,DHC
2022-07-29,37.52,39.55,37.16,37.52,138400,DHC
2022-08-01,37.52,37.58,36.33,36.93,209700,DHC
2022-08-02,36.93,39.01,36.93,37.52,77400,DHC
2022-08-03,36.75,38.0,36.75,37.22,65100,DHC
2022-08-04,37.22,37.22,36.69,37.1,69200,DHC
2022-08-05,37.04,37.22,35.73,36.57,334000,DHC
2022-08-08,36.09,36.33,35.73,36.21,74500,DHC
2022-08-09,36.21,36.63,35.97,36.63,107600,DHC
2022-08-10,37.04,37.52,36.57,36.75,106400,DHC
2022-08-11,36.75,36.87,36.39,36.39,171200,DHC
2022-08-12,36.39,37.22,36.15,36.15,113800,DHC
2022-08-15,36.15,37.22,35.79,36.21,188700,DHC
2022-08-16,36.33,37.16,36.33,36.81,42900,DHC
2022-08-17,36.93,37.64,36.87,37.34,394800,DHC
2022-08-18,37.34,37.94,37.28,37.52,169300,DHC
2022-08-19,37.58,37.58,36.93,37.1,156700,DHC
2022-08-22,36.98,37.46,36.15,36.63,200600,DHC
2022-08-23,36.33,36.93,36.33,36.63,212900,DHC
2022-08-24,36.39,37.22,36.33,36.63,194800,DHC
2022-08-25,36.69,37.22,36.69,36.87,106600,DHC
2022-08-26,37.1,37.1,36.45,36.69,64600,DHC
2022-08-29,36.63,36.63,34.25,35.56,196400,DHC
2022-08-30,35.73,37.22,35.44,36.33,86900,DHC
2022-08-31,35.79,36.21,35.79,35.91,35900,DHC
2022-09-05,35.97,36.87,35.73,35.91,84300,DHC
2022-09-06,36.21,36.81,35.73,35.97,81300,DHC
2022-09-07,36.33,36.33,35.5,35.5,81900,DHC
2022-09-08,36.03,36.21,35.2,35.97,81600,DHC
2022-09-09,35.85,36.57,35.5,35.73,117700,DHC
2022-09-12,36.09,36.09,35.73,35.79,33325,DHC
2022-09-13,35.73,35.91,35.61,35.91,61375,DHC
2022-09-14,35.2,36.45,35.14,36.33,67665,DHC
2022-09-15,36.33,36.63,35.91,36.21,84620,DHC
2022-09-16,36.09,36.09,35.61,35.73,99888,DHC
2022-09-19,35.5,36.33,35.14,35.91,208088,DHC
2022-09-20,35.97,36.57,35.56,36.15,50053,DHC
2022-09-21,35.44,36.09,35.44,36.03,13787,DHC
2022-09-22,36.03,36.45,35.14,36.03,62011,DHC
2022-09-23,36.27,36.27,35.73,36.03,20345,DHC
2022-09-26,35.38,36.33,34.42,34.48,120036,DHC
2022-09-27,35.08,35.08,34.48,34.54,51720,DHC
2022-09-28,33.17,34.42,33.17,34.42,134277,DHC
2022-09-29,33.95,34.54,33.95,34.42,45187,DHC
2022-09-30,33.59,34.42,33.59,34.42,112583,DHC
2022-10-03,33.71,34.54,33.23,34.36,71662,DHC
2022-10-04,33.17,34.48,33.05,33.83,97132,DHC
2022-10-05,34.19,34.19,32.99,33.95,65467,DHC
2022-10-06,33.95,34.48,33.35,33.77,99900,DHC
2022-10-07,33.71,34.01,31.62,32.76,257235,DHC
2022-10-10,31.03,33.35,31.03,32.76,310634,DHC
2022-10-11,32.76,32.76,31.39,31.86,196200,DHC
