time,open,high,low,close,volume,ticker
2019-10-16,7.5,7.5,7.5,7.5,0,DNM
2019-10-17,7.5,7.5,7.5,7.5,0,DNM
2019-10-18,7.5,7.5,7.5,7.5,0,DNM
2019-10-21,7.58,7.67,7.58,7.67,4600,DNM
2019-10-22,7.75,7.83,7.75,7.83,3000,DNM
2019-10-23,7.83,7.92,7.83,7.92,7500,DNM
2019-10-24,8.17,8.25,8.17,8.25,9000,DNM
2019-10-25,8.25,8.25,8.25,8.25,0,DNM
2019-10-28,7.5,8.75,7.5,8.75,200,DNM
2019-10-29,7.92,8.08,7.92,8.08,3100,DNM
2019-10-30,8.08,8.08,8.08,8.08,4000,DNM
2019-10-31,7.33,7.5,7.33,7.5,200,DNM
2019-11-01,7.5,7.5,7.5,7.5,6800,DNM
2019-11-04,7.5,7.5,7.5,7.5,0,DNM
2019-11-05,7.5,7.5,7.5,7.5,0,DNM
2019-11-06,7.5,7.5,7.5,7.5,400,DNM
2019-11-07,7.58,7.58,7.58,7.58,200,DNM
2019-11-08,7.58,7.58,7.58,7.58,0,DNM
2019-11-11,7.58,7.58,7.58,7.58,0,DNM
2019-11-12,7.67,7.67,7.67,7.67,1000,DNM
2019-11-13,7.67,7.67,7.67,7.67,800,DNM
2019-11-14,7.67,7.67,7.67,7.67,0,DNM
2019-11-15,7.67,7.67,7.67,7.67,2900,DNM
2019-11-18,7.67,7.67,7.67,7.67,0,DNM
2019-11-19,7.5,7.5,7.25,7.25,1920,DNM
2019-11-20,7.25,7.25,7.25,7.25,0,DNM
2019-11-21,7.25,7.25,7.25,7.25,0,DNM
2019-11-22,7.25,7.25,7.25,7.25,0,DNM
2019-11-25,7.25,7.25,7.25,7.25,0,DNM
2019-11-26,7.25,7.25,7.25,7.25,0,DNM
2019-11-27,7.25,7.25,7.25,7.25,0,DNM
2019-11-28,7.25,7.25,7.25,7.25,0,DNM
2019-11-29,7.25,7.25,7.25,7.25,0,DNM
2019-12-02,7.25,7.25,7.25,7.25,0,DNM
2019-12-03,7.25,7.25,7.25,7.25,0,DNM
