time,open,high,low,close,volume,ticker
2020-07-30,9.78,9.78,9.78,9.78,0,DTT
2020-07-31,9.78,9.78,9.78,9.78,0,DTT
2020-08-03,10.44,10.44,10.44,10.44,30,DTT
2020-08-04,11.14,11.14,11.14,11.14,10,DTT
2020-08-05,11.89,11.89,11.89,11.89,4000,DTT
2020-08-06,11.89,11.89,11.89,11.89,0,DTT
2020-08-07,11.89,11.89,11.89,11.89,0,DTT
2020-08-10,11.89,11.89,11.89,11.89,0,DTT
2020-08-11,11.89,11.89,11.89,11.89,0,DTT
2020-08-12,11.89,11.89,11.89,11.89,0,DTT
2020-08-13,11.89,11.89,11.89,11.89,0,DTT
2020-08-14,11.89,11.89,11.89,11.89,80,DTT
2020-08-17,11.06,11.06,11.06,11.06,3010,DTT
2020-08-18,10.4,10.4,10.4,10.4,10,DTT
2020-08-19,9.74,9.74,9.74,9.74,4000,DTT
2020-08-20,9.74,9.74,9.74,9.74,0,DTT
2020-08-21,9.74,9.74,9.74,9.74,200,DTT
2020-08-24,9.74,9.74,9.74,9.74,0,DTT
2020-08-25,9.74,9.74,9.74,9.74,0,DTT
2020-08-26,9.74,9.74,9.74,9.74,0,DTT
2020-08-27,9.74,9.74,9.74,9.74,0,DTT
2020-08-28,9.74,9.74,9.74,9.74,0,DTT
2020-08-31,9.74,9.74,9.74,9.74,0,DTT
2020-09-01,9.74,9.74,9.74,9.74,0,DTT
2020-09-03,9.08,9.08,9.08,9.08,100,DTT
2020-09-04,9.7,9.7,9.7,9.7,10,DTT
2020-09-07,9.7,9.7,9.7,9.7,10,DTT
2020-09-08,9.7,9.7,9.7,9.7,310,DTT
2020-09-09,9.7,9.7,9.7,9.7,0,DTT
2020-09-10,9.04,9.7,9.04,9.7,20,DTT
2020-09-11,9.7,9.7,9.7,9.7,0,DTT
2020-09-14,9.7,9.7,9.7,9.7,0,DTT
2020-09-15,9.12,9.12,9.12,9.12,10,DTT
2020-09-16,9.12,9.12,9.12,9.12,0,DTT
2020-09-17,8.5,8.5,8.5,8.5,10,DTT
2020-09-18,7.92,7.92,7.92,7.92,10,DTT
2020-09-21,7.92,7.92,7.92,7.92,0,DTT
2020-09-22,7.92,7.92,7.92,7.92,0,DTT
2020-09-23,7.37,7.37,7.37,7.37,10,DTT
2020-09-24,7.37,7.37,7.37,7.37,0,DTT
2020-09-25,7.45,7.45,7.44,7.44,100,DTT
2020-09-28,7.44,7.44,7.44,7.44,0,DTT
2020-09-29,7.44,7.44,7.44,7.44,0,DTT
2020-09-30,7.38,7.38,7.38,7.38,10,DTT
2020-10-01,7.38,7.38,7.38,7.38,0,DTT
2020-10-02,7.38,7.38,7.38,7.38,0,DTT
2020-10-05,7.89,7.89,7.89,7.89,50,DTT
2020-10-06,7.88,8.42,7.88,8.42,60,DTT
2020-10-07,7.9,9.0,7.9,9.0,800,DTT
