time,open,high,low,close,volume,ticker
2020-10-23,8.13,8.13,8.13,8.13,0,DVC
2020-10-26,8.13,8.13,8.13,8.13,0,DVC
2020-10-27,8.13,8.13,8.13,8.13,0,DVC
2020-10-28,8.13,8.13,8.13,8.13,0,DVC
2020-10-29,8.13,8.13,8.13,8.13,0,DVC
2020-10-30,8.13,8.13,8.13,8.13,0,DVC
2020-11-02,8.13,8.13,8.13,8.13,0,DVC
2020-11-03,8.13,8.13,8.13,8.13,0,DVC
2020-11-04,8.13,8.13,8.13,8.13,0,DVC
2020-11-05,8.13,8.13,8.13,8.13,0,DVC
2020-11-06,8.13,8.13,8.13,8.13,0,DVC
2020-11-09,8.13,8.13,8.13,8.13,0,DVC
2020-11-10,8.13,8.13,8.13,8.13,0,DVC
2020-11-11,8.13,8.13,8.13,8.13,0,DVC
2020-11-12,8.13,8.13,8.13,8.13,0,DVC
2020-11-13,8.13,8.13,8.13,8.13,0,DVC
2020-11-16,8.13,8.13,8.13,8.13,0,DVC
2020-11-17,8.13,8.13,8.13,8.13,0,DVC
2020-11-18,8.13,8.13,8.13,8.13,0,DVC
2020-11-19,8.13,8.13,8.13,8.13,0,DVC
2020-11-20,8.06,8.06,8.06,8.06,500,DVC
2020-11-23,8.06,8.06,8.06,8.06,0,DVC
2020-11-24,8.06,8.06,8.06,8.06,0,DVC
2020-11-25,8.06,8.06,8.06,8.06,0,DVC
2020-11-26,8.06,8.06,8.06,8.06,0,DVC
2020-11-27,8.06,8.06,8.06,8.06,0,DVC
2020-11-30,8.06,8.06,8.06,8.06,100,DVC
2020-12-01,8.06,8.06,7.92,7.92,600,DVC
2020-12-02,8.06,7.92,7.92,7.92,0,DVC
2020-12-03,7.92,7.92,7.92,7.92,100,DVC
2020-12-04,7.92,7.92,7.92,7.92,0,DVC
2020-12-07,7.92,7.92,7.92,7.92,0,DVC
2020-12-08,7.92,7.92,7.92,7.92,0,DVC
2020-12-09,7.92,7.92,7.92,7.92,0,DVC
2020-12-10,7.92,7.92,7.92,7.92,0,DVC
2020-12-11,7.92,7.92,7.92,7.92,0,DVC
2020-12-14,7.2,7.2,7.2,7.2,200100,DVC
2020-12-15,6.12,6.12,6.12,6.12,2400,DVC
2020-12-16,6.48,6.55,6.48,6.55,353400,DVC
2020-12-17,6.48,6.48,6.48,6.48,100,DVC
2020-12-18,6.41,6.41,5.76,5.76,210600,DVC
2020-12-21,5.83,5.83,5.76,5.76,600,DVC
2020-12-22,5.83,5.83,5.83,5.83,1000,DVC
2020-12-23,5.97,6.62,5.76,5.76,23100,DVC
2020-12-24,6.45,6.45,6.45,6.45,100,DVC
2020-12-25,6.22,6.3,6.14,6.14,26300,DVC
2020-12-28,6.3,6.6,6.3,6.3,3620,DVC
2020-12-29,6.14,6.14,6.14,6.14,5600,DVC
2020-12-30,6.3,6.3,6.3,6.3,700,DVC
2020-12-31,6.6,6.6,6.6,6.6,220,DVC
2021-01-04,6.6,6.6,6.6,6.6,49,DVC
2021-01-05,6.91,6.91,6.76,6.76,3100,DVC
2021-01-06,6.83,6.83,6.83,6.83,2000,DVC
2021-01-07,6.83,6.83,6.83,6.83,500,DVC
2021-01-08,6.14,6.53,6.14,6.53,400,DVC
2021-01-11,6.22,6.53,6.53,6.53,0,DVC
2021-01-12,6.22,6.53,6.53,6.53,0,DVC
2021-01-13,6.53,6.68,6.53,6.68,13500,DVC
2021-01-14,6.53,6.68,6.68,6.68,0,DVC
2021-01-15,7.06,7.29,7.06,7.29,2800,DVC
2021-01-18,6.37,7.29,6.37,7.29,3880,DVC
2021-01-19,6.53,6.53,6.53,6.53,1700,DVC
2021-01-20,6.53,7.29,6.53,6.53,4200,DVC
2021-01-21,7.29,7.29,6.53,7.29,5260,DVC
2021-01-22,6.99,6.99,6.99,6.99,0,DVC
2021-01-25,6.76,6.99,6.53,6.99,47000,DVC
2021-01-26,6.99,6.99,6.99,6.99,1100,DVC
2021-01-27,6.53,6.99,6.53,6.99,1560,DVC
2021-01-28,6.3,6.3,6.14,6.14,3400,DVC
2021-01-29,6.91,6.99,6.91,6.99,1700,DVC
2021-02-01,6.91,6.91,6.91,6.91,1100,DVC
2021-02-02,6.91,6.99,6.91,6.99,3500,DVC
2021-02-03,6.99,7.06,6.91,7.06,5200,DVC
2021-02-04,6.99,7.06,7.06,7.06,0,DVC
2021-02-05,6.99,7.06,7.06,7.06,0,DVC
