time,open,high,low,close,volume,ticker
2020-12-21,13.39,13.71,13.11,13.34,3266210,FRT
2020-12-22,13.34,13.46,13.11,13.25,2618660,FRT
2020-12-23,13.3,13.98,13.07,13.39,3123300,FRT
2020-12-24,13.39,13.66,12.61,13.43,2844200,FRT
2020-12-25,13.53,14.37,13.5,14.37,4318930,FRT
2020-12-28,14.9,15.27,14.37,15.08,3126960,FRT
2020-12-29,14.99,15.27,14.67,14.95,1924500,FRT
2020-12-30,14.81,15.2,14.49,14.67,3619030,FRT
2020-12-31,14.67,14.99,14.53,14.67,1780550,FRT
2021-01-04,14.76,15.08,14.76,14.81,1591800,FRT
2021-01-05,14.67,15.5,14.63,14.99,2391600,FRT
2021-01-06,15.18,15.27,14.86,14.9,2525900,FRT
2021-01-07,14.9,15.75,14.7,15.73,3163300,FRT
2021-01-08,15.77,15.82,15.41,15.57,2531800,FRT
2021-01-11,15.57,15.8,15.36,15.66,1875400,FRT
2021-01-12,15.61,15.7,15.36,15.68,1629000,FRT
2021-01-13,15.96,16.16,15.68,15.73,2459600,FRT
2021-01-14,15.96,16.0,15.59,15.7,1277200,FRT
2021-01-15,15.7,16.0,15.54,15.54,1573900,FRT
2021-01-18,15.59,16.28,15.08,15.75,3107300,FRT
2021-01-19,15.75,16.23,14.65,14.65,2406400,FRT
2021-01-20,14.67,14.9,13.64,14.35,1924400,FRT
2021-01-21,14.67,15.27,14.31,15.08,1604900,FRT
2021-01-22,15.08,15.5,14.7,14.99,1475400,FRT
2021-01-25,14.99,15.43,14.74,14.99,1131500,FRT
2021-01-26,14.95,14.95,13.96,13.98,1818900,FRT
2021-01-27,13.89,13.98,13.02,13.02,2225200,FRT
2021-01-28,12.13,12.13,12.13,12.13,675200,FRT
2021-01-29,11.28,12.61,11.28,12.01,2478800,FRT
2021-02-01,11.94,12.15,11.19,11.19,2543500,FRT
2021-02-02,10.57,11.46,10.43,11.1,2015200,FRT
2021-02-03,11.46,11.85,11.1,11.85,1187500,FRT
2021-02-04,12.1,12.59,11.92,12.29,1648100,FRT
2021-02-05,12.29,12.61,12.1,12.38,938100,FRT
2021-02-08,12.43,12.45,11.53,11.88,1833600,FRT
2021-02-09,11.88,12.15,11.42,12.06,1217600,FRT
2021-02-17,12.1,12.82,12.1,12.82,1211100,FRT
2021-02-18,12.84,13.07,12.7,12.93,1353000,FRT
2021-02-19,12.93,13.66,12.75,13.37,1686300,FRT
2021-02-22,13.66,13.73,13.27,13.46,1566600,FRT
2021-02-23,13.34,13.57,13.25,13.32,1274700,FRT
2021-02-24,13.34,13.48,12.4,13.02,1976300,FRT
2021-02-25,13.16,13.21,12.61,12.86,1280200,FRT
2021-02-26,12.61,13.16,12.56,12.84,929400,FRT
2021-03-01,13.07,13.09,12.88,13.04,992000,FRT
2021-03-02,13.3,13.53,13.04,13.3,2449700,FRT
2021-03-03,13.21,13.32,13.07,13.16,1346400,FRT
2021-03-04,13.21,13.25,12.61,12.75,1403100,FRT
2021-03-05,12.61,12.79,12.33,12.7,1268900,FRT
2021-03-08,13.07,13.07,12.7,12.75,1346700,FRT
2021-03-09,12.68,12.84,12.49,12.65,1236000,FRT
2021-03-10,12.65,13.07,12.61,12.93,1692900,FRT
2021-03-11,13.25,13.37,13.04,13.25,1944100,FRT
2021-03-12,13.34,13.48,13.07,13.25,1482700,FRT
2021-03-15,13.3,13.34,13.04,13.09,1808700,FRT
2021-03-16,13.09,13.09,12.84,12.98,1237600,FRT
2021-03-17,13.23,13.87,13.16,13.87,5340300,FRT
