time,open,high,low,close,volume,ticker
2020-08-17,9.59,9.7,9.59,9.7,328200,GKM
2020-08-18,9.59,9.64,9.25,9.59,205800,GKM
2020-08-19,9.47,9.47,9.08,9.36,150500,GKM
2020-08-20,9.36,9.64,9.14,9.64,200300,GKM
2020-08-21,9.59,9.64,9.47,9.47,70200,GKM
2020-08-24,9.47,9.47,8.97,9.36,191400,GKM
2020-08-25,9.31,9.59,9.14,9.59,104100,GKM
2020-08-26,9.59,9.59,8.97,9.59,133600,GKM
2020-08-27,9.31,9.42,9.14,9.42,189800,GKM
2020-08-28,9.31,9.7,9.02,9.7,119800,GKM
2020-08-31,9.47,9.59,9.36,9.47,303800,GKM
2020-09-01,9.31,9.53,9.31,9.53,202900,GKM
2020-09-03,9.42,9.53,9.36,9.53,222600,GKM
2020-09-04,9.36,9.53,9.31,9.36,31000,GKM
2020-09-07,9.36,9.42,9.19,9.31,172400,GKM
2020-09-08,9.31,9.42,9.25,9.42,265401,GKM
2020-09-09,9.14,9.36,9.14,9.36,147200,GKM
2020-09-10,9.31,9.36,9.19,9.36,181200,GKM
2020-09-11,9.31,9.31,9.25,9.31,182800,GKM
2020-09-14,9.31,9.31,9.02,9.31,268100,GKM
2020-09-15,9.19,9.25,9.19,9.25,125100,GKM
2020-09-16,9.25,9.25,9.25,9.25,110000,GKM
2020-09-17,9.19,9.25,9.19,9.25,266900,GKM
2020-09-18,9.19,9.25,9.08,9.25,151700,GKM
2020-09-21,9.19,9.25,9.19,9.25,397800,GKM
2020-09-22,9.19,9.31,9.19,9.31,148600,GKM
2020-09-23,9.31,9.31,9.25,9.31,33100,GKM
2020-09-24,9.19,9.31,9.19,9.31,337500,GKM
2020-09-25,9.25,9.31,9.19,9.31,122700,GKM
2020-09-28,9.25,9.31,9.25,9.31,49100,GKM
2020-09-29,9.25,9.36,9.25,9.31,170600,GKM
2020-09-30,9.25,9.31,9.25,9.31,131100,GKM
2020-10-01,9.31,9.36,9.25,9.36,234700,GKM
2020-10-02,9.36,9.42,9.25,9.36,218000,GKM
2020-10-05,9.36,9.36,9.31,9.36,333100,GKM
2020-10-06,9.31,9.36,9.31,9.36,224300,GKM
2020-10-07,9.31,9.36,9.25,9.36,185100,GKM
2020-10-08,9.36,9.36,9.31,9.31,284200,GKM
2020-10-09,9.31,9.31,9.25,9.25,269100,GKM
2020-10-12,9.25,9.31,9.14,9.31,64100,GKM
2020-10-13,9.25,9.31,9.25,9.31,153400,GKM
2020-10-14,9.25,9.31,9.25,9.31,233300,GKM
2020-10-15,9.25,9.31,9.25,9.31,176100,GKM
2020-10-16,9.25,9.31,9.08,9.31,341300,GKM
2020-10-19,9.25,9.31,9.25,9.31,46900,GKM
2020-10-20,9.31,9.31,9.25,9.25,140700,GKM
2020-10-21,9.25,9.31,9.25,9.31,434200,GKM
2020-10-22,9.31,9.36,9.25,9.36,269400,GKM
2020-10-23,9.31,9.42,9.25,9.42,364300,GKM
2020-10-26,9.36,9.42,9.19,9.42,325100,GKM
2020-10-27,9.42,9.42,9.31,9.42,103800,GKM
2020-10-28,9.42,9.42,9.25,9.31,134800,GKM
2020-10-29,9.31,9.31,9.25,9.31,159200,GKM
2020-10-30,9.25,9.31,9.25,9.31,296600,GKM
2020-11-02,9.25,9.36,9.25,9.36,264400,GKM
2020-11-03,9.31,9.42,9.31,9.42,160600,GKM
2020-11-04,9.36,9.42,9.31,9.42,111800,GKM
2020-11-05,9.31,9.42,9.31,9.42,173300,GKM
2020-11-06,9.31,9.42,9.31,9.42,154500,GKM
2020-11-09,9.36,9.36,9.31,9.36,183700,GKM
2020-11-10,9.19,9.31,9.19,9.31,107400,GKM
2020-11-11,9.25,9.31,9.25,9.31,315900,GKM
2020-11-12,9.25,9.31,9.25,9.31,69200,GKM
2020-11-13,9.19,9.31,9.08,9.31,44700,GKM
2020-11-16,9.19,9.31,9.19,9.25,136500,GKM
2020-11-17,9.25,9.31,9.25,9.31,89400,GKM
2020-11-18,9.25,9.25,9.19,9.25,114300,GKM
2020-11-19,9.25,9.25,9.19,9.25,31700,GKM
2020-11-20,9.25,9.31,9.25,9.31,180300,GKM
2020-11-23,9.25,9.36,9.19,9.25,123400,GKM
2020-11-24,9.25,9.31,9.25,9.31,204400,GKM
2020-11-25,9.25,9.31,9.25,9.31,223100,GKM
2020-11-26,9.31,9.31,9.19,9.31,252300,GKM
2020-11-27,9.25,9.25,9.14,9.19,95200,GKM
2020-11-30,9.02,9.25,8.97,9.25,219400,GKM
2020-12-01,9.19,9.36,9.19,9.36,203200,GKM
2020-12-02,9.31,9.31,9.19,9.31,95700,GKM
2020-12-03,9.25,9.31,9.25,9.31,186400,GKM
2020-12-04,9.25,9.31,9.19,9.31,81100,GKM
2020-12-07,9.25,9.31,9.25,9.31,73100,GKM
2020-12-08,9.31,9.31,9.25,9.25,95600,GKM
2020-12-09,9.25,9.25,9.25,9.25,171600,GKM
2020-12-10,9.25,9.25,9.19,9.25,70000,GKM
2020-12-11,9.25,9.25,9.25,9.25,220300,GKM
2020-12-14,9.19,9.31,9.19,9.25,167410,GKM
2020-12-15,9.25,9.31,9.25,9.25,281100,GKM
2020-12-16,9.25,9.36,9.02,9.36,383700,GKM
2020-12-17,9.25,9.36,9.08,9.36,120000,GKM
2020-12-18,9.25,9.31,9.25,9.31,142700,GKM
2020-12-21,9.25,9.31,9.08,9.31,228300,GKM
2020-12-22,9.25,9.31,9.02,9.31,102700,GKM
2020-12-23,9.25,9.25,9.19,9.25,125600,GKM
2020-12-24,9.25,9.31,9.25,9.31,125800,GKM
2020-12-25,9.31,9.31,9.25,9.31,73705,GKM
2020-12-28,9.25,9.31,9.25,9.25,127100,GKM
2020-12-29,9.25,9.31,9.25,9.31,232912,GKM
2020-12-30,9.31,9.31,9.25,9.31,46300,GKM
2020-12-31,9.31,9.31,9.25,9.31,25223,GKM
2021-01-04,9.19,9.25,9.19,9.25,138125,GKM
2021-01-05,9.25,9.31,9.25,9.25,79800,GKM
2021-01-06,9.25,9.25,9.19,9.25,64500,GKM
2021-01-07,9.19,9.25,9.14,9.19,365110,GKM
2021-01-08,9.25,9.64,9.25,9.64,397975,GKM
2021-01-11,9.59,9.59,9.31,9.59,357700,GKM
2021-01-12,9.59,9.59,9.19,9.53,130600,GKM
2021-01-13,9.42,9.59,9.25,9.31,150700,GKM
2021-01-14,9.14,10.21,8.4,9.7,682805,GKM
2021-01-15,9.64,10.66,9.02,10.66,727500,GKM
2021-01-18,10.66,11.17,10.43,10.88,567561,GKM
2021-01-19,10.77,10.77,9.81,10.26,736600,GKM
2021-01-20,10.26,10.26,9.76,10.15,449500,GKM
2021-01-21,10.04,10.43,9.14,10.15,367400,GKM
2021-01-22,10.21,10.26,9.59,9.7,410826,GKM
2021-01-25,9.64,9.7,9.25,9.7,440192,GKM
2021-01-26,9.7,9.87,9.42,9.81,542950,GKM
2021-01-27,9.76,10.21,9.64,10.1,622088,GKM
2021-01-28,10.1,10.38,9.93,10.21,370129,GKM
2021-01-29,10.15,10.72,10.15,10.6,626700,GKM
2021-02-01,10.83,10.83,10.15,10.66,518763,GKM
2021-02-02,10.6,10.94,10.55,10.83,491800,GKM
2021-02-03,10.83,11.9,10.38,11.0,591390,GKM
2021-02-04,10.83,11.05,10.49,10.49,500500,GKM
2021-02-05,10.43,10.72,10.43,10.6,1260100,GKM
2021-02-08,10.6,10.77,10.55,10.66,568900,GKM
2021-02-09,10.66,10.88,10.66,10.77,940492,GKM
2021-02-17,10.83,10.88,10.6,10.77,436000,GKM
2021-02-18,10.77,10.83,10.38,10.38,415600,GKM
2021-02-19,10.38,10.43,9.59,9.87,392302,GKM
2021-02-22,9.87,9.87,9.25,9.47,416120,GKM
2021-02-23,9.53,9.7,9.25,9.53,655110,GKM
2021-02-24,9.59,9.64,9.31,9.47,802564,GKM
2021-02-25,9.53,9.53,9.31,9.47,546600,GKM
2021-02-26,9.36,9.53,9.02,9.19,590700,GKM
2021-03-01,9.14,9.31,9.14,9.31,615374,GKM
2021-03-02,9.31,9.47,9.14,9.31,790304,GKM
2021-03-03,9.25,9.36,9.02,9.14,834300,GKM
2021-03-04,9.19,9.25,8.91,8.97,526800,GKM
2021-03-05,9.02,9.02,8.8,9.02,466600,GKM
2021-03-08,9.02,9.14,8.57,8.91,589800,GKM
2021-03-09,8.85,8.91,8.74,8.91,861300,GKM
2021-03-10,8.91,9.14,8.85,9.14,506029,GKM
2021-03-11,9.14,9.31,8.91,9.14,431504,GKM
2021-03-12,9.14,9.19,8.8,9.02,496200,GKM
2021-03-15,9.02,9.08,8.74,8.8,461610,GKM
2021-03-16,8.8,8.97,8.57,8.8,561840,GKM
2021-03-17,8.85,8.85,8.74,8.8,824000,GKM
2021-03-18,8.74,8.91,8.57,8.85,354800,GKM
2021-03-19,8.8,8.85,8.57,8.74,603100,GKM
