time,open,high,low,close,volume,ticker
2020-12-21,8.39,8.39,8.39,8.39,2,HPB
2020-12-22,8.39,8.39,8.39,8.39,0,HPB
2020-12-23,8.39,8.39,8.39,8.39,0,HPB
2020-12-24,8.39,8.39,8.39,8.39,0,HPB
2020-12-25,8.39,8.39,8.39,8.39,317,HPB
2020-12-28,8.39,8.39,8.39,8.39,0,HPB
2020-12-29,8.39,8.39,8.39,8.39,0,HPB
2020-12-30,8.39,8.39,8.39,8.39,1100,HPB
2020-12-31,8.39,8.39,8.39,8.39,12,HPB
2021-01-04,8.39,8.39,8.39,8.39,0,HPB
2021-01-05,8.45,8.45,8.45,8.45,1000,HPB
2021-01-06,8.45,8.45,8.45,8.45,0,HPB
2021-01-07,8.45,8.5,8.45,8.5,3000,HPB
2021-01-08,8.88,8.88,8.88,8.88,400,HPB
2021-01-11,8.88,8.88,8.88,8.88,0,HPB
2021-01-12,8.88,8.88,8.88,8.88,10,HPB
2021-01-13,8.88,8.88,8.88,8.88,0,HPB
2021-01-14,8.88,8.88,8.88,8.88,0,HPB
2021-01-15,8.88,8.88,8.88,8.88,0,HPB
2021-01-18,8.88,8.88,8.88,8.88,0,HPB
2021-01-19,8.88,8.88,8.88,8.88,0,HPB
2021-01-20,8.88,8.88,8.88,8.88,0,HPB
2021-01-21,8.88,8.88,8.88,8.88,0,HPB
2021-01-22,8.88,8.88,8.88,8.88,0,HPB
2021-01-25,9.14,9.14,9.14,9.14,2900,HPB
2021-01-26,9.25,9.25,9.25,9.25,100,HPB
2021-01-27,9.25,9.25,9.25,9.25,0,HPB
2021-01-28,9.25,9.25,9.25,9.25,2,HPB
2021-01-29,9.25,9.25,9.25,9.25,0,HPB
2021-02-01,9.25,9.25,9.25,9.25,0,HPB
2021-02-02,9.25,9.25,9.25,9.25,0,HPB
2021-02-03,9.25,9.25,9.25,9.25,0,HPB
2021-02-04,9.25,9.25,9.25,9.25,0,HPB
2021-02-05,9.25,9.25,9.25,9.25,0,HPB
2021-02-08,9.25,9.25,9.25,9.25,0,HPB
2021-02-09,9.25,9.25,9.25,9.25,0,HPB
2021-02-17,9.25,9.25,9.25,9.25,0,HPB
2021-02-18,9.25,9.25,9.25,9.25,0,HPB
2021-02-19,9.25,9.25,9.25,9.25,0,HPB
2021-02-22,9.25,9.25,9.25,9.25,0,HPB
2021-02-23,9.25,9.25,9.25,9.25,0,HPB
2021-02-24,9.25,9.25,9.25,9.25,0,HPB
2021-02-25,9.47,10.6,9.41,10.6,459,HPB
2021-02-26,10.01,10.6,10.6,10.6,0,HPB
2021-03-01,10.01,10.27,10.01,10.27,2500,HPB
2021-03-02,10.27,10.49,10.27,10.49,6700,HPB
2021-03-03,10.44,10.44,10.44,10.44,200,HPB
2021-03-04,11.25,11.25,11.25,11.25,100,HPB
2021-03-05,11.08,11.08,10.79,10.79,200,HPB
2021-03-08,10.96,10.79,10.79,10.79,0,HPB
2021-03-09,10.96,10.79,10.79,10.79,0,HPB
2021-03-10,10.03,10.03,9.85,9.85,859,HPB
2021-03-11,9.91,9.85,9.85,9.85,0,HPB
2021-03-12,9.74,9.74,9.74,9.74,200,HPB
2021-03-15,9.33,9.33,9.33,9.33,300,HPB
2021-03-16,9.33,9.33,9.33,9.33,700,HPB
2021-03-17,9.33,9.33,9.33,9.33,0,HPB
2021-03-18,9.33,9.33,9.33,9.33,0,HPB
2021-03-19,9.33,9.33,9.33,9.33,0,HPB
2021-03-22,9.33,9.33,9.33,9.33,0,HPB
2021-03-23,9.33,9.33,9.33,9.33,0,HPB
2021-03-24,9.33,9.33,9.33,9.33,17,HPB
2021-03-25,9.33,9.33,9.33,9.33,198,HPB
2021-03-26,9.39,9.39,9.39,9.39,200,HPB
2021-03-29,9.39,9.39,9.39,9.39,0,HPB
2021-03-30,9.91,9.91,9.91,9.91,898,HPB
2021-03-31,10.5,10.5,10.5,10.5,117,HPB
2021-04-01,10.5,10.5,10.32,10.32,300,HPB
2021-04-02,9.91,10.32,9.91,10.32,600,HPB
2021-04-05,9.91,9.91,9.91,9.91,100,HPB
2021-04-06,9.91,9.91,9.91,9.91,317,HPB
2021-04-07,9.91,9.91,9.91,9.91,100,HPB
2021-04-08,9.91,9.91,9.91,9.91,1500,HPB
2021-04-09,9.91,9.91,9.91,9.91,0,HPB
2021-04-12,9.91,9.91,9.91,9.91,0,HPB
2021-04-13,9.97,9.97,9.97,9.97,710,HPB
2021-04-14,9.97,9.97,9.97,9.97,0,HPB
2021-04-15,9.97,9.97,9.97,9.97,500,HPB
2021-04-16,9.97,9.97,9.97,9.97,0,HPB
2021-04-19,9.97,9.97,9.97,9.97,0,HPB
2021-04-20,10.2,10.2,10.2,10.2,100,HPB
2021-04-22,10.2,10.2,10.2,10.2,0,HPB
2021-04-23,10.2,10.2,10.2,10.2,0,HPB
2021-04-26,10.2,10.2,10.2,10.2,0,HPB
2021-04-27,10.2,10.2,10.2,10.2,0,HPB
