time,open,high,low,close,volume,ticker
2020-12-21,18.88,18.91,18.34,18.34,46089,IDV
2020-12-22,18.34,18.61,17.94,18.61,87911,IDV
2020-12-23,18.68,19.98,18.68,18.78,19040,IDV
2020-12-24,18.78,18.94,18.44,18.94,35200,IDV
2020-12-25,18.84,18.98,18.48,18.94,9316,IDV
2020-12-28,18.74,18.74,18.58,18.61,18924,IDV
2020-12-29,18.61,18.61,18.48,18.48,13823,IDV
2020-12-30,18.48,18.71,18.48,18.64,7400,IDV
2020-12-31,18.64,18.64,18.51,18.64,5046,IDV
2021-01-04,18.64,18.68,18.44,18.44,34300,IDV
2021-01-05,18.48,18.61,18.38,18.61,24440,IDV
2021-01-06,18.61,18.61,18.48,18.58,19700,IDV
2021-01-07,18.58,18.61,18.51,18.58,25400,IDV
2021-01-08,18.58,18.61,18.34,18.48,44600,IDV
2021-01-11,18.51,18.61,18.48,18.51,17600,IDV
2021-01-12,18.58,20.35,18.58,20.35,87300,IDV
2021-01-13,20.51,20.95,19.81,19.98,57000,IDV
2021-01-14,19.98,20.28,19.75,20.28,25000,IDV
2021-01-15,20.31,20.35,19.98,20.25,28836,IDV
2021-01-18,20.25,20.35,20.01,20.05,39727,IDV
2021-01-19,20.18,20.18,19.51,19.65,67900,IDV
2021-01-20,19.51,19.95,19.41,19.85,22600,IDV
2021-01-21,19.81,19.91,19.31,19.31,75119,IDV
2021-01-22,19.31,19.98,19.31,19.61,19802,IDV
2021-01-25,19.55,20.18,19.48,20.01,19500,IDV
2021-01-26,19.75,20.01,19.55,20.01,24600,IDV
2021-01-27,19.98,20.01,19.38,19.38,35433,IDV
2021-01-28,19.35,19.35,17.44,18.18,50900,IDV
2021-01-29,18.18,19.01,18.01,19.01,4600,IDV
2021-02-01,18.34,18.94,18.21,18.84,6800,IDV
2021-02-02,18.54,18.81,18.31,18.81,16000,IDV
2021-02-03,18.51,19.01,18.48,18.71,4200,IDV
2021-02-04,18.71,19.01,18.68,19.01,4400,IDV
2021-02-05,18.78,19.31,18.71,19.01,10000,IDV
2021-02-08,19.01,19.01,18.68,18.88,17600,IDV
2021-02-09,18.68,18.88,18.38,18.81,38626,IDV
2021-02-17,18.81,19.35,18.81,19.35,12400,IDV
2021-02-18,19.01,19.28,18.98,19.14,13301,IDV
2021-02-19,19.08,19.85,19.04,19.31,76139,IDV
2021-02-22,19.35,19.45,19.24,19.24,23900,IDV
2021-02-23,19.28,19.48,19.24,19.48,18300,IDV
2021-02-24,19.35,19.71,19.35,19.68,19100,IDV
2021-02-25,20.11,21.35,20.11,21.35,106579,IDV
2021-02-26,21.35,22.11,21.25,21.55,36500,IDV
2021-03-01,22.18,23.68,21.85,23.68,99913,IDV
2021-03-02,23.85,24.51,22.95,23.35,46400,IDV
2021-03-03,23.68,23.68,22.85,23.31,14863,IDV
2021-03-04,23.35,23.35,21.68,22.71,53900,IDV
2021-03-05,22.71,22.71,22.05,22.68,22710,IDV
2021-03-08,23.35,23.51,22.81,23.51,20820,IDV
2021-03-09,23.51,24.35,23.21,23.68,34530,IDV
2021-03-10,23.68,23.85,23.21,23.85,26320,IDV
2021-03-11,23.85,24.51,23.78,24.18,37410,IDV
2021-03-12,24.08,24.35,24.05,24.28,22700,IDV
2021-03-15,24.28,25.18,24.21,25.18,39320,IDV
2021-03-16,25.68,26.25,24.88,26.25,46200,IDV
2021-03-17,26.18,27.25,26.18,27.18,39669,IDV
2021-03-18,27.18,27.35,26.55,26.55,15300,IDV
2021-03-19,26.55,26.85,26.28,26.85,6520,IDV
2021-03-22,26.68,26.85,26.25,26.35,35810,IDV
2021-03-23,26.35,26.68,26.35,26.65,20000,IDV
2021-03-24,26.38,26.65,26.25,26.58,21600,IDV
2021-03-25,23.95,27.68,23.95,27.35,29168,IDV
2021-03-26,27.35,27.68,26.02,26.02,32600,IDV
2021-03-29,27.35,27.35,26.05,26.35,14920,IDV
2021-03-30,26.35,26.35,26.02,26.35,9150,IDV
2021-03-31,26.35,26.52,26.05,26.52,6600,IDV
2021-04-01,26.35,26.68,26.35,26.65,13917,IDV
2021-04-02,26.38,29.28,26.02,29.28,127773,IDV
2021-04-05,29.35,31.35,27.68,30.62,57610,IDV
2021-04-06,29.08,30.65,28.38,29.35,26857,IDV
2021-04-07,28.85,29.02,28.35,28.78,22600,IDV
2021-04-08,28.42,28.68,27.68,27.68,43300,IDV
2021-04-09,27.68,27.68,26.68,27.18,83000,IDV
2021-04-12,27.18,27.18,25.68,26.22,94926,IDV
2021-04-13,26.18,26.28,23.68,23.98,94926,IDV
2021-04-14,23.68,24.38,22.08,24.38,205860,IDV
2021-04-15,24.35,24.35,23.01,23.51,60691,IDV
2021-04-16,23.35,23.35,22.35,22.68,58400,IDV
2021-04-19,22.65,22.68,22.18,22.21,65600,IDV
2021-04-20,22.35,22.68,21.48,22.21,69265,IDV
2021-04-22,22.21,23.01,21.55,21.55,71700,IDV
2021-04-23,21.55,22.78,21.41,22.65,37800,IDV
2021-04-26,22.05,22.61,22.01,22.05,23300,IDV
2021-04-27,22.05,22.45,21.85,22.45,23100,IDV
2021-04-28,22.38,22.58,22.28,22.41,33100,IDV
2021-04-29,22.51,24.51,22.51,24.18,68600,IDV
2021-05-04,24.01,24.01,23.35,23.85,22550,IDV
2021-05-05,24.65,24.65,23.81,23.95,13725,IDV
2021-05-06,23.95,24.15,22.91,23.35,34400,IDV
2021-05-07,23.41,23.41,22.35,22.75,41000,IDV
2021-05-10,22.68,22.68,22.01,22.31,27600,IDV
2021-05-11,22.38,23.01,22.35,22.71,9700,IDV
2021-05-12,22.75,24.35,22.68,24.31,43400,IDV
2021-05-13,24.01,24.01,23.48,23.51,4500,IDV
2021-05-14,23.61,23.61,23.38,23.51,22800,IDV
2021-05-17,23.41,23.41,22.75,23.31,21300,IDV
2021-05-18,23.01,23.35,22.91,23.31,3120,IDV
2021-05-19,23.31,23.35,23.31,23.35,6100,IDV
2021-05-20,23.35,23.35,22.38,22.55,15900,IDV
2021-05-21,22.61,22.95,22.61,22.88,8100,IDV
2021-05-24,22.88,23.31,22.85,23.18,8800,IDV
2021-05-25,23.01,23.01,22.41,22.68,11150,IDV
2021-05-26,22.61,22.65,22.38,22.65,14800,IDV
2021-05-27,22.65,23.71,22.25,23.11,32820,IDV
2021-05-28,22.68,23.61,22.41,23.28,21509,IDV
