time,open,high,low,close,volume,ticker
2020-03-12,11.04,11.04,11.04,11.04,0,KCE
2020-03-13,11.04,11.04,11.04,11.04,0,KCE
2020-03-16,11.04,11.04,11.04,11.04,0,KCE
2020-03-17,11.04,11.04,11.04,11.04,0,KCE
2020-03-18,11.04,11.04,11.04,11.04,0,KCE
2020-03-19,11.04,11.04,11.04,11.04,0,KCE
2020-03-20,11.04,11.04,11.04,11.04,0,KCE
2020-03-23,11.04,11.04,11.04,11.04,0,KCE
2020-03-24,11.04,11.04,11.04,11.04,0,KCE
2020-03-25,11.04,11.04,11.04,11.04,0,KCE
2020-03-26,11.04,11.04,11.04,11.04,0,KCE
2020-03-27,11.04,11.04,11.04,11.04,0,KCE
2020-03-30,11.04,11.04,11.04,11.04,0,KCE
2020-03-31,11.04,11.04,11.04,11.04,0,KCE
2020-04-01,11.04,11.04,11.04,11.04,0,KCE
2020-04-03,11.04,11.04,11.04,11.04,0,KCE
2020-04-06,11.04,11.04,11.04,11.04,0,KCE
2020-04-07,11.04,11.04,11.04,11.04,0,KCE
2020-04-08,11.04,11.04,11.04,11.04,0,KCE
2020-04-09,11.04,11.04,11.04,11.04,0,KCE
2020-04-10,11.04,11.04,11.04,11.04,0,KCE
2020-04-13,11.04,11.04,11.04,11.04,0,KCE
2020-04-14,11.04,11.04,11.04,11.04,0,KCE
2020-04-15,11.04,11.04,11.04,11.04,0,KCE
2020-04-16,11.04,11.04,11.04,11.04,0,KCE
2020-04-17,11.04,11.04,11.04,11.04,0,KCE
2020-04-20,11.04,11.04,11.04,11.04,0,KCE
2020-04-21,11.04,11.04,11.04,11.04,0,KCE
2020-04-22,10.9,10.9,10.9,10.9,100,KCE
2020-04-23,10.9,10.9,10.9,10.9,0,KCE
2020-04-24,10.9,10.9,10.9,10.9,0,KCE
2020-04-27,10.9,10.9,10.9,10.9,0,KCE
2020-04-28,10.9,10.9,10.9,10.9,0,KCE
2020-04-29,10.9,10.9,10.9,10.9,0,KCE
2020-05-04,10.9,10.9,10.9,10.9,0,KCE
2020-05-05,10.9,10.9,10.9,10.9,0,KCE
2020-05-06,10.9,10.9,10.9,10.9,0,KCE
2020-05-07,10.9,10.9,10.9,10.9,0,KCE
2020-05-08,10.9,10.9,10.9,10.9,0,KCE
2020-05-11,10.9,10.9,10.9,10.9,0,KCE
2020-05-12,10.9,10.9,10.9,10.9,0,KCE
2020-05-13,10.9,10.9,10.9,10.9,0,KCE
2020-05-14,10.9,10.9,10.9,10.9,0,KCE
2020-05-15,9.32,9.32,9.32,9.32,100,KCE
2020-05-18,9.32,9.32,9.32,9.32,0,KCE
2020-05-19,9.32,9.32,9.32,9.32,0,KCE
2020-05-20,9.32,9.32,9.32,9.32,0,KCE
2020-05-21,9.32,9.32,9.32,9.32,0,KCE
2020-05-22,9.32,9.32,9.32,9.32,0,KCE
2020-05-25,9.32,9.32,9.32,9.32,0,KCE
2020-05-26,7.95,7.95,7.95,7.95,1000,KCE
2020-05-27,7.4,7.95,7.4,7.88,1000,KCE
2020-05-28,7.82,7.88,7.88,7.88,0,KCE
2020-05-29,7.82,7.88,7.88,7.88,0,KCE
2020-06-01,7.82,7.88,7.88,7.88,0,KCE
2020-06-02,7.82,7.88,7.88,7.88,0,KCE
2020-06-03,7.82,7.88,7.88,7.88,0,KCE
2020-06-04,7.82,7.88,7.88,7.88,0,KCE
2020-06-05,6.86,6.86,6.86,6.86,500,KCE
2020-06-08,7.82,7.82,7.82,7.82,100,KCE
2020-06-09,7.82,7.82,7.82,7.82,0,KCE
2020-06-10,7.82,7.82,7.82,7.82,0,KCE
2020-06-11,7.82,7.82,7.82,7.82,0,KCE
2020-06-12,7.82,7.82,7.82,7.82,0,KCE
2020-06-15,7.82,7.82,7.82,7.82,0,KCE
2020-06-16,7.82,7.82,7.82,7.82,0,KCE
2020-06-17,7.82,7.82,7.82,7.82,0,KCE
2020-06-18,7.82,7.82,7.82,7.82,0,KCE
2020-06-19,8.89,8.89,8.89,8.89,100,KCE
2020-06-22,7.6,7.6,7.6,7.6,1000,KCE
2020-06-23,7.6,7.6,7.6,7.6,0,KCE
2020-06-24,8.6,8.6,8.6,8.6,100,KCE
2020-06-25,8.6,8.6,8.6,8.6,0,KCE
2020-06-26,8.6,8.6,8.6,8.6,0,KCE
2020-06-29,7.31,7.31,7.31,7.31,100,KCE
2020-06-30,7.31,7.31,7.31,7.31,0,KCE
2020-07-01,7.31,7.31,7.31,7.31,0,KCE
2020-07-02,7.31,7.31,7.31,7.31,0,KCE
2020-07-03,7.31,7.31,7.31,7.31,0,KCE
2020-07-06,7.31,7.31,7.31,7.31,0,KCE
2020-07-07,7.31,7.31,7.31,7.31,0,KCE
2020-07-08,7.31,7.31,7.31,7.31,0,KCE
2020-07-09,7.31,7.31,7.31,7.31,0,KCE
2020-07-10,7.31,7.31,7.31,7.31,0,KCE
