time,open,high,low,close,volume,ticker
2026-01-15,25.0,25.0,25.0,25.0,2800,KHX
2026-01-16,27.0,27.0,27.0,27.0,700,KHX
2026-01-19,27.0,27.0,26.0,26.0,1700,KHX
2026-01-20,25.0,25.0,25.0,25.0,500,KHX
2026-01-21,25.0,25.0,25.0,25.0,500,KHX
2026-01-22,25.0,25.0,25.0,25.0,300,KHX
2026-01-23,24.0,24.0,24.0,24.0,700,KHX
2026-01-27,24.0,24.0,24.0,24.0,300,KHX
2026-02-03,23.5,23.5,23.5,23.5,200,KHX
2026-02-05,23.5,23.5,20.0,21.8,400,KHX
2026-02-11,21.8,21.8,21.8,21.8,100,KHX
2026-02-13,20.0,20.0,20.0,20.0,100,KHX
2026-02-27,19.2,19.2,19.0,19.0,200,KHX
2026-03-03,19.0,19.0,19.0,19.0,200,KHX
2026-03-04,20.0,20.0,19.0,19.0,900,KHX
2026-03-06,18.8,19.0,18.8,19.0,500,KHX
2026-03-09,19.0,19.0,19.0,19.0,100,KHX
2026-03-10,20.0,20.0,20.0,20.0,100,KHX
2026-03-11,20.0,20.0,20.0,20.0,200,KHX
2026-03-16,17.6,20.0,17.6,20.0,400,KHX
