time,open,high,low,close,volume,ticker
2020-09-30,9.15,9.15,9.15,9.15,100,KTC
2020-10-01,9.15,9.15,9.15,9.15,0,KTC
2020-10-02,10.04,10.04,10.04,10.04,200,KTC
2020-10-05,10.04,10.04,10.04,10.04,0,KTC
2020-10-06,10.04,10.04,10.04,10.04,0,KTC
2020-10-07,10.84,10.84,10.04,10.04,200,KTC
2020-10-08,11.64,11.64,9.64,9.64,300,KTC
2020-10-09,10.6,9.64,9.64,9.64,0,KTC
2020-10-12,10.6,9.64,9.64,9.64,0,KTC
2020-10-13,9.23,9.23,9.23,9.23,100,KTC
2020-10-14,9.23,9.23,8.83,8.83,200,KTC
2020-10-15,9.48,9.48,9.48,9.48,2200,KTC
2020-10-16,9.48,9.48,9.48,9.48,0,KTC
2020-10-19,8.83,8.83,8.83,8.83,1500,KTC
2020-10-20,8.83,8.83,8.83,8.83,0,KTC
2020-10-21,8.83,8.83,8.83,8.83,0,KTC
2020-10-22,8.03,8.03,8.03,8.03,400,KTC
2020-10-23,8.03,8.03,8.03,8.03,0,KTC
2020-10-26,8.03,8.03,8.03,8.03,0,KTC
2020-10-27,8.03,8.03,8.03,8.03,2100,KTC
2020-10-28,7.23,7.23,7.23,7.23,100,KTC
2020-10-29,7.23,7.23,7.23,7.23,0,KTC
2020-10-30,8.19,8.19,8.19,8.19,100,KTC
2020-11-02,8.19,8.19,8.19,8.19,0,KTC
2020-11-03,8.19,8.19,8.19,8.19,0,KTC
2020-11-04,8.19,8.19,8.19,8.19,0,KTC
2020-11-05,8.19,8.19,8.19,8.19,0,KTC
2020-11-06,8.19,8.19,8.19,8.19,0,KTC
2020-11-09,8.19,8.19,8.19,8.19,0,KTC
2020-11-10,8.19,8.19,8.19,8.19,0,KTC
2020-11-11,8.19,8.19,8.19,8.19,0,KTC
2020-11-12,8.19,8.19,8.19,8.19,0,KTC
2020-11-13,8.19,8.19,8.19,8.19,0,KTC
2020-11-16,8.19,8.19,8.19,8.19,0,KTC
2020-11-17,8.19,8.19,8.19,8.19,0,KTC
2020-11-18,8.19,8.19,8.19,8.19,0,KTC
2020-11-19,7.55,8.03,7.55,8.03,600,KTC
2020-11-20,7.95,8.03,8.03,8.03,0,KTC
2020-11-23,7.95,8.83,7.95,8.83,400,KTC
2020-11-24,8.19,8.83,8.83,8.83,0,KTC
2020-11-25,8.83,8.83,8.83,8.83,100,KTC
2020-11-26,8.83,8.83,8.83,8.83,0,KTC
2020-11-27,8.83,8.83,8.83,8.83,0,KTC
2020-11-30,8.03,8.03,8.03,8.03,2000,KTC
2020-12-01,8.03,8.03,8.03,8.03,0,KTC
2020-12-02,8.03,8.03,8.03,8.03,0,KTC
2020-12-03,8.03,8.03,8.03,8.03,0,KTC
2020-12-04,8.03,8.03,8.03,8.03,0,KTC
2020-12-07,8.83,8.83,8.83,8.83,200,KTC
2020-12-08,8.83,8.83,8.83,8.83,0,KTC
2020-12-09,8.83,8.83,8.83,8.83,0,KTC
2020-12-10,8.83,8.83,8.83,8.83,0,KTC
2020-12-11,8.83,8.83,8.83,8.83,0,KTC
2020-12-14,8.83,8.83,8.83,8.83,0,KTC
2020-12-15,8.83,8.83,8.83,8.83,0,KTC
2020-12-16,8.03,8.03,8.03,8.03,100,KTC
2020-12-17,8.03,8.03,8.03,8.03,6300,KTC
2020-12-18,8.03,8.03,8.03,8.03,0,KTC
2020-12-21,8.03,8.03,8.03,8.03,2900,KTC
2020-12-22,8.03,8.03,8.03,8.03,0,KTC
2020-12-23,8.03,8.03,8.03,8.03,0,KTC
2020-12-24,8.03,8.03,8.03,8.03,0,KTC
2020-12-25,8.03,8.03,8.03,8.03,0,KTC
2020-12-28,8.03,8.03,8.03,8.03,0,KTC
2020-12-29,7.23,7.23,7.23,7.23,200,KTC
2020-12-30,6.83,7.23,6.83,7.23,2300,KTC
2020-12-31,7.23,7.23,7.23,7.23,500,KTC
2021-01-04,7.23,7.23,7.23,7.23,0,KTC
2021-01-05,7.23,7.23,7.23,7.23,0,KTC
2021-01-06,7.23,7.23,7.23,7.23,0,KTC
2021-01-07,7.23,7.23,7.23,7.23,0,KTC
2021-01-08,7.23,7.23,7.23,7.23,0,KTC
2021-01-11,8.03,8.27,8.03,8.27,400,KTC
2021-01-12,8.11,8.27,8.27,8.27,0,KTC
2021-01-13,8.11,8.27,8.27,8.27,0,KTC
2021-01-14,8.11,8.27,8.27,8.27,0,KTC
2021-01-15,8.11,8.27,8.27,8.27,0,KTC
2021-01-18,8.03,8.03,8.03,8.03,400,KTC
2021-01-19,8.03,8.03,8.03,8.03,0,KTC
2021-01-20,8.03,8.03,8.03,8.03,400,KTC
