time,open,high,low,close,volume,ticker
2020-12-21,6.23,6.72,6.23,6.72,23280,LBM
2020-12-22,6.89,7.18,6.72,7.18,15240,LBM
2020-12-23,7.53,7.53,7.08,7.14,750,LBM
2020-12-24,6.71,7.35,6.71,6.84,9150,LBM
2020-12-25,6.99,7.18,6.99,7.01,8230,LBM
2020-12-28,6.61,7.23,6.61,7.23,4010,LBM
2020-12-29,7.25,7.25,7.01,7.01,420,LBM
2020-12-30,7.01,7.18,7.01,7.04,6130,LBM
2020-12-31,7.35,7.36,7.1,7.36,6760,LBM
2021-01-04,7.18,7.55,7.14,7.55,5200,LBM
2021-01-05,7.56,8.08,7.56,8.08,61800,LBM
2021-01-06,8.5,8.5,8.08,8.14,15900,LBM
2021-01-07,8.31,8.7,8.31,8.7,25600,LBM
2021-01-08,8.7,9.31,8.69,9.31,40000,LBM
2021-01-11,8.7,9.16,8.7,8.78,3100,LBM
2021-01-12,8.17,8.87,8.17,8.8,14600,LBM
2021-01-13,8.78,9.4,8.78,8.89,11500,LBM
2021-01-14,9.42,9.5,9.03,9.44,68200,LBM
2021-01-15,9.44,9.63,9.06,9.63,12500,LBM
2021-01-18,9.08,10.2,9.08,9.63,700,LBM
2021-01-19,9.82,9.82,9.01,9.01,2700,LBM
2021-01-20,8.42,9.03,8.42,9.01,5900,LBM
2021-01-21,8.65,9.42,8.65,8.74,6400,LBM
2021-01-22,8.74,8.82,8.21,8.21,11500,LBM
2021-01-25,8.21,8.78,8.21,8.78,16500,LBM
2021-01-26,8.87,8.87,8.78,8.8,11700,LBM
2021-01-27,9.31,9.31,8.8,9.06,26200,LBM
2021-01-28,9.63,9.63,9.03,9.25,72500,LBM
2021-01-29,9.4,9.59,9.23,9.5,16800,LBM
2021-02-01,9.91,9.91,9.27,9.44,2300,LBM
2021-02-02,9.44,9.63,9.44,9.44,1000,LBM
2021-02-03,9.35,9.72,9.35,9.72,13700,LBM
2021-02-04,9.99,9.99,9.44,9.8,7200,LBM
2021-02-05,9.93,9.97,9.54,9.97,12900,LBM
2021-02-08,9.97,9.97,9.97,9.97,0,LBM
2021-02-09,9.29,10.57,9.29,10.57,21700,LBM
2021-02-17,10.57,10.57,10.57,10.57,0,LBM
2021-02-18,10.86,10.86,10.01,10.57,1100,LBM
2021-02-19,10.74,10.86,10.39,10.54,11800,LBM
2021-02-22,10.76,10.76,10.39,10.67,1200,LBM
2021-02-23,11.31,11.31,10.67,11.23,500,LBM
2021-02-24,10.95,10.95,10.57,10.76,2700,LBM
2021-02-25,10.76,11.23,10.76,10.95,3100,LBM
2021-02-26,11.42,11.52,10.65,11.29,1400,LBM
2021-03-01,11.52,11.8,10.86,10.88,800,LBM
2021-03-02,11.33,11.33,10.88,10.88,300,LBM
2021-03-03,11.42,11.42,10.89,10.95,900,LBM
2021-03-04,11.29,11.31,10.97,11.14,1700,LBM
2021-03-05,11.71,11.71,10.93,11.52,900,LBM
2021-03-08,11.01,11.52,10.8,11.42,2700,LBM
2021-03-09,11.23,11.42,10.63,11.42,9700,LBM
2021-03-10,10.84,10.84,10.84,10.84,100,LBM
2021-03-11,11.56,11.56,10.95,10.95,1900,LBM
2021-03-12,11.22,11.22,10.76,11.08,1900,LBM
2021-03-15,10.95,11.08,10.95,11.08,1000,LBM
2021-03-16,11.1,11.1,10.5,10.84,700,LBM
2021-03-17,10.84,11.08,10.84,10.84,1200,LBM
2021-03-18,11.03,11.03,10.71,10.99,2200,LBM
2021-03-19,10.99,11.23,10.8,10.8,1800,LBM
2021-03-22,10.95,11.23,10.8,11.08,10200,LBM
2021-03-23,10.5,10.5,10.5,10.5,100,LBM
2021-03-24,11.1,11.1,10.39,10.39,200,LBM
2021-03-25,11.06,11.06,10.48,11.06,3800,LBM
2021-03-26,11.04,11.04,11.04,11.04,200,LBM
2021-03-29,11.04,11.04,11.04,11.04,2200,LBM
2021-03-30,10.4,11.35,10.4,11.35,5400,LBM
2021-03-31,11.52,11.52,11.35,11.44,1000,LBM
2021-04-01,10.67,10.67,10.67,10.67,100,LBM
2021-04-02,11.23,11.23,10.19,11.14,400,LBM
2021-04-05,11.14,11.14,11.14,11.14,0,LBM
2021-04-06,10.58,11.21,10.58,11.21,400,LBM
2021-04-07,11.21,11.21,11.21,11.21,0,LBM
2021-04-08,11.21,11.21,11.21,11.21,0,LBM
2021-04-09,11.23,11.23,11.19,11.23,600,LBM
2021-04-12,10.96,11.12,10.96,11.12,300,LBM
2021-04-13,10.42,11.04,10.42,11.04,300,LBM
2021-04-14,11.25,11.25,11.25,11.25,100,LBM
2021-04-15,10.5,11.21,10.5,11.21,400,LBM
2021-04-16,10.44,11.19,10.44,11.19,13000,LBM
2021-04-19,10.85,11.17,10.77,11.17,7700,LBM
2021-04-20,11.35,11.94,11.14,11.35,1100,LBM
2021-04-22,11.64,11.64,11.5,11.5,600,LBM
2021-04-23,11.25,11.25,10.71,11.14,800,LBM
2021-04-26,11.83,11.9,11.35,11.5,1700,LBM
2021-04-27,11.5,11.5,11.5,11.5,0,LBM
2021-04-28,11.5,12.29,11.33,12.27,7300,LBM
2021-04-29,11.42,11.9,11.42,11.73,1900,LBM
2021-05-04,11.52,11.73,11.52,11.73,500,LBM
2021-05-05,12.31,12.4,11.54,11.73,2400,LBM
2021-05-06,11.73,11.73,10.98,11.64,500,LBM
2021-05-07,11.15,11.54,10.87,11.54,3800,LBM
2021-05-10,10.87,11.14,10.87,11.14,900,LBM
2021-05-11,10.96,11.14,10.96,11.14,4000,LBM
2021-05-12,11.1,11.1,11.1,11.1,1300,LBM
2021-05-13,11.1,11.1,11.1,11.1,0,LBM
2021-05-14,11.58,11.58,11.58,11.58,600,LBM
2021-05-17,11.58,11.58,11.58,11.58,0,LBM
