time,open,high,low,close,volume,ticker
2020-11-03,11.2,11.2,11.2,11.2,0,LDP
2020-11-04,12.1,12.2,12.1,12.2,1100,LDP
2020-11-05,11.0,11.8,11.0,11.8,500,LDP
2020-11-06,11.8,11.8,11.8,11.8,100,LDP
2020-11-09,12.7,12.7,12.7,12.7,100,LDP
2020-11-10,12.7,12.7,12.7,12.7,0,LDP
2020-11-11,12.7,12.7,12.7,12.7,0,LDP
2020-11-12,11.5,12.6,11.5,12.6,200,LDP
2020-11-13,12.6,12.6,12.6,12.6,0,LDP
2020-11-16,12.6,12.6,12.6,12.6,0,LDP
2020-11-17,12.6,12.6,12.6,12.6,0,LDP
2020-11-18,12.6,12.6,12.6,12.6,0,LDP
2020-11-19,12.6,12.6,12.6,12.6,0,LDP
2020-11-20,12.5,12.5,12.5,12.5,400,LDP
2020-11-23,11.4,12.5,11.4,12.5,5900,LDP
2020-11-24,12.4,12.4,12.4,12.4,800,LDP
2020-11-25,12.4,12.4,12.4,12.4,800,LDP
2020-11-26,12.4,12.4,12.4,12.4,200,LDP
2020-11-27,13.3,13.3,12.4,12.4,400,LDP
2020-11-30,13.1,13.1,12.0,12.0,1000,LDP
2020-12-01,12.0,12.0,12.0,12.0,5600,LDP
2020-12-02,12.0,12.0,12.0,12.0,0,LDP
2020-12-03,12.0,12.9,12.0,12.0,300,LDP
2020-12-04,11.9,11.9,11.9,11.9,600,LDP
2020-12-07,11.9,11.9,11.9,11.9,0,LDP
2020-12-08,11.1,11.8,11.1,11.8,200,LDP
2020-12-09,11.8,11.8,11.8,11.8,0,LDP
2020-12-10,12.6,12.6,12.6,12.6,100,LDP
2020-12-11,12.0,12.5,12.0,12.5,310,LDP
2020-12-14,12.5,12.5,12.5,12.5,310,LDP
2020-12-15,11.5,12.4,11.5,12.4,1020,LDP
2020-12-16,11.6,12.5,11.5,12.5,3500,LDP
2020-12-17,12.5,12.5,12.5,12.5,0,LDP
2020-12-18,12.4,12.4,12.4,12.4,784,LDP
