time,open,high,low,close,volume,ticker
2020-12-21,4.64,4.64,4.32,4.56,2317115,MST
2020-12-22,4.56,4.95,4.4,4.95,1335723,MST
2020-12-23,5.11,5.42,5.11,5.34,3121333,MST
2020-12-24,5.34,5.42,4.87,5.27,1498190,MST
2020-12-25,5.27,5.66,5.27,5.5,1415546,MST
2020-12-28,5.5,5.66,5.34,5.42,695104,MST
2020-12-29,5.42,5.42,5.27,5.27,296160,MST
2020-12-30,5.27,5.74,5.19,5.74,1314676,MST
2020-12-31,5.74,5.89,5.58,5.58,460570,MST
2021-01-04,5.74,5.82,5.5,5.58,443998,MST
2021-01-05,5.58,5.58,5.5,5.5,527182,MST
2021-01-06,5.5,5.82,5.42,5.66,869000,MST
2021-01-07,5.82,6.21,5.66,6.13,831632,MST
2021-01-08,6.21,6.29,5.82,5.97,541310,MST
2021-01-11,5.97,6.21,5.82,5.89,521244,MST
2021-01-12,5.89,6.13,5.74,5.97,771615,MST
2021-01-13,6.05,6.21,5.89,5.89,948469,MST
2021-01-14,5.97,6.13,5.89,6.05,322104,MST
2021-01-15,6.05,6.05,5.89,5.97,503735,MST
2021-01-18,6.05,6.05,5.74,5.74,659915,MST
2021-01-19,5.82,5.82,5.19,5.27,776730,MST
2021-01-20,5.27,5.74,4.79,5.74,997950,MST
2021-01-21,5.89,6.29,5.82,6.21,1042470,MST
2021-01-22,6.21,6.29,5.97,5.97,557310,MST
2021-01-25,6.05,6.05,5.74,5.82,354200,MST
2021-01-26,5.89,5.89,5.42,5.42,722940,MST
2021-01-27,5.42,5.58,5.27,5.42,479967,MST
2021-01-28,5.19,5.42,4.95,4.95,864730,MST
2021-01-29,4.56,5.34,4.48,5.27,330127,MST
2021-02-01,5.34,5.42,4.79,4.87,329110,MST
2021-02-02,5.03,5.03,4.72,4.95,216411,MST
2021-02-03,5.03,5.34,5.03,5.27,299459,MST
2021-02-04,5.34,5.42,5.11,5.19,154300,MST
2021-02-05,5.19,5.66,5.19,5.58,666200,MST
2021-02-08,5.58,5.74,5.11,5.42,152605,MST
2021-02-09,5.27,5.5,5.27,5.42,114528,MST
2021-02-17,5.42,5.5,5.34,5.42,191300,MST
2021-02-18,5.42,5.42,5.27,5.42,251811,MST
2021-02-19,5.34,5.74,5.34,5.42,475500,MST
2021-02-22,5.5,5.5,5.34,5.42,293344,MST
2021-02-23,5.5,5.5,5.34,5.42,352300,MST
2021-02-24,5.5,5.89,5.5,5.89,2126383,MST
2021-02-25,6.05,6.44,6.05,6.13,1009405,MST
2021-02-26,6.13,6.68,5.89,6.68,2273404,MST
2021-03-01,7.07,7.23,6.21,6.6,1055301,MST
2021-03-02,6.6,6.76,6.44,6.6,625348,MST
2021-03-03,6.6,7.07,6.52,7.07,1681098,MST
2021-03-04,7.07,7.31,6.52,7.15,1958900,MST
2021-03-05,7.15,7.23,7.0,7.23,713000,MST
2021-03-08,7.23,7.31,7.15,7.23,768635,MST
2021-03-09,7.23,7.23,6.76,7.0,971439,MST
2021-03-10,7.0,7.07,6.84,7.07,592500,MST
2021-03-11,7.07,7.15,6.92,6.92,1764528,MST
2021-03-12,6.92,7.0,6.6,6.68,1455300,MST
2021-03-15,6.68,6.76,6.6,6.6,849308,MST
2021-03-16,6.68,6.68,6.52,6.68,774300,MST
2021-03-17,6.68,6.84,6.6,6.6,834264,MST
2021-03-18,6.68,6.92,6.6,6.92,773600,MST
2021-03-19,7.07,7.55,7.0,7.55,2512230,MST
2021-03-22,7.62,7.86,7.47,7.62,1182015,MST
2021-03-23,7.62,7.62,7.39,7.47,724500,MST
2021-03-24,7.47,8.17,7.39,8.17,2094149,MST
2021-03-25,8.49,8.49,8.02,8.25,1323222,MST
2021-03-26,8.25,8.72,8.1,8.57,2298331,MST
2021-03-29,8.65,8.65,8.17,8.49,1011664,MST
2021-03-30,8.57,8.65,8.25,8.49,712787,MST
2021-03-31,8.49,9.04,8.33,9.04,1615506,MST
2021-04-01,9.04,9.04,8.8,9.04,538166,MST
2021-04-02,9.04,9.12,8.88,8.96,700880,MST
2021-04-05,8.96,9.59,8.96,9.59,1283300,MST
2021-04-06,9.59,9.82,9.27,9.43,1454200,MST
2021-04-07,9.43,9.75,9.35,9.59,944436,MST
2021-04-08,9.59,9.67,9.51,9.67,378000,MST
2021-04-09,9.82,9.82,9.51,9.67,418100,MST
2021-04-12,9.59,9.59,9.27,9.43,1130000,MST
2021-04-13,9.43,9.51,8.96,9.12,1130000,MST
2021-04-14,9.12,9.43,8.88,9.43,975214,MST
2021-04-15,9.51,9.51,9.2,9.2,379100,MST
2021-04-16,9.27,9.35,9.04,9.35,461011,MST
2021-04-19,9.27,9.67,9.27,9.43,727497,MST
2021-04-20,9.43,9.59,9.35,9.35,387434,MST
2021-04-22,9.27,9.59,8.65,9.27,456027,MST
2021-04-23,9.35,10.14,9.04,10.14,1501904,MST
2021-04-26,10.14,10.3,10.06,10.14,688300,MST
2021-04-27,10.14,10.3,9.98,10.22,572400,MST
2021-04-28,10.22,10.77,10.22,10.53,860204,MST
2021-04-29,10.53,10.69,10.3,10.37,649212,MST
2021-05-04,10.37,10.37,9.82,10.22,442711,MST
2021-05-05,10.22,10.53,10.14,10.22,341100,MST
2021-05-06,10.61,10.61,10.14,10.3,309150,MST
2021-05-07,10.37,10.45,10.22,10.22,662700,MST
2021-05-10,10.22,10.61,9.98,10.45,856809,MST
2021-05-11,10.61,10.92,10.45,10.77,563313,MST
2021-05-12,10.77,10.85,10.61,10.77,287200,MST
2021-05-13,10.77,10.77,10.53,10.53,406234,MST
2021-05-14,10.53,10.61,10.37,10.61,617294,MST
2021-05-17,10.53,10.61,10.22,10.37,387447,MST
2021-05-18,10.3,10.61,10.3,10.45,518615,MST
2021-05-19,10.45,11.48,10.45,10.69,696900,MST
2021-05-20,10.69,11.0,10.69,10.77,277100,MST
2021-05-21,10.69,10.85,10.61,10.69,329200,MST
2021-05-24,10.69,10.69,10.45,10.53,424900,MST
2021-05-25,10.53,10.92,10.45,10.61,566000,MST
2021-05-26,10.61,10.61,10.45,10.53,208300,MST
2021-05-27,10.45,10.53,10.3,10.45,391333,MST
2021-05-28,10.45,10.53,10.37,10.37,252415,MST
2021-05-31,10.45,10.53,10.37,10.37,261400,MST
2021-06-01,10.37,10.53,10.3,10.45,433420,MST
2021-06-02,10.37,10.53,10.37,10.45,312950,MST
2021-06-03,10.45,10.61,10.45,10.45,322500,MST
2021-06-04,10.61,10.61,10.45,10.45,351840,MST
2021-06-07,10.45,10.85,10.06,10.22,1180990,MST
2021-06-08,10.22,10.3,10.06,10.14,359550,MST
2021-06-09,10.14,10.61,9.98,10.37,375300,MST
2021-06-10,10.45,10.45,10.22,10.3,164800,MST
2021-06-11,10.3,10.53,10.14,10.37,383055,MST
2021-06-14,10.53,11.0,10.37,10.85,787300,MST
2021-06-15,10.92,11.0,10.61,10.69,401700,MST
2021-06-16,10.69,11.71,10.45,11.55,2690613,MST
2021-06-17,11.55,11.87,11.32,11.4,756333,MST
2021-06-18,11.4,11.71,11.24,11.55,499856,MST
2021-06-21,11.55,11.71,11.32,11.32,513500,MST
2021-06-22,11.24,11.4,10.22,11.32,581390,MST
2021-06-23,11.48,11.48,11.0,11.08,600600,MST
2021-06-24,11.0,11.24,10.22,11.0,871256,MST
2021-06-25,11.0,11.48,11.0,11.08,520748,MST
2021-06-28,11.08,11.24,11.0,11.16,404500,MST
2021-06-29,11.16,11.24,11.0,11.16,1033600,MST
2021-06-30,11.16,11.24,11.08,11.16,401900,MST
2021-07-01,11.16,11.16,10.92,11.16,359600,MST
2021-07-02,11.16,11.16,10.92,11.0,394500,MST
2021-07-05,11.0,11.0,10.61,10.77,340546,MST
2021-07-06,10.69,10.85,10.61,10.61,263100,MST
2021-07-07,10.53,10.77,10.22,10.77,342300,MST
2021-07-08,10.77,10.77,10.53,10.69,285100,MST
2021-07-09,10.69,10.69,10.45,10.53,518211,MST
2021-07-12,10.53,10.53,9.51,9.75,827200,MST
2021-07-13,9.75,10.06,9.67,9.98,408004,MST
2021-07-14,10.06,10.14,9.82,10.06,277811,MST
2021-07-15,9.98,9.98,9.82,9.9,816300,MST
2021-07-16,10.06,10.53,9.82,10.53,1562318,MST
2021-07-19,10.22,10.37,10.14,10.22,288400,MST
2021-07-20,10.22,10.53,9.9,10.53,324046,MST
2021-07-21,10.61,10.92,10.45,10.61,342100,MST
2021-07-22,10.69,10.85,10.61,10.85,263800,MST
2021-07-23,10.85,10.85,10.53,10.53,383811,MST
2021-07-26,10.45,10.85,10.37,10.69,610900,MST
2021-07-27,10.77,11.71,10.77,11.71,3112030,MST
2021-07-28,11.79,11.87,11.48,11.63,518659,MST
2021-07-29,11.63,12.26,11.48,12.1,1214119,MST
2021-07-30,12.03,12.18,11.87,11.95,699243,MST
2021-08-02,12.03,12.18,11.79,11.79,579530,MST
2021-08-03,11.79,12.03,11.79,11.87,660210,MST
2021-08-04,11.87,12.42,11.87,12.1,1653511,MST
2021-08-05,12.1,12.18,11.95,12.1,526300,MST
2021-08-06,12.1,12.1,11.95,12.03,369476,MST
2021-08-09,12.18,12.42,11.95,12.18,637728,MST
2021-08-10,12.26,12.42,11.87,11.87,1166241,MST
2021-08-11,11.87,12.03,11.79,11.87,505620,MST
2021-08-12,11.87,12.18,11.87,12.03,588920,MST
2021-08-13,12.03,12.18,11.87,12.18,750700,MST
2021-08-16,12.42,12.81,12.34,12.42,1433600,MST
2021-08-17,12.5,12.5,12.26,12.34,407814,MST
2021-08-18,12.42,12.42,12.18,12.26,482213,MST
2021-08-19,12.18,12.65,12.1,12.42,729600,MST
2021-08-20,12.42,12.58,11.95,12.34,1372050,MST
2021-08-23,12.18,12.18,11.87,11.95,587683,MST
2021-08-24,11.87,12.1,11.79,11.95,718200,MST
2021-08-25,12.1,12.26,12.03,12.18,424143,MST
2021-08-26,12.26,12.42,12.18,12.26,541910,MST
2021-08-27,12.26,12.97,12.18,12.81,1597363,MST
2021-08-30,12.81,12.97,12.73,12.89,705281,MST
2021-08-31,12.97,13.36,12.89,13.05,938334,MST
2021-09-01,13.05,13.28,12.89,13.13,469128,MST
2021-09-06,13.13,13.52,13.13,13.28,770095,MST
2021-09-07,13.28,13.28,12.58,12.58,1309812,MST
2021-09-08,12.65,12.89,12.58,12.81,604300,MST
2021-09-09,12.81,13.05,12.81,12.97,296600,MST
2021-09-10,12.97,13.28,12.89,13.2,692519,MST
2021-09-13,13.36,13.6,12.89,13.05,648341,MST
