time,open,high,low,close,volume,ticker
2020-12-21,21.7,21.7,20.94,20.94,5000,NBB
2020-12-22,20.75,21.08,20.75,20.84,4650,NBB
2020-12-23,21.41,21.41,20.94,20.94,1210,NBB
2020-12-24,21.41,21.79,20.84,21.6,2410,NBB
2020-12-25,21.13,21.79,20.75,21.41,5360,NBB
2020-12-28,21.84,21.89,20.98,21.41,300,NBB
2020-12-29,21.41,21.7,20.94,21.41,6290,NBB
2020-12-30,21.41,21.89,21.13,21.6,1890,NBB
2020-12-31,21.13,23.08,21.13,23.08,6580,NBB
2021-01-04,21.89,24.36,21.89,24.27,2800,NBB
2021-01-05,22.75,23.51,22.75,23.46,1300,NBB
2021-01-06,23.32,25.08,23.32,25.08,101200,NBB
2021-01-07,26.5,26.5,23.7,26.17,27300,NBB
2021-01-08,26.17,26.46,24.46,24.51,10900,NBB
2021-01-11,24.51,25.6,24.51,25.6,700,NBB
2021-01-12,24.27,25.22,23.89,25.22,3300,NBB
2021-01-13,25.22,25.22,23.6,23.79,5000,NBB
2021-01-14,25.46,25.46,24.08,25.32,3400,NBB
2021-01-15,25.32,25.32,25.32,25.32,0,NBB
2021-01-18,23.79,25.32,23.79,23.79,15800,NBB
2021-01-19,23.32,23.32,22.84,22.84,500,NBB
2021-01-20,22.84,22.84,22.84,22.84,0,NBB
2021-01-21,22.84,22.84,22.84,22.84,2000,NBB
2021-01-22,22.84,22.89,22.84,22.89,2800,NBB
2021-01-25,22.89,23.22,22.89,23.17,5100,NBB
2021-01-26,23.32,23.51,23.22,23.51,4100,NBB
2021-01-27,22.22,23.74,22.22,23.74,2100,NBB
2021-01-28,22.17,22.36,22.17,22.17,5200,NBB
2021-01-29,20.65,22.84,20.65,22.75,8000,NBB
2021-02-01,22.75,22.75,21.22,21.22,8800,NBB
2021-02-02,22.32,22.46,21.89,22.46,8100,NBB
2021-02-03,23.32,23.32,21.13,23.27,32300,NBB
2021-02-04,23.41,23.41,23.41,23.41,1300,NBB
2021-02-05,22.08,23.41,22.08,22.36,1800,NBB
2021-02-08,22.36,23.79,22.27,23.79,5500,NBB
2021-02-09,22.46,23.79,22.46,23.79,13200,NBB
2021-02-17,23.79,24.7,23.79,24.7,44700,NBB
2021-02-18,24.65,24.74,24.65,24.74,1500,NBB
2021-02-19,24.7,24.7,24.65,24.7,300,NBB
2021-02-22,24.93,25.7,24.6,25.7,25100,NBB
2021-02-23,23.98,25.7,23.98,25.6,14000,NBB
2021-02-24,23.89,25.65,23.89,25.65,700,NBB
2021-02-25,25.65,25.65,25.65,25.65,0,NBB
2021-02-26,25.65,25.65,24.46,24.46,1100,NBB
2021-03-01,24.17,25.22,24.17,25.22,500,NBB
2021-03-02,25.6,25.6,25.6,25.6,100,NBB
2021-03-03,25.6,25.6,25.6,25.6,100,NBB
2021-03-04,25.6,25.6,24.22,25.6,900,NBB
2021-03-05,23.98,25.6,23.89,25.6,10300,NBB
2021-03-08,25.22,25.22,25.22,25.22,2500,NBB
2021-03-09,25.22,25.22,25.22,25.22,0,NBB
2021-03-10,25.22,25.22,25.22,25.22,0,NBB
2021-03-11,24.27,25.03,23.79,25.03,2100,NBB
2021-03-12,25.03,25.03,25.03,25.03,0,NBB
2021-03-15,24.74,24.79,24.36,24.74,3200,NBB
2021-03-16,24.27,24.7,24.17,24.7,10600,NBB
2021-03-17,24.7,25.03,24.7,25.03,4100,NBB
2021-03-18,25.03,25.6,25.03,25.6,3600,NBB
2021-03-19,24.74,25.55,24.74,25.55,700,NBB
2021-03-22,25.55,25.55,25.55,25.55,5100,NBB
2021-03-23,25.22,25.22,25.22,25.22,400,NBB
2021-03-24,25.22,25.22,25.22,25.22,100,NBB
2021-03-25,25.22,25.22,25.22,25.22,2200,NBB
2021-03-26,25.22,25.22,25.22,25.22,0,NBB
2021-03-29,25.22,26.22,23.51,25.6,50600,NBB
2021-03-30,26.12,26.6,24.36,26.36,37400,NBB
2021-03-31,26.46,26.65,25.32,26.65,7700,NBB
2021-04-01,26.55,26.79,25.08,26.79,13600,NBB
2021-04-02,27.36,27.36,25.74,25.74,10100,NBB
2021-04-05,27.5,27.5,26.08,27.5,10000,NBB
2021-04-06,27.74,27.88,26.65,27.88,15600,NBB
2021-04-07,27.93,28.08,26.27,27.98,12300,NBB
2021-04-08,28.03,28.03,28.03,28.03,100,NBB
2021-04-09,28.03,28.03,28.03,28.03,4900,NBB
2021-04-12,26.17,27.98,26.17,27.98,700,NBB
2021-04-13,27.98,27.98,27.88,27.98,1000,NBB
2021-04-14,26.17,27.6,26.17,26.17,7000,NBB
2021-04-15,26.08,26.65,26.08,26.65,800,NBB
2021-04-16,25.03,27.41,25.03,27.41,1100,NBB
2021-04-19,27.88,27.88,27.41,27.88,3200,NBB
2021-04-20,26.03,26.08,26.03,26.08,600,NBB
2021-04-22,26.08,26.08,26.08,26.08,0,NBB
2021-04-23,26.08,26.08,26.08,26.08,0,NBB
2021-04-26,26.08,26.08,24.55,24.55,7500,NBB
2021-04-27,23.89,25.7,23.89,25.7,3600,NBB
2021-04-28,26.17,26.17,26.17,26.17,1000,NBB
2021-04-29,26.17,26.17,26.17,26.17,0,NBB
2021-05-04,26.17,26.17,26.17,26.17,0,NBB
2021-05-05,26.17,26.17,26.17,26.17,0,NBB
2021-05-06,26.17,26.17,26.17,26.17,0,NBB
2021-05-07,25.7,25.7,24.55,25.55,17700,NBB
2021-05-10,24.03,25.65,24.03,25.65,2100,NBB
2021-05-11,25.65,25.65,25.65,25.65,0,NBB
2021-05-12,25.65,25.65,25.65,25.65,0,NBB
2021-05-13,25.65,25.65,25.65,25.65,0,NBB
2021-05-14,25.65,25.65,25.65,25.65,0,NBB
2021-05-17,25.55,25.55,25.55,25.55,300,NBB
2021-05-18,25.55,25.55,25.55,25.55,0,NBB
2021-05-19,25.46,25.46,25.46,25.46,2100,NBB
2021-05-20,25.46,25.84,25.46,25.84,7000,NBB
2021-05-21,25.22,25.46,25.22,25.22,11700,NBB
2021-05-24,24.55,24.55,24.55,24.55,100,NBB
2021-05-25,24.6,25.51,24.6,25.51,200,NBB
2021-05-26,25.65,25.93,25.51,25.93,7400,NBB
2021-05-27,25.93,25.93,25.93,25.93,0,NBB
2021-05-28,25.93,25.93,25.93,25.93,0,NBB
2021-05-31,24.27,25.7,24.27,25.7,8000,NBB
2021-06-01,25.7,25.7,25.7,25.7,0,NBB
2021-06-02,24.74,24.84,24.74,24.84,600,NBB
2021-06-03,24.84,25.7,24.27,24.27,18800,NBB
2021-06-04,24.36,25.7,24.36,25.7,3200,NBB
2021-06-07,24.74,24.74,24.74,24.74,2700,NBB
2021-06-08,24.74,24.74,24.27,24.27,3200,NBB
2021-06-09,24.27,24.27,24.27,24.27,0,NBB
2021-06-10,25.7,25.7,25.7,25.7,700,NBB
2021-06-11,25.6,25.6,25.6,25.6,1100,NBB
2021-06-14,24.74,25.55,24.74,24.93,3000,NBB
2021-06-15,25.51,25.51,24.74,25.41,2400,NBB
2021-06-16,25.7,25.89,25.51,25.89,21900,NBB
2021-06-17,27.6,27.69,27.6,27.69,219100,NBB
2021-06-18,29.6,29.6,29.6,29.6,346600,NBB
2021-06-21,31.64,31.64,31.6,31.64,280400,NBB
2021-06-22,30.45,33.83,29.46,33.83,226100,NBB
2021-06-23,31.5,31.6,31.5,31.5,111600,NBB
2021-06-24,29.5,29.6,29.3,29.3,146400,NBB
2021-06-25,27.6,29.3,27.6,29.0,76800,NBB
2021-06-28,29.0,29.8,27.7,28.0,120700,NBB
2021-06-29,27.1,28.4,27.05,28.0,74400,NBB
2021-06-30,28.0,28.0,26.6,27.1,24400,NBB
