time,open,high,low,close,volume,ticker
2020-12-09,196.62,201.81,196.62,200.19,37000,NTC
2020-12-10,198.49,202.62,196.22,198.24,12900,NTC
2020-12-11,198.89,198.89,191.27,193.78,38440,NTC
2020-12-14,193.38,201.81,192.97,197.03,64681,NTC
2020-12-15,198.65,202.3,197.03,201.89,58826,NTC
2020-12-16,202.62,230.19,202.62,230.19,164336,NTC
2020-12-17,230.11,246.49,230.11,238.78,39200,NTC
2020-12-18,243.24,250.38,222.97,237.57,46926,NTC
2020-12-21,233.51,240.0,232.7,238.38,24320,NTC
2020-12-22,235.22,237.0,231.89,235.05,26656,NTC
2020-12-23,233.76,242.43,229.46,232.62,52043,NTC
2020-12-24,230.03,235.05,221.35,228.65,38200,NTC
2020-12-25,228.65,242.43,225.81,235.95,45307,NTC
2020-12-28,235.95,235.95,229.78,232.54,14212,NTC
2020-12-29,232.13,233.43,228.65,231.49,52368,NTC
2020-12-30,230.68,237.57,227.84,231.73,51500,NTC
2020-12-31,234.81,234.89,228.24,232.38,20112,NTC
2021-01-04,231.08,235.54,231.08,235.05,55297,NTC
2021-01-05,235.13,237.49,231.89,234.89,45336,NTC
2021-01-06,235.13,236.76,229.54,233.51,59782,NTC
2021-01-07,235.13,235.86,228.65,232.7,88729,NTC
2021-01-08,233.11,243.08,231.89,240.81,107650,NTC
2021-01-11,240.0,244.05,237.57,240.73,45020,NTC
2021-01-12,240.73,242.35,233.51,239.03,48908,NTC
2021-01-13,239.19,241.54,233.51,235.86,36152,NTC
2021-01-14,238.05,238.05,228.89,232.54,76727,NTC
2021-01-15,235.05,240.0,228.65,232.7,85533,NTC
2021-01-18,233.84,236.68,223.78,228.24,110553,NTC
2021-01-19,229.46,232.62,202.7,215.51,125170,NTC
2021-01-20,215.68,217.3,202.7,208.78,72293,NTC
2021-01-21,208.78,217.22,205.95,216.24,80850,NTC
2021-01-22,211.62,222.81,208.38,212.03,63309,NTC
2021-01-25,212.68,216.4,207.16,209.19,41800,NTC
2021-01-26,212.35,212.35,194.59,206.43,72383,NTC
2021-01-27,200.84,206.68,184.86,186.49,63571,NTC
2021-01-28,178.54,186.0,166.22,166.22,110070,NTC
2021-01-29,154.05,177.49,146.76,173.19,194373,NTC
2021-02-01,174.32,182.35,160.54,165.73,70175,NTC
2021-02-02,168.65,170.19,154.05,168.49,139234,NTC
2021-02-03,168.65,178.22,163.78,175.13,132570,NTC
2021-02-04,176.76,183.24,170.27,182.35,98665,NTC
2021-02-05,178.38,190.46,170.35,188.51,164802,NTC
2021-02-08,188.51,193.78,180.81,186.49,95204,NTC
2021-02-09,183.24,193.7,183.24,191.35,59420,NTC
2021-02-17,190.78,198.49,190.78,198.24,48747,NTC
2021-02-18,197.84,205.13,194.19,202.62,62780,NTC
2021-02-19,204.24,205.95,199.46,202.62,49865,NTC
2021-02-22,202.05,204.32,200.43,202.54,54630,NTC
2021-02-23,204.24,206.35,200.27,206.19,104439,NTC
2021-02-24,203.59,210.81,203.19,207.08,65360,NTC
2021-02-25,207.89,210.65,204.49,208.78,45693,NTC
2021-02-26,205.86,206.76,202.7,205.95,27511,NTC
2021-03-01,205.95,210.81,205.13,210.73,64435,NTC
2021-03-02,209.84,217.3,209.19,216.49,68974,NTC
2021-03-03,214.22,222.73,214.22,219.73,52532,NTC
2021-03-04,220.13,220.54,210.81,217.22,48003,NTC
2021-03-05,216.49,218.11,210.81,217.22,33001,NTC
2021-03-08,217.3,220.54,211.62,217.3,74690,NTC
2021-03-09,215.68,220.54,213.49,215.43,19515,NTC
2021-03-10,215.27,218.03,213.65,216.81,38494,NTC
2021-03-11,215.68,218.76,213.32,218.11,100173,NTC
2021-03-12,218.84,220.13,216.49,218.76,48101,NTC
2021-03-15,218.84,218.84,215.35,218.59,79310,NTC
2021-03-16,219.89,219.89,214.05,214.05,20650,NTC
2021-03-17,214.05,218.03,212.43,213.89,43281,NTC
2021-03-18,217.22,217.22,210.0,210.81,49250,NTC
2021-03-19,212.43,212.43,206.76,207.57,38395,NTC
2021-03-22,206.84,208.22,201.49,203.51,64313,NTC
2021-03-23,202.7,204.73,198.65,202.62,40333,NTC
2021-03-24,198.0,200.92,193.78,195.08,50471,NTC
2021-03-25,197.03,199.38,194.59,197.11,39909,NTC
2021-03-26,193.95,200.19,191.35,196.86,23938,NTC
2021-03-29,196.86,198.65,193.78,196.22,25891,NTC
2021-03-30,193.86,196.13,192.16,196.05,46566,NTC
2021-03-31,194.43,200.11,194.19,198.57,92110,NTC
2021-04-01,199.46,208.38,196.7,208.38,111330,NTC
2021-04-02,203.51,210.73,201.89,205.05,46447,NTC
2021-04-05,205.95,213.24,197.84,203.35,69530,NTC
2021-04-06,206.59,206.59,195.4,199.38,34574,NTC
2021-04-07,198.4,201.73,194.59,196.86,35992,NTC
