time,open,high,low,close,volume,ticker
2020-12-07,3.76,3.76,3.59,3.76,23900,ONE
2020-12-08,3.68,3.68,3.42,3.68,13600,ONE
2020-12-09,3.59,3.68,3.59,3.68,5700,ONE
2020-12-10,3.68,3.68,3.68,3.68,100,ONE
2020-12-11,3.59,3.68,3.59,3.68,2100,ONE
2020-12-14,3.68,3.68,3.59,3.59,9324,ONE
2020-12-15,3.5,3.68,3.5,3.59,19800,ONE
2020-12-16,3.59,3.76,3.59,3.76,67100,ONE
2020-12-17,3.76,3.93,3.76,3.93,91220,ONE
2020-12-18,3.85,3.93,3.85,3.93,7000,ONE
2020-12-21,3.93,4.02,3.85,3.85,21100,ONE
2020-12-22,3.93,3.93,3.85,3.85,8400,ONE
2020-12-23,3.85,3.93,3.85,3.85,103438,ONE
2020-12-24,3.93,3.93,3.76,3.93,20510,ONE
2020-12-25,3.93,4.02,3.93,4.02,17600,ONE
2020-12-28,4.02,4.27,4.02,4.27,48916,ONE
2020-12-29,4.27,4.27,4.19,4.27,1914,ONE
2020-12-30,4.02,4.02,4.02,4.02,4400,ONE
2020-12-31,3.76,3.93,3.76,3.93,4335,ONE
2021-01-04,3.93,4.02,3.93,4.02,3200,ONE
2021-01-05,4.02,4.19,4.02,4.19,21600,ONE
2021-01-06,4.19,4.19,4.1,4.19,11900,ONE
2021-01-07,4.1,4.19,4.1,4.19,7437,ONE
2021-01-08,4.19,4.27,4.1,4.19,73626,ONE
2021-01-11,4.27,4.53,4.19,4.44,58717,ONE
2021-01-12,4.36,4.53,4.27,4.53,12300,ONE
2021-01-13,4.44,4.44,4.19,4.44,34329,ONE
2021-01-14,4.36,4.36,4.27,4.27,15800,ONE
2021-01-15,4.36,4.44,4.27,4.44,23000,ONE
2021-01-18,4.44,4.44,4.36,4.44,30695,ONE
2021-01-19,4.36,4.36,4.19,4.27,13170,ONE
2021-01-20,4.1,4.36,3.93,4.36,2500,ONE
2021-01-21,4.36,4.7,4.36,4.7,204756,ONE
2021-01-22,4.7,4.79,4.62,4.79,72262,ONE
2021-01-25,4.7,4.7,4.62,4.7,11580,ONE
