time,open,high,low,close,volume,ticker
2020-12-21,15.5,15.5,15.32,15.32,7300,PGC
2020-12-22,14.73,15.39,14.62,15.25,22900,PGC
2020-12-23,15.25,15.36,15.1,15.14,3980,PGC
2020-12-24,15.25,15.25,14.15,14.88,8100,PGC
2020-12-25,14.81,14.88,14.81,14.84,11050,PGC
2020-12-28,14.99,14.99,14.84,14.84,6670,PGC
2020-12-29,14.81,14.84,14.73,14.84,2680,PGC
2020-12-30,14.84,14.84,14.51,14.81,19360,PGC
2020-12-31,14.66,14.81,14.66,14.66,20800,PGC
2021-01-04,14.29,15.69,14.29,14.81,8400,PGC
2021-01-05,15.17,15.21,14.66,14.81,76800,PGC
2021-01-06,15.03,15.03,14.66,14.73,36600,PGC
2021-01-07,14.59,14.66,14.29,14.37,98300,PGC
2021-01-08,14.37,15.14,14.37,14.48,38700,PGC
2021-01-11,14.48,14.48,14.37,14.37,45500,PGC
2021-01-12,14.51,14.51,14.33,14.37,32300,PGC
2021-01-13,14.37,14.37,14.22,14.22,70500,PGC
2021-01-14,14.29,14.29,13.89,13.93,120500,PGC
2021-01-15,13.93,14.29,13.93,14.18,36000,PGC
2021-01-18,14.29,14.33,14.22,14.29,43800,PGC
2021-01-19,14.29,14.51,13.49,13.63,22100,PGC
2021-01-20,13.63,13.71,12.76,13.63,35400,PGC
2021-01-21,13.63,13.63,13.41,13.6,28400,PGC
2021-01-22,13.6,13.6,13.19,13.41,29500,PGC
2021-01-25,13.41,13.49,13.19,13.49,34700,PGC
2021-01-26,13.49,13.49,13.12,13.19,45000,PGC
2021-01-27,13.19,13.19,12.97,13.08,16800,PGC
2021-01-28,12.83,12.83,12.21,12.21,51700,PGC
2021-01-29,11.73,12.32,11.51,12.21,90800,PGC
2021-02-01,12.1,12.61,11.66,12.61,30400,PGC
2021-02-02,12.46,12.46,12.32,12.46,17300,PGC
2021-02-03,12.68,12.68,12.1,12.32,33900,PGC
2021-02-04,12.32,12.61,12.32,12.46,124000,PGC
2021-02-05,12.46,12.61,12.46,12.46,116000,PGC
2021-02-08,12.46,12.79,12.17,12.32,25000,PGC
2021-02-09,12.17,12.43,12.17,12.24,33700,PGC
2021-02-17,12.24,12.76,12.24,12.39,101300,PGC
2021-02-18,12.46,13.23,12.35,13.19,305400,PGC
2021-02-19,13.34,13.41,12.97,13.27,180200,PGC
2021-02-22,13.05,13.19,12.83,12.97,109300,PGC
2021-02-23,13.56,13.56,13.05,13.19,120700,PGC
2021-02-24,13.08,13.19,12.68,12.9,95400,PGC
2021-02-25,13.12,13.19,12.87,13.05,96900,PGC
2021-02-26,12.46,13.05,12.46,12.9,65800,PGC
2021-03-01,12.94,13.12,12.87,13.05,94200,PGC
2021-03-02,13.05,13.05,12.9,12.9,108300,PGC
2021-03-03,12.87,13.12,12.87,12.94,64200,PGC
2021-03-04,13.01,13.12,12.9,12.94,76800,PGC
2021-03-05,12.97,13.82,12.97,13.82,257400,PGC
2021-03-08,14.77,14.77,14.29,14.77,248200,PGC
2021-03-09,15.39,15.39,14.81,14.84,154100,PGC
2021-03-10,14.37,14.48,13.82,14.37,125200,PGC
2021-03-11,14.37,14.66,14.0,14.0,115700,PGC
2021-03-12,14.04,14.07,13.85,13.96,86000,PGC
2021-03-15,14.29,14.29,13.89,14.0,78100,PGC
2021-03-16,14.0,14.07,13.85,13.93,81100,PGC
