time,open,high,low,close,volume,ticker
2019-09-04,1.4,1.4,1.4,1.4,0,PVR
2019-09-05,1.4,1.4,1.4,1.4,0,PVR
2019-09-06,1.4,1.4,1.4,1.4,1400,PVR
2019-09-09,1.4,1.4,1.4,1.4,0,PVR
2019-09-10,1.4,1.4,1.4,1.4,0,PVR
2019-09-11,1.4,1.4,1.4,1.4,0,PVR
2019-09-12,1.4,1.4,1.4,1.4,0,PVR
2019-09-13,1.4,1.4,1.4,1.4,0,PVR
2019-09-16,1.4,1.4,1.4,1.4,0,PVR
2019-09-17,1.4,1.4,1.4,1.4,0,PVR
2019-09-18,1.4,1.4,1.4,1.4,0,PVR
2019-09-19,1.4,1.4,1.4,1.4,0,PVR
2019-09-20,1.2,1.2,1.2,1.2,500,PVR
2019-09-23,1.2,1.2,1.2,1.2,0,PVR
2019-09-24,1.2,1.2,1.2,1.2,0,PVR
2019-09-25,1.2,1.2,1.2,1.2,0,PVR
2019-09-26,1.2,1.2,1.2,1.2,0,PVR
2019-09-27,1.3,1.3,1.3,1.3,700,PVR
2019-09-30,1.3,1.3,1.3,1.3,0,PVR
2019-10-01,1.3,1.3,1.3,1.3,0,PVR
2019-10-02,1.3,1.3,1.3,1.3,0,PVR
2019-10-03,1.3,1.3,1.3,1.3,0,PVR
2019-10-04,1.3,1.3,1.3,1.3,0,PVR
2019-10-07,1.3,1.3,1.3,1.3,0,PVR
2019-10-08,1.3,1.3,1.3,1.3,0,PVR
2019-10-09,1.3,1.3,1.3,1.3,0,PVR
2019-10-10,1.3,1.3,1.3,1.3,0,PVR
2019-10-11,1.3,1.3,1.3,1.3,600,PVR
2019-10-14,1.3,1.3,1.3,1.3,0,PVR
2019-10-15,1.3,1.3,1.3,1.3,0,PVR
2019-10-16,1.3,1.3,1.3,1.3,0,PVR
2019-10-17,1.3,1.3,1.3,1.3,0,PVR
2019-10-18,1.3,1.3,1.3,1.3,100,PVR
2019-10-21,1.3,1.3,1.3,1.3,0,PVR
2019-10-22,1.3,1.3,1.3,1.3,0,PVR
2019-10-23,1.3,1.3,1.3,1.3,0,PVR
2019-10-24,1.3,1.3,1.3,1.3,0,PVR
2019-10-25,1.3,1.3,1.3,1.3,200,PVR
2019-10-28,1.3,1.3,1.3,1.3,0,PVR
2019-10-29,1.3,1.3,1.3,1.3,0,PVR
2019-10-30,1.3,1.3,1.3,1.3,0,PVR
2019-10-31,1.3,1.3,1.3,1.3,0,PVR
2019-11-01,1.3,1.3,1.2,1.2,200,PVR
2019-11-04,1.3,1.2,1.2,1.2,0,PVR
2019-11-05,1.3,1.2,1.2,1.2,0,PVR
2019-11-06,1.3,1.2,1.2,1.2,0,PVR
2019-11-07,1.3,1.2,1.2,1.2,0,PVR
2019-11-08,1.2,1.2,1.2,1.2,700,PVR
2019-11-11,1.2,1.2,1.2,1.2,0,PVR
2019-11-12,1.2,1.2,1.2,1.2,0,PVR
2019-11-13,1.2,1.2,1.2,1.2,0,PVR
2019-11-14,1.2,1.2,1.2,1.2,0,PVR
2019-11-15,1.3,1.3,1.3,1.3,100,PVR
2019-11-18,1.3,1.3,1.3,1.3,0,PVR
2019-11-19,1.3,1.3,1.3,1.3,0,PVR
2019-11-20,1.3,1.3,1.3,1.3,0,PVR
2019-11-21,1.3,1.3,1.3,1.3,0,PVR
2019-11-22,1.4,1.4,1.4,1.4,100,PVR
2019-11-25,1.4,1.4,1.4,1.4,0,PVR
2019-11-26,1.4,1.4,1.4,1.4,0,PVR
2019-11-27,1.4,1.4,1.4,1.4,0,PVR
2019-11-28,1.4,1.4,1.4,1.4,0,PVR
2019-11-29,1.4,1.4,1.4,1.4,100,PVR
2019-12-02,1.4,1.4,1.4,1.4,0,PVR
2019-12-03,1.4,1.4,1.4,1.4,0,PVR
2019-12-04,1.4,1.4,1.4,1.4,0,PVR
2019-12-05,1.4,1.4,1.4,1.4,0,PVR
2019-12-06,1.2,1.6,1.2,1.6,400,PVR
2019-12-09,1.3,1.6,1.6,1.6,0,PVR
2019-12-10,1.3,1.6,1.6,1.6,0,PVR
2019-12-11,1.3,1.6,1.6,1.6,0,PVR
2019-12-12,1.3,1.6,1.6,1.6,0,PVR
2019-12-13,1.4,1.4,1.4,1.4,250,PVR
2019-12-16,1.4,1.4,1.4,1.4,0,PVR
2019-12-17,1.4,1.4,1.4,1.4,0,PVR
2019-12-18,1.4,1.4,1.4,1.4,0,PVR
2019-12-19,1.4,1.4,1.4,1.4,0,PVR
2019-12-20,1.4,1.4,1.4,1.4,0,PVR
2019-12-23,1.4,1.4,1.4,1.4,0,PVR
2019-12-24,1.4,1.4,1.4,1.4,0,PVR
