time,open,high,low,close,volume,ticker
2019-08-27,1.3,1.4,1.3,1.4,469180,PVX
2019-08-28,1.4,1.5,1.3,1.4,905555,PVX
2019-08-29,1.4,1.5,1.3,1.4,813470,PVX
2019-08-30,1.4,1.5,1.3,1.4,491840,PVX
2019-09-03,1.5,1.5,1.4,1.4,375275,PVX
2019-09-04,1.4,1.5,1.3,1.3,774325,PVX
2019-09-05,1.3,1.4,1.3,1.4,515770,PVX
2019-09-06,1.5,1.5,1.4,1.5,661100,PVX
2019-09-09,1.5,1.5,1.4,1.4,716820,PVX
2019-09-10,1.4,1.5,1.4,1.5,776685,PVX
2019-09-11,1.5,1.5,1.4,1.4,300105,PVX
2019-09-12,1.4,1.5,1.4,1.4,537030,PVX
2019-09-13,1.5,1.5,1.4,1.5,502340,PVX
2019-09-16,1.5,1.5,1.4,1.5,494209,PVX
2019-09-17,1.5,1.5,1.4,1.4,635129,PVX
2019-09-18,1.5,1.5,1.3,1.4,1423590,PVX
2019-09-19,1.4,1.4,1.3,1.3,931825,PVX
2019-09-20,1.3,1.4,1.3,1.4,403851,PVX
2019-09-23,1.4,1.4,1.3,1.3,359020,PVX
2019-09-24,1.3,1.4,1.3,1.4,488250,PVX
2019-09-25,1.4,1.4,1.3,1.4,386900,PVX
2019-09-26,1.3,1.4,1.3,1.4,568757,PVX
2019-09-27,1.3,1.4,1.3,1.4,347339,PVX
2019-09-30,1.4,1.4,1.3,1.3,835923,PVX
2019-10-01,1.3,1.4,1.3,1.3,1581450,PVX
2019-10-02,1.3,1.4,1.2,1.2,782374,PVX
2019-10-03,1.3,1.3,1.2,1.2,542025,PVX
2019-10-04,1.2,1.3,1.2,1.3,621680,PVX
2019-10-07,1.3,1.4,1.2,1.2,570804,PVX
2019-10-08,1.2,1.3,1.2,1.3,405232,PVX
2019-10-09,1.3,1.3,1.2,1.3,335959,PVX
2019-10-10,1.3,1.3,1.2,1.2,233697,PVX
2019-10-11,1.3,1.3,1.2,1.3,281933,PVX
2019-10-14,1.3,1.3,1.2,1.3,246796,PVX
2019-10-15,1.3,1.3,1.2,1.2,455145,PVX
2019-10-16,1.2,1.3,1.2,1.2,385714,PVX
2019-10-17,1.2,1.3,1.1,1.3,598600,PVX
2019-10-18,1.3,1.3,1.2,1.2,105075,PVX
2019-10-21,1.2,1.3,1.2,1.2,62306,PVX
2019-10-22,1.3,1.3,1.2,1.3,437879,PVX
2019-10-23,1.2,1.3,1.2,1.2,151545,PVX
2019-10-24,1.2,1.3,1.2,1.2,207356,PVX
2019-10-25,1.2,1.3,1.1,1.2,1073436,PVX
2019-10-28,1.2,1.3,1.2,1.2,176870,PVX
2019-10-29,1.3,1.3,1.2,1.2,93625,PVX
2019-10-30,1.3,1.3,1.2,1.2,311410,PVX
2019-10-31,1.3,1.3,1.2,1.2,323500,PVX
2019-11-01,1.2,1.3,1.1,1.2,1687895,PVX
2019-11-04,1.2,1.3,1.1,1.2,764760,PVX
2019-11-05,1.2,1.2,1.1,1.2,291375,PVX
2019-11-06,1.1,1.2,1.1,1.2,227105,PVX
2019-11-07,1.1,1.3,1.1,1.2,499010,PVX
2019-11-08,1.2,1.3,1.1,1.2,233328,PVX
2019-11-11,1.2,1.3,1.1,1.1,416950,PVX
2019-11-12,1.1,1.2,1.1,1.2,440289,PVX
2019-11-13,1.2,1.3,1.1,1.2,292478,PVX
2019-11-14,1.2,1.2,1.1,1.2,163102,PVX
2019-11-15,1.2,1.2,1.1,1.1,461815,PVX
2019-11-18,1.1,1.2,1.1,1.1,381180,PVX
2019-11-19,1.2,1.2,1.1,1.2,191700,PVX
2019-11-20,1.2,1.2,1.1,1.2,217663,PVX
2019-11-21,1.2,1.2,1.1,1.1,300550,PVX
2019-11-22,1.1,1.2,1.1,1.2,468352,PVX
2019-11-25,1.1,1.2,1.1,1.1,519138,PVX
2019-11-26,1.1,1.2,1.1,1.2,309058,PVX
2019-11-27,1.2,1.2,1.1,1.2,117720,PVX
2019-11-28,1.2,1.2,1.1,1.2,86800,PVX
2019-11-29,1.1,1.2,1.1,1.1,175000,PVX
2019-12-02,1.2,1.2,1.1,1.1,178115,PVX
2019-12-03,1.2,1.2,1.1,1.1,272183,PVX
2019-12-04,1.2,1.2,1.1,1.1,67020,PVX
2019-12-05,1.2,1.2,1.1,1.1,292265,PVX
2019-12-06,1.1,1.2,1.0,1.1,1087380,PVX
2019-12-09,1.2,1.2,1.1,1.1,422602,PVX
2019-12-10,1.2,1.2,1.1,1.1,191049,PVX
2019-12-11,1.2,1.2,1.1,1.2,250900,PVX
2019-12-12,1.2,1.2,1.1,1.1,312229,PVX
2019-12-13,1.2,1.2,1.1,1.2,1973445,PVX
2019-12-16,1.2,1.3,1.2,1.2,1409632,PVX
2019-12-17,1.2,1.3,1.2,1.3,676226,PVX
2019-12-18,1.3,1.3,1.2,1.2,2228852,PVX
2019-12-19,1.2,1.3,1.2,1.2,972510,PVX
2019-12-20,1.1,1.2,1.1,1.1,345934,PVX
2019-12-23,1.2,1.2,1.1,1.2,85552,PVX
2019-12-24,1.1,1.2,1.1,1.2,228200,PVX
2019-12-25,1.1,1.2,1.1,1.2,221679,PVX
2019-12-26,1.1,1.2,1.1,1.2,223960,PVX
2019-12-27,1.1,1.2,1.1,1.1,1024670,PVX
2019-12-30,1.2,1.2,1.1,1.1,454150,PVX
2019-12-31,1.1,1.2,1.1,1.1,851000,PVX
2020-01-02,1.1,1.2,1.0,1.1,301530,PVX
2020-01-03,1.1,1.2,1.1,1.1,363245,PVX
2020-01-06,1.1,1.2,1.1,1.2,443627,PVX
2020-01-07,1.1,1.2,1.1,1.1,153900,PVX
2020-01-08,1.1,1.2,1.1,1.1,646975,PVX
2020-01-09,1.0,1.2,1.0,1.1,187700,PVX
2020-01-10,1.1,1.2,1.1,1.1,450445,PVX
2020-01-13,1.1,1.2,1.1,1.1,192514,PVX
2020-01-14,1.1,1.2,1.1,1.1,205628,PVX
2020-01-15,1.1,1.2,1.1,1.1,197200,PVX
2020-01-16,1.1,1.1,1.0,1.1,429306,PVX
2020-01-17,1.1,1.1,1.0,1.1,104710,PVX
2020-01-20,1.1,1.1,1.1,1.1,340400,PVX
2020-01-21,1.0,1.2,1.0,1.2,430500,PVX
2020-01-22,1.1,1.2,1.1,1.1,113974,PVX
2020-01-30,1.1,1.2,1.0,1.1,444306,PVX
2020-01-31,1.0,1.1,1.0,1.0,1250806,PVX
2020-02-03,1.0,1.0,0.9,1.0,2553164,PVX
2020-02-04,1.0,1.0,0.9,1.0,2268200,PVX
2020-02-05,1.0,1.1,0.9,1.0,452840,PVX
2020-02-06,1.0,1.1,0.9,1.1,982540,PVX
2020-02-07,1.0,1.1,1.0,1.0,1150671,PVX
