time,open,high,low,close,volume,ticker
2020-12-21,25.01,25.44,25.01,25.07,522710,REE
2020-12-22,25.07,25.97,24.91,25.87,792470,REE
2020-12-23,26.08,26.11,25.55,25.81,500210,REE
2020-12-24,25.57,25.81,24.91,25.39,554540,REE
2020-12-25,25.15,25.55,25.15,25.55,451440,REE
2020-12-28,25.71,25.71,25.23,25.36,383160,REE
2020-12-29,25.33,25.47,25.17,25.39,318410,REE
2020-12-30,25.39,26.08,25.23,25.71,504640,REE
2020-12-31,25.55,26.05,25.55,26.05,241510,REE
2021-01-04,26.37,26.88,26.18,26.77,659500,REE
2021-01-05,26.61,26.88,26.56,26.72,362700,REE
2021-01-06,26.77,27.14,26.4,26.61,456500,REE
2021-01-07,26.56,27.3,26.5,27.14,624000,REE
2021-01-08,27.41,27.41,26.88,27.3,498200,REE
2021-01-11,27.3,27.57,27.14,27.25,614200,REE
2021-01-12,27.25,28.47,27.14,28.26,1089900,REE
2021-01-13,28.47,28.63,27.94,28.31,1066600,REE
2021-01-14,28.31,28.37,28.05,28.21,482400,REE
2021-01-15,28.47,28.58,28.05,28.47,925900,REE
2021-01-18,28.47,29.01,28.31,28.69,559600,REE
2021-01-19,28.69,28.69,26.72,28.1,786300,REE
2021-01-20,28.15,28.26,26.61,28.21,988000,REE
2021-01-21,28.21,28.69,27.89,28.53,586800,REE
2021-01-22,28.53,29.27,28.37,28.79,816100,REE
2021-01-25,28.79,29.01,28.63,28.9,678300,REE
2021-01-26,29.11,29.11,27.68,28.42,713400,REE
2021-01-27,27.68,28.42,26.61,27.62,958000,REE
2021-01-28,25.71,26.88,25.71,25.71,917900,REE
2021-01-29,24.48,27.46,24.48,27.14,680300,REE
2021-02-01,27.04,27.57,25.97,26.66,485900,REE
2021-02-02,26.5,28.47,26.48,28.47,669000,REE
2021-02-03,28.74,29.01,28.21,28.74,1020400,REE
2021-02-04,28.9,28.9,27.99,28.47,1187200,REE
2021-02-05,28.47,28.74,27.99,28.47,937100,REE
2021-02-08,28.58,29.8,28.1,28.74,1818200,REE
2021-02-09,28.74,30.34,28.47,30.34,1500300,REE
2021-02-17,30.87,31.51,30.34,31.45,1912700,REE
2021-02-18,31.4,31.72,30.6,31.72,1053100,REE
2021-02-19,31.13,31.67,31.13,31.19,637700,REE
2021-02-22,30.92,31.03,30.23,30.34,1044700,REE
2021-02-23,30.34,30.6,29.8,30.02,990700,REE
2021-02-24,30.23,30.44,29.27,30.34,616000,REE
2021-02-25,30.39,30.71,29.8,30.02,816200,REE
2021-02-26,29.64,30.23,29.59,30.18,1037700,REE
2021-03-01,30.18,30.5,30.18,30.28,874100,REE
2021-03-02,30.6,30.66,30.18,30.28,563900,REE
2021-03-03,30.5,30.55,30.18,30.39,1146400,REE
2021-03-04,30.66,30.66,29.01,29.54,948400,REE
2021-03-05,29.54,29.54,29.01,29.48,641600,REE
2021-03-08,29.59,30.07,29.48,29.8,614800,REE
2021-03-09,29.48,29.59,28.58,29.27,1461200,REE
2021-03-10,29.11,29.22,28.74,29.22,968100,REE
2021-03-11,29.27,29.54,29.27,29.54,821900,REE
2021-03-12,29.54,29.59,29.33,29.54,611700,REE
2021-03-15,29.38,29.54,29.17,29.22,586200,REE
2021-03-16,29.22,29.22,28.37,28.69,1072000,REE
2021-03-17,28.69,28.74,28.42,28.69,636800,REE
2021-03-18,28.9,29.17,28.69,28.79,428500,REE
2021-03-19,28.79,29.96,28.69,29.91,1678800,REE
2021-03-22,30.12,30.34,29.8,30.07,982800,REE
2021-03-23,30.07,30.07,29.33,29.54,456100,REE
2021-03-24,28.9,29.27,28.47,28.74,672400,REE
2021-03-25,28.74,28.85,28.37,28.42,565800,REE
2021-03-26,28.42,28.74,26.45,28.74,870500,REE
2021-03-29,28.74,28.9,28.42,28.9,301000,REE
2021-03-30,28.9,28.9,27.99,28.31,816600,REE
2021-03-31,27.89,28.31,27.89,27.99,728900,REE
2021-04-01,28.05,28.69,27.94,28.69,458300,REE
2021-04-02,28.74,28.85,28.58,28.58,542500,REE
2021-04-05,28.69,28.85,28.37,28.53,388200,REE
2021-04-06,28.58,28.74,27.94,28.37,369800,REE
2021-04-07,28.05,28.37,27.94,28.37,291200,REE
2021-04-08,28.31,28.37,27.99,28.1,378300,REE
2021-04-09,28.1,28.53,28.05,28.47,652700,REE
2021-04-12,28.53,28.53,28.26,28.53,754500,REE
2021-04-13,28.58,28.58,28.21,28.31,807100,REE
2021-04-14,28.21,28.31,27.89,28.15,507400,REE
2021-04-15,28.05,28.15,27.52,27.52,620300,REE
2021-04-16,27.46,27.52,26.61,27.14,691200,REE
2021-04-19,27.14,28.05,26.61,28.05,537800,REE
2021-04-20,28.05,28.31,27.68,27.68,607800,REE
2021-04-22,27.68,27.68,27.25,27.25,412900,REE
2021-04-23,27.14,27.83,26.77,27.83,496900,REE
2021-04-26,27.83,27.83,27.04,27.3,428700,REE
2021-04-27,27.36,27.36,26.82,27.14,548100,REE
2021-04-28,26.98,27.2,26.66,27.14,287200,REE
2021-04-29,27.14,28.53,26.93,28.53,1047800,REE
2021-05-04,27.94,28.21,27.68,27.73,461800,REE
2021-05-05,27.73,28.47,27.73,28.1,390100,REE
2021-05-06,28.47,29.48,28.15,29.33,1560900,REE
2021-05-07,29.17,30.18,28.74,29.86,996200,REE
2021-05-10,29.59,30.55,29.33,30.18,898500,REE
2021-05-11,30.18,30.23,29.17,29.22,906700,REE
2021-05-12,28.9,29.75,28.74,29.43,376800,REE
2021-05-13,29.27,29.54,28.9,29.27,603500,REE
2021-05-14,29.27,30.12,29.01,29.8,626200,REE
2021-05-17,29.8,29.96,29.27,29.38,360000,REE
2021-05-18,29.38,29.8,28.95,29.54,523000,REE
2021-05-19,29.27,29.43,28.95,29.27,357800,REE
2021-05-20,29.06,31.13,29.06,31.08,1457300,REE
2021-05-21,31.08,31.08,30.5,30.87,822600,REE
2021-05-24,30.87,31.88,30.66,31.45,879000,REE
2021-05-25,31.51,31.67,30.87,31.45,590800,REE
2021-05-26,31.45,31.51,31.03,31.45,518900,REE
2021-05-27,31.45,32.47,31.19,31.51,1038100,REE
2021-05-28,31.29,31.56,31.03,31.56,769900,REE
2021-05-31,31.67,31.72,30.87,30.97,551500,REE
2021-06-01,30.97,30.97,30.12,30.34,834100,REE
2021-06-02,29.8,30.23,29.59,29.8,827600,REE
2021-06-03,29.54,31.13,29.54,30.76,594100,REE
2021-06-04,30.6,30.71,30.07,30.55,520300,REE
2021-06-07,30.34,30.44,28.74,29.7,1120100,REE
2021-06-08,29.8,30.34,29.59,29.8,592000,REE
2021-06-09,29.27,29.8,29.27,29.54,326800,REE
2021-06-10,29.01,29.48,28.42,29.01,1013600,REE
2021-06-11,29.01,29.38,28.74,29.22,789200,REE
2021-06-14,29.48,29.7,29.17,29.54,764800,REE
2021-06-15,30.02,30.44,29.8,30.28,779500,REE
2021-06-16,30.18,30.5,29.7,30.28,616300,REE
2021-06-17,29.75,32.09,29.7,31.93,1078600,REE
2021-06-18,32.41,32.47,31.72,31.77,1201700,REE
2021-06-21,30.87,31.56,30.76,30.97,684000,REE
2021-06-22,30.87,31.29,30.5,30.66,559600,REE
2021-06-23,30.66,30.82,30.12,30.28,692700,REE
2021-06-24,30.07,30.34,30.02,30.02,312400,REE
2021-06-25,30.28,30.34,29.7,30.07,429400,REE
2021-06-28,30.07,30.6,30.02,30.5,501500,REE
2021-06-29,30.5,31.03,30.5,30.71,693700,REE
2021-06-30,30.87,31.08,30.6,30.71,413000,REE
2021-07-01,30.6,31.08,30.5,30.66,434400,REE
2021-07-02,30.87,30.87,30.18,30.18,767900,REE
2021-07-05,30.18,30.18,29.17,29.17,1101800,REE
2021-07-06,29.17,30.18,27.94,27.94,929400,REE
