time,open,high,low,close,volume,ticker
2020-05-13,4.38,4.38,4.38,4.38,110,RIC
2020-05-14,4.38,4.38,4.09,4.09,400,RIC
2020-05-15,4.09,4.09,4.09,4.09,120,RIC
2020-05-18,4.0,4.36,4.0,4.36,530,RIC
2020-05-19,4.5,4.5,4.5,4.5,10,RIC
2020-05-20,4.5,4.59,4.5,4.59,100,RIC
2020-05-21,4.27,4.7,4.27,4.7,60,RIC
2020-05-22,4.7,4.7,4.7,4.7,0,RIC
2020-05-25,4.38,4.38,4.38,4.38,420,RIC
2020-05-26,4.38,4.67,4.08,4.67,1060,RIC
2020-05-27,4.35,4.35,4.35,4.35,300,RIC
2020-05-28,4.06,4.06,4.06,4.06,80,RIC
2020-05-29,4.1,4.1,4.1,4.1,110,RIC
2020-06-01,4.33,4.33,4.15,4.15,710,RIC
2020-06-02,4.35,4.35,4.02,4.23,70,RIC
2020-06-03,4.23,4.23,4.23,4.23,0,RIC
2020-06-04,3.94,3.94,3.94,3.94,210,RIC
2020-06-05,3.94,3.94,3.94,3.94,0,RIC
2020-06-08,3.94,4.2,3.94,4.2,480,RIC
2020-06-09,4.28,4.48,4.28,4.48,1620,RIC
2020-06-10,4.78,4.78,4.31,4.72,7010,RIC
2020-06-11,4.72,4.72,4.72,4.72,2570,RIC
2020-06-12,4.72,4.77,4.72,4.77,540,RIC
2020-06-15,4.75,4.75,4.75,4.75,230,RIC
2020-06-16,4.42,5.0,4.42,5.0,220,RIC
2020-06-17,4.65,4.71,4.65,4.71,1410,RIC
2020-06-18,4.99,5.0,4.42,4.89,220,RIC
2020-06-19,4.56,4.9,4.55,4.55,2850,RIC
2020-06-22,4.85,4.85,4.73,4.85,800,RIC
2020-06-23,4.53,5.0,4.53,5.0,870,RIC
2020-06-24,5.0,5.34,5.0,5.0,1880,RIC
2020-06-25,5.34,5.34,5.33,5.33,130,RIC
2020-06-26,4.96,5.3,4.96,5.29,600,RIC
2020-06-29,4.92,5.2,4.92,5.2,330,RIC
2020-06-30,5.2,5.2,5.2,5.2,0,RIC
2020-07-01,4.88,4.9,4.84,4.84,840,RIC
2020-07-02,4.54,4.84,4.52,4.84,210,RIC
2020-07-03,4.52,4.53,4.51,4.53,340,RIC
2020-07-06,4.5,4.5,4.5,4.5,50,RIC
2020-07-07,4.21,4.21,4.2,4.2,1000,RIC
2020-07-08,4.4,4.48,4.4,4.48,1550,RIC
2020-07-09,4.5,4.5,4.5,4.5,620,RIC
2020-07-10,4.22,4.22,4.2,4.2,1690,RIC
2020-07-13,4.2,4.2,4.2,4.2,0,RIC
2020-07-14,3.93,3.93,3.93,3.93,100,RIC
2020-07-15,3.97,3.97,3.97,3.97,10,RIC
2020-07-16,3.97,3.97,3.97,3.97,0,RIC
2020-07-17,4.01,4.24,4.01,4.24,1180,RIC
2020-07-20,4.53,4.53,4.5,4.53,2520,RIC
2020-07-21,4.84,4.84,4.84,4.84,2080,RIC
2020-07-22,5.17,5.17,5.17,5.17,2330,RIC
2020-07-23,5.53,5.53,4.81,5.45,6530,RIC
2020-07-24,5.83,5.83,5.07,5.07,3370,RIC
2020-07-27,4.72,5.4,4.72,5.4,2100,RIC
2020-07-28,5.4,5.4,5.4,5.4,0,RIC
2020-07-29,5.03,5.05,5.03,5.05,1210,RIC
2020-07-30,4.8,5.34,4.7,5.34,3340,RIC
2020-07-31,5.3,5.34,4.98,5.34,900,RIC
2020-08-03,5.66,5.66,4.99,4.99,1050,RIC
2020-08-04,5.3,5.3,4.65,5.24,3390,RIC
2020-08-05,5.33,5.48,5.28,5.48,2850,RIC
2020-08-06,5.1,5.48,5.1,5.48,1120,RIC
2020-08-07,5.1,5.43,5.1,5.43,630,RIC
2020-08-10,5.05,5.05,5.05,5.05,540,RIC
2020-08-11,5.05,5.14,4.7,4.71,3520,RIC
2020-08-12,4.41,4.91,4.4,4.45,1210,RIC
2020-08-13,4.45,4.45,4.39,4.45,1850,RIC
2020-08-14,4.39,4.39,4.2,4.2,700,RIC
2020-08-17,4.2,4.48,3.96,4.45,1590,RIC
2020-08-18,4.74,4.74,4.14,4.14,9010,RIC
2020-08-19,4.4,4.4,4.4,4.4,210,RIC
2020-08-20,4.57,4.57,4.11,4.11,790,RIC
2020-08-21,4.37,4.37,3.83,4.33,13180,RIC
2020-08-24,4.6,4.6,4.06,4.58,140,RIC
2020-08-25,4.3,4.85,4.3,4.35,1930,RIC
2020-08-26,4.3,4.3,4.3,4.3,3320,RIC
2020-08-27,4.3,4.3,4.3,4.3,790,RIC
2020-08-28,4.4,4.6,4.4,4.6,1350,RIC
2020-08-31,4.6,4.6,4.29,4.29,630,RIC
2020-09-01,4.02,4.59,4.02,4.59,1550,RIC
2020-09-03,4.91,4.91,4.91,4.91,9710,RIC
