time,open,high,low,close,volume,ticker
2020-04-10,4.64,4.64,4.64,4.64,100,SD2
2020-04-13,5.1,5.1,4.73,4.73,200,SD2
2020-04-14,5.19,5.19,5.19,5.19,500,SD2
2020-04-15,5.19,5.19,5.19,5.19,0,SD2
2020-04-16,5.64,5.64,5.55,5.55,1500,SD2
2020-04-17,5.55,5.55,5.55,5.55,600,SD2
2020-04-20,5.55,5.55,5.55,5.55,0,SD2
2020-04-21,5.1,5.1,5.1,5.1,100,SD2
2020-04-22,5.1,5.1,5.1,5.1,100,SD2
2020-04-23,5.1,5.1,5.1,5.1,0,SD2
2020-04-24,4.73,4.73,4.73,4.73,100,SD2
2020-04-27,4.73,4.73,4.73,4.73,1000,SD2
2020-04-28,4.73,4.73,4.73,4.73,1000,SD2
2020-04-29,4.73,4.73,4.73,4.73,2000,SD2
2020-05-04,4.64,4.64,4.64,4.64,1000,SD2
2020-05-05,5.1,5.1,5.1,5.1,600,SD2
2020-05-06,5.55,5.55,5.46,5.55,550,SD2
2020-05-07,5.01,5.01,5.01,5.01,100,SD2
2020-05-08,5.01,5.01,5.01,5.01,0,SD2
2020-05-11,5.01,5.01,4.55,4.55,6450,SD2
2020-05-12,4.64,4.64,4.64,4.64,666,SD2
2020-05-13,5.1,5.1,5.1,5.1,100,SD2
2020-05-14,5.1,5.1,5.1,5.1,41,SD2
2020-05-15,5.19,5.46,5.19,5.19,5400,SD2
2020-05-18,5.28,5.64,5.28,5.64,97600,SD2
2020-05-19,5.19,5.19,5.19,5.19,5200,SD2
2020-05-20,5.28,5.28,5.28,5.28,600,SD2
2020-05-21,5.28,5.28,5.28,5.28,66,SD2
2020-05-22,5.64,5.74,5.55,5.64,22100,SD2
2020-05-25,5.92,5.92,5.55,5.55,500,SD2
2020-05-26,5.64,5.64,5.19,5.19,2100,SD2
2020-05-27,5.55,5.55,5.55,5.55,1070,SD2
2020-05-28,5.64,5.64,5.64,5.64,508,SD2
2020-05-29,5.64,5.64,5.64,5.64,2600,SD2
2020-06-01,5.46,5.64,5.46,5.64,1700,SD2
2020-06-02,5.55,5.64,5.55,5.64,2400,SD2
2020-06-03,5.74,5.74,5.74,5.74,1000,SD2
2020-06-04,5.19,5.74,5.19,5.74,1800,SD2
2020-06-05,5.28,6.28,5.28,6.19,3900,SD2
2020-06-08,6.37,6.55,5.92,6.37,18700,SD2
