time,open,high,low,close,volume,ticker
2020-03-23,2.4,2.4,2.4,2.4,0,SDD
2020-03-24,2.4,2.4,2.4,2.4,0,SDD
2020-03-25,2.4,2.4,2.4,2.4,0,SDD
2020-03-26,2.4,2.4,2.4,2.4,0,SDD
2020-03-27,2.5,2.6,2.4,2.4,18406,SDD
2020-03-30,2.5,2.4,2.4,2.4,0,SDD
2020-03-31,2.5,2.4,2.4,2.4,0,SDD
2020-04-01,2.5,2.4,2.4,2.4,0,SDD
2020-04-03,2.2,2.8,2.2,2.5,18130,SDD
2020-04-06,2.5,2.5,2.5,2.5,0,SDD
2020-04-07,2.5,2.5,2.5,2.5,0,SDD
2020-04-08,2.5,2.5,2.5,2.5,0,SDD
2020-04-09,2.2,2.8,2.2,2.8,7921,SDD
2020-04-10,2.5,2.6,2.5,2.5,20001,SDD
2020-04-13,2.5,2.5,2.5,2.5,0,SDD
2020-04-14,2.5,2.6,2.5,2.6,2300,SDD
2020-04-15,2.8,2.8,2.8,2.8,3500,SDD
2020-04-16,2.5,2.9,2.5,2.9,3700,SDD
2020-04-17,2.9,2.9,2.6,2.6,5816,SDD
2020-04-20,2.9,2.9,2.9,2.9,10600,SDD
2020-04-21,3.3,3.3,3.3,3.3,62800,SDD
2020-04-22,3.0,3.5,3.0,3.5,5110,SDD
2020-04-23,3.1,3.1,3.1,3.1,171,SDD
2020-04-24,3.0,3.0,3.0,3.0,3457,SDD
2020-04-27,3.4,3.4,3.4,3.4,70734,SDD
2020-04-28,3.0,3.6,3.0,3.6,11840,SDD
2020-04-29,3.2,3.3,3.2,3.3,4299,SDD
2020-05-04,3.2,3.3,3.3,3.3,0,SDD
2020-05-05,3.1,3.4,3.1,3.4,12374,SDD
2020-05-06,3.3,3.4,3.1,3.1,19100,SDD
2020-05-07,3.5,3.5,3.5,3.5,2100,SDD
2020-05-08,3.3,3.3,3.3,3.3,3000,SDD
2020-05-11,3.1,3.1,3.0,3.0,6579,SDD
2020-05-12,2.8,3.3,2.8,3.3,10322,SDD
2020-05-13,3.0,3.0,3.0,3.0,1082,SDD
2020-05-14,3.3,3.3,3.3,3.3,4500,SDD
2020-05-15,3.3,3.3,3.3,3.3,0,SDD
2020-05-18,3.1,3.1,3.1,3.1,260,SDD
2020-05-19,3.2,3.2,3.2,3.2,187,SDD
2020-05-20,3.2,3.2,3.0,3.0,600,SDD
2020-05-21,3.0,3.0,3.0,3.0,1440,SDD
2020-05-22,3.0,3.2,3.0,3.2,15400,SDD
2020-05-25,3.1,3.1,3.1,3.1,4022,SDD
2020-05-26,3.0,3.1,3.0,3.1,9600,SDD
2020-05-27,3.1,3.1,3.1,3.1,5600,SDD
2020-05-28,3.1,3.1,3.1,3.1,13744,SDD
2020-05-29,3.0,3.0,3.0,3.0,1274,SDD
2020-06-01,3.1,3.1,3.1,3.1,198,SDD
2020-06-02,3.1,3.1,3.1,3.1,55,SDD
2020-06-03,3.0,3.0,3.0,3.0,1000,SDD
2020-06-04,2.8,2.8,2.8,2.8,6246,SDD
2020-06-05,2.8,2.8,2.8,2.8,2024,SDD
2020-06-08,2.8,2.8,2.7,2.8,6984,SDD
2020-06-09,2.8,2.8,2.8,2.8,0,SDD
2020-06-10,2.5,2.5,2.5,2.5,2018,SDD
2020-06-11,2.5,2.7,2.2,2.7,14646,SDD
2020-06-12,2.2,2.2,2.2,2.2,530,SDD
2020-06-15,2.2,2.5,2.2,2.5,12900,SDD
2020-06-16,2.4,2.4,2.4,2.4,501,SDD
2020-06-17,2.5,2.5,2.5,2.5,100,SDD
2020-06-18,2.5,2.5,2.5,2.5,0,SDD
2020-06-19,2.3,2.3,2.2,2.2,48415,SDD
2020-06-22,2.0,2.2,2.0,2.2,205735,SDD
2020-06-23,2.0,2.2,2.0,2.1,24000,SDD
2020-06-24,2.1,2.1,2.1,2.1,3300,SDD
2020-06-25,2.1,2.4,2.1,2.2,28539,SDD
2020-06-26,2.1,2.4,2.1,2.4,459,SDD
2020-06-29,2.1,2.5,2.1,2.5,20600,SDD
2020-06-30,2.2,2.2,2.1,2.1,1334,SDD
2020-07-01,2.4,2.4,2.4,2.4,10070,SDD
2020-07-02,2.1,2.3,2.1,2.1,900,SDD
2020-07-03,2.2,2.4,2.2,2.4,2950,SDD
2020-07-06,2.1,2.1,2.0,2.0,50300,SDD
2020-07-07,2.2,2.2,2.0,2.1,16023,SDD
2020-07-08,2.1,2.4,2.1,2.4,11800,SDD
2020-07-09,2.1,2.1,2.1,2.1,15000,SDD
2020-07-10,2.1,2.1,2.1,2.1,65,SDD
2020-07-13,2.0,2.3,2.0,2.3,65000,SDD
2020-07-14,2.2,2.3,2.2,2.3,3010,SDD
2020-07-15,2.2,2.3,2.3,2.3,0,SDD
2020-07-16,2.1,2.2,2.0,2.2,11738,SDD
2020-07-17,2.2,2.2,2.1,2.2,20600,SDD
2020-07-20,2.2,2.4,2.2,2.4,10300,SDD
2020-07-21,2.2,2.4,2.4,2.4,0,SDD
2020-07-22,2.0,2.4,2.0,2.4,9258,SDD
2020-07-23,2.4,2.4,2.4,2.4,100,SDD
2020-07-24,2.4,2.6,2.4,2.6,11000,SDD
2020-07-27,2.4,2.4,2.2,2.4,11500,SDD
2020-07-28,2.1,2.5,2.1,2.5,3500,SDD
2020-07-29,2.4,2.5,2.5,2.5,0,SDD
2020-07-30,2.4,2.5,2.5,2.5,0,SDD
2020-07-31,2.4,2.5,2.5,2.5,0,SDD
2020-08-03,2.4,2.5,2.5,2.5,0,SDD
2020-08-04,2.1,2.4,2.1,2.4,429,SDD
2020-08-05,2.4,2.4,2.4,2.4,100,SDD
2020-08-06,2.4,2.4,2.4,2.4,0,SDD
2020-08-07,2.4,2.4,2.4,2.4,26,SDD
2020-08-10,2.4,2.4,2.4,2.4,29,SDD
2020-08-11,2.1,2.4,2.1,2.4,300,SDD
2020-08-12,2.1,2.3,2.1,2.3,700,SDD
2020-08-13,2.4,2.4,2.4,2.4,200,SDD
2020-08-14,2.3,2.3,2.2,2.3,678,SDD
2020-08-17,2.1,2.4,2.0,2.4,12797,SDD
2020-08-18,2.0,2.1,2.0,2.1,60003,SDD
2020-08-19,2.2,2.3,2.1,2.3,7070,SDD
2020-08-20,2.4,2.4,2.4,2.4,105,SDD
2020-08-21,2.2,2.3,2.1,2.3,33000,SDD
2020-08-24,2.1,2.1,2.1,2.3,9,SDD
2020-08-25,2.2,2.4,2.2,2.3,4700,SDD
2020-08-26,2.3,2.3,2.3,2.3,61,SDD
2020-08-27,2.2,2.2,2.2,2.2,8000,SDD
2020-08-28,2.2,2.3,2.2,2.2,5410,SDD
2020-08-31,2.4,2.4,2.1,2.3,9234,SDD
2020-09-01,2.2,2.2,2.2,2.2,1149,SDD
2020-09-03,2.3,2.3,2.3,2.3,2800,SDD
2020-09-04,2.3,2.3,2.3,2.3,0,SDD
2020-09-07,2.3,2.3,2.3,2.3,100,SDD
2020-09-08,2.2,2.2,2.1,2.1,5348,SDD
2020-09-09,2.3,2.3,2.3,2.3,207,SDD
2020-09-10,2.3,2.3,2.3,2.3,3,SDD
2020-09-11,2.2,2.3,2.2,2.3,6020,SDD
2020-09-14,2.3,2.4,2.3,2.4,52100,SDD
2020-09-15,2.5,2.7,2.5,2.7,83539,SDD
2020-09-16,2.7,2.8,2.7,2.7,12200,SDD
2020-09-17,0.0,0.0,0.0,2.7,20,SDD
2020-09-18,2.5,2.5,2.5,2.5,147,SDD
2020-09-21,2.5,2.6,2.4,2.5,291010,SDD
2020-09-22,2.6,2.7,2.5,2.7,247454,SDD
2020-09-23,2.7,2.8,2.7,2.7,10300,SDD
2020-09-24,2.6,2.7,2.5,2.7,51200,SDD
2020-09-25,2.6,2.6,2.4,2.6,95300,SDD
2020-09-28,2.5,2.5,2.3,2.5,37700,SDD
2020-09-29,2.3,2.5,2.3,2.5,44500,SDD
2020-09-30,2.3,2.4,2.3,2.4,9934,SDD
2020-10-01,2.3,2.3,2.3,2.3,2700,SDD
2020-10-02,2.4,2.4,2.3,2.3,24600,SDD
2020-10-05,2.4,2.4,2.3,2.4,7600,SDD
2020-10-06,2.3,2.3,2.3,2.3,15600,SDD
2020-10-07,2.5,2.5,2.4,2.5,3000,SDD
2020-10-08,2.3,2.5,2.3,2.3,20000,SDD
2020-10-09,2.5,2.5,2.4,2.4,3000,SDD
2020-10-12,2.5,2.5,2.3,2.5,4800,SDD
2020-10-13,2.3,2.4,2.3,2.4,15600,SDD
2020-10-14,2.2,2.4,2.2,2.4,10800,SDD
2020-10-15,2.3,2.3,2.3,2.3,10900,SDD
2020-10-16,2.3,2.4,2.3,2.4,31800,SDD
2020-10-19,2.3,2.4,2.3,2.3,7100,SDD
2020-10-20,2.3,2.4,2.3,2.4,8900,SDD
2020-10-21,2.2,2.4,2.2,2.4,2100,SDD
2020-10-22,2.4,2.4,2.2,2.3,28300,SDD
2020-10-23,2.4,2.4,2.4,2.4,1000,SDD
2020-10-26,2.3,2.3,2.3,2.3,22300,SDD
2020-10-27,2.4,2.4,2.2,2.3,23700,SDD
2020-10-28,2.3,2.3,2.3,2.3,5000,SDD
2020-10-29,2.3,2.3,2.3,2.3,0,SDD
2020-10-30,2.2,2.3,2.2,2.3,3100,SDD
2020-11-02,2.3,2.3,2.2,2.2,4100,SDD
2020-11-03,2.2,2.3,2.2,2.3,4000,SDD
2020-11-04,2.2,2.3,2.2,2.2,4700,SDD
2020-11-05,2.2,2.2,2.1,2.1,21100,SDD
2020-11-06,2.3,2.3,2.1,2.1,20900,SDD
2020-11-09,2.2,2.2,2.1,2.1,43200,SDD
2020-11-10,2.1,2.1,2.1,2.1,5000,SDD
2020-11-11,2.1,2.1,2.1,2.1,1300,SDD
2020-11-12,2.1,2.2,2.1,2.1,7100,SDD
2020-11-13,2.1,2.1,2.1,2.1,23500,SDD
2020-11-16,2.1,2.1,2.1,2.1,65500,SDD
2020-11-17,2.2,2.2,2.1,2.1,2200,SDD
2020-11-18,2.1,2.2,2.1,2.1,27500,SDD
2020-11-19,2.2,2.2,2.2,2.2,1000,SDD
