time,open,high,low,close,volume,ticker
2020-12-16,6.78,6.9,6.78,6.82,6660662,SHB
2020-12-17,6.86,6.98,6.78,6.82,8406219,SHB
2020-12-18,6.82,6.94,6.82,6.9,5043178,SHB
2020-12-21,6.9,7.18,6.9,7.14,12695804,SHB
2020-12-22,7.1,7.38,7.1,7.26,14807237,SHB
2020-12-23,7.26,7.26,6.98,7.18,10941030,SHB
2020-12-24,7.1,7.18,6.78,6.9,9255014,SHB
2020-12-25,6.9,7.02,6.82,6.94,8822774,SHB
2020-12-28,6.94,7.18,6.86,6.94,6659712,SHB
2020-12-29,6.94,6.98,6.78,6.86,7765160,SHB
2020-12-30,6.86,6.94,6.74,6.78,10063435,SHB
2020-12-31,6.78,6.9,6.78,6.78,6346863,SHB
2021-01-04,6.82,6.9,6.78,6.86,12479042,SHB
2021-01-05,6.86,7.3,6.82,7.06,22063855,SHB
2021-01-06,7.06,7.26,7.02,7.1,19359438,SHB
2021-01-07,7.1,7.73,7.1,7.65,43454672,SHB
2021-01-08,7.61,7.77,7.53,7.61,28633638,SHB
2021-01-11,7.61,7.73,7.49,7.49,23357720,SHB
2021-01-12,7.53,7.57,7.3,7.49,34680454,SHB
2021-01-13,7.57,7.89,7.38,7.61,65766878,SHB
2021-01-14,7.65,7.77,7.53,7.61,24754125,SHB
2021-01-15,7.65,7.81,7.57,7.65,59202831,SHB
2021-01-18,7.77,7.77,7.38,7.42,37508242,SHB
2021-01-19,7.42,7.46,6.7,6.74,53114820,SHB
2021-01-20,6.78,7.1,6.14,7.06,43360480,SHB
2021-01-21,7.06,7.22,6.9,7.1,22062662,SHB
2021-01-22,7.1,7.14,6.86,6.94,22669983,SHB
2021-01-25,6.94,6.94,6.66,6.66,24078933,SHB
2021-01-26,6.66,6.7,6.06,6.54,44996014,SHB
2021-01-27,6.54,6.58,6.14,6.22,23195032,SHB
2021-01-28,6.14,6.18,5.62,5.62,24833988,SHB
2021-01-29,5.06,5.94,5.06,5.82,32327338,SHB
2021-02-01,5.78,5.9,5.38,5.38,19798552,SHB
2021-02-02,5.3,5.9,5.26,5.86,31635547,SHB
2021-02-03,5.86,6.3,5.86,6.18,26159418,SHB
2021-02-04,6.22,6.26,6.02,6.14,15714340,SHB
2021-02-05,6.14,6.42,6.06,6.42,29418304,SHB
2021-02-08,6.38,6.5,5.9,6.02,25766919,SHB
2021-02-09,5.98,6.26,5.9,6.18,12574612,SHB
2021-02-17,6.22,6.42,6.22,6.42,19511714,SHB
2021-02-18,6.5,6.5,6.26,6.3,19041857,SHB
2021-02-19,6.26,6.42,6.18,6.34,21635265,SHB
2021-02-22,6.38,6.42,6.26,6.26,16462663,SHB
2021-02-23,6.26,6.5,6.26,6.5,31073880,SHB
2021-02-24,6.5,6.58,6.26,6.38,23352954,SHB
2021-02-25,6.38,6.46,6.22,6.34,24986950,SHB
2021-02-26,6.3,6.34,6.18,6.34,28661982,SHB
2021-03-01,6.34,6.46,6.3,6.46,25488809,SHB
2021-03-02,6.5,6.58,6.38,6.42,23396396,SHB
2021-03-03,6.42,6.46,6.34,6.42,18926418,SHB
2021-03-04,6.42,6.46,6.22,6.3,26952009,SHB
2021-03-05,6.3,6.38,6.18,6.3,20150449,SHB
2021-03-08,6.34,6.42,6.3,6.3,16097297,SHB
2021-03-09,6.34,6.34,6.22,6.26,15176186,SHB
2021-03-10,6.26,6.5,6.22,6.5,28895282,SHB
2021-03-11,6.58,6.94,6.5,6.9,58166354,SHB
2021-03-12,6.9,7.14,6.82,7.06,49120093,SHB
2021-03-15,7.1,7.34,7.06,7.1,41315736,SHB
2021-03-16,7.1,7.49,6.98,7.46,63266470,SHB
2021-03-17,7.38,7.57,7.38,7.53,44962920,SHB
2021-03-18,7.49,8.01,7.49,7.77,62469485,SHB
2021-03-19,7.77,7.85,7.53,7.81,30978861,SHB
2021-03-22,7.81,8.01,7.65,7.65,24949166,SHB
2021-03-23,7.65,7.89,7.3,7.49,36743175,SHB
2021-03-24,7.46,7.49,6.98,7.18,25709476,SHB
2021-03-25,7.18,7.3,7.1,7.1,12543927,SHB
2021-03-26,7.1,7.77,6.82,7.77,79872908,SHB
2021-03-29,7.77,8.53,7.77,8.53,55783478,SHB
2021-03-30,8.49,9.37,8.49,9.37,44819732,SHB
2021-03-31,9.37,10.29,8.97,10.25,59684975,SHB
2021-04-01,10.25,11.08,9.69,10.76,30000413,SHB
2021-04-02,10.72,11.36,10.45,10.76,46525842,SHB
2021-04-05,10.64,10.72,9.69,9.69,14666101,SHB
2021-04-06,9.69,9.97,9.21,9.89,24993925,SHB
2021-04-07,9.89,10.01,9.89,9.97,12985734,SHB
2021-04-08,9.97,10.13,9.89,10.05,18081268,SHB
2021-04-09,10.05,10.13,9.85,10.09,23788408,SHB
2021-04-12,10.13,10.17,10.01,10.13,28573210,SHB
2021-04-13,10.13,10.41,10.05,10.13,28573210,SHB
2021-04-14,10.13,10.29,10.09,10.25,17679769,SHB
2021-04-15,10.33,10.52,10.13,10.37,20874981,SHB
2021-04-16,10.37,10.52,9.77,10.29,22365826,SHB
2021-04-19,10.33,10.68,10.25,10.68,29846414,SHB
2021-04-20,10.8,10.96,10.64,10.96,30448073,SHB
2021-04-22,10.96,11.24,10.84,11.04,29907134,SHB
2021-04-23,10.96,11.0,10.33,10.76,16729333,SHB
2021-04-26,10.76,11.12,10.45,10.8,21031570,SHB
2021-04-27,10.8,10.84,10.6,10.84,13579639,SHB
2021-04-28,10.88,11.0,10.68,10.92,16572098,SHB
2021-04-29,10.88,10.92,10.76,10.92,14636258,SHB
2021-05-04,10.76,10.84,10.48,10.48,14028858,SHB
2021-05-05,10.68,10.68,10.37,10.52,18581507,SHB
2021-05-06,11.58,11.58,10.7,10.74,17944423,SHB
2021-05-07,10.79,10.79,10.09,10.74,21936466,SHB
2021-05-10,10.74,10.88,10.44,10.52,14043463,SHB
2021-05-11,10.52,10.7,10.22,10.31,18388718,SHB
2021-05-12,10.31,10.44,10.09,10.39,17572312,SHB
2021-05-13,10.39,11.4,10.39,11.4,28471876,SHB
2021-05-14,11.53,12.54,11.4,12.54,42055833,SHB
2021-05-17,12.54,13.68,12.41,13.02,40155841,SHB
2021-05-18,12.89,13.02,12.32,12.85,24267707,SHB
2021-05-19,12.81,12.94,12.54,12.89,26023306,SHB
2021-05-20,12.81,12.94,12.72,12.72,14644144,SHB
2021-05-21,12.72,13.11,12.59,12.76,27588979,SHB
2021-05-24,12.94,12.94,12.45,12.81,18250774,SHB
2021-05-25,12.81,12.89,12.59,12.89,17544026,SHB
2021-05-26,12.85,13.33,12.81,13.16,39394747,SHB
2021-05-27,13.2,13.29,12.85,12.94,22301945,SHB
2021-05-28,13.07,13.59,12.81,13.24,44350395,SHB
2021-05-31,13.24,13.55,13.11,13.33,40919609,SHB
2021-06-01,14.65,14.65,13.29,13.59,30575141,SHB
2021-06-02,13.59,13.68,13.2,13.64,26046838,SHB
2021-06-03,13.64,14.34,13.64,14.21,51622880,SHB
2021-06-04,14.21,14.47,13.81,14.25,36472895,SHB
2021-06-07,14.25,14.25,13.16,13.16,36065428,SHB
2021-06-08,14.3,14.3,11.84,12.72,53639560,SHB
2021-06-09,12.59,13.77,12.06,13.73,29915625,SHB
2021-06-10,13.73,13.81,12.94,12.94,18315795,SHB
2021-06-11,12.94,14.21,12.94,13.07,23631733,SHB
2021-06-14,13.07,13.24,12.76,12.81,19661123,SHB
2021-06-15,12.94,12.94,12.28,12.28,31348272,SHB
2021-06-16,12.28,12.85,11.84,11.84,43589427,SHB
2021-06-17,11.84,11.97,11.4,11.93,30617848,SHB
2021-06-18,11.93,12.37,11.93,12.06,16675785,SHB
2021-06-21,12.06,12.19,11.66,11.8,18229102,SHB
2021-06-22,11.84,12.85,11.8,11.93,21162101,SHB
2021-06-23,11.97,12.06,11.8,11.8,15808852,SHB
2021-06-24,11.84,11.93,11.71,11.84,12661541,SHB
2021-06-25,11.84,11.88,11.71,11.88,15032564,SHB
2021-06-28,11.93,12.41,11.93,12.28,34958907,SHB
2021-06-29,12.28,12.63,12.28,12.5,35425532,SHB
2021-06-30,12.5,12.67,12.28,12.59,17581057,SHB
2021-07-01,12.5,12.63,12.32,12.45,19107488,SHB
2021-07-02,12.5,12.72,12.45,12.72,29496567,SHB
2021-07-05,12.72,13.16,12.63,13.16,35829343,SHB
2021-07-06,13.16,13.64,13.07,13.11,38655555,SHB
2021-07-07,12.94,14.25,12.54,13.02,34134483,SHB
2021-07-08,13.02,13.07,12.32,12.32,22746934,SHB
2021-07-09,12.32,12.59,11.36,11.4,21871847,SHB
2021-07-12,11.4,11.62,10.31,10.39,41657704,SHB
2021-07-13,10.44,10.92,10.22,10.66,21975443,SHB
2021-07-14,10.66,10.96,10.44,10.92,17245281,SHB
2021-07-15,10.92,11.97,10.74,11.97,27359969,SHB
2021-07-16,11.97,12.98,11.97,12.32,30045935,SHB
2021-07-19,12.23,12.28,11.23,11.23,19096136,SHB
2021-07-20,10.74,11.88,10.74,11.88,11754712,SHB
2021-07-21,11.45,12.28,11.45,11.71,7659374,SHB
2021-07-22,11.71,11.97,11.66,11.93,8064047,SHB
2021-07-23,11.93,12.02,11.58,11.58,10152868,SHB
2021-07-26,11.4,11.62,11.31,11.58,7750519,SHB
2021-07-27,11.58,11.88,11.58,11.75,7127446,SHB
2021-07-28,11.62,11.84,11.62,11.8,7394904,SHB
2021-07-29,11.75,12.19,11.75,11.88,9107536,SHB
2021-07-30,11.93,12.23,11.88,12.19,17474815,SHB
2021-08-02,12.19,12.32,11.97,11.97,10372830,SHB
2021-08-03,12.02,12.15,11.88,12.06,10530112,SHB
2021-08-04,12.1,12.19,11.97,12.02,13563611,SHB
2021-08-05,12.06,12.76,11.97,12.63,36913810,SHB
2021-08-06,12.67,12.81,12.37,12.72,23978909,SHB
2021-08-09,12.63,12.81,12.5,12.76,15421864,SHB
2021-08-10,12.76,13.02,12.67,12.94,28369994,SHB
2021-08-11,12.98,13.02,12.72,12.72,15469094,SHB
2021-08-12,12.72,12.85,12.54,12.67,15134478,SHB
2021-08-13,12.72,12.94,12.41,12.72,17078564,SHB
