time,open,high,low,close,volume,ticker
2020-12-21,14.06,14.06,14.06,14.06,5120,SHP
2020-12-22,14.09,14.09,14.06,14.06,9230,SHP
2020-12-23,14.06,14.12,14.06,14.12,240,SHP
2020-12-24,14.12,14.12,14.12,14.12,960,SHP
2020-12-25,14.12,14.19,14.12,14.19,940,SHP
2020-12-28,14.62,14.62,14.62,14.62,400,SHP
2020-12-29,13.63,14.31,13.63,14.31,3860,SHP
2020-12-30,14.06,14.31,14.06,14.06,910,SHP
2020-12-31,14.31,14.31,14.0,14.31,5720,SHP
2021-01-04,14.31,14.31,14.31,14.31,11300,SHP
2021-01-05,14.31,14.31,14.31,14.31,15200,SHP
2021-01-06,14.31,14.31,14.31,14.31,24900,SHP
2021-01-07,14.31,14.31,14.31,14.31,3000,SHP
2021-01-08,14.31,14.31,14.31,14.31,9400,SHP
2021-01-11,14.31,14.31,14.31,14.31,61100,SHP
2021-01-12,14.31,14.31,14.31,14.31,15700,SHP
2021-01-13,14.31,14.37,14.31,14.31,11100,SHP
2021-01-14,14.62,14.62,14.31,14.31,10300,SHP
2021-01-15,14.31,14.37,14.31,14.37,20100,SHP
2021-01-18,14.31,14.31,14.12,14.12,400,SHP
2021-01-19,14.12,14.19,14.06,14.06,2500,SHP
2021-01-20,14.0,14.25,13.69,14.0,25700,SHP
2021-01-21,14.0,14.06,14.0,14.0,2400,SHP
2021-01-22,14.0,14.12,14.0,14.06,3000,SHP
2021-01-25,14.12,14.12,14.06,14.12,14000,SHP
2021-01-26,14.0,14.0,13.81,13.81,16300,SHP
2021-01-27,13.81,14.0,13.81,13.81,3100,SHP
2021-01-28,13.69,13.75,12.85,12.85,19500,SHP
2021-01-29,12.01,13.72,12.01,13.72,600,SHP
2021-02-01,14.0,14.0,14.0,14.0,2100,SHP
2021-02-02,14.0,14.0,13.69,13.69,4500,SHP
2021-02-03,13.69,14.0,13.69,14.0,900,SHP
2021-02-04,14.0,14.0,14.0,14.0,0,SHP
2021-02-05,14.0,14.0,14.0,14.0,1800,SHP
2021-02-08,14.25,14.25,13.81,13.81,200,SHP
2021-02-09,13.87,14.71,13.87,14.71,6500,SHP
2021-02-17,14.0,14.0,13.75,13.87,29100,SHP
2021-02-18,13.87,13.87,13.87,13.87,1500,SHP
2021-02-19,13.69,13.72,13.69,13.69,7200,SHP
2021-02-22,13.69,13.69,13.56,13.69,19000,SHP
2021-02-23,13.69,14.25,13.69,14.25,2500,SHP
2021-02-24,14.0,14.0,13.69,13.69,900,SHP
2021-02-25,13.69,14.03,13.69,14.03,3200,SHP
2021-02-26,14.03,14.03,14.03,14.03,0,SHP
2021-03-01,14.03,14.03,14.0,14.03,12600,SHP
2021-03-02,14.03,14.03,14.0,14.0,21000,SHP
2021-03-03,14.0,14.0,13.87,14.0,4400,SHP
2021-03-04,14.0,14.0,14.0,14.0,3700,SHP
2021-03-05,14.0,14.0,13.75,13.81,12400,SHP
2021-03-08,13.81,13.81,13.78,13.78,10000,SHP
2021-03-09,13.5,13.78,13.5,13.75,20900,SHP
2021-03-10,14.0,14.0,13.75,13.75,25200,SHP
2021-03-11,13.75,13.87,13.75,13.84,13100,SHP
2021-03-12,13.87,14.0,13.87,14.0,23000,SHP
2021-03-15,13.87,13.87,13.69,13.81,44200,SHP
2021-03-16,13.69,13.72,13.69,13.69,2000,SHP
2021-03-17,13.81,13.81,13.81,13.81,21300,SHP
2021-03-18,13.81,13.81,13.75,13.81,13300,SHP
2021-03-19,13.81,13.81,13.69,13.81,36100,SHP
2021-03-22,13.87,13.87,13.87,13.87,100,SHP
2021-03-23,13.87,13.87,13.87,13.87,20700,SHP
2021-03-24,13.87,13.87,13.81,13.87,10500,SHP
2021-03-25,13.81,13.87,13.81,13.87,11000,SHP
2021-03-26,13.5,13.56,13.5,13.5,2000,SHP
2021-03-29,13.69,14.0,13.69,13.75,2100,SHP
2021-03-30,13.75,13.87,13.69,13.81,14200,SHP
2021-03-31,13.38,13.87,13.38,13.87,3400,SHP
2021-04-01,13.69,14.0,13.69,13.72,8300,SHP
2021-04-02,13.72,13.72,13.72,13.72,11500,SHP
2021-04-05,13.72,13.81,13.72,13.75,5300,SHP
2021-04-06,13.87,13.87,13.87,13.87,9400,SHP
2021-04-07,13.87,13.91,13.87,13.87,2400,SHP
2021-04-08,13.94,14.06,13.87,14.06,47400,SHP
2021-04-09,14.06,14.06,14.06,14.06,5500,SHP
2021-04-12,14.06,14.22,14.06,14.22,30100,SHP
2021-04-13,14.22,14.22,14.22,14.22,0,SHP
2021-04-14,14.06,14.06,14.06,14.06,10000,SHP
2021-04-15,14.06,14.12,14.06,14.06,33300,SHP
2021-04-16,14.06,14.06,14.06,14.06,19100,SHP
2021-04-19,14.12,14.12,14.06,14.06,9300,SHP
2021-04-20,14.12,14.19,14.12,14.19,5100,SHP
2021-04-22,14.12,14.12,14.06,14.06,53700,SHP
2021-04-23,14.06,14.09,14.06,14.09,5900,SHP
2021-04-26,14.09,14.31,13.69,13.69,14600,SHP
2021-04-27,13.5,13.53,13.5,13.53,4700,SHP
2021-04-28,13.38,14.0,13.38,14.0,2900,SHP
2021-04-29,13.69,13.69,13.69,13.69,1900,SHP
2021-05-04,13.69,13.69,13.69,13.69,1000,SHP
2021-05-05,14.19,14.19,13.47,13.69,700,SHP
2021-05-06,13.69,14.12,13.56,14.12,3500,SHP
2021-05-07,13.44,13.81,13.44,13.56,6200,SHP
2021-05-10,13.69,13.94,13.63,13.94,20200,SHP
2021-05-11,13.69,14.06,13.69,14.06,13000,SHP
2021-05-12,14.0,14.0,14.0,14.0,200,SHP
2021-05-13,13.94,13.94,13.94,13.94,100,SHP
2021-05-14,13.94,13.94,13.38,13.44,19500,SHP
2021-05-17,13.44,13.44,13.41,13.41,2300,SHP
2021-05-18,14.0,14.0,13.07,14.0,3100,SHP
2021-05-19,13.94,13.94,13.38,13.94,4200,SHP
2021-05-20,13.38,13.38,13.38,13.38,1500,SHP
2021-05-21,13.38,13.38,13.38,13.38,5200,SHP
2021-05-24,13.38,13.72,12.44,13.72,1600,SHP
2021-05-25,13.72,13.72,13.69,13.69,1000,SHP
2021-05-26,13.69,13.72,13.69,13.72,700,SHP
2021-05-27,13.72,13.72,13.72,13.72,0,SHP
2021-05-28,12.79,13.69,12.79,13.69,3300,SHP
2021-05-31,13.69,13.69,12.88,12.91,64600,SHP
2021-06-01,12.91,12.91,12.91,12.91,5700,SHP
2021-06-02,12.51,13.72,12.51,13.72,1200,SHP
2021-06-03,13.25,13.66,13.07,13.07,7200,SHP
2021-06-04,12.82,13.07,12.82,12.85,4100,SHP
2021-06-07,12.85,13.07,12.85,13.07,20500,SHP
2021-06-08,13.19,13.19,13.07,13.07,3000,SHP
2021-06-09,13.0,13.0,12.97,13.0,1100,SHP
2021-06-10,13.0,13.07,12.91,12.91,4600,SHP
2021-06-11,12.91,12.91,12.16,12.16,33100,SHP
2021-06-14,13.0,13.0,12.88,13.0,5300,SHP
2021-06-15,13.07,13.07,13.0,13.0,6300,SHP
2021-06-16,12.75,13.07,12.75,13.0,7700,SHP
2021-06-17,13.0,13.22,13.0,13.07,4500,SHP
2021-06-18,13.07,13.07,13.07,13.07,7300,SHP
2021-06-21,13.07,13.22,13.07,13.16,9500,SHP
2021-06-22,13.16,13.25,13.16,13.25,4400,SHP
2021-06-23,13.25,13.25,13.25,13.25,800,SHP
2021-06-24,13.25,13.25,13.25,13.25,3300,SHP
2021-06-25,13.25,13.38,13.25,13.31,7400,SHP
2021-06-28,13.07,13.07,13.07,13.07,1000,SHP
