time,open,high,low,close,volume,ticker
2020-12-04,1.8,1.8,1.7,1.8,6200,SVN
2020-12-07,1.8,1.8,1.7,1.7,26700,SVN
2020-12-08,1.7,1.8,1.7,1.8,96400,SVN
2020-12-09,1.8,1.8,1.7,1.7,28700,SVN
2020-12-10,1.7,1.8,1.7,1.8,73800,SVN
2020-12-11,1.7,1.8,1.7,1.7,23400,SVN
2020-12-14,1.7,1.8,1.7,1.7,12010,SVN
2020-12-15,1.7,1.8,1.7,1.7,41800,SVN
2020-12-16,1.7,1.8,1.7,1.8,46800,SVN
2020-12-17,1.8,1.9,1.8,1.9,68100,SVN
2020-12-18,1.9,1.9,1.9,1.9,52300,SVN
2020-12-21,2.0,2.0,1.8,1.9,21500,SVN
2020-12-22,2.0,2.0,1.8,1.9,47400,SVN
2020-12-23,2.0,2.0,1.9,2.0,68900,SVN
2020-12-24,2.0,2.0,1.9,1.9,11500,SVN
2020-12-25,1.8,1.9,1.8,1.8,38000,SVN
2020-12-28,1.9,1.9,1.8,1.9,63600,SVN
2020-12-29,1.9,2.0,1.9,2.0,47100,SVN
2020-12-30,2.0,2.2,2.0,2.0,68500,SVN
2020-12-31,2.0,2.0,1.9,2.0,80700,SVN
2021-01-04,2.0,2.2,2.0,2.2,115800,SVN
2021-01-05,2.3,2.4,2.3,2.3,302160,SVN
2021-01-06,2.3,2.4,2.2,2.2,119900,SVN
2021-01-07,2.3,2.3,2.1,2.3,115500,SVN
2021-01-08,2.2,2.3,2.2,2.3,82500,SVN
2021-01-11,2.3,2.3,2.2,2.3,113400,SVN
2021-01-12,2.3,2.4,2.2,2.4,44500,SVN
2021-01-13,2.4,2.6,2.3,2.6,288500,SVN
2021-01-14,2.6,2.8,2.5,2.8,140300,SVN
2021-01-15,2.9,3.0,2.9,3.0,86900,SVN
2021-01-18,2.9,3.0,2.7,2.8,404100,SVN
2021-01-19,2.9,2.9,2.6,2.8,215300,SVN
2021-01-20,2.7,2.8,2.6,2.8,136000,SVN
2021-01-21,2.8,3.0,2.7,3.0,59000,SVN
2021-01-22,3.0,3.0,2.8,2.8,113300,SVN
2021-01-25,2.8,2.8,2.7,2.7,79700,SVN
2021-01-26,2.8,2.8,2.6,2.6,47000,SVN
2021-01-27,2.6,2.7,2.4,2.4,66600,SVN
2021-01-28,2.3,2.4,2.2,2.2,125100,SVN
2021-01-29,2.1,2.3,2.0,2.3,96400,SVN
2021-02-01,2.2,2.4,2.1,2.3,91600,SVN
2021-02-02,2.2,2.4,2.1,2.1,85600,SVN
2021-02-03,2.2,2.3,2.2,2.2,75100,SVN
2021-02-04,2.4,2.4,2.3,2.4,56400,SVN
2021-02-05,2.3,2.3,2.3,2.3,45500,SVN
2021-02-08,2.3,2.4,2.2,2.4,44300,SVN
2021-02-09,2.4,2.6,2.3,2.6,55000,SVN
2021-02-17,2.5,2.6,2.4,2.7,62600,SVN
2021-02-18,2.6,2.9,2.5,2.5,64600,SVN
2021-02-19,2.5,2.5,2.3,2.4,90910,SVN
2021-02-22,2.4,2.6,2.4,2.6,21500,SVN
2021-02-23,2.5,2.5,2.4,2.4,36400,SVN
2021-02-24,2.5,2.6,2.5,2.6,162500,SVN
2021-02-25,2.7,2.8,2.7,2.8,124500,SVN
2021-02-26,2.9,3.0,2.9,3.0,140500,SVN
2021-03-01,3.3,3.3,3.3,3.3,54106,SVN
2021-03-02,3.6,3.6,3.6,3.6,138300,SVN
2021-03-03,3.9,3.9,3.9,3.9,83500,SVN
2021-03-04,4.2,4.2,3.9,4.2,990006,SVN
2021-03-05,4.5,4.6,4.2,4.6,146000,SVN
2021-03-08,5.0,5.0,4.9,5.0,397900,SVN
2021-03-09,5.5,5.5,4.5,4.5,194000,SVN
2021-03-10,4.1,4.1,4.1,4.1,25300,SVN
2021-03-11,3.7,4.4,3.7,4.1,592815,SVN
2021-03-12,4.0,4.0,3.7,3.7,263800,SVN
2021-03-15,3.7,4.0,3.7,4.0,257900,SVN
2021-03-16,4.2,4.4,4.1,4.4,407800,SVN
2021-03-17,4.5,4.8,4.5,4.5,203000,SVN
2021-03-18,4.5,4.5,4.1,4.2,143900,SVN
2021-03-19,4.2,4.4,4.0,4.3,191400,SVN
2021-03-22,4.0,4.6,4.0,4.4,257100,SVN
2021-03-23,4.5,4.6,4.3,4.4,180700,SVN
2021-03-24,4.5,4.5,4.2,4.4,119000,SVN
2021-03-25,4.4,4.8,4.3,4.8,366100,SVN
2021-03-26,5.0,5.1,4.5,5.0,205800,SVN
2021-03-29,5.0,5.5,5.0,5.5,268300,SVN
2021-03-30,5.7,6.0,5.5,5.5,716503,SVN
2021-03-31,5.5,6.0,5.5,5.7,213900,SVN
2021-04-01,5.7,6.0,5.4,6.0,165634,SVN
2021-04-02,6.0,6.6,5.4,6.0,349000,SVN
