time,open,high,low,close,volume,ticker
2020-12-10,25.83,25.97,25.45,25.45,36500,SZL
2020-12-11,25.5,25.5,25.35,25.45,43440,SZL
2020-12-14,25.45,25.78,25.45,25.54,34500,SZL
2020-12-15,25.59,27.03,25.59,26.45,111480,SZL
2020-12-16,26.5,27.27,26.5,26.88,38300,SZL
2020-12-17,26.84,27.22,26.69,26.93,64750,SZL
2020-12-18,26.93,27.07,26.84,26.98,22560,SZL
2020-12-21,27.03,27.41,27.03,27.03,21530,SZL
2020-12-22,27.03,27.41,26.84,27.22,56070,SZL
2020-12-23,27.27,27.27,26.88,27.03,35390,SZL
2020-12-24,27.03,27.03,25.35,26.21,53520,SZL
2020-12-25,26.17,26.69,26.07,26.5,28520,SZL
2020-12-28,26.5,26.79,26.31,26.55,10160,SZL
2020-12-29,26.36,26.36,26.02,26.02,44460,SZL
2020-12-30,26.02,26.5,26.02,26.07,26830,SZL
2020-12-31,26.07,26.4,25.93,26.07,24520,SZL
2021-01-04,26.12,27.74,26.12,27.31,39600,SZL
2021-01-05,27.07,27.5,27.07,27.31,24800,SZL
2021-01-06,27.22,27.5,27.03,27.03,32100,SZL
2021-01-07,27.41,27.41,27.03,27.17,30200,SZL
2021-01-08,27.36,27.41,27.07,27.22,43700,SZL
2021-01-11,27.22,28.22,27.07,28.13,66100,SZL
2021-01-12,27.89,28.13,27.89,27.98,13800,SZL
2021-01-13,27.98,28.13,27.74,27.79,31900,SZL
2021-01-14,27.79,27.79,27.55,27.74,28700,SZL
2021-01-15,27.79,28.13,27.74,27.98,35600,SZL
2021-01-18,28.41,28.46,28.03,28.13,55200,SZL
2021-01-19,28.08,28.46,26.17,26.21,77800,SZL
2021-01-20,26.17,26.26,25.69,26.02,52800,SZL
2021-01-21,26.02,26.79,25.93,26.31,50900,SZL
2021-01-22,26.45,26.45,25.93,26.21,34100,SZL
2021-01-25,26.21,26.88,25.97,26.21,17600,SZL
2021-01-26,26.02,26.02,25.35,25.4,47200,SZL
2021-01-27,25.45,26.07,25.35,25.35,63300,SZL
2021-01-28,25.11,25.11,23.58,23.58,114900,SZL
2021-01-29,23.49,25.21,23.49,25.21,16100,SZL
2021-02-01,25.21,25.35,24.16,25.11,36000,SZL
2021-02-02,24.16,24.49,24.16,24.49,11500,SZL
2021-02-03,24.87,24.97,24.4,24.97,11200,SZL
2021-02-04,24.87,25.16,24.63,25.16,5300,SZL
2021-02-05,24.87,25.11,24.87,24.97,3300,SZL
2021-02-08,24.87,24.97,23.96,24.63,15000,SZL
2021-02-09,24.01,25.11,24.01,25.11,10900,SZL
2021-02-17,25.21,25.88,25.21,25.88,12200,SZL
2021-02-18,25.88,26.07,25.5,25.88,28800,SZL
2021-02-19,25.73,25.88,25.64,25.88,12300,SZL
2021-02-22,25.64,25.88,25.59,25.69,15300,SZL
2021-02-23,25.73,25.73,25.45,25.59,19200,SZL
2021-02-24,25.59,25.59,25.21,25.54,30000,SZL
2021-02-25,27.22,27.22,25.69,25.97,38300,SZL
2021-02-26,25.83,26.02,25.69,26.02,15700,SZL
2021-03-01,25.64,26.12,25.64,26.12,24500,SZL
2021-03-02,26.21,26.31,26.07,26.26,25600,SZL
2021-03-03,26.4,26.4,26.12,26.26,19300,SZL
2021-03-04,26.31,26.31,25.93,26.07,20500,SZL
2021-03-05,26.07,26.07,25.35,25.97,5600,SZL
2021-03-08,25.97,25.97,25.78,25.97,14700,SZL
2021-03-09,25.83,26.21,25.78,26.21,8500,SZL
2021-03-10,26.4,26.4,25.83,26.31,17800,SZL
2021-03-11,27.74,27.74,26.31,26.98,14400,SZL
2021-03-12,27.03,27.03,26.36,26.79,11300,SZL
2021-03-15,26.69,26.69,26.21,26.55,45400,SZL
2021-03-16,26.55,26.55,26.02,26.07,22300,SZL
2021-03-17,26.07,26.07,25.93,26.07,21100,SZL
2021-03-18,26.07,26.07,25.88,26.07,19500,SZL
2021-03-19,26.26,26.26,25.93,25.97,7300,SZL
2021-03-22,26.93,26.93,25.83,26.31,25100,SZL
2021-03-23,26.5,26.5,25.78,25.78,13700,SZL
2021-03-24,25.78,25.78,24.87,24.87,32400,SZL
2021-03-25,24.87,25.54,24.35,25.3,22300,SZL
2021-03-26,24.44,25.26,23.53,24.87,69800,SZL
2021-03-29,25.35,25.4,24.4,24.83,20500,SZL
2021-03-30,24.4,24.83,24.4,24.83,9700,SZL
2021-03-31,25.3,25.3,24.4,24.78,15500,SZL
2021-04-01,24.44,25.02,24.4,25.02,5700,SZL
2021-04-02,25.02,25.21,24.63,25.16,16700,SZL
2021-04-05,24.92,25.11,24.83,25.02,14000,SZL
2021-04-06,25.02,25.11,24.92,24.97,16300,SZL
2021-04-07,24.87,25.02,24.87,25.02,8300,SZL
2021-04-08,25.02,25.02,24.78,25.02,16600,SZL
2021-04-09,24.97,25.02,24.68,25.02,16600,SZL
2021-04-12,24.87,25.02,24.73,25.02,13100,SZL
2021-04-13,25.02,25.26,24.73,25.02,17200,SZL
2021-04-14,25.02,25.02,24.68,24.83,5200,SZL
2021-04-15,24.83,24.92,24.59,24.63,13200,SZL
2021-04-16,24.59,24.59,24.16,24.25,15800,SZL
2021-04-19,24.16,24.54,23.58,24.54,16400,SZL
2021-04-20,23.82,24.54,23.73,24.16,15000,SZL
2021-04-22,24.25,24.25,23.82,23.92,22700,SZL
2021-04-23,23.56,23.87,23.56,23.87,8800,SZL
2021-04-26,23.58,24.87,23.58,24.4,2400,SZL
2021-04-27,23.58,24.3,23.58,24.2,1600,SZL
2021-04-28,23.63,24.16,23.58,24.16,5300,SZL
2021-04-29,24.16,24.16,23.73,24.11,3200,SZL
2021-05-04,23.77,23.96,23.75,23.96,3300,SZL
2021-05-05,23.77,24.06,23.75,23.77,3300,SZL
2021-05-06,23.92,24.4,23.77,23.77,10100,SZL
2021-05-07,24.73,24.73,23.58,23.73,15300,SZL
2021-05-10,23.49,24.11,23.44,24.11,17500,SZL
2021-05-11,23.7,24.35,23.7,24.35,5300,SZL
2021-05-12,24.35,24.83,24.3,24.83,13400,SZL
2021-05-13,24.78,24.83,24.44,24.49,4400,SZL
2021-05-14,24.78,24.78,24.16,24.4,10200,SZL
2021-05-17,24.11,24.35,24.11,24.3,10000,SZL
2021-05-18,24.11,24.11,23.27,24.06,7400,SZL
2021-05-19,24.06,24.06,23.68,23.96,6200,SZL
2021-05-20,23.92,23.92,23.68,23.92,14100,SZL
2021-05-21,23.68,23.92,23.68,23.92,11300,SZL
2021-05-24,23.92,24.25,23.92,24.25,2500,SZL
2021-05-25,24.25,24.35,23.92,24.35,9700,SZL
2021-05-26,24.11,24.3,23.92,24.3,13900,SZL
2021-05-27,24.01,24.25,23.77,24.16,21300,SZL
2021-05-28,24.01,24.01,23.77,23.92,11600,SZL
2021-05-31,23.77,23.77,23.68,23.68,20700,SZL
2021-06-01,23.63,23.7,23.63,23.7,5100,SZL
2021-06-02,23.7,24.01,23.7,24.01,2000,SZL
2021-06-03,24.35,24.35,23.7,23.92,9600,SZL
2021-06-04,23.87,24.2,23.87,24.16,15400,SZL
2021-06-07,24.92,24.92,24.83,24.83,7200,SZL
2021-06-08,25.35,25.35,23.92,24.83,23600,SZL
2021-06-09,24.16,24.73,23.92,23.96,12200,SZL
2021-06-10,23.96,24.4,23.96,24.2,4900,SZL
2021-06-11,24.25,24.25,24.25,24.25,1200,SZL
2021-06-14,24.25,24.59,24.25,24.59,7900,SZL
2021-06-15,24.59,26.26,24.01,25.83,30100,SZL
2021-06-16,24.73,25.69,24.73,25.35,16800,SZL
2021-06-17,24.54,25.35,24.54,25.35,5800,SZL
2021-06-18,25.4,25.83,25.35,25.5,9200,SZL
2021-06-21,25.4,26.31,25.4,25.83,16600,SZL
2021-06-22,25.35,26.07,25.35,25.73,13300,SZL
2021-06-23,25.11,25.59,25.11,25.59,15700,SZL
2021-06-24,25.11,25.35,25.11,25.35,1600,SZL
2021-06-25,25.16,25.54,25.16,25.45,7700,SZL
2021-06-28,25.45,25.54,25.35,25.54,6000,SZL
2021-06-29,25.35,25.5,25.3,25.35,17700,SZL
2021-06-30,25.35,25.4,25.35,25.4,6900,SZL
2021-07-01,25.16,25.4,25.16,25.4,2100,SZL
2021-07-02,25.4,25.4,25.07,25.35,15100,SZL
2021-07-05,25.35,25.35,25.07,25.07,1800,SZL
2021-07-06,25.11,25.11,24.87,24.87,18500,SZL
2021-07-07,24.73,24.73,24.68,24.68,700,SZL
2021-07-08,24.68,24.68,23.96,24.54,1100,SZL
2021-07-09,24.01,24.4,24.01,24.4,3900,SZL
2021-07-12,24.4,24.4,23.73,23.92,13400,SZL
2021-07-13,24.01,24.01,23.44,23.77,1300,SZL
2021-07-14,24.35,24.35,23.46,24.01,4200,SZL
2021-07-15,24.16,24.16,24.16,24.16,200,SZL
2021-07-16,24.35,24.35,23.96,24.25,1800,SZL
2021-07-19,23.44,24.63,23.44,24.25,2400,SZL
2021-07-20,24.16,24.78,24.16,24.54,600,SZL
2021-07-21,25.07,25.07,24.73,24.87,2300,SZL
2021-07-22,24.63,24.73,24.25,24.25,1200,SZL
2021-07-23,24.25,24.78,23.58,24.01,1400,SZL
2021-07-26,25.26,25.26,24.01,24.4,1700,SZL
2021-07-27,24.78,24.78,24.4,24.4,2100,SZL
2021-07-28,24.44,24.44,24.4,24.44,1200,SZL
2021-07-29,24.49,25.07,24.49,24.87,4200,SZL
2021-07-30,25.07,25.07,23.92,24.59,9300,SZL
2021-08-02,24.78,24.78,24.59,24.59,800,SZL
2021-08-03,24.4,24.49,24.4,24.49,3500,SZL
2021-08-04,24.49,24.63,24.3,24.54,2400,SZL
2021-08-05,24.2,24.78,24.2,24.73,1200,SZL
2021-08-06,24.68,24.73,24.68,24.73,1700,SZL
2021-08-09,25.11,25.11,24.49,24.87,11600,SZL
2021-08-10,24.87,25.11,24.68,25.11,15000,SZL
2021-08-11,24.68,25.21,24.63,24.87,9000,SZL
2021-08-12,24.87,25.97,24.87,25.83,20200,SZL
2021-08-13,26.26,26.36,25.64,26.07,60800,SZL
2021-08-16,26.07,26.55,26.07,26.21,25000,SZL
2021-08-17,26.55,26.55,26.17,26.17,4600,SZL
2021-08-18,26.4,26.4,25.64,26.31,20700,SZL
2021-08-19,26.26,26.31,25.78,26.31,9300,SZL
2021-08-20,27.65,27.65,26.31,26.79,57300,SZL
2021-08-23,27.17,27.17,25.88,25.97,17400,SZL
2021-08-24,26.31,26.55,26.02,26.02,28100,SZL
2021-08-25,25.88,26.26,25.83,26.07,16800,SZL
2021-08-26,26.21,26.36,25.35,26.36,16300,SZL
2021-08-27,26.36,26.36,25.83,26.31,7300,SZL
2021-08-30,26.55,26.98,26.36,26.84,38200,SZL
2021-08-31,26.55,26.84,26.4,26.79,40900,SZL
2021-09-01,27.22,27.36,26.79,27.27,28700,SZL
2021-09-06,27.7,27.89,27.6,27.74,53300,SZL
2021-09-07,27.98,27.98,27.27,27.5,44700,SZL
2021-09-08,27.5,27.5,26.79,27.22,25900,SZL
2021-09-09,27.12,27.74,27.12,27.7,69200,SZL
2021-09-10,27.75,27.75,27.29,27.34,16000,SZL
2021-09-13,26.43,27.24,26.43,27.09,29200,SZL
2021-09-14,26.48,26.54,26.38,26.54,32200,SZL
2021-09-15,26.38,26.74,26.38,26.64,27300,SZL
2021-09-16,27.14,27.14,26.64,26.69,4300,SZL
2021-09-17,26.69,26.69,26.54,26.54,1600,SZL
2021-09-20,25.88,26.74,25.88,26.23,6700,SZL
2021-09-21,26.23,26.23,25.93,25.98,17500,SZL
2021-09-22,25.53,26.23,25.48,26.08,14100,SZL
2021-09-23,26.38,26.38,26.08,26.08,1600,SZL
2021-09-24,25.78,26.23,25.78,25.98,5100,SZL
2021-09-27,25.98,26.18,25.48,25.73,15100,SZL
2021-09-28,25.73,26.13,25.48,26.13,18300,SZL
