time,open,high,low,close,volume,ticker
2020-12-02,21.19,21.19,21.19,21.19,500,TDB
2020-12-03,21.19,21.19,21.19,21.19,0,TDB
2020-12-04,21.19,21.19,21.19,21.19,0,TDB
2020-12-07,21.19,21.19,21.19,21.19,0,TDB
2020-12-08,21.19,21.19,21.19,21.19,0,TDB
2020-12-09,21.19,21.19,21.19,21.19,0,TDB
2020-12-10,21.19,21.19,21.19,21.19,0,TDB
2020-12-11,21.19,21.19,21.19,21.19,0,TDB
2020-12-14,21.19,21.19,21.19,21.19,0,TDB
2020-12-15,21.19,21.19,21.19,21.19,0,TDB
2020-12-16,21.19,21.19,21.19,21.19,0,TDB
2020-12-17,21.19,21.19,21.19,21.19,0,TDB
2020-12-18,21.19,21.19,21.19,21.19,0,TDB
2020-12-21,21.19,21.19,21.19,21.19,0,TDB
2020-12-22,21.19,21.19,21.19,21.19,0,TDB
2020-12-23,21.19,21.19,21.19,21.19,0,TDB
2020-12-24,21.19,21.19,21.19,21.19,0,TDB
2020-12-25,21.19,21.19,21.19,21.19,0,TDB
2020-12-28,21.19,21.19,21.19,21.19,0,TDB
2020-12-29,21.49,21.49,21.49,21.49,100,TDB
2020-12-30,21.49,21.49,21.49,21.49,0,TDB
2020-12-31,21.49,21.49,21.49,21.49,1000,TDB
2021-01-04,21.79,21.79,21.79,21.79,1100,TDB
2021-01-05,21.79,21.79,21.79,21.79,0,TDB
2021-01-06,22.4,22.4,22.4,22.4,400,TDB
2021-01-07,22.4,22.4,22.4,22.4,0,TDB
2021-01-08,22.4,22.4,22.4,22.4,0,TDB
2021-01-11,22.4,22.4,22.4,22.4,3000,TDB
2021-01-12,22.4,22.4,22.4,22.4,500,TDB
2021-01-13,22.4,22.4,22.4,22.4,0,TDB
2021-01-14,22.4,22.4,22.4,22.4,0,TDB
2021-01-15,22.4,22.4,22.4,22.4,11,TDB
2021-01-18,22.4,22.4,22.4,22.4,0,TDB
2021-01-19,22.4,22.4,22.4,22.4,0,TDB
2021-01-20,22.4,22.4,22.4,22.4,0,TDB
2021-01-21,22.4,22.4,22.4,22.4,0,TDB
2021-01-22,22.4,22.4,22.4,22.4,0,TDB
2021-01-25,22.4,22.4,22.4,22.4,0,TDB
2021-01-26,22.4,22.4,22.4,22.4,0,TDB
2021-01-27,22.4,22.4,22.4,23.15,3,TDB
2021-01-28,22.4,23.15,23.15,23.15,0,TDB
2021-01-29,22.4,23.15,23.15,23.15,0,TDB
2021-02-01,22.4,23.15,23.15,23.15,0,TDB
2021-02-02,22.4,23.15,23.15,23.15,0,TDB
2021-02-03,23.15,23.15,23.15,23.15,100,TDB
2021-02-04,23.15,23.15,23.15,23.15,0,TDB
2021-02-05,23.15,23.15,23.15,23.15,0,TDB
2021-02-08,23.15,23.15,23.15,23.15,1200,TDB
2021-02-09,23.15,23.15,23.15,23.15,0,TDB
2021-02-17,23.15,23.15,23.15,23.15,600,TDB
2021-02-18,23.15,23.15,23.15,23.15,13300,TDB
2021-02-19,23.15,23.15,23.15,23.15,300,TDB
2021-02-22,23.15,23.46,23.15,23.46,3300,TDB
2021-02-23,23.46,23.46,23.15,23.15,9003,TDB
2021-02-24,23.21,23.15,23.15,23.15,0,TDB
2021-02-25,23.21,23.21,23.21,23.15,4,TDB
2021-02-26,23.21,23.46,23.21,23.46,2331,TDB
2021-03-01,23.4,23.46,23.46,23.46,0,TDB
2021-03-02,23.4,23.46,23.46,23.46,0,TDB
2021-03-03,23.27,23.27,23.27,23.27,200,TDB
2021-03-04,23.27,23.46,23.27,23.46,800,TDB
2021-03-05,23.15,23.15,23.15,23.15,1373,TDB
2021-03-08,23.21,23.21,23.21,23.21,100,TDB
2021-03-09,23.15,23.15,23.15,23.15,1500,TDB
2021-03-10,23.15,23.15,23.15,23.15,4000,TDB
2021-03-11,23.15,23.15,23.15,23.15,0,TDB
2021-03-12,23.15,23.15,23.15,23.15,6600,TDB
2021-03-15,23.15,23.15,23.15,23.15,0,TDB
2021-03-16,23.15,23.15,23.15,23.15,700,TDB
2021-03-17,23.15,23.15,23.15,23.15,0,TDB
2021-03-18,23.15,23.15,23.15,23.15,0,TDB
2021-03-19,23.15,23.15,23.15,23.15,0,TDB
2021-03-22,23.15,23.15,23.15,23.15,0,TDB
2021-03-23,23.15,23.15,23.15,23.15,0,TDB
2021-03-24,23.15,23.15,23.15,23.15,0,TDB
2021-03-25,23.15,23.15,23.15,23.15,0,TDB
2021-03-26,23.15,23.15,23.15,23.15,0,TDB
2021-03-29,23.15,23.15,23.15,23.15,0,TDB
2021-03-30,23.34,23.4,23.34,23.4,5500,TDB
2021-03-31,23.4,23.4,23.4,23.4,1600,TDB
2021-04-01,23.4,23.4,23.4,23.4,0,TDB
2021-04-02,23.4,23.4,23.4,23.4,400,TDB
2021-04-05,23.4,23.4,23.4,23.4,173,TDB
2021-04-06,23.4,23.4,23.4,23.4,0,TDB
2021-04-07,23.4,23.4,23.4,23.4,0,TDB
2021-04-08,23.4,23.4,23.4,23.4,0,TDB
2021-04-09,23.4,23.4,23.4,23.4,0,TDB
2021-04-12,23.4,23.4,23.4,23.4,73,TDB
2021-04-13,23.4,23.4,23.4,23.4,0,TDB
2021-04-14,23.4,23.4,23.4,23.4,0,TDB
2021-04-15,23.4,23.4,23.4,23.4,0,TDB
2021-04-16,23.4,23.4,23.4,23.4,0,TDB
2021-04-19,23.4,23.4,23.4,23.4,500,TDB
2021-04-20,23.4,23.4,23.4,23.4,0,TDB
2021-04-22,23.4,23.4,23.4,23.4,0,TDB
2021-04-23,23.4,23.4,23.4,23.4,0,TDB
2021-04-26,23.4,23.4,23.4,23.4,0,TDB
2021-04-27,23.4,23.4,23.4,23.4,0,TDB
2021-04-28,23.4,23.4,23.4,23.4,0,TDB
2021-04-29,23.4,23.4,23.4,23.4,0,TDB
2021-05-04,23.4,23.4,23.4,23.4,0,TDB
2021-05-05,23.4,23.4,23.4,23.4,0,TDB
2021-05-06,23.4,23.4,23.4,23.4,0,TDB
2021-05-07,23.4,23.4,23.4,23.4,0,TDB
2021-05-10,23.4,23.4,23.4,23.4,0,TDB
2021-05-11,23.21,23.65,23.21,23.65,1500,TDB
2021-05-12,23.34,23.34,23.34,23.34,100,TDB
2021-05-13,23.34,23.34,23.34,23.34,0,TDB
2021-05-14,23.34,23.34,23.34,23.34,0,TDB
2021-05-17,23.34,23.34,23.34,23.34,0,TDB
2021-05-18,24.09,24.09,24.09,24.09,300,TDB
2021-05-19,24.09,25.41,25.41,25.41,0,TDB
2021-05-20,24.09,25.41,25.41,25.41,0,TDB
2021-05-21,24.09,25.41,25.41,25.41,0,TDB
2021-05-24,24.09,25.41,25.41,25.41,0,TDB
2021-05-25,24.09,25.41,25.41,25.41,0,TDB
2021-05-26,23.43,23.43,23.43,23.43,400,TDB
2021-05-27,23.43,23.43,23.43,23.43,0,TDB
2021-05-28,23.43,23.76,23.43,23.76,7100,TDB
2021-05-31,23.62,23.62,23.62,23.62,1000,TDB
2021-06-01,23.62,23.62,23.62,23.62,0,TDB
2021-06-02,23.62,23.62,23.62,23.62,22000,TDB
2021-06-03,23.62,23.62,23.62,23.62,10300,TDB
2021-06-04,23.62,23.62,23.62,23.62,0,TDB
2021-06-07,23.62,23.62,23.62,23.62,0,TDB
2021-06-08,23.62,23.62,23.62,23.62,4,TDB
2021-06-09,23.62,23.62,23.62,23.62,0,TDB
2021-06-10,23.76,23.76,23.76,23.76,400,TDB
2021-06-11,23.62,23.62,23.62,23.62,3000,TDB
2021-06-14,23.62,23.62,23.62,23.62,800,TDB
2021-06-15,23.69,23.69,23.43,23.43,500,TDB
2021-06-16,23.62,23.62,23.62,23.62,3000,TDB
2021-06-17,23.62,23.62,23.62,23.62,0,TDB
2021-06-18,23.62,23.62,23.62,23.62,0,TDB
2021-06-21,23.62,23.62,23.62,23.62,3000,TDB
2021-06-22,23.62,23.62,23.62,23.62,0,TDB
2021-06-23,23.62,23.62,23.62,23.62,0,TDB
2021-06-24,23.62,23.62,23.62,23.62,100,TDB
2021-06-25,23.62,23.62,23.62,23.62,0,TDB
2021-06-28,23.62,23.62,23.62,23.62,0,TDB
2021-06-29,23.62,23.62,23.62,23.62,0,TDB
2021-06-30,23.62,23.62,23.62,23.62,0,TDB
2021-07-01,23.62,23.62,23.62,23.62,0,TDB
2021-07-02,23.62,23.62,23.62,23.62,0,TDB
2021-07-05,23.62,23.62,23.62,23.62,0,TDB
2021-07-06,23.62,23.62,23.62,23.62,0,TDB
2021-07-07,23.62,23.62,23.62,23.62,0,TDB
2021-07-08,23.62,23.62,23.62,23.62,0,TDB
2021-07-09,23.62,23.62,23.62,23.62,0,TDB
2021-07-12,23.62,23.62,23.62,23.62,0,TDB
2021-07-13,23.62,23.62,23.62,23.62,0,TDB
2021-07-14,23.62,23.62,23.62,23.62,0,TDB
2021-07-15,23.62,23.62,23.62,23.62,0,TDB
2021-07-16,23.62,23.62,23.62,23.62,0,TDB
2021-07-19,23.62,23.62,23.62,23.62,0,TDB
2021-07-20,23.62,23.62,23.62,23.62,0,TDB
2021-07-21,23.62,23.62,23.62,23.62,0,TDB
2021-07-22,23.62,23.62,23.62,23.62,0,TDB
2021-07-23,23.62,23.62,23.62,23.62,0,TDB
2021-07-26,23.62,23.62,23.62,23.62,0,TDB
2021-07-27,23.62,23.62,23.62,23.62,0,TDB
2021-07-28,23.62,23.62,23.62,23.62,0,TDB
2021-07-29,23.62,23.62,23.62,23.62,0,TDB
2021-07-30,23.49,23.49,23.23,23.23,2300,TDB
2021-08-02,23.29,23.29,23.29,23.23,26,TDB
2021-08-03,23.76,23.76,23.69,23.76,2700,TDB
2021-08-04,23.76,23.76,23.76,23.76,0,TDB
2021-08-05,23.76,23.76,23.76,23.76,0,TDB
2021-08-06,23.76,23.76,23.76,23.76,0,TDB
2021-08-09,23.76,23.76,23.76,23.76,0,TDB
2021-08-10,23.76,23.76,23.76,23.76,0,TDB
