time,open,high,low,close,volume,ticker
2020-12-21,8.71,9.09,8.51,9.03,238329,TDT
2020-12-22,8.9,9.22,8.84,8.96,389632,TDT
2020-12-23,8.96,9.8,8.84,9.8,266600,TDT
2020-12-24,9.67,9.87,9.35,9.42,217900,TDT
2020-12-25,9.42,9.55,9.35,9.35,184100,TDT
2020-12-28,9.35,9.48,9.22,9.35,374400,TDT
2020-12-29,9.35,9.61,9.22,9.61,325426,TDT
2020-12-30,9.55,9.74,9.55,9.67,353800,TDT
2020-12-31,9.67,10.06,9.67,10.0,190420,TDT
2021-01-04,10.0,10.96,10.0,10.96,557742,TDT
2021-01-05,11.16,12.06,10.64,11.93,514122,TDT
2021-01-06,11.93,12.13,11.29,11.54,1013404,TDT
2021-01-07,11.42,12.64,11.03,12.64,987163,TDT
2021-01-08,12.71,13.87,12.38,13.87,1058244,TDT
2021-01-11,13.87,15.22,13.8,15.22,759460,TDT
2021-01-12,15.22,16.64,14.9,16.64,826990,TDT
2021-01-13,15.48,15.48,15.03,15.03,109300,TDT
2021-01-14,13.54,13.54,13.54,13.54,77040,TDT
2021-01-15,12.19,13.41,12.19,13.41,1521038,TDT
2021-01-18,12.13,12.13,12.13,12.13,221484,TDT
2021-01-19,10.96,10.96,10.96,10.96,323500,TDT
2021-01-20,9.87,9.87,9.87,9.87,23600,TDT
2021-01-21,8.9,10.38,8.9,10.32,1320524,TDT
2021-01-22,10.32,10.38,9.29,9.93,1057596,TDT
2021-01-25,10.0,10.0,8.96,8.96,1145310,TDT
2021-01-26,8.58,8.58,8.13,8.13,864180,TDT
2021-01-27,8.13,8.13,7.35,7.35,851920,TDT
2021-01-28,6.64,6.71,6.64,6.64,143050,TDT
2021-01-29,6.0,6.26,6.0,6.0,1005300,TDT
2021-02-01,6.0,6.45,5.42,6.0,567120,TDT
2021-02-02,5.93,6.58,5.93,6.58,330800,TDT
2021-02-03,6.58,7.16,6.58,6.97,293400,TDT
2021-02-04,7.09,7.09,6.45,6.77,308500,TDT
2021-02-05,6.77,7.03,6.58,6.64,272000,TDT
2021-02-08,6.64,6.71,6.19,6.19,232524,TDT
2021-02-09,6.19,6.77,6.13,6.77,156420,TDT
2021-02-17,6.97,7.16,6.13,7.09,244200,TDT
2021-02-18,7.09,7.16,6.84,6.9,236800,TDT
2021-02-19,6.9,6.97,6.77,6.9,201820,TDT
