time,open,high,low,close,volume,ticker
2020-08-07,6.49,6.85,6.49,6.85,6100,TLT
2020-08-10,7.57,7.57,7.57,7.57,100,TLT
2020-08-11,7.57,7.57,7.57,7.57,0,TLT
2020-08-12,6.63,6.63,6.63,6.63,200,TLT
2020-08-13,7.57,7.57,7.57,7.57,100,TLT
2020-08-14,7.21,8.65,7.21,8.65,13300,TLT
2020-08-17,7.21,8.65,8.65,8.65,0,TLT
2020-08-18,7.21,8.65,8.65,8.65,0,TLT
2020-08-19,7.21,8.65,8.65,8.65,0,TLT
2020-08-20,7.21,7.21,7.21,7.21,100,TLT
2020-08-21,6.27,7.21,6.27,7.21,16200,TLT
2020-08-24,7.28,7.28,7.28,7.28,100,TLT
2020-08-25,7.21,7.21,6.49,6.49,1200,TLT
2020-08-26,7.07,7.21,7.07,7.21,2001,TLT
2020-08-27,6.2,7.21,6.2,7.21,400,TLT
2020-08-28,7.21,7.21,7.21,7.21,1800,TLT
2020-08-31,7.93,7.93,7.93,7.93,139,TLT
2020-09-01,7.93,7.93,7.93,7.93,0,TLT
2020-09-03,9.08,9.08,9.01,9.01,300,TLT
2020-09-04,9.01,9.01,9.01,9.01,0,TLT
2020-09-07,9.01,9.01,9.01,9.01,0,TLT
2020-09-08,9.01,9.01,9.01,9.01,0,TLT
2020-09-09,9.01,9.01,9.01,9.01,0,TLT
2020-09-10,9.01,9.01,9.01,9.01,0,TLT
2020-09-11,9.01,9.01,9.01,9.01,0,TLT
2020-09-14,9.01,9.01,9.01,9.01,0,TLT
2020-09-15,10.09,10.09,9.01,9.01,600,TLT
2020-09-16,7.93,7.93,7.86,7.86,800,TLT
2020-09-17,7.93,7.86,7.86,7.86,0,TLT
2020-09-18,6.78,6.78,6.78,6.78,300,TLT
2020-09-21,7.28,7.28,7.28,7.28,1000,TLT
2020-09-22,7.28,7.28,7.28,7.28,400,TLT
2020-09-23,7.28,7.93,7.28,7.93,11220,TLT
2020-09-24,7.28,7.28,7.28,7.28,1050,TLT
2020-09-25,6.49,6.49,6.49,6.49,200,TLT
2020-09-28,7.43,7.43,7.43,7.43,100,TLT
2020-09-29,7.43,7.43,7.43,7.43,4,TLT
2020-09-30,7.43,7.43,6.49,6.49,400,TLT
2020-10-01,6.99,6.49,6.49,6.49,0,TLT
2020-10-02,6.49,6.49,6.49,6.49,1000,TLT
2020-10-05,6.49,6.49,6.49,6.49,0,TLT
2020-10-06,6.49,6.49,6.49,6.49,0,TLT
2020-10-07,6.49,6.49,6.49,6.49,0,TLT
2020-10-08,6.49,6.49,6.49,6.49,0,TLT
2020-10-09,6.49,6.49,6.49,6.49,0,TLT
