time,open,high,low,close,volume,ticker
2020-08-05,4.6,4.6,4.6,4.6,0,UNI
2020-08-06,4.5,4.5,4.5,4.5,100,UNI
2020-08-07,4.5,4.5,4.5,4.5,0,UNI
2020-08-10,4.6,4.6,4.6,4.6,300,UNI
2020-08-11,4.6,4.6,4.6,4.6,0,UNI
2020-08-12,4.6,4.6,4.6,4.6,20,UNI
2020-08-13,4.6,4.6,4.6,4.6,40,UNI
2020-08-14,4.6,4.6,4.6,4.6,0,UNI
2020-08-17,4.6,4.6,4.6,4.6,0,UNI
2020-08-18,4.6,4.6,4.5,4.5,9080,UNI
2020-08-19,4.6,4.6,4.6,4.6,3000,UNI
2020-08-20,4.6,4.6,4.6,4.6,24,UNI
2020-08-21,4.6,4.6,4.6,4.6,0,UNI
2020-08-24,4.2,4.2,4.2,4.2,610,UNI
2020-08-25,4.5,4.5,4.5,4.5,500,UNI
2020-08-26,4.8,4.8,4.8,4.8,1504,UNI
2020-08-27,4.8,4.8,4.8,4.8,3800,UNI
2020-08-28,4.8,4.8,4.8,4.8,0,UNI
2020-08-31,4.6,4.8,4.5,4.8,27000,UNI
2020-09-01,4.8,4.8,4.8,4.8,0,UNI
2020-09-03,4.8,4.8,4.8,4.8,10,UNI
2020-09-04,4.8,4.8,4.8,4.8,6000,UNI
2020-09-07,4.8,4.8,4.8,4.8,0,UNI
2020-09-08,4.8,4.8,4.8,4.8,60,UNI
2020-09-09,4.8,4.8,4.8,4.8,2100,UNI
2020-09-10,4.8,4.8,4.8,4.8,0,UNI
2020-09-11,4.8,4.8,4.8,4.8,0,UNI
2020-09-14,4.6,5.0,4.5,5.0,6700,UNI
2020-09-15,4.9,4.9,4.9,4.9,1000,UNI
2020-09-16,4.9,4.9,4.9,4.9,0,UNI
2020-09-17,5.0,5.2,5.0,5.1,1800,UNI
2020-09-18,5.1,5.1,5.1,5.1,0,UNI
2020-09-21,5.1,5.1,5.1,5.1,0,UNI
2020-09-22,4.6,4.7,4.6,4.7,18960,UNI
2020-09-23,4.5,5.0,4.5,4.6,3200,UNI
2020-09-24,4.5,5.0,4.5,5.0,200,UNI
2020-09-25,5.0,5.0,5.0,5.0,400,UNI
2020-09-28,5.0,5.2,5.0,5.2,1000,UNI
2020-09-29,4.8,5.2,4.8,5.2,1120,UNI
2020-09-30,4.8,5.4,4.8,5.4,4800,UNI
2020-10-01,5.2,5.4,5.2,5.4,2100,UNI
2020-10-02,5.4,5.4,5.4,5.4,1000,UNI
2020-10-05,5.3,5.4,5.3,5.4,3900,UNI
2020-10-06,5.4,5.5,5.4,5.5,700,UNI
2020-10-07,5.5,5.5,5.5,5.5,600,UNI
2020-10-08,5.1,5.4,5.1,5.4,1100,UNI
2020-10-09,5.5,5.6,5.5,5.6,2200,UNI
2020-10-12,5.1,5.6,5.1,5.6,500,UNI
2020-10-13,5.6,5.6,5.6,5.6,0,UNI
2020-10-14,5.6,5.6,5.6,5.6,200,UNI
2020-10-15,5.6,5.6,5.6,5.6,0,UNI
2020-10-16,5.5,5.5,5.5,5.5,400,UNI
2020-10-19,5.5,5.5,5.5,5.5,0,UNI
2020-10-20,5.5,5.5,5.5,5.5,0,UNI
2020-10-21,5.5,5.5,5.5,5.5,0,UNI
