time,open,high,low,close,volume,ticker
2025-01-24,6.0,6.0,6.0,6.0,100,UXC
2025-02-14,6.5,6.5,6.5,6.5,100,UXC
2025-02-21,5.6,5.6,5.6,5.6,100,UXC
2025-04-11,6.4,6.4,6.4,6.4,100,UXC
2025-07-25,5.5,5.5,5.5,5.5,700,UXC
2025-08-01,4.7,4.7,4.7,4.7,2200,UXC
2025-08-08,4.0,4.1,4.0,4.0,4100,UXC
2025-08-15,3.4,3.4,3.4,3.4,100,UXC
2025-08-22,3.0,3.0,3.0,3.0,3200,UXC
2025-09-19,3.0,3.0,3.0,3.0,100,UXC
2025-11-14,2.6,2.6,2.6,2.6,400,UXC
2025-12-05,2.3,2.3,2.3,2.3,300,UXC
2025-12-26,2.0,2.0,2.0,2.0,400,UXC
2026-01-09,1.7,1.7,1.7,1.7,2100,UXC
2026-01-16,1.5,1.9,1.5,1.5,4300,UXC
2026-01-30,1.3,1.3,1.3,1.3,2100,UXC
2026-02-06,1.3,1.3,1.3,1.3,100,UXC
2026-02-13,1.3,1.3,1.2,1.2,4000,UXC
2026-02-27,1.2,1.2,1.1,1.1,3300,UXC
2026-03-06,1.2,1.2,1.2,1.2,500,UXC
2026-03-13,1.3,1.3,1.3,1.3,3600,UXC
2026-03-20,1.2,1.2,1.2,1.2,2500,UXC
