time,open,high,low,close,volume,ticker
2020-12-21,63.08,64.33,63.08,64.18,3322250,VHM
2020-12-22,64.25,64.77,63.66,64.03,2163130,VHM
2020-12-23,64.4,65.58,63.96,64.4,3220800,VHM
2020-12-24,64.84,64.92,62.26,63.59,2687430,VHM
2020-12-25,63.52,64.55,63.08,64.55,1584940,VHM
2020-12-28,65.21,65.29,63.89,64.62,1905670,VHM
2020-12-29,64.62,66.69,64.18,66.54,3451160,VHM
2020-12-30,66.76,67.79,66.32,66.46,2027680,VHM
2020-12-31,67.2,67.35,65.95,65.95,1272810,VHM
2021-01-04,67.05,68.45,66.24,67.79,3077500,VHM
2021-01-05,67.64,70.74,67.42,70.44,2853200,VHM
2021-01-06,71.11,71.18,69.41,69.85,2838200,VHM
2021-01-07,69.85,70.08,68.82,69.85,2926400,VHM
2021-01-08,70.37,71.33,70.22,71.03,2187200,VHM
2021-01-11,72.21,75.97,71.92,75.97,4512700,VHM
2021-01-12,77.22,77.3,75.97,76.19,2862600,VHM
2021-01-13,76.63,76.71,73.39,74.35,2972500,VHM
2021-01-14,74.35,74.57,72.65,73.39,3274800,VHM
2021-01-15,73.76,74.87,73.24,74.87,2078100,VHM
2021-01-18,75.16,75.75,73.39,74.42,2291200,VHM
2021-01-19,73.69,74.2,69.26,71.33,3552500,VHM
2021-01-20,71.48,75.9,69.63,71.84,3457300,VHM
2021-01-21,72.21,73.24,72.07,72.95,3018300,VHM
2021-01-22,73.24,74.42,72.88,73.17,2262800,VHM
2021-01-25,73.32,73.76,72.65,73.32,2142000,VHM
2021-01-26,73.39,73.47,70.0,72.21,2105700,VHM
2021-01-27,70.74,72.36,67.42,69.19,3312000,VHM
2021-01-28,64.48,66.1,64.4,64.4,3197600,VHM
2021-01-29,61.9,68.9,61.9,68.9,5469400,VHM
2021-02-01,68.97,70.0,65.06,65.06,2634200,VHM
2021-02-02,65.58,69.56,64.84,69.56,2756900,VHM
2021-02-03,69.63,72.88,69.63,71.62,3365900,VHM
2021-02-04,71.62,72.88,70.15,72.51,2498900,VHM
2021-02-05,72.95,73.39,72.43,73.17,2245800,VHM
2021-02-08,73.17,73.24,68.16,69.78,4803100,VHM
2021-02-09,70.67,71.7,69.19,71.33,2668600,VHM
2021-02-17,72.21,74.57,71.48,74.42,3701700,VHM
2021-02-18,74.42,76.04,73.69,76.04,4499400,VHM
2021-02-19,75.16,76.19,74.64,75.97,1911800,VHM
2021-02-22,76.49,78.25,76.34,77.96,4390500,VHM
2021-02-23,77.96,78.4,76.63,77.59,2039100,VHM
2021-02-24,78.11,78.11,74.42,75.75,3720700,VHM
2021-02-25,75.9,76.34,74.79,75.75,2300900,VHM
2021-02-26,74.64,75.75,73.98,74.87,2385600,VHM
2021-03-01,75.16,76.19,75.09,75.9,2302000,VHM
2021-03-02,76.63,77.0,74.94,75.75,2460000,VHM
2021-03-03,75.53,75.53,74.64,74.79,2148400,VHM
2021-03-04,75.09,75.16,72.21,73.69,2714300,VHM
2021-03-05,72.51,73.32,72.21,72.51,2865300,VHM
2021-03-08,73.47,73.54,71.33,71.62,3046500,VHM
2021-03-09,71.48,73.17,70.15,72.36,2196300,VHM
2021-03-10,73.32,73.91,72.21,73.61,2406700,VHM
2021-03-11,74.42,74.72,72.88,73.69,1726900,VHM
2021-03-12,73.69,74.57,73.17,73.61,1733400,VHM
2021-03-15,73.61,73.69,72.58,73.54,2288400,VHM
2021-03-16,73.39,73.54,72.29,73.32,1317500,VHM
2021-03-17,72.8,73.47,72.29,73.17,2007400,VHM
2021-03-18,73.32,73.61,72.21,73.47,1374800,VHM
2021-03-19,72.95,73.17,72.07,72.07,2747200,VHM
2021-03-22,72.73,73.32,72.21,73.17,1576700,VHM
2021-03-23,72.65,73.1,72.21,72.73,1319900,VHM
2021-03-24,71.92,72.21,70.74,71.62,2103300,VHM
2021-03-25,71.62,71.99,70.0,71.25,2404000,VHM
2021-03-26,71.11,71.25,69.34,70.52,2265800,VHM
2021-03-29,70.74,71.11,70.08,70.89,1446000,VHM
2021-03-30,70.89,72.14,70.67,70.96,2901300,VHM
2021-03-31,71.11,72.51,71.11,71.7,1897500,VHM
2021-04-01,71.84,73.32,71.55,72.95,2578700,VHM
2021-04-02,73.69,75.01,73.47,74.2,2203200,VHM
2021-04-05,75.9,77.37,74.42,74.94,2653200,VHM
2021-04-06,74.94,75.9,74.64,74.94,2102600,VHM
2021-04-07,74.2,74.72,73.32,74.05,2485300,VHM
2021-04-08,74.05,74.05,73.47,73.47,1584900,VHM
2021-04-09,73.1,73.1,72.21,72.88,2111100,VHM
2021-04-12,73.32,75.16,73.17,75.01,3269900,VHM
2021-04-13,75.82,77.37,75.01,75.53,4016800,VHM
2021-04-14,72.58,74.05,72.14,74.05,8169000,VHM
2021-04-15,75.01,77.0,74.2,74.57,7972300,VHM
2021-04-16,74.57,77.0,72.21,74.42,6593100,VHM
2021-04-19,75.9,77.0,74.64,77.0,9104900,VHM
2021-04-20,79.07,82.38,78.55,80.02,15266000,VHM
2021-04-22,80.32,82.82,75.97,75.97,6647900,VHM
2021-04-23,76.34,77.37,75.16,77.37,8823200,VHM
2021-04-26,77.37,77.37,73.39,73.39,8982600,VHM
2021-04-27,73.39,74.5,72.36,73.69,3979800,VHM
2021-04-28,73.69,75.82,73.69,74.35,5756900,VHM
2021-04-29,74.72,74.79,72.95,73.17,5374300,VHM
2021-05-04,72.21,73.32,70.81,73.1,4388500,VHM
2021-05-05,73.1,74.57,73.1,73.39,2850600,VHM
2021-05-06,73.39,74.42,72.73,72.73,2793600,VHM
2021-05-07,72.58,73.32,71.48,71.55,5114200,VHM
2021-05-10,70.81,73.54,70.81,73.02,3933700,VHM
2021-05-11,73.61,73.61,72.21,72.21,3142600,VHM
2021-05-12,71.84,72.43,71.33,71.99,3510300,VHM
2021-05-13,71.62,72.43,71.4,71.48,2560600,VHM
2021-05-14,71.77,72.58,71.4,71.62,2990500,VHM
2021-05-17,73.17,76.27,73.17,74.28,5913000,VHM
2021-05-18,74.87,75.16,72.88,72.88,3455700,VHM
2021-05-19,73.1,74.2,72.58,73.98,2871000,VHM
2021-05-20,73.98,75.16,73.1,75.16,3923100,VHM
2021-05-21,74.79,76.78,74.05,76.56,6075800,VHM
2021-05-24,77.22,78.84,76.63,78.11,5182000,VHM
2021-05-25,77.52,78.03,76.78,77.08,2865100,VHM
2021-05-26,77.08,78.99,76.49,77.89,4679100,VHM
2021-05-27,78.11,79.21,72.73,76.93,4530700,VHM
2021-05-28,77.37,77.74,76.04,77.08,3237700,VHM
2021-05-31,77.0,77.0,74.5,75.6,5075900,VHM
2021-06-01,75.16,77.89,74.64,76.63,3869100,VHM
2021-06-02,76.27,77.74,75.9,76.93,2664100,VHM
2021-06-03,77.08,78.11,77.08,77.67,5044900,VHM
2021-06-04,78.84,79.07,76.49,77.0,3635200,VHM
2021-06-07,77.0,78.7,77.0,78.11,4249400,VHM
2021-06-08,78.62,80.69,77.37,77.59,7252600,VHM
2021-06-09,78.11,78.7,77.0,78.18,3322600,VHM
2021-06-10,78.11,78.84,76.63,76.71,3369400,VHM
2021-06-11,76.63,78.4,76.49,78.11,3884300,VHM
2021-06-14,79.21,81.72,78.92,80.98,7532600,VHM
2021-06-15,82.53,83.34,81.87,82.97,5394500,VHM
2021-06-16,82.53,83.27,80.39,81.05,4021200,VHM
2021-06-17,79.95,81.05,79.65,80.32,3866300,VHM
2021-06-18,81.05,85.48,80.17,82.9,4789800,VHM
2021-06-21,82.45,83.27,81.79,82.53,3350800,VHM
2021-06-22,82.45,82.75,82.16,82.16,2497800,VHM
2021-06-23,82.53,82.53,80.24,82.01,3874800,VHM
2021-06-24,81.72,84.74,81.05,82.6,3936900,VHM
2021-06-25,83.27,83.63,82.23,82.6,2846300,VHM
2021-06-28,83.27,85.11,82.82,85.11,7156600,VHM
2021-06-29,85.48,87.98,85.33,87.39,5907600,VHM
2021-06-30,87.69,88.72,86.43,86.95,5135400,VHM
2021-07-01,86.29,87.32,86.07,86.36,3700200,VHM
2021-07-02,86.36,87.83,85.84,86.95,3152400,VHM
2021-07-05,87.69,87.69,84.89,87.32,4553400,VHM
2021-07-06,87.02,87.76,81.28,81.28,4255400,VHM
2021-07-07,81.79,86.21,80.69,86.21,7071300,VHM
2021-07-08,85.11,85.99,83.85,84.74,4664700,VHM
2021-07-09,83.78,85.4,82.16,82.9,3902100,VHM
2021-07-12,82.53,82.53,77.15,79.58,8065200,VHM
2021-07-13,80.98,80.98,78.11,80.69,2562500,VHM
2021-07-14,80.83,82.68,79.43,80.69,3325300,VHM
2021-07-15,79.95,81.5,79.95,81.28,4555800,VHM
2021-07-16,81.28,81.42,80.1,80.32,2119200,VHM
2021-07-19,78.77,79.36,76.12,76.85,3189800,VHM
2021-07-20,77.81,78.55,75.9,78.55,4045600,VHM
2021-07-21,79.21,80.17,78.55,79.58,3042000,VHM
2021-07-22,79.58,81.79,78.84,81.79,3402500,VHM
2021-07-23,81.05,82.16,79.29,79.29,2635200,VHM
2021-07-26,79.21,81.5,78.99,80.76,2753500,VHM
2021-07-27,81.57,81.64,79.29,79.43,5342500,VHM
2021-07-28,78.92,79.36,77.81,78.48,4909500,VHM
2021-07-29,80.32,80.54,78.48,79.51,3954600,VHM
2021-07-30,79.58,80.17,78.84,79.8,4731600,VHM
2021-08-02,79.58,79.88,78.92,79.65,4807700,VHM
2021-08-03,79.43,82.68,79.43,81.72,9951300,VHM
