time,open,high,low,close,volume,ticker
2020-09-09,9.57,9.57,9.57,9.57,100,VIN
2020-09-10,10.25,10.25,9.64,9.64,200,VIN
2020-09-11,9.95,9.95,9.95,9.95,100,VIN
2020-09-14,8.82,10.02,8.82,10.02,1100,VIN
2020-09-15,9.72,10.55,9.72,10.47,2800,VIN
2020-09-16,10.25,10.4,10.25,10.4,600,VIN
2020-09-17,10.25,10.4,10.4,10.4,0,VIN
2020-09-18,11.23,11.23,10.25,10.25,1109,VIN
2020-09-21,10.32,10.25,10.25,10.25,0,VIN
2020-09-22,10.47,10.47,9.8,9.8,4000,VIN
2020-09-23,9.8,10.1,9.8,10.1,2200,VIN
2020-09-24,9.95,10.1,10.1,10.1,0,VIN
2020-09-25,9.27,9.27,9.27,9.27,200,VIN
2020-09-28,9.95,9.95,9.95,9.95,100,VIN
2020-09-29,9.34,9.34,9.34,9.34,126,VIN
2020-09-30,9.42,9.64,9.42,9.64,2100,VIN
2020-10-01,9.64,9.64,9.64,9.64,500,VIN
2020-10-02,9.72,10.1,9.57,10.1,5111,VIN
2020-10-05,9.8,10.1,10.1,10.1,0,VIN
2020-10-06,9.8,10.1,10.1,10.1,0,VIN
2020-10-07,9.8,10.1,10.1,10.1,0,VIN
2020-10-08,9.8,10.1,10.1,10.1,0,VIN
2020-10-09,9.8,10.1,10.1,10.1,0,VIN
2020-10-12,9.8,10.1,10.1,10.1,0,VIN
2020-10-13,9.8,10.1,10.1,10.1,0,VIN
2020-10-14,9.8,10.1,10.1,10.1,0,VIN
2020-10-15,9.8,10.1,10.1,10.1,0,VIN
2020-10-16,9.87,9.87,9.87,9.87,7000,VIN
2020-10-19,9.87,9.87,9.87,9.87,0,VIN
2020-10-20,9.87,9.87,9.87,9.87,0,VIN
2020-10-21,9.87,9.87,9.87,9.87,0,VIN
2020-10-22,9.87,9.87,9.87,9.87,0,VIN
2020-10-23,9.87,9.87,9.87,9.87,100,VIN
2020-10-26,9.87,9.87,9.87,9.87,0,VIN
2020-10-27,9.87,9.87,9.87,9.87,0,VIN
2020-10-28,9.87,9.87,9.87,9.87,0,VIN
2020-10-29,9.87,9.87,9.87,9.87,0,VIN
2020-10-30,9.87,9.87,9.87,9.87,0,VIN
2020-11-02,9.87,10.02,9.87,9.95,7900,VIN
2020-11-03,9.95,9.95,9.95,9.95,0,VIN
2020-11-04,9.95,9.95,9.95,9.95,0,VIN
2020-11-05,9.95,9.95,9.95,9.95,0,VIN
2020-11-06,10.47,10.47,10.47,10.47,2000,VIN
2020-11-09,11.9,11.9,11.9,11.9,1000,VIN
2020-11-10,11.9,11.9,11.9,11.9,0,VIN
2020-11-11,10.25,11.23,10.25,11.23,500,VIN
2020-11-12,11.0,11.23,11.23,11.23,0,VIN
2020-11-13,11.0,11.23,11.23,11.23,0,VIN
2020-11-16,11.0,11.23,11.23,11.23,0,VIN
2020-11-17,10.85,10.85,10.85,10.85,100,VIN
2020-11-18,10.7,10.7,10.7,10.7,200,VIN
2020-11-19,9.8,9.8,9.8,9.8,200,VIN
2020-11-20,9.8,9.95,9.8,9.95,1000,VIN
2020-11-23,9.87,9.95,9.95,9.95,0,VIN
2020-11-24,9.87,9.87,9.87,9.87,100,VIN
2020-11-25,9.87,9.87,9.87,9.87,0,VIN
2020-11-26,10.02,10.02,10.02,10.02,200,VIN
2020-11-27,10.55,10.55,10.55,10.55,100,VIN
2020-11-30,10.55,10.55,10.55,10.55,0,VIN
2020-12-01,9.95,9.95,9.95,9.95,1000,VIN
2020-12-02,10.17,10.4,10.17,10.4,400,VIN
2020-12-03,10.32,10.47,10.32,10.47,2900,VIN
2020-12-04,10.77,10.77,10.77,10.77,100,VIN
2020-12-07,11.08,11.08,11.08,11.08,100,VIN
2020-12-08,11.08,11.08,11.08,11.08,0,VIN
2020-12-09,11.08,11.08,11.08,11.08,0,VIN
2020-12-10,11.08,11.08,11.08,11.08,10000,VIN
2020-12-11,11.08,11.08,11.08,11.08,0,VIN
2020-12-14,11.08,11.08,11.08,11.08,0,VIN
2020-12-15,11.08,11.08,11.08,11.08,0,VIN
2020-12-16,11.08,11.08,11.08,11.08,0,VIN
2020-12-17,10.77,10.77,10.77,10.77,100,VIN
2020-12-18,10.62,10.62,10.47,10.47,2800,VIN
