time,open,high,low,close,volume,ticker
2020-12-21,5.69,5.85,5.69,5.75,401830,VIP
2020-12-22,5.75,6.02,5.74,5.75,601170,VIP
2020-12-23,5.72,5.75,5.63,5.71,746480,VIP
2020-12-24,5.62,5.71,5.31,5.38,578820,VIP
2020-12-25,5.38,5.59,5.31,5.59,297920,VIP
2020-12-28,5.59,5.62,5.38,5.52,421950,VIP
2020-12-29,5.52,5.65,5.38,5.59,440850,VIP
2020-12-30,5.68,5.68,5.52,5.57,210300,VIP
2020-12-31,5.57,5.59,5.46,5.58,257400,VIP
2021-01-04,5.72,5.72,5.59,5.68,544700,VIP
2021-01-05,5.67,6.08,5.65,6.06,1155300,VIP
2021-01-06,6.13,6.3,5.89,6.02,458800,VIP
2021-01-07,6.0,6.0,5.93,5.96,464200,VIP
2021-01-08,5.89,6.38,5.89,6.27,1291100,VIP
2021-01-11,6.27,6.68,6.27,6.66,539700,VIP
2021-01-12,6.81,6.81,6.65,6.72,345100,VIP
2021-01-13,6.72,6.72,6.34,6.49,275900,VIP
2021-01-14,6.49,6.54,6.37,6.38,353900,VIP
2021-01-15,6.4,6.81,6.4,6.81,1418700,VIP
2021-01-18,7.02,7.29,6.85,7.29,1519200,VIP
2021-01-19,7.66,7.66,6.79,6.79,991200,VIP
2021-01-20,6.48,6.79,6.34,6.7,453100,VIP
2021-01-21,6.81,7.15,6.6,7.15,1167800,VIP
2021-01-22,7.43,7.63,7.36,7.63,1854600,VIP
2021-01-25,7.7,8.04,7.43,7.8,676300,VIP
2021-01-26,7.87,7.87,7.26,7.26,951900,VIP
2021-01-27,7.26,7.26,6.75,6.75,841900,VIP
2021-01-28,6.28,6.47,6.28,6.28,462200,VIP
2021-01-29,5.85,6.27,5.85,6.11,1225000,VIP
2021-02-01,5.86,6.07,5.69,5.69,766800,VIP
2021-02-02,5.45,5.52,5.29,5.52,956400,VIP
2021-02-03,5.52,5.86,5.38,5.79,596600,VIP
2021-02-04,6.13,6.15,5.72,5.82,482700,VIP
2021-02-05,5.96,6.13,5.82,6.0,465900,VIP
2021-02-08,6.12,6.15,5.58,5.58,912900,VIP
2021-02-09,5.65,5.79,5.57,5.79,923700,VIP
2021-02-17,6.19,6.19,6.13,6.19,754800,VIP
2021-02-18,6.6,6.6,6.34,6.44,859900,VIP
2021-02-19,6.34,6.47,6.2,6.34,662000,VIP
2021-02-22,6.34,6.37,6.13,6.34,1837300,VIP
2021-02-23,6.53,6.53,6.3,6.44,574600,VIP
2021-02-24,6.44,6.57,6.21,6.28,712400,VIP
2021-02-25,6.34,6.4,6.26,6.27,607100,VIP
2021-02-26,6.27,6.32,6.17,6.32,342500,VIP
2021-03-01,6.32,6.74,6.32,6.63,697200,VIP
2021-03-02,6.64,6.65,6.4,6.53,358500,VIP
2021-03-03,6.47,6.68,6.47,6.61,857700,VIP
2021-03-04,6.73,6.73,6.4,6.54,474100,VIP
2021-03-05,6.66,6.66,6.5,6.53,423600,VIP
2021-03-08,6.68,6.68,6.47,6.54,914600,VIP
2021-03-09,6.61,6.98,6.47,6.98,2120400,VIP
2021-03-10,7.32,7.32,6.98,7.15,787900,VIP
2021-03-11,7.15,7.19,6.88,6.98,478600,VIP
2021-03-12,6.98,7.05,6.85,6.91,939100,VIP
2021-03-15,6.98,7.15,6.95,7.12,836000,VIP
2021-03-16,7.15,7.15,6.78,7.05,694300,VIP
2021-03-17,7.02,7.09,6.88,6.98,698200,VIP
2021-03-18,7.09,7.09,6.78,6.78,1273500,VIP
2021-03-19,6.74,6.95,6.68,6.88,677100,VIP
2021-03-22,6.88,7.22,6.88,7.09,624400,VIP
2021-03-23,7.09,7.09,6.85,6.95,574200,VIP
2021-03-24,6.81,6.88,6.68,6.74,594200,VIP
2021-03-25,6.74,6.81,6.64,6.68,329000,VIP
2021-03-26,6.64,6.64,6.21,6.42,960400,VIP
2021-03-29,6.54,6.54,6.06,6.44,458300,VIP
2021-03-30,6.53,6.53,6.42,6.47,253100,VIP
2021-03-31,6.55,6.57,6.47,6.53,302900,VIP
2021-04-01,6.53,6.74,6.49,6.74,407600,VIP
2021-04-02,6.88,6.98,6.76,6.79,641700,VIP
2021-04-05,6.79,6.79,6.61,6.68,375800,VIP
2021-04-06,6.68,6.68,6.54,6.57,263300,VIP
2021-04-07,6.57,6.57,6.4,6.51,451400,VIP
2021-04-08,6.54,6.57,6.45,6.57,469200,VIP
2021-04-09,6.54,6.98,6.54,6.88,1442300,VIP
2021-04-12,6.95,6.98,6.85,6.91,805700,VIP
2021-04-13,6.91,6.91,6.68,6.72,792000,VIP
2021-04-14,6.72,6.72,6.54,6.72,627500,VIP
2021-04-15,6.72,6.72,6.59,6.59,687000,VIP
2021-04-16,6.57,6.59,6.28,6.46,654500,VIP
2021-04-19,6.46,6.46,6.32,6.36,343700,VIP
2021-04-20,6.36,6.53,6.23,6.26,425800,VIP
2021-04-22,6.27,6.27,6.06,6.09,690200,VIP
2021-04-23,5.86,6.13,5.86,6.1,308700,VIP
2021-04-26,6.11,6.11,5.76,5.79,626500,VIP
2021-04-27,5.72,5.8,5.52,5.78,304900,VIP
2021-04-28,5.78,5.86,5.72,5.77,170400,VIP
2021-04-29,5.77,5.8,5.71,5.78,233200,VIP
2021-05-04,5.59,5.65,5.55,5.57,384300,VIP
2021-05-05,5.57,5.95,5.57,5.8,437400,VIP
2021-05-06,5.86,5.96,5.79,5.85,258700,VIP
2021-05-07,5.8,5.86,5.59,5.76,135700,VIP
2021-05-10,5.59,5.72,5.56,5.71,277600,VIP
2021-05-11,5.7,5.82,5.65,5.76,312600,VIP
2021-05-12,5.76,5.82,5.72,5.76,230800,VIP
2021-05-13,5.76,5.82,5.72,5.76,426200,VIP
