time,open,high,low,close,volume,ticker
2019-06-05,1.4,1.4,1.4,1.4,900,VPC
2019-06-06,1.6,1.6,1.5,1.6,129400,VPC
2019-06-07,1.8,1.8,1.7,1.8,224000,VPC
2019-06-10,1.8,1.8,1.6,1.6,36550,VPC
2019-06-11,1.6,1.6,1.5,1.5,7900,VPC
2019-06-12,1.3,1.4,1.3,1.3,7800,VPC
2019-06-13,1.2,1.2,1.2,1.2,14600,VPC
2019-06-14,1.1,1.1,1.1,1.1,4100,VPC
2019-06-17,1.0,1.0,1.0,1.0,4530,VPC
2019-06-18,0.9,1.1,0.9,1.1,110600,VPC
2019-06-19,1.0,1.0,1.0,1.0,100,VPC
2019-06-20,1.1,1.1,1.1,1.1,200,VPC
2019-06-21,1.2,1.2,1.0,1.2,86038,VPC
2019-06-24,1.3,1.3,1.3,1.3,1600,VPC
2019-06-25,1.2,1.2,1.2,1.2,2230,VPC
2019-06-26,1.1,1.2,1.1,1.2,9000,VPC
2019-06-27,1.1,1.2,1.1,1.1,7600,VPC
2019-06-28,1.0,1.0,1.0,1.0,100,VPC
2019-07-01,1.0,1.1,1.0,1.0,17300,VPC
2019-07-02,1.1,1.1,1.0,1.1,3900,VPC
2019-07-03,1.0,1.1,1.0,1.1,1200,VPC
2019-07-04,0.9,1.0,0.9,1.0,700,VPC
2019-07-05,1.0,1.0,1.0,1.0,6000,VPC
2019-07-08,1.1,1.1,1.0,1.0,33700,VPC
2019-07-09,1.1,1.1,1.1,1.1,300,VPC
2019-07-10,1.1,1.2,1.0,1.1,13700,VPC
2019-07-11,1.0,1.1,1.0,1.1,39700,VPC
2019-07-12,1.1,1.2,1.1,1.1,15400,VPC
2019-07-15,1.0,1.0,1.0,1.0,18900,VPC
2019-07-16,1.0,1.1,1.0,1.1,1700,VPC
2019-07-17,1.0,1.1,1.0,1.1,12900,VPC
2019-07-18,1.0,1.1,1.0,1.1,8410,VPC
2019-07-19,1.1,1.1,1.1,1.1,700,VPC
2019-07-22,1.0,1.0,1.0,1.0,3900,VPC
2019-07-23,1.0,1.0,1.0,1.0,5000,VPC
2019-07-24,1.0,1.1,0.9,1.0,24210,VPC
2019-07-25,1.0,1.0,1.0,1.0,0,VPC
2019-07-26,1.1,1.1,0.9,1.0,10200,VPC
2019-07-29,0.8,0.9,0.8,0.9,17900,VPC
2019-07-30,0.9,0.9,0.9,0.9,13200,VPC
2019-07-31,1.0,1.0,1.0,1.0,24000,VPC
