time,open,high,low,close,volume,ticker
2020-12-21,22.39,22.39,22.26,22.39,688900,VPI
2020-12-22,22.39,22.46,22.19,22.36,1538690,VPI
2020-12-23,22.36,22.46,22.29,22.29,1605630,VPI
2020-12-24,22.29,22.56,22.16,22.26,811150,VPI
2020-12-25,22.26,22.39,22.26,22.36,1364470,VPI
2020-12-28,22.36,22.53,22.29,22.36,2783190,VPI
2020-12-29,22.29,22.43,22.29,22.39,858510,VPI
2020-12-30,22.39,22.39,22.29,22.36,2817080,VPI
2020-12-31,22.36,22.63,22.36,22.53,782430,VPI
2021-01-04,22.53,22.7,22.5,22.7,1160500,VPI
2021-01-05,22.63,22.83,22.63,22.7,1425000,VPI
2021-01-06,22.7,22.83,22.6,22.77,757100,VPI
2021-01-07,22.77,22.87,22.6,22.73,1547500,VPI
2021-01-08,22.73,22.73,22.53,22.6,851000,VPI
2021-01-11,22.6,22.66,22.53,22.6,1596200,VPI
2021-01-12,22.6,22.77,22.6,22.77,1200800,VPI
2021-01-13,22.66,22.8,22.56,22.77,1394400,VPI
2021-01-14,22.77,24.35,22.63,24.35,3666700,VPI
2021-01-15,24.99,26.04,23.64,25.2,3052900,VPI
2021-01-18,25.16,25.33,24.93,25.16,2162000,VPI
2021-01-19,24.99,24.99,23.85,24.52,1572800,VPI
2021-01-20,24.49,24.52,22.93,23.64,2935500,VPI
2021-01-21,23.64,25.3,23.41,24.86,3790300,VPI
2021-01-22,24.99,25.13,24.79,24.99,1767000,VPI
2021-01-25,24.99,26.08,24.99,25.7,1791800,VPI
2021-01-26,25.7,26.28,24.79,25.33,1476800,VPI
2021-01-27,25.2,25.67,24.25,24.29,2021600,VPI
2021-01-28,23.04,23.71,22.6,22.6,1811500,VPI
2021-01-29,22.39,23.51,22.39,23.17,1405300,VPI
2021-02-01,23.1,23.41,22.6,22.8,1608800,VPI
2021-02-02,22.77,23.31,22.77,23.31,1721300,VPI
2021-02-03,23.31,24.39,23.31,24.05,995300,VPI
2021-02-04,24.05,24.15,23.75,24.05,833700,VPI
