time,open,high,low,close,volume,ticker
2020-12-21,11.97,11.97,11.82,11.91,166420,VSC
2020-12-22,11.91,12.11,11.84,12.06,144020,VSC
2020-12-23,11.91,12.24,11.91,11.93,57740,VSC
2020-12-24,11.95,11.97,11.62,11.78,106800,VSC
2020-12-25,11.75,12.04,11.75,12.04,36300,VSC
2020-12-28,12.04,12.06,11.84,11.93,62570,VSC
2020-12-29,11.86,12.08,11.71,11.75,435550,VSC
2020-12-30,11.89,12.13,11.8,11.82,596550,VSC
2020-12-31,11.82,12.17,11.8,12.08,211830,VSC
2021-01-04,12.11,12.37,11.95,12.37,237400,VSC
2021-01-05,12.39,12.39,11.95,12.37,64000,VSC
2021-01-06,12.28,12.5,12.13,12.5,352200,VSC
2021-01-07,12.5,12.59,12.39,12.41,98500,VSC
2021-01-08,12.41,12.98,12.41,12.76,250200,VSC
2021-01-11,12.79,13.31,12.72,13.29,148100,VSC
2021-01-12,13.49,14.21,13.38,14.21,180800,VSC
2021-01-13,14.91,14.91,14.58,14.58,130900,VSC
2021-01-14,14.87,14.87,14.36,14.45,69300,VSC
2021-01-15,14.45,14.45,13.9,14.04,125000,VSC
2021-01-18,13.93,14.04,13.44,13.6,139600,VSC
2021-01-19,13.55,13.55,12.65,12.68,262900,VSC
2021-01-20,12.68,12.68,12.11,12.61,97200,VSC
2021-01-21,12.65,13.27,12.65,13.25,71500,VSC
2021-01-22,13.25,13.49,12.96,13.14,73400,VSC
2021-01-25,13.14,13.25,12.98,12.98,41700,VSC
2021-01-26,12.87,13.09,12.72,12.72,127200,VSC
2021-01-27,12.68,12.79,12.57,12.57,94000,VSC
2021-01-28,12.39,12.43,11.69,11.95,346800,VSC
2021-01-29,11.51,12.79,11.51,12.79,90200,VSC
2021-02-01,12.79,13.49,12.79,13.27,99400,VSC
2021-02-02,13.27,13.27,12.87,13.07,113900,VSC
2021-02-03,13.16,13.16,12.96,13.05,81400,VSC
2021-02-04,13.05,13.05,13.03,13.05,67700,VSC
2021-02-05,13.07,13.38,13.05,13.16,31100,VSC
2021-02-08,13.16,13.16,13.05,13.14,64200,VSC
2021-02-09,13.07,13.27,13.05,13.25,39400,VSC
2021-02-17,13.38,13.68,13.25,13.6,57200,VSC
2021-02-18,13.6,13.6,13.38,13.58,42500,VSC
2021-02-19,13.38,13.58,13.16,13.38,62700,VSC
2021-02-22,13.38,13.38,13.29,13.33,35400,VSC
2021-02-23,13.38,13.38,13.18,13.27,16400,VSC
2021-02-24,13.33,13.33,13.16,13.25,49000,VSC
2021-02-25,13.16,13.36,13.09,13.22,77500,VSC
2021-02-26,13.22,13.42,13.11,13.36,60300,VSC
2021-03-01,13.38,13.86,13.36,13.79,87600,VSC
2021-03-02,13.86,13.88,13.47,13.6,40400,VSC
2021-03-03,13.71,13.71,13.47,13.47,24600,VSC
2021-03-04,13.6,13.82,13.16,13.38,28800,VSC
2021-03-05,13.38,13.38,12.96,13.16,27400,VSC
2021-03-08,12.96,13.25,12.96,13.22,29900,VSC
2021-03-09,13.16,13.16,13.01,13.14,10800,VSC
2021-03-10,13.16,13.25,12.28,13.25,71500,VSC
2021-03-11,13.25,13.25,12.94,12.96,11900,VSC
2021-03-12,12.83,13.05,12.83,12.94,9000,VSC
2021-03-15,12.9,12.96,12.68,12.87,44100,VSC
2021-03-16,12.9,12.94,12.72,12.94,46300,VSC
2021-03-17,12.94,12.94,12.68,12.9,13200,VSC
2021-03-18,12.9,12.94,12.81,12.92,38800,VSC
2021-03-19,12.92,12.92,12.72,12.72,30500,VSC
2021-03-22,12.76,12.83,12.7,12.72,38500,VSC
2021-03-23,12.72,12.79,12.59,12.65,70400,VSC
2021-03-24,12.5,12.5,12.39,12.43,59200,VSC
2021-03-25,12.43,12.43,12.37,12.43,38800,VSC
2021-03-26,12.39,12.39,12.17,12.19,25300,VSC
2021-03-29,12.22,12.33,12.19,12.26,49100,VSC
2021-03-30,12.28,12.28,11.91,11.91,31600,VSC
2021-03-31,12.04,12.04,11.73,11.86,34000,VSC
2021-04-01,12.19,12.19,11.89,12.19,43700,VSC
2021-04-02,12.19,12.26,11.97,12.02,50300,VSC
2021-04-05,11.91,12.02,11.47,11.49,93100,VSC
2021-04-06,11.49,11.95,11.49,11.62,96600,VSC
2021-04-07,11.62,11.62,11.21,11.29,144500,VSC
2021-04-08,11.29,11.4,11.14,11.23,76400,VSC
2021-04-09,11.23,11.23,10.72,10.77,95600,VSC
2021-04-12,10.68,10.68,10.4,10.44,253100,VSC
2021-04-13,10.31,10.97,10.31,10.83,142000,VSC
2021-04-14,10.86,11.58,10.83,11.58,348600,VSC
2021-04-15,11.67,11.67,11.36,11.45,98500,VSC
2021-04-16,11.01,11.36,10.97,11.05,48800,VSC
2021-04-19,11.05,11.08,10.29,10.97,161200,VSC
2021-04-20,10.55,10.97,10.55,10.95,36000,VSC
2021-04-22,10.75,10.94,10.59,10.64,65200,VSC
2021-04-23,10.64,10.88,10.61,10.86,59100,VSC
2021-04-26,10.97,10.97,10.66,10.68,68500,VSC
2021-04-27,10.68,10.94,10.37,10.94,81400,VSC
2021-04-28,11.08,11.12,10.99,11.08,34300,VSC
2021-04-29,10.99,11.08,10.88,10.97,13900,VSC
2021-05-04,10.64,10.85,10.41,10.63,55900,VSC
2021-05-05,10.56,10.8,10.56,10.7,51200,VSC
2021-05-06,10.83,10.83,10.64,10.64,15400,VSC
2021-05-07,10.64,10.79,10.57,10.57,20100,VSC
2021-05-10,10.57,10.57,10.23,10.43,48300,VSC
2021-05-11,10.41,10.85,10.41,10.63,25900,VSC
2021-05-12,10.43,10.66,10.43,10.54,13000,VSC
2021-05-13,10.59,10.63,10.46,10.56,41700,VSC
2021-05-14,10.63,11.1,10.63,10.97,75500,VSC
2021-05-17,10.97,11.5,10.92,11.3,243200,VSC
2021-05-18,11.39,11.39,11.1,11.25,55000,VSC
2021-05-19,11.25,11.39,11.08,11.39,56800,VSC
2021-05-20,11.39,11.39,11.21,11.3,74800,VSC
2021-05-21,11.39,11.67,11.25,11.61,129800,VSC
2021-05-24,11.79,11.81,11.41,11.45,55200,VSC
2021-05-25,11.3,11.65,11.3,11.65,81800,VSC
2021-05-26,11.41,11.63,11.3,11.41,107100,VSC
2021-05-27,11.43,11.63,11.43,11.43,71100,VSC
2021-05-28,11.63,11.63,11.23,11.23,30700,VSC
2021-05-31,11.1,11.45,10.94,11.45,83200,VSC
2021-06-01,11.45,11.59,11.08,11.32,43200,VSC
2021-06-02,11.1,11.47,11.08,11.47,89800,VSC
2021-06-03,11.39,11.74,11.3,11.74,143700,VSC
2021-06-04,11.74,11.96,11.54,11.83,76000,VSC
2021-06-07,11.96,12.07,11.01,11.85,113900,VSC
2021-06-08,11.96,12.03,11.85,11.85,72900,VSC
2021-06-09,11.85,11.96,11.65,11.87,32400,VSC
2021-06-10,11.94,11.98,11.85,11.9,103700,VSC
2021-06-11,11.98,12.63,11.98,12.58,158700,VSC
2021-06-14,13.45,13.45,12.83,13.18,102000,VSC
2021-06-15,12.76,13.18,12.76,13.07,68500,VSC
2021-06-16,13.0,13.62,12.74,12.85,77400,VSC
2021-06-17,12.74,13.07,12.52,12.85,95400,VSC
