time,open,high,low,close,volume,ticker
2020-11-27,9.86,9.86,9.86,9.86,1950,VSI
2020-11-30,10.06,10.06,9.89,9.89,3090,VSI
2020-12-01,10.0,10.0,9.92,9.92,5850,VSI
2020-12-02,9.92,9.92,9.66,9.66,970,VSI
2020-12-03,10.09,10.09,9.68,9.86,1310,VSI
2020-12-04,9.86,9.86,9.86,9.86,0,VSI
2020-12-07,9.8,9.8,9.74,9.8,910,VSI
2020-12-08,9.8,9.86,9.63,9.86,2070,VSI
2020-12-09,9.74,9.89,9.74,9.74,660,VSI
2020-12-10,9.8,9.86,9.8,9.86,1820,VSI
2020-12-11,9.86,9.86,9.68,9.68,20,VSI
2020-12-14,9.68,9.71,9.68,9.68,6530,VSI
2020-12-15,9.63,9.89,9.63,9.89,870,VSI
2020-12-16,9.89,9.95,9.89,9.95,2500,VSI
2020-12-17,9.92,9.95,9.92,9.95,190,VSI
2020-12-18,9.8,9.8,9.8,9.8,430,VSI
2020-12-21,10.06,10.06,9.86,9.97,2440,VSI
2020-12-22,9.97,9.97,9.97,9.97,0,VSI
2020-12-23,9.74,10.24,9.74,9.92,960,VSI
2020-12-24,9.77,9.86,9.77,9.77,1080,VSI
2020-12-25,9.74,9.97,9.74,9.97,1000,VSI
2020-12-28,9.97,9.97,9.97,9.97,5000,VSI
2020-12-29,9.92,9.92,9.92,9.92,250,VSI
2020-12-30,9.92,10.0,9.92,10.0,2200,VSI
2020-12-31,10.24,10.24,9.92,9.92,460,VSI
2021-01-04,10.0,10.03,10.0,10.0,1800,VSI
2021-01-05,10.0,10.0,9.92,9.92,3500,VSI
2021-01-06,9.97,9.97,9.97,9.97,100,VSI
2021-01-07,10.03,10.12,10.03,10.12,6200,VSI
2021-01-08,10.06,10.06,9.97,9.97,900,VSI
2021-01-11,9.95,10.67,9.89,10.21,2100,VSI
2021-01-12,10.67,10.67,9.95,9.95,200,VSI
2021-01-13,10.03,10.64,10.03,10.5,9100,VSI
2021-01-14,10.61,10.67,10.26,10.67,14600,VSI
2021-01-15,11.13,11.13,10.73,10.73,200,VSI
2021-01-18,11.45,11.45,10.79,10.79,600,VSI
2021-01-19,10.32,10.32,10.03,10.03,7100,VSI
2021-01-20,10.67,10.67,10.26,10.26,1700,VSI
2021-01-21,10.29,10.29,10.26,10.26,7500,VSI
2021-01-22,10.26,10.73,10.26,10.38,9500,VSI
2021-01-25,10.61,10.61,10.26,10.55,1800,VSI
2021-01-26,10.26,10.26,9.89,9.92,3600,VSI
2021-01-27,10.44,10.44,9.92,9.92,600,VSI
2021-01-28,9.74,9.77,9.28,9.28,6500,VSI
2021-01-29,9.86,9.86,9.8,9.86,1600,VSI
2021-02-01,10.26,10.26,9.68,10.21,3600,VSI
2021-02-02,10.21,10.21,10.21,10.21,0,VSI
2021-02-03,9.86,10.29,9.86,10.24,900,VSI
2021-02-04,10.24,10.24,10.24,10.24,100,VSI
2021-02-05,9.54,10.29,9.54,10.29,5200,VSI
2021-02-08,10.29,10.29,10.29,10.29,0,VSI
2021-02-09,10.61,10.61,10.61,10.61,3300,VSI
2021-02-17,10.61,10.61,10.61,10.61,100,VSI
2021-02-18,10.76,10.76,10.7,10.7,200,VSI
2021-02-19,10.03,10.76,10.03,10.76,1300,VSI
2021-02-22,11.4,11.4,10.73,10.73,200,VSI
2021-02-23,10.44,11.34,10.44,10.64,3400,VSI
2021-02-24,11.28,11.28,11.28,11.28,100,VSI
2021-02-25,10.5,10.5,10.5,10.5,13400,VSI
2021-02-26,10.5,10.5,9.92,9.95,4600,VSI
2021-03-01,10.55,10.55,9.48,9.97,900,VSI
2021-03-02,10.0,10.03,10.0,10.0,200,VSI
2021-03-03,10.44,10.7,10.41,10.7,15800,VSI
2021-03-04,10.73,10.79,10.12,10.12,10600,VSI
2021-03-05,10.79,10.79,10.76,10.76,500,VSI
2021-03-08,10.44,10.47,10.44,10.47,1100,VSI
2021-03-09,11.02,11.02,10.47,10.53,13200,VSI
2021-03-10,10.55,10.55,10.06,10.38,1900,VSI
2021-03-11,10.24,10.73,10.18,10.73,5300,VSI
2021-03-12,10.26,10.61,10.26,10.61,2400,VSI
2021-03-15,10.29,10.73,10.29,10.53,14700,VSI
2021-03-16,10.55,10.55,10.5,10.53,4100,VSI
2021-03-17,10.5,10.96,10.5,10.64,10100,VSI
2021-03-18,11.08,11.08,11.02,11.02,200,VSI
2021-03-19,10.55,10.55,10.55,10.55,200,VSI
2021-03-22,11.02,11.02,10.73,10.73,4700,VSI
2021-03-23,10.93,10.93,10.67,10.73,8200,VSI
2021-03-24,10.93,10.96,10.44,10.44,41700,VSI
2021-03-25,10.99,10.99,10.44,10.99,15800,VSI
2021-03-26,11.05,11.05,10.96,10.96,1700,VSI
2021-03-29,11.22,11.22,10.96,11.02,2300,VSI
2021-03-30,11.11,11.11,10.55,10.64,17700,VSI
2021-03-31,10.67,10.96,10.67,10.96,11000,VSI
2021-04-01,10.5,10.58,10.5,10.58,200,VSI
2021-04-02,10.61,10.96,10.61,10.96,2300,VSI
2021-04-05,10.96,10.96,10.38,10.58,500,VSI
2021-04-06,10.61,10.73,10.61,10.73,600,VSI
2021-04-07,10.47,10.96,10.47,10.79,24600,VSI
2021-04-08,10.79,10.79,10.79,10.79,0,VSI
2021-04-09,10.61,10.61,10.61,10.61,100,VSI
2021-04-12,10.61,10.61,10.61,10.61,200,VSI
2021-04-13,10.96,10.96,10.96,10.96,1000,VSI
2021-04-14,11.02,11.08,10.84,11.02,10900,VSI
2021-04-15,11.02,11.31,11.02,11.31,3100,VSI
2021-04-16,11.31,11.31,11.02,11.02,1300,VSI
2021-04-19,11.02,11.02,11.02,11.02,1500,VSI
2021-04-20,10.61,11.02,10.61,11.02,1100,VSI
2021-04-22,11.02,11.77,10.9,11.08,8100,VSI
2021-04-23,11.02,11.08,10.96,10.96,23700,VSI
2021-04-26,11.13,11.6,11.13,11.6,200,VSI
2021-04-27,11.31,11.31,11.25,11.25,2000,VSI
2021-04-28,11.25,11.25,11.25,11.25,0,VSI
2021-04-29,11.25,11.25,11.25,11.25,1100,VSI
2021-05-04,11.08,11.19,11.08,11.19,300,VSI
2021-05-05,11.19,11.6,11.19,11.6,300,VSI
2021-05-06,11.6,11.6,11.6,11.6,0,VSI
2021-05-07,12.15,12.15,11.25,11.25,700,VSI
2021-05-10,11.25,11.25,11.25,11.25,600,VSI
2021-05-11,11.25,11.25,11.02,11.02,2200,VSI
2021-05-12,11.08,11.71,11.08,11.71,1000,VSI
2021-05-13,12.53,12.53,12.18,12.18,300,VSI
2021-05-14,13.02,13.02,11.66,12.76,16300,VSI
2021-05-17,13.34,13.34,13.22,13.28,800,VSI
2021-05-18,13.92,13.92,13.92,13.92,200,VSI
2021-05-19,13.4,13.4,13.05,13.05,600,VSI
2021-05-20,12.15,13.34,12.15,12.18,21800,VSI
2021-05-21,12.18,12.18,12.18,12.18,0,VSI
2021-05-24,12.18,12.18,12.18,12.18,0,VSI
