time,open,high,low,close,volume,ticker
2020-12-21,6.04,6.04,6.04,6.04,3046,VTC
2020-12-22,6.11,6.11,6.11,6.11,300,VTC
2020-12-23,6.18,6.25,6.18,6.25,2601,VTC
2020-12-24,6.73,6.73,6.73,6.73,160,VTC
2020-12-25,6.52,6.52,6.11,6.11,4839,VTC
2020-12-28,6.25,6.52,6.25,6.32,5800,VTC
2020-12-29,6.32,6.32,6.32,6.32,30,VTC
2020-12-30,6.45,6.66,6.38,6.66,7537,VTC
2020-12-31,6.45,6.52,6.38,6.52,340,VTC
2021-01-04,6.59,6.87,6.59,6.59,4900,VTC
2021-01-05,6.59,6.59,6.59,6.59,3916,VTC
2021-01-06,6.87,6.87,6.87,6.87,4879,VTC
2021-01-07,6.87,6.93,6.87,6.87,3600,VTC
2021-01-08,6.87,6.87,6.73,6.87,9300,VTC
2021-01-11,6.87,6.87,6.87,6.87,1900,VTC
2021-01-12,6.87,7.0,6.73,6.87,7700,VTC
2021-01-13,6.87,6.93,6.73,6.93,1525,VTC
2021-01-14,7.0,7.07,7.0,7.07,8625,VTC
2021-01-15,6.93,7.69,6.93,7.69,7924,VTC
2021-01-18,7.69,7.69,7.69,7.69,0,VTC
2021-01-19,7.21,7.62,7.0,7.07,13400,VTC
2021-01-20,6.73,7.21,6.73,7.21,6620,VTC
2021-01-21,7.55,7.55,7.55,7.55,2000,VTC
2021-01-22,7.55,7.55,7.41,7.55,1404,VTC
2021-01-25,7.55,7.55,7.55,7.55,6236,VTC
2021-01-26,7.55,7.55,7.55,7.55,17500,VTC
2021-01-27,7.55,7.55,6.93,7.41,8062,VTC
2021-01-28,6.87,7.41,6.87,7.0,11508,VTC
2021-01-29,7.0,7.55,7.0,7.55,1520,VTC
2021-02-01,7.14,7.14,7.14,7.14,2500,VTC
2021-02-02,6.87,6.87,6.87,6.87,570,VTC
2021-02-03,6.87,7.41,6.87,7.41,2900,VTC
2021-02-04,7.55,7.55,7.55,7.55,100,VTC
2021-02-05,7.55,7.55,7.55,7.55,0,VTC
2021-02-08,7.55,7.55,7.41,7.41,862,VTC
2021-02-09,7.48,7.9,7.48,7.9,2400,VTC
2021-02-17,7.9,7.9,7.9,7.9,100,VTC
2021-02-18,7.69,8.65,7.69,8.65,3700,VTC
2021-02-19,8.65,8.65,8.65,8.65,0,VTC
2021-02-22,8.38,8.38,8.38,8.38,100,VTC
2021-02-23,7.69,7.69,7.69,7.69,200,VTC
2021-02-24,7.55,7.55,7.55,7.55,1000,VTC
2021-02-25,7.55,7.55,7.55,7.55,243,VTC
2021-02-26,7.55,7.55,7.55,7.55,500,VTC
2021-03-01,7.62,8.1,7.62,7.69,2520,VTC
2021-03-02,7.69,7.69,7.69,7.69,3900,VTC
2021-03-03,7.69,8.44,7.69,8.44,7294,VTC
2021-03-04,8.44,8.44,7.9,8.1,420,VTC
2021-03-05,8.1,8.17,8.1,8.17,400,VTC
2021-03-08,8.44,8.44,8.17,8.38,2603,VTC
2021-03-09,8.51,8.58,8.44,8.58,3865,VTC
2021-03-10,8.58,8.93,8.58,8.93,1148,VTC
2021-03-11,8.99,9.06,8.99,9.06,2130,VTC
2021-03-12,9.27,9.27,9.06,9.06,425,VTC
2021-03-15,9.13,9.34,9.13,9.34,2462,VTC
2021-03-16,9.34,9.41,9.34,9.41,1410,VTC
2021-03-17,9.41,10.02,9.41,10.02,7014,VTC
2021-03-18,10.3,10.98,10.3,10.98,11509,VTC
2021-03-19,10.98,11.95,10.98,10.98,16455,VTC
2021-03-22,10.98,10.98,10.09,10.16,36992,VTC
2021-03-23,10.3,10.64,10.02,10.23,58900,VTC
2021-03-24,10.23,10.3,9.61,9.68,23556,VTC
2021-03-25,9.68,10.35,9.68,9.9,12920,VTC
2021-03-26,9.9,9.9,9.83,9.9,4145,VTC
2021-03-29,9.9,9.9,9.68,9.68,10913,VTC
2021-03-30,9.46,9.46,9.31,9.31,7717,VTC
2021-03-31,9.31,9.38,8.71,9.31,9136,VTC
2021-04-01,9.53,9.53,9.08,9.23,9226,VTC
2021-04-02,9.23,9.61,9.23,9.31,4812,VTC
2021-04-05,9.38,9.68,9.38,9.68,10507,VTC
2021-04-06,9.68,9.68,9.38,9.68,14756,VTC
2021-04-07,9.68,9.68,8.94,9.46,8373,VTC
2021-04-08,9.31,9.31,9.31,9.31,525,VTC
2021-04-09,9.31,9.53,9.23,9.23,8815,VTC
2021-04-12,9.31,9.61,9.31,9.31,14400,VTC
2021-04-13,9.31,9.31,9.31,9.31,14400,VTC
2021-04-14,9.31,9.31,9.31,9.31,2616,VTC
2021-04-15,9.68,9.83,9.53,9.53,5000,VTC
2021-04-16,9.53,9.53,9.31,9.31,2200,VTC
2021-04-19,9.31,9.31,9.31,9.31,500,VTC
2021-04-20,9.31,9.31,9.08,9.08,4400,VTC
2021-04-22,9.01,9.01,8.71,8.71,6400,VTC
2021-04-23,8.19,8.19,7.97,8.19,6400,VTC
2021-04-26,8.27,8.64,8.27,8.49,1215,VTC
2021-04-27,8.49,8.49,8.49,8.49,318,VTC
2021-04-28,8.64,8.64,8.49,8.49,3800,VTC
2021-04-29,8.56,8.86,8.49,8.86,748,VTC
