time,open,high,low,close,volume,ticker
2020-12-15,2.7,2.7,2.6,2.7,233400,WSS
2020-12-16,2.8,2.9,2.8,2.9,121200,WSS
2020-12-17,3.1,3.1,3.1,3.1,400500,WSS
2020-12-18,3.3,3.3,3.0,3.1,158000,WSS
2020-12-21,3.3,3.4,3.1,3.4,359000,WSS
2020-12-22,3.5,3.7,3.5,3.7,253700,WSS
2020-12-23,4.0,4.0,3.6,3.8,305200,WSS
2020-12-24,3.8,3.8,3.5,3.5,290700,WSS
2020-12-25,3.5,3.8,3.3,3.7,159200,WSS
2020-12-28,3.8,3.9,3.6,3.7,289900,WSS
2020-12-29,3.6,3.6,3.5,3.5,136700,WSS
2020-12-30,3.6,3.7,3.4,3.6,155300,WSS
2020-12-31,3.4,3.6,3.4,3.6,113620,WSS
2021-01-04,3.6,3.7,3.6,3.6,119500,WSS
2021-01-05,3.6,3.6,3.5,3.6,52000,WSS
2021-01-06,3.6,3.7,3.5,3.7,120720,WSS
2021-01-07,3.7,4.0,3.7,4.0,657100,WSS
2021-01-08,4.3,4.4,4.1,4.4,356500,WSS
2021-01-11,4.8,4.8,4.7,4.8,261220,WSS
2021-01-12,5.1,5.1,4.5,4.7,381300,WSS
2021-01-13,4.5,4.6,4.4,4.6,293300,WSS
2021-01-14,4.6,5.0,4.3,5.0,279300,WSS
2021-01-15,5.2,5.5,5.1,5.5,394800,WSS
2021-01-18,5.5,6.0,5.5,6.0,199790,WSS
2021-01-19,6.5,6.6,5.4,6.4,898410,WSS
2021-01-20,6.8,6.9,5.8,6.5,266000,WSS
2021-01-21,6.6,7.1,6.4,7.1,344666,WSS
2021-01-22,7.2,7.7,7.1,7.2,386910,WSS
2021-01-25,7.3,7.3,6.5,6.5,333090,WSS
2021-01-26,6.5,6.5,5.9,5.9,137600,WSS
2021-01-27,5.4,5.4,5.4,5.4,41720,WSS
2021-01-28,4.9,4.9,4.9,4.9,19600,WSS
2021-01-29,4.5,4.9,4.5,4.5,544700,WSS
2021-02-01,4.7,4.7,4.1,4.1,219900,WSS
2021-02-02,4.1,4.5,3.8,4.2,36950,WSS
2021-02-03,4.2,4.6,4.0,4.6,159850,WSS
2021-02-04,4.7,5.0,4.6,4.8,91000,WSS
2021-02-05,4.8,4.9,4.6,4.8,57700,WSS
2021-02-08,4.8,4.9,4.4,4.5,179800,WSS
2021-02-09,4.6,4.7,4.4,4.6,65900,WSS
2021-02-17,4.6,4.9,4.6,4.9,69300,WSS
2021-02-18,4.9,5.1,4.8,4.9,89715,WSS
2021-02-19,4.8,4.9,4.7,4.8,113900,WSS
2021-02-22,4.7,4.8,4.6,4.6,67935,WSS
2021-02-23,4.6,4.8,4.6,4.8,52800,WSS
2021-02-24,4.8,5.0,4.6,4.8,135118,WSS
2021-02-25,4.8,4.8,4.6,4.8,25631,WSS
2021-02-26,4.6,4.7,4.5,4.7,82714,WSS
2021-03-01,4.7,4.8,4.6,4.8,98800,WSS
2021-03-02,4.8,4.8,4.7,4.8,154645,WSS
2021-03-03,4.8,5.2,4.8,5.2,458410,WSS
2021-03-04,5.5,5.7,5.4,5.7,359033,WSS
2021-03-05,5.9,6.1,5.8,6.0,218875,WSS
2021-03-08,6.0,6.2,5.7,6.0,245975,WSS
2021-03-09,5.9,6.0,5.6,5.9,103523,WSS
