time,open,high,low,close,volume,ticker
2020-10-08,16.49,19.78,19.78,19.78,0,X26
2020-10-09,18.9,18.9,18.9,18.9,16600,X26
2020-10-12,21.62,21.7,18.5,18.5,6100,X26
2020-10-13,18.5,18.5,18.5,18.5,200,X26
2020-10-14,16.89,16.89,16.89,16.89,400,X26
2020-10-15,16.09,16.09,16.09,16.09,500,X26
2020-10-16,15.29,18.5,15.29,18.5,300,X26
2020-10-19,16.33,18.5,18.5,18.5,0,X26
2020-10-20,15.77,15.77,15.77,15.77,800,X26
2020-10-21,15.77,15.77,15.77,15.77,0,X26
2020-10-22,15.77,15.77,15.77,15.77,0,X26
2020-10-23,15.77,15.77,15.77,15.77,0,X26
2020-10-26,18.1,18.1,15.45,15.45,600,X26
2020-10-27,15.93,15.45,15.45,15.45,0,X26
2020-10-28,15.93,15.45,15.45,15.45,0,X26
2020-10-29,15.93,15.45,15.45,15.45,0,X26
2020-10-30,15.93,15.45,15.45,15.45,0,X26
2020-11-02,15.93,15.45,15.45,15.45,0,X26
2020-11-03,15.93,15.45,15.45,15.45,0,X26
2020-11-04,14.49,14.49,14.49,14.49,900,X26
2020-11-05,14.49,14.49,14.49,14.49,0,X26
2020-11-06,14.49,14.49,14.49,14.49,0,X26
2020-11-09,14.49,14.49,14.49,14.49,0,X26
2020-11-10,14.49,14.49,14.49,14.49,0,X26
2020-11-11,14.49,14.49,14.49,14.49,0,X26
2020-11-12,14.49,14.49,14.49,14.49,0,X26
2020-11-13,14.49,14.49,14.49,14.49,0,X26
2020-11-16,14.49,14.49,14.49,14.49,0,X26
2020-11-17,14.49,14.49,14.49,14.49,0,X26
2020-11-18,14.49,14.49,14.49,14.49,0,X26
2020-11-19,14.49,14.49,14.49,14.49,0,X26
2020-11-20,14.49,14.49,14.49,14.49,0,X26
2020-11-23,14.49,14.49,14.49,14.49,0,X26
2020-11-24,14.49,14.49,14.49,14.49,0,X26
2020-11-25,14.49,14.49,14.49,14.49,0,X26
2020-11-26,14.49,14.49,14.49,14.49,0,X26
2020-11-27,14.49,14.49,14.49,14.49,0,X26
2020-11-30,14.49,14.49,14.49,14.49,0,X26
2020-12-01,14.49,14.49,14.49,14.49,0,X26
2020-12-02,14.49,14.49,14.49,14.49,0,X26
2020-12-03,14.49,14.49,14.49,14.49,0,X26
2020-12-04,14.49,14.49,14.49,14.49,0,X26
2020-12-07,14.49,14.49,14.49,14.49,0,X26
2020-12-08,14.49,14.49,14.49,14.49,0,X26
2020-12-09,14.49,14.49,14.49,14.49,0,X26
2020-12-10,14.49,14.49,14.49,14.49,0,X26
2020-12-11,14.49,14.49,14.49,14.49,0,X26
2020-12-14,14.49,14.49,14.49,14.49,0,X26
2020-12-15,14.49,14.49,14.49,14.49,0,X26
2020-12-16,14.49,14.49,14.49,14.49,0,X26
2020-12-17,16.65,16.65,16.65,16.65,100,X26
2020-12-18,16.65,16.65,16.65,16.65,0,X26
2020-12-21,17.21,17.37,17.21,17.37,6600,X26
2020-12-22,19.86,19.86,19.86,19.86,18600,X26
2020-12-23,17.05,17.05,17.05,17.05,200,X26
2020-12-24,19.54,19.54,19.54,19.54,100,X26
2020-12-25,16.65,22.42,16.65,22.42,400,X26
2020-12-28,16.65,22.42,16.65,18.5,8100,X26
2020-12-29,16.89,16.89,16.89,16.89,200,X26
2020-12-30,14.41,14.41,14.41,14.41,100,X26
2020-12-31,14.41,14.41,14.41,14.41,0,X26
2021-01-04,14.41,14.41,14.41,14.41,0,X26
2021-01-05,14.41,14.41,14.41,14.41,0,X26
2021-01-06,14.41,14.41,14.41,14.41,14,X26
2021-01-07,14.41,14.41,14.41,14.41,0,X26
2021-01-08,14.41,14.41,14.41,14.41,0,X26
2021-01-11,14.41,14.41,14.41,14.41,0,X26
2021-01-12,14.41,14.41,14.41,14.41,0,X26
2021-01-13,14.41,14.41,14.41,14.41,0,X26
2021-01-14,14.41,14.41,14.41,14.41,0,X26
2021-01-15,14.41,14.41,14.41,14.41,14,X26
2021-01-18,14.41,14.41,14.41,14.41,70,X26
2021-01-19,14.41,14.41,14.41,14.41,0,X26
2021-01-20,14.41,14.41,14.41,14.41,0,X26
2021-01-21,14.41,14.41,14.41,14.41,0,X26
2021-01-22,14.41,14.41,14.41,14.41,0,X26
2021-01-25,14.41,14.41,14.41,14.41,0,X26
2021-01-26,14.41,14.41,14.41,14.41,0,X26
2021-01-27,14.41,14.41,14.41,14.41,0,X26
2021-01-28,14.41,14.41,14.41,14.41,0,X26
2021-01-29,14.41,14.41,14.41,14.41,0,X26
2021-02-01,16.57,16.57,16.57,16.57,100,X26
2021-02-02,16.57,16.57,16.57,16.57,0,X26
2021-02-03,16.57,16.57,16.57,16.57,0,X26
2021-02-04,19.06,19.06,16.81,19.06,1200,X26
2021-02-05,17.21,19.06,19.06,19.06,0,X26
2021-02-08,17.21,19.06,19.06,19.06,0,X26
2021-02-09,17.21,19.06,19.06,19.06,0,X26
2021-02-17,19.22,19.22,19.22,19.22,100,X26
2021-02-18,21.94,22.02,18.42,22.02,2300,X26
2021-02-19,21.7,21.7,18.74,21.7,1284,X26
2021-02-22,18.42,22.1,18.42,22.1,2200,X26
2021-02-23,18.5,21.78,18.5,21.78,1100,X26
2021-02-24,18.5,21.62,18.5,21.62,4400,X26
2021-02-25,21.62,21.62,21.62,21.62,100,X26
2021-02-26,18.9,24.82,18.9,24.82,2100,X26
2021-03-01,18.98,18.98,18.98,18.98,2000,X26
2021-03-02,18.42,18.42,18.42,18.42,1000,X26
2021-03-03,18.42,18.42,18.42,18.42,0,X26
2021-03-04,18.42,18.42,18.42,18.42,0,X26
2021-03-05,21.14,21.14,21.14,21.14,100,X26
2021-03-08,21.14,21.14,21.14,21.14,0,X26
2021-03-09,21.14,21.14,21.14,21.14,0,X26
2021-03-10,21.14,21.14,21.14,21.14,0,X26
2021-03-11,21.14,21.14,21.14,21.14,0,X26
2021-03-12,18.02,24.26,18.02,24.26,2500,X26
2021-03-15,19.22,24.26,24.26,24.26,0,X26
2021-03-16,22.1,22.1,22.1,22.1,100,X26
2021-03-17,25.38,25.38,22.5,22.5,2100,X26
2021-03-18,26.02,26.02,26.02,26.02,100,X26
2021-03-19,29.54,29.7,29.54,29.7,300,X26
2021-03-22,28.1,33.63,28.1,33.63,3100,X26
2021-03-23,30.43,30.43,30.43,30.43,100,X26
2021-03-24,30.43,30.43,30.43,30.43,0,X26
2021-03-25,30.43,30.43,25.86,25.86,4000,X26
2021-03-26,22.1,22.1,22.1,22.1,2000,X26
2021-03-29,18.98,25.38,18.98,25.38,15100,X26
2021-03-30,19.3,19.3,19.3,19.3,3000,X26
2021-03-31,19.3,19.3,19.3,19.3,0,X26
2021-04-01,19.3,19.3,19.3,19.3,0,X26
2021-04-02,19.3,19.3,19.3,19.3,0,X26
2021-04-05,19.3,19.3,19.3,19.3,0,X26
2021-04-06,18.9,18.9,18.9,18.9,594,X26
2021-04-07,18.9,18.9,18.9,18.9,0,X26
2021-04-08,18.9,18.9,18.9,18.9,0,X26
2021-04-09,18.9,18.9,18.9,18.9,0,X26
2021-04-12,18.9,18.9,18.9,18.9,42,X26
2021-04-13,18.9,18.9,18.9,18.9,0,X26
