time,open,high,low,close,volume,ticker
2020-12-08,6.9,7.2,6.9,7.2,3200,XMC
2020-12-09,7.49,7.56,6.9,7.56,2100,XMC
2020-12-10,7.49,7.99,7.49,7.99,2300,XMC
2020-12-11,7.63,7.99,7.63,7.99,24868,XMC
2020-12-14,7.92,7.92,7.2,7.92,1300,XMC
2020-12-15,8.14,8.14,7.27,8.07,1030,XMC
2020-12-16,7.05,7.99,7.05,7.99,492,XMC
2020-12-17,8.14,8.29,8.14,8.21,10900,XMC
2020-12-18,7.99,9.38,7.99,8.94,104040,XMC
2020-12-21,8.94,9.01,8.79,8.79,55700,XMC
2020-12-22,9.01,9.01,8.65,8.79,67321,XMC
2020-12-23,8.87,9.08,8.87,8.87,102694,XMC
2020-12-24,8.94,9.01,8.87,8.94,63800,XMC
2020-12-25,8.94,8.94,8.72,8.94,30432,XMC
2020-12-28,9.26,9.26,8.62,9.18,22252,XMC
2020-12-29,9.02,9.02,8.7,8.86,20840,XMC
2020-12-30,8.62,8.78,8.54,8.54,13876,XMC
2020-12-31,8.62,8.86,8.62,8.7,28951,XMC
2021-01-04,8.78,9.18,8.78,9.02,24198,XMC
2021-01-05,8.86,9.26,8.86,9.02,14110,XMC
2021-01-06,9.02,9.02,8.86,8.94,6253,XMC
2021-01-07,8.86,9.1,8.78,9.1,50156,XMC
2021-01-08,9.34,9.75,9.1,9.26,52245,XMC
2021-01-11,9.1,9.34,9.1,9.26,14942,XMC
2021-01-12,9.1,9.66,9.02,9.66,122441,XMC
2021-01-13,9.75,10.71,9.66,10.47,163160,XMC
2021-01-14,10.07,10.15,10.07,10.15,6061,XMC
2021-01-15,9.83,10.39,9.75,10.39,87091,XMC
2021-01-18,10.07,10.87,10.07,10.47,75400,XMC
2021-01-19,10.47,10.47,9.58,9.66,31728,XMC
2021-01-20,9.26,9.66,9.26,9.66,12708,XMC
2021-01-21,9.5,9.99,9.42,9.91,27731,XMC
2021-01-22,9.66,9.66,9.34,9.66,17800,XMC
2021-01-25,9.58,10.15,9.58,10.15,65100,XMC
2021-01-26,10.15,10.15,9.5,9.58,21377,XMC
2021-01-27,9.26,9.66,9.1,9.26,17066,XMC
2021-01-28,9.1,9.5,8.13,8.13,47966,XMC
2021-01-29,8.86,9.66,8.86,9.66,6600,XMC
2021-02-01,8.46,8.86,8.46,8.7,48331,XMC
2021-02-02,8.78,8.94,8.78,8.86,6300,XMC
2021-02-03,8.86,9.02,8.86,9.02,9339,XMC
2021-02-04,8.86,9.26,8.86,8.86,22300,XMC
2021-02-05,8.94,9.1,8.86,9.1,13500,XMC
2021-02-08,8.86,9.18,8.86,8.86,27800,XMC
2021-02-09,9.34,9.34,8.86,8.86,10126,XMC
2021-02-17,9.42,9.42,8.86,9.18,39115,XMC
2021-02-18,8.86,8.86,8.86,8.86,500,XMC
2021-02-19,8.62,9.1,8.62,9.1,1500,XMC
2021-02-22,8.86,9.26,8.78,9.1,181287,XMC
2021-02-23,8.94,9.34,8.94,9.1,8400,XMC
2021-02-24,9.1,9.1,8.94,9.02,16000,XMC
2021-02-25,9.02,9.02,8.86,8.86,8400,XMC
2021-02-26,8.94,9.1,8.78,9.1,59400,XMC
2021-03-01,9.02,9.18,8.94,9.02,20000,XMC
2021-03-02,9.02,9.18,8.94,9.1,8800,XMC
2021-03-03,9.02,9.75,9.02,9.66,96921,XMC
2021-03-04,9.66,10.07,9.34,9.91,104700,XMC
2021-03-05,9.91,9.91,9.66,9.83,22100,XMC
2021-03-08,9.83,10.47,9.75,10.31,95378,XMC
2021-03-09,10.15,10.39,9.99,10.23,67000,XMC
2021-03-10,9.83,10.15,9.66,9.83,43200,XMC
2021-03-11,9.75,10.15,9.66,9.99,38721,XMC
2021-03-12,9.75,9.91,9.66,9.83,41800,XMC
2021-03-15,9.91,10.71,9.91,10.39,112146,XMC
2021-03-16,10.39,10.63,10.23,10.47,45700,XMC
2021-03-17,10.79,10.87,10.39,10.47,38421,XMC
2021-03-18,10.39,10.55,10.15,10.23,39620,XMC
2021-03-19,10.23,10.39,10.07,10.39,24400,XMC
2021-03-22,10.39,10.47,10.23,10.23,18666,XMC
