time,open,high,low,close,volume,ticker,llm_text
2023-09-13 13:00:00,8.5,9.65,8.5,9.65,8800,BPC,"At 2023-09-13 13:00:00, the stock BPC opened at 8.50 VND, reached a high of 9.65 VND, a low of 8.50 VND, and closed the hour at 9.65 VND with a trading volume of 8,800 shares."
2023-09-18 10:00:00,8.69,8.69,8.69,8.69,7900,BPC,"At 2023-09-18 10:00:00, the stock BPC opened at 8.69 VND, reached a high of 8.69 VND, a low of 8.69 VND, and closed the hour at 8.69 VND with a trading volume of 7,900 shares."
2023-09-18 11:00:00,8.69,8.69,8.69,8.69,5000,BPC,"At 2023-09-18 11:00:00, the stock BPC opened at 8.69 VND, reached a high of 8.69 VND, a low of 8.69 VND, and closed the hour at 8.69 VND with a trading volume of 5,000 shares."
2023-09-19 10:00:00,8.3,8.3,8.21,8.21,1200,BPC,"At 2023-09-19 10:00:00, the stock BPC opened at 8.30 VND, reached a high of 8.30 VND, a low of 8.21 VND, and closed the hour at 8.21 VND with a trading volume of 1,200 shares."
2023-09-19 14:00:00,8.98,8.98,8.98,8.98,100,BPC,"At 2023-09-19 14:00:00, the stock BPC opened at 8.98 VND, reached a high of 8.98 VND, a low of 8.98 VND, and closed the hour at 8.98 VND with a trading volume of 100 shares."
2023-09-20 11:00:00,8.3,8.3,8.3,8.3,3000,BPC,"At 2023-09-20 11:00:00, the stock BPC opened at 8.30 VND, reached a high of 8.30 VND, a low of 8.30 VND, and closed the hour at 8.30 VND with a trading volume of 3,000 shares."
2023-09-20 14:00:00,8.98,8.98,8.98,8.98,100,BPC,"At 2023-09-20 14:00:00, the stock BPC opened at 8.98 VND, reached a high of 8.98 VND, a low of 8.98 VND, and closed the hour at 8.98 VND with a trading volume of 100 shares."
2023-09-25 14:00:00,8.5,8.5,8.5,8.5,100,BPC,"At 2023-09-25 14:00:00, the stock BPC opened at 8.50 VND, reached a high of 8.50 VND, a low of 8.50 VND, and closed the hour at 8.50 VND with a trading volume of 100 shares."
2023-09-26 11:00:00,8.5,8.5,8.5,8.5,3000,BPC,"At 2023-09-26 11:00:00, the stock BPC opened at 8.50 VND, reached a high of 8.50 VND, a low of 8.50 VND, and closed the hour at 8.50 VND with a trading volume of 3,000 shares."
2023-09-26 13:00:00,8.69,8.69,8.69,8.69,900,BPC,"At 2023-09-26 13:00:00, the stock BPC opened at 8.69 VND, reached a high of 8.69 VND, a low of 8.69 VND, and closed the hour at 8.69 VND with a trading volume of 900 shares."
2023-09-26 14:00:00,8.5,8.5,8.5,8.5,1400,BPC,"At 2023-09-26 14:00:00, the stock BPC opened at 8.50 VND, reached a high of 8.50 VND, a low of 8.50 VND, and closed the hour at 8.50 VND with a trading volume of 1,400 shares."
2023-09-29 14:00:00,8.98,8.98,8.98,8.98,100,BPC,"At 2023-09-29 14:00:00, the stock BPC opened at 8.98 VND, reached a high of 8.98 VND, a low of 8.98 VND, and closed the hour at 8.98 VND with a trading volume of 100 shares."
2023-10-09 11:00:00,8.3,8.3,8.3,8.3,3000,BPC,"At 2023-10-09 11:00:00, the stock BPC opened at 8.30 VND, reached a high of 8.30 VND, a low of 8.30 VND, and closed the hour at 8.30 VND with a trading volume of 3,000 shares."
2023-10-09 13:00:00,8.69,8.69,8.69,8.69,100,BPC,"At 2023-10-09 13:00:00, the stock BPC opened at 8.69 VND, reached a high of 8.69 VND, a low of 8.69 VND, and closed the hour at 8.69 VND with a trading volume of 100 shares."
2023-10-12 11:00:00,8.98,8.98,8.98,8.98,1800,BPC,"At 2023-10-12 11:00:00, the stock BPC opened at 8.98 VND, reached a high of 8.98 VND, a low of 8.98 VND, and closed the hour at 8.98 VND with a trading volume of 1,800 shares."
2023-10-12 13:00:00,9.56,9.56,9.56,9.56,100,BPC,"At 2023-10-12 13:00:00, the stock BPC opened at 9.56 VND, reached a high of 9.56 VND, a low of 9.56 VND, and closed the hour at 9.56 VND with a trading volume of 100 shares."
2023-10-24 13:00:00,9.46,9.46,9.17,9.17,2100,BPC,"At 2023-10-24 13:00:00, the stock BPC opened at 9.46 VND, reached a high of 9.46 VND, a low of 9.17 VND, and closed the hour at 9.17 VND with a trading volume of 2,100 shares."
2023-10-25 10:00:00,9.46,9.46,9.46,9.46,100,BPC,"At 2023-10-25 10:00:00, the stock BPC opened at 9.46 VND, reached a high of 9.46 VND, a low of 9.46 VND, and closed the hour at 9.46 VND with a trading volume of 100 shares."
2023-10-26 10:00:00,9.46,9.46,9.46,9.46,100,BPC,"At 2023-10-26 10:00:00, the stock BPC opened at 9.46 VND, reached a high of 9.46 VND, a low of 9.46 VND, and closed the hour at 9.46 VND with a trading volume of 100 shares."
2023-10-26 13:00:00,9.17,9.17,9.17,9.17,200,BPC,"At 2023-10-26 13:00:00, the stock BPC opened at 9.17 VND, reached a high of 9.17 VND, a low of 9.17 VND, and closed the hour at 9.17 VND with a trading volume of 200 shares."
2023-10-27 13:00:00,8.98,8.98,8.98,8.98,2000,BPC,"At 2023-10-27 13:00:00, the stock BPC opened at 8.98 VND, reached a high of 8.98 VND, a low of 8.98 VND, and closed the hour at 8.98 VND with a trading volume of 2,000 shares."
2023-10-30 14:00:00,8.5,8.5,8.5,8.5,200,BPC,"At 2023-10-30 14:00:00, the stock BPC opened at 8.50 VND, reached a high of 8.50 VND, a low of 8.50 VND, and closed the hour at 8.50 VND with a trading volume of 200 shares."
