time,open,high,low,close,volume,ticker,llm_text
2023-09-28 09:00:00,12.66,15.34,12.66,15.34,200,BST,"At 2023-09-28 09:00:00, the stock BST opened at 12.66 VND, reached a high of 15.34 VND, a low of 12.66 VND, and closed the hour at 15.34 VND with a trading volume of 200 shares."
2023-09-29 09:00:00,13.87,16.73,13.87,16.73,400,BST,"At 2023-09-29 09:00:00, the stock BST opened at 13.87 VND, reached a high of 16.73 VND, a low of 13.87 VND, and closed the hour at 16.73 VND with a trading volume of 400 shares."
2023-10-03 09:00:00,15.08,15.08,15.08,15.08,100,BST,"At 2023-10-03 09:00:00, the stock BST opened at 15.08 VND, reached a high of 15.08 VND, a low of 15.08 VND, and closed the hour at 15.08 VND with a trading volume of 100 shares."
2023-10-05 09:00:00,16.56,16.56,16.56,16.56,100,BST,"At 2023-10-05 09:00:00, the stock BST opened at 16.56 VND, reached a high of 16.56 VND, a low of 16.56 VND, and closed the hour at 16.56 VND with a trading volume of 100 shares."
2023-10-06 10:00:00,16.56,16.82,16.56,16.56,2500,BST,"At 2023-10-06 10:00:00, the stock BST opened at 16.56 VND, reached a high of 16.82 VND, a low of 16.56 VND, and closed the hour at 16.56 VND with a trading volume of 2,500 shares."
2023-10-12 09:00:00,14.91,14.91,14.91,14.91,100,BST,"At 2023-10-12 09:00:00, the stock BST opened at 14.91 VND, reached a high of 14.91 VND, a low of 14.91 VND, and closed the hour at 14.91 VND with a trading volume of 100 shares."
2023-10-12 11:00:00,14.91,14.91,14.91,14.91,100,BST,"At 2023-10-12 11:00:00, the stock BST opened at 14.91 VND, reached a high of 14.91 VND, a low of 14.91 VND, and closed the hour at 14.91 VND with a trading volume of 100 shares."
2023-10-13 10:00:00,13.44,15.52,13.44,13.44,1900,BST,"At 2023-10-13 10:00:00, the stock BST opened at 13.44 VND, reached a high of 15.52 VND, a low of 13.44 VND, and closed the hour at 13.44 VND with a trading volume of 1,900 shares."
2023-10-13 11:00:00,13.44,13.44,13.44,13.44,800,BST,"At 2023-10-13 11:00:00, the stock BST opened at 13.44 VND, reached a high of 13.44 VND, a low of 13.44 VND, and closed the hour at 13.44 VND with a trading volume of 800 shares."
2023-10-13 14:00:00,13.44,13.44,13.44,13.44,200,BST,"At 2023-10-13 14:00:00, the stock BST opened at 13.44 VND, reached a high of 13.44 VND, a low of 13.44 VND, and closed the hour at 13.44 VND with a trading volume of 200 shares."
