time,open,high,low,close,volume,ticker,llm_text
2025-09-10 13:00:00,10.85,10.95,10.7,10.9,166000,CRC,"At 2025-09-10 13:00:00, the stock CRC opened at 10.85 VND, reached a high of 10.95 VND, a low of 10.70 VND, and closed the hour at 10.90 VND with a trading volume of 166,000 shares."
2025-09-10 14:00:00,10.75,10.95,10.7,10.7,231100,CRC,"At 2025-09-10 14:00:00, the stock CRC opened at 10.75 VND, reached a high of 10.95 VND, a low of 10.70 VND, and closed the hour at 10.70 VND with a trading volume of 231,100 shares."
2025-09-11 09:00:00,10.6,10.75,10.2,10.3,645400,CRC,"At 2025-09-11 09:00:00, the stock CRC opened at 10.60 VND, reached a high of 10.75 VND, a low of 10.20 VND, and closed the hour at 10.30 VND with a trading volume of 645,400 shares."
2025-09-11 10:00:00,10.2,10.3,9.96,9.96,861200,CRC,"At 2025-09-11 10:00:00, the stock CRC opened at 10.20 VND, reached a high of 10.30 VND, a low of 9.96 VND, and closed the hour at 9.96 VND with a trading volume of 861,200 shares."
2025-09-11 11:00:00,9.96,9.96,9.96,9.96,118400,CRC,"At 2025-09-11 11:00:00, the stock CRC opened at 9.96 VND, reached a high of 9.96 VND, a low of 9.96 VND, and closed the hour at 9.96 VND with a trading volume of 118,400 shares."
2025-09-11 13:00:00,9.96,10.4,9.96,10.15,271800,CRC,"At 2025-09-11 13:00:00, the stock CRC opened at 9.96 VND, reached a high of 10.40 VND, a low of 9.96 VND, and closed the hour at 10.15 VND with a trading volume of 271,800 shares."
2025-09-11 14:00:00,10.1,10.25,10.1,10.1,122000,CRC,"At 2025-09-11 14:00:00, the stock CRC opened at 10.10 VND, reached a high of 10.25 VND, a low of 10.10 VND, and closed the hour at 10.10 VND with a trading volume of 122,000 shares."
2025-09-12 09:00:00,10.15,10.15,9.99,10.0,81600,CRC,"At 2025-09-12 09:00:00, the stock CRC opened at 10.15 VND, reached a high of 10.15 VND, a low of 9.99 VND, and closed the hour at 10.00 VND with a trading volume of 81,600 shares."
2025-09-12 10:00:00,10.0,10.1,9.8,10.0,88800,CRC,"At 2025-09-12 10:00:00, the stock CRC opened at 10.00 VND, reached a high of 10.10 VND, a low of 9.80 VND, and closed the hour at 10.00 VND with a trading volume of 88,800 shares."
2025-09-12 11:00:00,10.0,10.0,10.0,10.0,16700,CRC,"At 2025-09-12 11:00:00, the stock CRC opened at 10.00 VND, reached a high of 10.00 VND, a low of 10.00 VND, and closed the hour at 10.00 VND with a trading volume of 16,700 shares."
2025-09-12 13:00:00,10.0,10.1,9.95,9.99,36100,CRC,"At 2025-09-12 13:00:00, the stock CRC opened at 10.00 VND, reached a high of 10.10 VND, a low of 9.95 VND, and closed the hour at 9.99 VND with a trading volume of 36,100 shares."
2025-09-12 14:00:00,9.99,10.15,9.99,10.15,115500,CRC,"At 2025-09-12 14:00:00, the stock CRC opened at 9.99 VND, reached a high of 10.15 VND, a low of 9.99 VND, and closed the hour at 10.15 VND with a trading volume of 115,500 shares."
2025-09-15 09:00:00,10.15,10.2,9.94,10.0,104600,CRC,"At 2025-09-15 09:00:00, the stock CRC opened at 10.15 VND, reached a high of 10.20 VND, a low of 9.94 VND, and closed the hour at 10.00 VND with a trading volume of 104,600 shares."
2025-09-15 10:00:00,10.0,10.15,9.94,10.05,34800,CRC,"At 2025-09-15 10:00:00, the stock CRC opened at 10.00 VND, reached a high of 10.15 VND, a low of 9.94 VND, and closed the hour at 10.05 VND with a trading volume of 34,800 shares."
2025-09-15 11:00:00,10.0,10.05,9.95,10.0,45000,CRC,"At 2025-09-15 11:00:00, the stock CRC opened at 10.00 VND, reached a high of 10.05 VND, a low of 9.95 VND, and closed the hour at 10.00 VND with a trading volume of 45,000 shares."
2025-09-15 13:00:00,9.95,10.0,9.9,9.9,111100,CRC,"At 2025-09-15 13:00:00, the stock CRC opened at 9.95 VND, reached a high of 10.00 VND, a low of 9.90 VND, and closed the hour at 9.90 VND with a trading volume of 111,100 shares."
2025-09-15 14:00:00,9.9,9.98,9.81,9.98,208300,CRC,"At 2025-09-15 14:00:00, the stock CRC opened at 9.90 VND, reached a high of 9.98 VND, a low of 9.81 VND, and closed the hour at 9.98 VND with a trading volume of 208,300 shares."
2025-09-16 09:00:00,9.99,10.0,9.9,9.92,150100,CRC,"At 2025-09-16 09:00:00, the stock CRC opened at 9.99 VND, reached a high of 10.00 VND, a low of 9.90 VND, and closed the hour at 9.92 VND with a trading volume of 150,100 shares."
2025-09-16 10:00:00,9.92,9.92,9.6,9.67,165400,CRC,"At 2025-09-16 10:00:00, the stock CRC opened at 9.92 VND, reached a high of 9.92 VND, a low of 9.60 VND, and closed the hour at 9.67 VND with a trading volume of 165,400 shares."
2025-09-16 11:00:00,9.67,9.78,9.64,9.65,35900,CRC,"At 2025-09-16 11:00:00, the stock CRC opened at 9.67 VND, reached a high of 9.78 VND, a low of 9.64 VND, and closed the hour at 9.65 VND with a trading volume of 35,900 shares."
2025-09-16 13:00:00,9.65,9.79,9.6,9.78,306100,CRC,"At 2025-09-16 13:00:00, the stock CRC opened at 9.65 VND, reached a high of 9.79 VND, a low of 9.60 VND, and closed the hour at 9.78 VND with a trading volume of 306,100 shares."
