time,open,high,low,close,volume,ticker,llm_text
2023-09-22 09:00:00,0.6,0.6,0.6,0.6,800,CTN,"At 2023-09-22 09:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 800 shares."
2023-09-22 13:00:00,0.6,0.6,0.6,0.6,17200,CTN,"At 2023-09-22 13:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 17,200 shares."
2023-09-22 14:00:00,0.7,0.7,0.6,0.6,2600,CTN,"At 2023-09-22 14:00:00, the stock CTN opened at 0.70 VND, reached a high of 0.70 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 2,600 shares."
2023-09-29 13:00:00,0.7,0.7,0.7,0.7,100,CTN,"At 2023-09-29 13:00:00, the stock CTN opened at 0.70 VND, reached a high of 0.70 VND, a low of 0.70 VND, and closed the hour at 0.70 VND with a trading volume of 100 shares."
2023-09-29 14:00:00,0.6,0.7,0.6,0.6,3300,CTN,"At 2023-09-29 14:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.70 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 3,300 shares."
2023-10-06 09:00:00,0.6,0.6,0.5,0.5,2100,CTN,"At 2023-10-06 09:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.50 VND, and closed the hour at 0.50 VND with a trading volume of 2,100 shares."
2023-10-06 10:00:00,0.6,0.6,0.6,0.6,100,CTN,"At 2023-10-06 10:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 100 shares."
2023-10-06 13:00:00,0.6,0.6,0.6,0.6,100,CTN,"At 2023-10-06 13:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 100 shares."
2023-10-06 14:00:00,0.6,0.6,0.6,0.6,3800,CTN,"At 2023-10-06 14:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 3,800 shares."
2023-10-13 09:00:00,0.6,0.6,0.6,0.6,9100,CTN,"At 2023-10-13 09:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 9,100 shares."
2023-10-13 10:00:00,0.6,0.6,0.6,0.6,200,CTN,"At 2023-10-13 10:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 200 shares."
2023-10-13 13:00:00,0.7,0.7,0.7,0.7,1000,CTN,"At 2023-10-13 13:00:00, the stock CTN opened at 0.70 VND, reached a high of 0.70 VND, a low of 0.70 VND, and closed the hour at 0.70 VND with a trading volume of 1,000 shares."
2023-10-13 14:00:00,0.6,0.6,0.6,0.6,14700,CTN,"At 2023-10-13 14:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 14,700 shares."
2023-10-20 10:00:00,0.6,0.6,0.6,0.6,1300,CTN,"At 2023-10-20 10:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 1,300 shares."
2023-10-20 14:00:00,0.6,0.6,0.6,0.6,2300,CTN,"At 2023-10-20 14:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 2,300 shares."
2023-10-27 13:00:00,0.7,0.7,0.7,0.7,100,CTN,"At 2023-10-27 13:00:00, the stock CTN opened at 0.70 VND, reached a high of 0.70 VND, a low of 0.70 VND, and closed the hour at 0.70 VND with a trading volume of 100 shares."
2023-10-27 14:00:00,0.5,0.7,0.5,0.7,800,CTN,"At 2023-10-27 14:00:00, the stock CTN opened at 0.50 VND, reached a high of 0.70 VND, a low of 0.50 VND, and closed the hour at 0.70 VND with a trading volume of 800 shares."
2023-11-03 09:00:00,0.6,0.6,0.6,0.6,600,CTN,"At 2023-11-03 09:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 600 shares."
2023-11-03 14:00:00,0.7,0.8,0.6,0.6,15400,CTN,"At 2023-11-03 14:00:00, the stock CTN opened at 0.70 VND, reached a high of 0.80 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 15,400 shares."
2023-11-10 13:00:00,0.6,0.7,0.6,0.7,1500,CTN,"At 2023-11-10 13:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.70 VND, a low of 0.60 VND, and closed the hour at 0.70 VND with a trading volume of 1,500 shares."
2023-11-10 14:00:00,0.6,0.6,0.6,0.6,100,CTN,"At 2023-11-10 14:00:00, the stock CTN opened at 0.60 VND, reached a high of 0.60 VND, a low of 0.60 VND, and closed the hour at 0.60 VND with a trading volume of 100 shares."
2023-11-17 13:00:00,0.7,0.7,0.7,0.7,100,CTN,"At 2023-11-17 13:00:00, the stock CTN opened at 0.70 VND, reached a high of 0.70 VND, a low of 0.70 VND, and closed the hour at 0.70 VND with a trading volume of 100 shares."
