time,open,high,low,close,volume,ticker,llm_text
2025-09-10 14:00:00,85.4,85.79,85.2,85.69,37300,CTR,"At 2025-09-10 14:00:00, the stock CTR opened at 85.40 VND, reached a high of 85.79 VND, a low of 85.20 VND, and closed the hour at 85.69 VND with a trading volume of 37,300 shares."
2025-09-11 09:00:00,85.89,85.89,84.72,84.91,67200,CTR,"At 2025-09-11 09:00:00, the stock CTR opened at 85.89 VND, reached a high of 85.89 VND, a low of 84.72 VND, and closed the hour at 84.91 VND with a trading volume of 67,200 shares."
2025-09-11 10:00:00,84.81,84.81,83.94,84.33,94100,CTR,"At 2025-09-11 10:00:00, the stock CTR opened at 84.81 VND, reached a high of 84.81 VND, a low of 83.94 VND, and closed the hour at 84.33 VND with a trading volume of 94,100 shares."
2025-09-11 11:00:00,84.33,84.52,84.03,84.23,35600,CTR,"At 2025-09-11 11:00:00, the stock CTR opened at 84.33 VND, reached a high of 84.52 VND, a low of 84.03 VND, and closed the hour at 84.23 VND with a trading volume of 35,600 shares."
2025-09-11 13:00:00,84.23,85.5,84.13,85.4,48200,CTR,"At 2025-09-11 13:00:00, the stock CTR opened at 84.23 VND, reached a high of 85.50 VND, a low of 84.13 VND, and closed the hour at 85.40 VND with a trading volume of 48,200 shares."
2025-09-11 14:00:00,85.5,85.6,85.3,85.3,30900,CTR,"At 2025-09-11 14:00:00, the stock CTR opened at 85.50 VND, reached a high of 85.60 VND, a low of 85.30 VND, and closed the hour at 85.30 VND with a trading volume of 30,900 shares."
2025-09-12 09:00:00,86.38,87.64,86.38,86.96,123600,CTR,"At 2025-09-12 09:00:00, the stock CTR opened at 86.38 VND, reached a high of 87.64 VND, a low of 86.38 VND, and closed the hour at 86.96 VND with a trading volume of 123,600 shares."
2025-09-12 10:00:00,86.96,86.96,86.38,86.77,61900,CTR,"At 2025-09-12 10:00:00, the stock CTR opened at 86.96 VND, reached a high of 86.96 VND, a low of 86.38 VND, and closed the hour at 86.77 VND with a trading volume of 61,900 shares."
2025-09-12 11:00:00,86.77,87.16,86.67,87.06,76300,CTR,"At 2025-09-12 11:00:00, the stock CTR opened at 86.77 VND, reached a high of 87.16 VND, a low of 86.67 VND, and closed the hour at 87.06 VND with a trading volume of 76,300 shares."
2025-09-12 13:00:00,86.96,87.06,86.67,86.96,97600,CTR,"At 2025-09-12 13:00:00, the stock CTR opened at 86.96 VND, reached a high of 87.06 VND, a low of 86.67 VND, and closed the hour at 86.96 VND with a trading volume of 97,600 shares."
